country_iso3;neighbor_iso3;neighbor_qid;neighbor_name;country_qid;country;land_km
AFG;CHN;Q148;China;Q889;Afeganistão;
AFG;IRN;Q794;Irão;Q889;Afeganistão;
AFG;PAK;Q843;Paquistão;Q889;Afeganistão;
AFG;TJK;Q863;Tajiquistão;Q889;Afeganistão;
AFG;TKM;Q874;Turquemenistão;Q889;Afeganistão;
AFG;UZB;Q265;Uzbequistão;Q889;Afeganistão;
AGO;COD;Q974;República Democrática do Congo;Q916;Angola;
AGO;COG;Q971;República do Congo;Q916;Angola;
AGO;GAB;Q1000;Gabão;Q916;Angola;
AGO;NAM;Q1030;Namíbia;Q916;Angola;
AGO;ZMB;Q953;Zâmbia;Q916;Angola;
ALB;GRC;Q41;Grécia;Q222;Albânia;
ALB;MKD;Q221;Macedónia do Norte;Q222;Albânia;
ALB;MNE;Q236;Montenegro;Q222;Albânia;
ALB;SRB;Q403;Sérvia;Q222;Albânia;
AND;ESP;Q29;Espanha;Q228;Andorra;
AND;FRA;Q142;França;Q228;Andorra;
ARE;IRN;Q794;Irão;Q878;Emirados Árabes Unidos;
ARE;OMN;Q842;Omã;Q878;Emirados Árabes Unidos;
ARE;SAU;Q851;Arábia Saudita;Q878;Emirados Árabes Unidos;
ARG;BOL;Q750;Bolívia;Q414;Argentina;
ARG;BRA;Q155;Brasil;Q414;Argentina;
ARG;CHL;Q298;Chile;Q414;Argentina;
ARG;GBR;Q145;Reino Unido;Q414;Argentina;
ARG;PRY;Q733;Paraguai;Q414;Argentina;
ARG;URY;Q77;Uruguai;Q414;Argentina;
ARM;AZE;Q227;Azerbaijão;Q399;Arménia;
ARM;GEO;Q230;Geórgia;Q399;Arménia;
ARM;IRN;Q794;Irão;Q399;Arménia;
ARM;TUR;Q43;Turquia;Q399;Arménia;
ATG;GBR;Q145;Reino Unido;Q781;Antígua e Barbuda;
AUS;IDN;Q252;Indonésia;Q408;Austrália;
AUS;NZL;Q664;Nova Zelândia;Q408;Austrália;
AUS;PNG;Q691;Papua-Nova Guiné;Q408;Austrália;
AUS;SLB;Q685;Ilhas Salomão;Q408;Austrália;
AUS;TLS;Q574;Timor-Leste;Q408;Austrália;
AUS;VUT;Q686;Vanuatu;Q408;Austrália;
AUT;CHE;Q39;Suíça;Q40;Áustria;
AUT;CZE;Q213;Chéquia;Q40;Áustria;
AUT;DEU;Q183;Alemanha;Q40;Áustria;
AUT;HUN;Q28;Hungria;Q40;Áustria;
AUT;ITA;Q38;Itália;Q40;Áustria;
AUT;LIE;Q347;Liechtenstein;Q40;Áustria;
AUT;SVK;Q214;Eslováquia;Q40;Áustria;
AUT;SVN;Q215;Eslovénia;Q40;Áustria;
AZE;ARM;Q399;Arménia;Q227;Azerbaijão;
AZE;GEO;Q230;Geórgia;Q227;Azerbaijão;
AZE;IRN;Q794;Irão;Q227;Azerbaijão;
AZE;RUS;Q159;Rússia;Q227;Azerbaijão;
AZE;TUR;Q43;Turquia;Q227;Azerbaijão;
BDI;COD;Q974;República Democrática do Congo;Q967;Burundi;
BDI;RWA;Q1037;Ruanda;Q967;Burundi;
BDI;TZA;Q924;Tanzânia;Q967;Burundi;
BEL;DEU;Q183;Alemanha;Q31;Bélgica;
BEL;FRA;Q142;França;Q31;Bélgica;
BEL;LUX;Q32;Luxemburgo;Q31;Bélgica;
BEL;NLD;Q29999;Reino dos Países Baixos;Q31;Bélgica;
BEN;BFA;Q965;Burquina Fasso;Q962;Benim;
BEN;NER;Q1032;Níger;Q962;Benim;
BEN;NGA;Q1033;Nigéria;Q962;Benim;
BEN;TGO;Q945;Togo;Q962;Benim;
BFA;BEN;Q962;Benim;Q965;Burquina Fasso;
BFA;CIV;Q1008;Costa do Marfim;Q965;Burquina Fasso;
BFA;GHA;Q117;Gana;Q965;Burquina Fasso;
BFA;MLI;Q912;Mali;Q965;Burquina Fasso;
BFA;NER;Q1032;Níger;Q965;Burquina Fasso;
BFA;TGO;Q945;Togo;Q965;Burquina Fasso;
BGD;IND;Q668;Índia;Q902;Bangladesh;
BGD;MMR;Q836;Myanmar;Q902;Bangladesh;
BGR;GRC;Q41;Grécia;Q219;Bulgária;
BGR;MKD;Q221;Macedónia do Norte;Q219;Bulgária;
BGR;ROU;Q218;Roménia;Q219;Bulgária;
BGR;SRB;Q403;Sérvia;Q219;Bulgária;
BGR;TUR;Q43;Turquia;Q219;Bulgária;
BHR;IRN;Q794;Irão;Q398;Bahrein;
BHR;SAU;Q851;Arábia Saudita;Q398;Bahrein;
BHS;GBR;Q145;Reino Unido;Q778;Bahamas;
BHS;USA;Q30;Estados Unidos;Q778;Bahamas;
BIH;HRV;Q224;Croácia;Q225;Bósnia e Herzegovina;
BIH;MNE;Q236;Montenegro;Q225;Bósnia e Herzegovina;
BIH;SRB;Q403;Sérvia;Q225;Bósnia e Herzegovina;
BLR;LTU;Q37;Lituânia;Q184;Bielorrússia;
BLR;LVA;Q211;Letónia;Q184;Bielorrússia;
BLR;POL;Q36;Polónia;Q184;Bielorrússia;
BLR;RUS;Q159;Rússia;Q184;Bielorrússia;
BLR;UKR;Q212;Ucrânia;Q184;Bielorrússia;
BLZ;GTM;Q774;Guatemala;Q242;Belize;
BLZ;MEX;Q96;México;Q242;Belize;
BOL;ARG;Q414;Argentina;Q750;Bolívia;
BOL;BRA;Q155;Brasil;Q750;Bolívia;
BOL;CHL;Q298;Chile;Q750;Bolívia;
BOL;PER;Q419;Peru;Q750;Bolívia;
BOL;PRY;Q733;Paraguai;Q750;Bolívia;
BRA;ARG;Q414;Argentina;Q155;Brasil;
BRA;BOL;Q750;Bolívia;Q155;Brasil;
BRA;COL;Q739;Colômbia;Q155;Brasil;
BRA;FRA;Q142;França;Q155;Brasil;
BRA;GUY;Q734;Guiana;Q155;Brasil;
BRA;PER;Q419;Peru;Q155;Brasil;
BRA;PRY;Q733;Paraguai;Q155;Brasil;
BRA;SUR;Q730;Suriname;Q155;Brasil;
BRA;URY;Q77;Uruguai;Q155;Brasil;
BRA;VEN;Q717;Venezuela;Q155;Brasil;
BRN;MYS;Q833;Malásia;Q921;Brunei;
BTN;CHN;Q148;China;Q917;Butão;
BTN;IND;Q668;Índia;Q917;Butão;
BWA;NAM;Q1030;Namíbia;Q963;Botsuana;
BWA;ZAF;Q258;África do Sul;Q963;Botsuana;
BWA;ZMB;Q953;Zâmbia;Q963;Botsuana;
BWA;ZWE;Q954;Zimbábue;Q963;Botsuana;
CAF;CMR;Q1009;Camarões;Q929;República Centro-Africana;
CAF;COD;Q974;República Democrática do Congo;Q929;República Centro-Africana;
CAF;COG;Q971;República do Congo;Q929;República Centro-Africana;
CAF;SDN;Q1049;Sudão;Q929;República Centro-Africana;
CAF;SSD;Q958;Sudão do Sul;Q929;República Centro-Africana;
CAF;TCD;Q657;Chade;Q929;República Centro-Africana;
