iso3,country,city,city_qid,admin,is_capital,population,year,lat,lon
ABW,Aruba,Bringamosa,Q2472066,,0,46005,,12.49138889,-69.96222222
ABW,Aruba,Oranjestad,Q131243,,1,35335,,12.518611111111,-70.035833333333
ABW,Aruba,Tanki Lender,Q7683552,,0,21495,,12.54184,-70.021996
ABW,Aruba,Alto Vista,Q113456951,,0,4819,,12.567305555556,-70.022388888889
AFG,Afeganistão,Cabul,Q5838,,1,4273156,,34.532777777778,69.165833333333
AFG,Afeganistão,Kandahar,Q45604,,0,614254,,31.62068,65.71588
AFG,Afeganistão,Herat,Q45313,,0,556205,,34.341944,62.203056
AFG,Afeganistão,Mazar-e Sharif,Q130469,,0,469247,,36.7,67.116666666667
AFG,Afeganistão,Konduz,Q108155,,0,356536,,36.728888888889,68.856944444444
AFG,Afeganistão,Jalalabad,Q183303,,0,263312,,34.430277777778,70.452777777778
AFG,Afeganistão,Taloqan,Q477238,,0,258758,,36.735833333333,69.534722222222
AFG,Afeganistão,Lashkar Gah,Q476800,,0,201546,,31.593819444444,64.371611111111
AFG,Afeganistão,Sheberghan,Q838954,,0,175599,,36.665,65.752
AFG,Afeganistão,Charikar,Q944395,,0,171200,,35.016666666667,69.166666666667
AFG,Afeganistão,Khost,Q386682,,0,160214,,33.333333333333,69.916666666667
AFG,Afeganistão,Gázni,Q173731,,0,143379,,33.549166666667,68.423333333333
AFG,Afeganistão,Paghman,Q2502256,,0,120000,,34.583333333333,68.95
AFG,Afeganistão,Pol-e Khomri,Q477148,,0,113500,,35.95,68.7
AFG,Afeganistão,Aqcha,Q2246526,,0,110652,,36.921352,66.192627
AFG,Afeganistão,Bamiyan,Q214495,,0,100000,,34.816666666667,67.816666666667
AFG,Afeganistão,Meymaneh,Q309345,,0,96000,,35.933333333333,64.75
AFG,Afeganistão,Baghlan,Q732879,,0,83490,,36.132777777778,68.7
AFG,Afeganistão,Bactro,Q182159,,0,77000,,36.758055555556,66.898888888889
AFG,Afeganistão,Tarin Kowt,Q989293,,0,70000,,32.624167,65.876667
AGO,Angola,Região Metropolitana de Luanda,Q14216970,,0,4500000,,-8.83833,13.23444
AGO,Angola,Luanda,Q3897,,1,2584000,,-8.8383333333333,13.234444444444
AGO,Angola,Cacuaco,Q1005770,,0,1279488,,-8.7833333333333,13.366666666667
AGO,Angola,Lubango,Q122044,,0,903564,,-14.916666666667,13.5
AGO,Angola,Huambo,Q207322,,0,844000,,-12.766666666667,15.733333333333
AGO,Angola,Cabinda,Q459360,,0,739182,,-5.566667,12.2
AGO,Angola,Malanje,Q621001,,0,604215,,-9.54015,16.34096
AGO,Angola,Sambizanga,Q1021218,,0,600000,,-8.8125,13.26222222
AGO,Angola,Uíge,Q911191,,0,599000,,-7.60874,15.06131
AGO,Angola,Benguela,Q214248,,0,561775,,-12.55,13.416666666667
AGO,Angola,Benguela,Q3638179,,0,512886,,-12.58,13.40777778
AGO,Angola,Cuíto,Q843980,,0,512706,,-12.383333333333,16.933333333333
AGO,Angola,Belas,Q727233,,0,500000,,-9.0583333333333,13.153888888889
AGO,Angola,Talatona,Q60999936,,0,500000,,-8.9166666666667,13.183333333333
AGO,Angola,Lobito,Q223914,,0,436467,,-12.35,13.546388888889
AGO,Angola,Saurimo,Q635017,,0,393000,,-9.6589,20.3934
AGO,Angola,Menongue,Q818731,,0,372500,,-14.6556,17.6842
