# location=Lisboa lat=38.72 lon=-9.14 baseline=1991-2020
time,tas (°C),ΔT (°C),model,scenario,year
1950-07-01,14.121587,-1.7353392,EC-Earth3,historical,1950
1951-07-01,14.703743,-1.153183,EC-Earth3,historical,1951
1952-07-01,14.565887,-1.2910385,EC-Earth3,historical,1952
1953-07-01,14.919866,-0.93706036,EC-Earth3,historical,1953
1954-07-01,14.66071,-1.1962156,EC-Earth3,historical,1954
1955-07-01,14.139915,-1.7170105,EC-Earth3,historical,1955
1956-07-01,13.701129,-2.155797,EC-Earth3,historical,1956
1957-07-01,14.723376,-1.1335497,EC-Earth3,historical,1957
1958-07-01,15.170072,-0.68685436,EC-Earth3,historical,1958
1959-07-01,15.257016,-0.5999098,EC-Earth3,historical,1959
1960-07-01,14.33149,-1.5254364,EC-Earth3,historical,1960
1961-07-01,15.126259,-0.7306671,EC-Earth3,historical,1961
1962-07-01,14.259875,-1.5970507,EC-Earth3,historical,1962
1963-07-01,13.418808,-2.438118,EC-Earth3,historical,1963
1964-07-01,14.238864,-1.618062,EC-Earth3,historical,1964
1965-07-01,13.913722,-1.9432039,EC-Earth3,historical,1965
1966-07-01,14.045232,-1.8116941,EC-Earth3,historical,1966
1967-07-01,14.205365,-1.6515608,EC-Earth3,historical,1967
1968-07-01,15.484736,-0.37218952,EC-Earth3,historical,1968
1969-07-01,14.047742,-1.8091841,EC-Earth3,historical,1969
1970-07-01,13.986771,-1.8701553,EC-Earth3,historical,1970
1971-07-01,14.779953,-1.076973,EC-Earth3,historical,1971
1972-07-01,14.516559,-1.3403673,EC-Earth3,historical,1972
1973-07-01,13.620868,-2.2360582,EC-Earth3,historical,1973
1974-07-01,13.909902,-1.9470243,EC-Earth3,historical,1974
1975-07-01,14.930736,-0.9261904,EC-Earth3,historical,1975
1976-07-01,14.876927,-0.9799986,EC-Earth3,historical,1976
1977-07-01,15.004417,-0.85250854,EC-Earth3,historical,1977
1978-07-01,15.040042,-0.81688404,EC-Earth3,historical,1978
1979-07-01,14.365852,-1.4910736,EC-Earth3,historical,1979
1980-07-01,14.037953,-1.8189726,EC-Earth3,historical,1980
1981-07-01,14.673451,-1.1834745,EC-Earth3,historical,1981
1982-07-01,15.463162,-0.39376354,EC-Earth3,historical,1982
1983-07-01,13.724902,-2.1320238,EC-Earth3,historical,1983
1984-07-01,14.929233,-0.92769337,EC-Earth3,historical,1984
1985-07-01,14.483539,-1.3733873,EC-Earth3,historical,1985
1986-07-01,14.535275,-1.3216505,EC-Earth3,historical,1986
1987-07-01,14.566319,-1.2906065,EC-Earth3,historical,1987
1988-07-01,13.893646,-1.9632797,EC-Earth3,historical,1988
1989-07-01,13.993378,-1.8635483,EC-Earth3,historical,1989
1990-07-01,14.48351,-1.373416,EC-Earth3,historical,1990
1991-07-01,14.534413,-1.3225126,EC-Earth3,historical,1991
1992-07-01,15.618434,-0.23849201,EC-Earth3,historical,1992
1993-07-01,15.928647,0.07172108,EC-Earth3,historical,1993
1994-07-01,15.117088,-0.73983765,EC-Earth3,historical,1994
1995-07-01,14.230331,-1.6265945,EC-Earth3,historical,1995
1996-07-01,15.114357,-0.74256897,EC-Earth3,historical,1996
1997-07-01,16.052763,0.19583702,EC-Earth3,historical,1997
1998-07-01,15.242803,-0.61412334,EC-Earth3,historical,1998
1999-07-01,15.759514,-0.09741211,EC-Earth3,historical,1999
2000-07-01,15.317264,-0.53966236,EC-Earth3,historical,2000
2001-07-01,16.408615,0.55168915,EC-Earth3,historical,2001
2002-07-01,16.440722,0.58379555,EC-Earth3,historical,2002
2003-07-01,16.779045,0.92211914,EC-Earth3,historical,2003
2004-07-01,15.786876,-0.07005024,EC-Earth3,historical,2004
2005-07-01,16.279587,0.42266083,EC-Earth3,historical,2005
2006-07-01,16.179642,0.32271576,EC-Earth3,historical,2006
2007-07-01,15.688327,-0.16859913,EC-Earth3,historical,2007
2008-07-01,15.875656,0.018730164,EC-Earth3,historical,2008
2009-07-01,16.874138,1.0172119,EC-Earth3,historical,2009
2010-07-01,16.300797,0.44387054,EC-Earth3,historical,2010
2011-07-01,16.67736,0.8204346,EC-Earth3,historical,2011
2012-07-01,16.316374,0.45944786,EC-Earth3,historical,2012
2013-07-01,16.339645,0.48271942,EC-Earth3,historical,2013
2014-07-01,15.703842,-0.1530838,EC-Earth3,historical,2014
2015-07-01,16.85877,-0.22648811,EC-Earth3,ssp126,2015
2016-07-01,16.410164,-0.6750946,EC-Earth3,ssp126,2016
