# location=Porto lat=41.15 lon=-8.61 baseline=1991-2020
decada,historical,ssp126,ssp245,ssp370,ssp585
1950,-0.7533652647336324,,,,
1960,-0.7077727508544922,,,,
1970,-0.6135742664337158,,,,
1980,-0.3912150287628174,,,,
1990,-0.3555630683898926,,,,
2000,0.19749000549316406,,,,
2010,0.31718257745107015,-0.0370282506942749,-0.08610606908798217,-0.039013048013051346,-0.00305896759033203
2020,,-0.01791005134582519,0.059713802337646484,-0.21715609550476075,0.08075593948364258
2030,,0.2619115591049194,0.2245736503601074,0.3456196689605713,0.450953000386556
2040,,0.644892988204956,0.4881265878677368,0.7749083423614502,0.8333367665608724
2050,,0.7692451095581054,0.9464039182662963,1.3883332681655882,1.3780980936686198
2060,,0.9771610498428345,1.2657595348358153,1.6789206886291503,1.928057600657145
2070,,1.064418444633484,1.4143366527557373,2.058470273017883,2.5364551099141437
2080,,1.0676053524017335,1.859523186683655,2.4149875164031984,3.2505401357014976
2090,,0.9737802827358246,1.902324011325836,3.1090276718139647,4.124958200454712
2100,,0.8357526461283366,1.9864649772644043,3.3099165757497153,4.193352593315972
