# location=Paris lat=48.86 lon=2.35 baseline=1991-2020
decada,historical,ssp126,ssp245,ssp370,ssp585
1950,-0.7867494807640711,,,,
1960,-0.8859039115905762,,,,
1970,-0.7477404403686523,,,,
1980,-0.47419217109680173,,,,
1990,-0.46708103179931637,,,,
2000,0.20948378086090086,,,,
2010,0.49964555342992145,-0.06951630194981892,-0.09662204980850221,-0.02201320330301921,-0.0030511728922526034
2020,,-0.15893635272979736,0.23402366161346438,-0.09500240325927735,0.4823516464233399
2030,,-0.021739454269409177,0.3090773344039917,0.3847058725357056,1.0041526794433593
2040,,0.5590920352935791,0.8918540573120117,0.7854349040985108,1.3553883171081542
2050,,0.6855549669265747,1.1930186080932619,1.4206924057006836,2.063814156850179
2060,,0.9569466304779052,1.458802514076233,1.9040295839309693,2.7345795313517254
2070,,0.8205990028381347,1.7730971097946167,2.3592353534698485,3.224056224822998
2080,,0.7881805276870727,2.1965349197387694,2.913560481071472,4.318842245737712
2090,,0.7233608829975128,2.2800078523159026,3.5597619354724883,4.974178644816081
2100,,0.677994966506958,2.393383264541626,3.6290906270345054,5.155338605244954
