iso3_colonizer;colony_iso3;colony_qid;start_year;end_year;source
AGO;AGO;Q916;1655;;A
ALB;ALB;Q222;1944;1992;A
ARG;ARG;Q414;1810;1831;B
ARG;URY;Q77;1810;1831;B
ARM;CHN;Q148;1929;1991;A
ARM;RUS;Q159;;1991;A
ARM;BLR;Q184;;1991;A
ARM;EST;Q191;1772;1991;B
ARM;LVA;Q211;1772;1991;B
ARM;UKR;Q212;;1991;A
ARM;MDA;Q217;1917;1991;A
ARM;ROU;Q218;1919;1991;A
ARM;AZE;Q227;1917;1991;A
ARM;GEO;Q230;1917;1991;A
ARM;KAZ;Q232;1917;1991;A
ARM;UZB;Q265;1917;1991;A
ARM;FIN;Q33;1809;1917;A
ARM;POL;Q36;;1991;A
ARM;LTU;Q37;1917;1991;A
ARM;ARM;Q399;1917;1991;A
ARM;TUR;Q43;1918;1920;B
ARM;KGZ;Q813;1917;1991;A
ARM;;Q863;1917;1991;A
ARM;TKM;Q874;1917;1991;A
ARM;;Q907112;1940;1991;A
AUS;GBR;Q145;1707;1927;A
AUS;CAN;Q16;1811;1870;B
AUS;USA;Q30;1774;1776;B
AUS;AUS;Q408;1859;;B
AUS;PNG;Q691;1949;1975;B
AUS;GUY;Q734;1814;1966;B
AUS;ISR;Q801;1918;1920;A
AUS;JOR;Q810;1918;1920;A
AUS;LBN;Q822;1918;1920;A
AUS;MDV;Q826;1153;1968;B
AUS;SYR;Q858;1918;1920;A
AUT;ROU;Q218;1867;1918;A
AUT;HRV;Q224;1802;1918;A
AUT;ITA;Q38;1802;1918;A
AUT;AUT;Q40;;;A
AZE;CHN;Q148;1929;1991;A
AZE;RUS;Q159;;1991;A
AZE;BLR;Q184;;1991;A
AZE;EST;Q191;1772;1991;B
AZE;LVA;Q211;1772;1991;B
AZE;UKR;Q212;;1991;A
AZE;MDA;Q217;1917;1991;A
AZE;ROU;Q218;1919;1991;A
AZE;AZE;Q227;1917;1991;A
AZE;GEO;Q230;1917;1991;A
AZE;KAZ;Q232;1917;1991;A
AZE;UZB;Q265;1917;1991;A
AZE;FIN;Q33;1809;1917;A
AZE;POL;Q36;;1991;A
AZE;LTU;Q37;1917;1991;A
AZE;ARM;Q399;1917;1991;A
AZE;KGZ;Q813;1917;1991;A
AZE;;Q863;1917;1991;A
AZE;TKM;Q874;1917;1991;A
AZE;;Q907112;1940;1991;A
BEL;MAR;Q1028;1924;1956;B
BEL;FRA;Q142;1794;1795;B
BEL;BEL;Q31;;;A
BEN;GIN;Q1006;1878;1898;A
BEN;CIV;Q1008;1878;1898;A
BEN;SLE;Q1044;1878;1898;A
BEN;MLI;Q912;1878;1898;A
BFA;GIN;Q1006;1878;1898;A
BFA;CIV;Q1008;1878;1898;A
BFA;SLE;Q1044;1878;1898;A
BFA;MLI;Q912;1878;1898;A
BFA;BFA;Q965;1958;1984;B
BGR;BGR;Q219;1946;1990;A
BIH;BIH;Q225;1136;1463;A
BLR;CHN;Q148;1929;1991;A
BLR;RUS;Q159;;1991;A
BLR;BLR;Q184;;1991;A
BLR;EST;Q191;1772;1991;B
BLR;LVA;Q211;1772;1991;B
BLR;UKR;Q212;;1991;A
BLR;MDA;Q217;1917;1991;A
BLR;ROU;Q218;1919;1991;A
BLR;AZE;Q227;1917;1991;A
BLR;GEO;Q230;1917;1991;A
BLR;KAZ;Q232;1917;1991;A
BLR;UZB;Q265;1917;1991;A
BLR;FIN;Q33;1809;1917;A
BLR;POL;Q36;;1991;A
BLR;LTU;Q37;1917;1991;A
BLR;ARM;Q399;1917;1991;A
BLR;KGZ;Q813;1917;1991;A
BLR;;Q863;1917;1991;A
BLR;TKM;Q874;1917;1991;A
BLR;;Q907112;1940;1991;A
BRA;BRA;Q155;1822;1889;A
BRA;PRT;Q45;1139;1999;A
BRA;URY;Q77;1815;1828;B
CHL;CHL;Q298;;1932;A
CHN;CHN;Q148;1912;1971;A
CHN;;Q319881;1683;1895;B
CHN;MNG;Q711;1912;1971;A
CHN;TWN;Q865;1912;1971;A
CIV;GIN;Q1006;1878;1898;A
CIV;CIV;Q1008;1878;1898;A
CIV;SLE;Q1044;1878;1898;A
CIV;MLI;Q912;1878;1898;A
COL;COL;Q739;;;A
COL;PAN;Q804;1886;;B
COM;COM;Q970;1978;2001;B
CPV;GNB;Q1007;1474;1974;A
CPV;CPV;Q1011;1462;1990;A
CPV;MOZ;Q1029;1498;1975;A
CPV;STP;Q1039;1470;1975;A
CPV;BRA;Q155;1500;1815;A
CPV;TLS;Q574;1702;2002;A
CPV;URY;Q77;1815;1828;B
CPV;AGO;Q916;1655;1975;A
CYP;CYP;Q229;1100;0117;A
CZE;CZE;Q213;1918;1992;A
CZE;SVK;Q214;;1992;A
DEU;;Q1206012;1806;1918;B
DEU;DEU;Q183;;1990;B
DEU;LUX;Q32;1815;1866;B
DEU;LIE;Q347;1815;1866;B
DEU;POL;Q36;1933;1945;A
DEU;AUT;Q40;1933;1945;A
DNK;DNK;Q35;1971;2013;A
ECU;VEN;Q717;1819;1831;B
ECU;ECU;Q736;;1831;B
EGY;;Q124943;1914;1922;B
EGY;;Q127861;1517;1867;B
EGY;;Q370173;1867;1914;B
EGY;ISR;Q801;1920;1948;A
ESP;MRT;Q1025;1884;1976;B
ESP;MAR;Q1028;1884;1976;B
ESP;;Q131839713;0549;0711;B
ESP;ESP;Q29;1402;1976;B
ESP;CHL;Q298;;;A
ESP;BEL;Q31;1581;1714;A
ESP;NLD;Q55;1581;1714;A
ESP;PHL;Q928;1898;1898;A
ESP;GNQ;Q983;1926;1968;B
EST;CHN;Q148;1929;1991;A
EST;RUS;Q159;;1991;A
EST;BLR;Q184;;1991;A
EST;EST;Q191;1772;1991;B
EST;LVA;Q211;1772;1991;B
EST;UKR;Q212;;1991;A
EST;MDA;Q217;1917;1991;A
EST;ROU;Q218;1919;1991;A
EST;AZE;Q227;1917;1991;A
EST;GEO;Q230;1917;1991;A
EST;KAZ;Q232;1917;1991;A
EST;UZB;Q265;1917;1991;A
EST;FIN;Q33;1809;1917;A
EST;POL;Q36;;1991;A
EST;LTU;Q37;1917;1991;A
EST;ARM;Q399;1917;1991;A
EST;KGZ;Q813;1917;1991;A
EST;;Q863;1917;1991;A
EST;TKM;Q874;1917;1991;A
EST;;Q907112;1940;1991;A
ETH;ETH;Q115;1974;1987;A
ETH;ERI;Q986;1962;1993;B
FIN;RUS;Q159;1939;1940;A
FJI;FJI;Q712;1874;1970;B
FRA;GIN;Q1006;1894;1958;B
FRA;CIV;Q1008;1895;1958;B
FRA;MDG;Q1019;1897;1958;B
FRA;MRT;Q1025;1895;1958;B
FRA;MAR;Q1028;1912;1956;B
FRA;NER;Q1032;1895;1958;B
FRA;NGA;Q1033;1895;1958;B
FRA;SEN;Q1041;1895;1958;B
FRA;FRA;Q142;;1871;B
FRA;MCO;Q235;1793;1814;B
FRA;ITA;Q38;1801;1958;A
FRA;VUT;Q686;1907;1980;B
FRA;;Q71084;1792;1805;B
FRA;MLI;Q912;1895;1958;B
FRA;BEN;Q962;1895;1958;B
FRA;BFA;Q965;1895;1958;B
FRO;FRO;Q4628;;2001;A
GBR;MAR;Q1028;1924;1956;B
GBR;GHA;Q117;1821;1957;B
GBR;GBR;Q145;1707;1927;A
GBR;CAN;Q16;1811;1870;B
GBR;USA;Q30;1774;1776;B
GBR;VUT;Q686;1907;1980;B
GBR;GUY;Q734;1814;1966;B
GBR;ISR;Q801;1918;1920;A
GBR;JOR;Q810;1918;1920;A
GBR;LBN;Q822;1918;1920;A
GBR;MDV;Q826;1153;1968;B
GBR;MYS;Q833;1946;1963;B
GBR;SYR;Q858;1918;1920;A
GBR;ARE;Q878;1820;1971;B
GIN;GIN;Q1006;1878;1898;A
GIN;CIV;Q1008;1878;1898;A
GIN;SLE;Q1044;1878;1898;A
GIN;MLI;Q912;1878;1898;A
GMB;GMB;Q1005;1965;1970;B
GRC;GRC;Q41;;1949;A
GRL;GRL;Q223;1953;1979;B
GUY;VEN;Q717;1842;;A
GUY;GUY;Q734;1842;;A
HRV;;Q1246;;1992;A
HRV;SVN;Q215;;1992;B
HRV;MKD;Q221;;1992;B
HRV;HRV;Q224;;1992;A
HRV;BIH;Q225;;1992;A
HRV;MNE;Q236;;1992;A
HRV;ITA;Q38;1802;1918;A
HRV;SRB;Q403;;2006;B
HUN;HUN;Q28;1949;1989;A
IDN;IDN;Q252;;1950;A
IDN;TLS;Q574;1975;1999;B
IND;IND;Q668;;http;B
IRL;GBR;Q145;1707;1927;A
IRL;CAN;Q16;1811;1870;B
IRL;USA;Q30;1774;1776;B
IRL;GUY;Q734;1814;1966;B
IRL;ISR;Q801;1918;1920;A
IRL;JOR;Q810;1918;1920;A
IRL;LBN;Q822;1918;1920;A
IRL;MDV;Q826;1153;1968;B
IRL;SYR;Q858;1918;1920;A
IRN;IRN;Q794;1925;1979;B
IRQ;IRQ;Q796;0120;0637;A
IRQ;KWT;Q817;1990;1991;B
ISR;ISR;Q801;1920;1948;A
ITA;MAR;Q1028;1924;1956;B
ITA;;Q153136;;1797;B
ITA;VAT;Q237;0754;1870;B
ITA;ITA;Q38;1569;1860;A
JOR;ISR;Q801;1920;1948;A
JPN;RUS;Q159;1915;1949;A
JPN;JPN;Q17;0600;1947;A
JPN;PRK;Q423;1910;1945;B
JPN;PLW;Q695;1919;1947;A
JPN;FSM;Q702;1919;1947;A
JPN;MHL;Q709;1919;1947;A
JPN;TWN;Q865;1895;1945;B
JPN;KOR;Q884;1910;1945;B
KAZ;CHN;Q148;1929;1991;A
KAZ;RUS;Q159;;1991;A
KAZ;BLR;Q184;;1991;A
KAZ;EST;Q191;1772;1991;B
KAZ;LVA;Q211;1772;1991;B
KAZ;UKR;Q212;;1991;A
KAZ;MDA;Q217;1917;1991;A
KAZ;ROU;Q218;1919;1991;A
KAZ;AZE;Q227;1917;1991;A
KAZ;GEO;Q230;1917;1991;A
KAZ;KAZ;Q232;1917;1991;A
KAZ;UZB;Q265;1917;1991;A
KAZ;FIN;Q33;1809;1917;A
KAZ;POL;Q36;;1991;A
KAZ;LTU;Q37;1917;1991;A
KAZ;ARM;Q399;1917;1991;A
KAZ;KGZ;Q813;1917;1991;A
KAZ;;Q863;1917;1991;A
KAZ;TKM;Q874;1917;1991;A
KAZ;;Q907112;1940;1991;A
KGZ;CHN;Q148;1929;1991;A
KGZ;RUS;Q159;;1991;A
KGZ;BLR;Q184;;1991;A
KGZ;EST;Q191;1772;1991;B
KGZ;LVA;Q211;1772;1991;B
KGZ;UKR;Q212;;1991;A
KGZ;MDA;Q217;1917;1991;A
KGZ;ROU;Q218;1919;1991;A
KGZ;AZE;Q227;1917;1991;A
KGZ;GEO;Q230;1917;1991;A
KGZ;KAZ;Q232;1917;1991;A
KGZ;UZB;Q265;1917;1991;A
KGZ;FIN;Q33;1809;1917;A
KGZ;POL;Q36;;1991;A
KGZ;LTU;Q37;1917;1991;A
KGZ;ARM;Q399;1917;1991;A
KGZ;KGZ;Q813;1917;1991;A
KGZ;;Q863;1917;1991;A
KGZ;TKM;Q874;1917;1991;A
KGZ;;Q907112;1940;1991;A
KHM;KHM;Q424;1976;1998;A
KOR;PRK;Q423;1392;1897;A
KOR;KOR;Q884;1392;1897;A
KWT;KWT;Q817;1990;1990;A
LTU;CHN;Q148;1929;1991;A
LTU;RUS;Q159;;1991;A
LTU;BLR;Q184;;1991;A
LTU;EST;Q191;1772;1991;B
LTU;LVA;Q211;1772;1991;B
LTU;UKR;Q212;;1991;A
LTU;MDA;Q217;1917;1991;A
LTU;ROU;Q218;1919;1991;A
LTU;AZE;Q227;1917;1991;A
LTU;GEO;Q230;1917;1991;A
LTU;KAZ;Q232;1917;1991;A
LTU;UZB;Q265;1917;1991;A
LTU;FIN;Q33;1809;1917;A
LTU;POL;Q36;;1991;A
LTU;LTU;Q37;1917;1991;A
LTU;ARM;Q399;1917;1991;A
LTU;KGZ;Q813;1917;1991;A
LTU;;Q863;1917;1991;A
LTU;TKM;Q874;1917;1991;A
LTU;;Q907112;1940;1991;A
LVA;EST;Q191;1918;1918;B
LVA;LVA;Q211;1918;1918;B
MAR;MAR;Q1028;0800;1956;A
MAR;;Q160307;0788;0974;B
MDA;CHN;Q148;1929;1991;A
MDA;RUS;Q159;;1991;A
MDA;BLR;Q184;;1991;A
MDA;EST;Q191;1772;1991;B
MDA;LVA;Q211;1772;1991;B
MDA;UKR;Q212;;1991;A
MDA;MDA;Q217;1917;1991;A
MDA;ROU;Q218;1919;1991;A
MDA;AZE;Q227;1917;1991;A
MDA;GEO;Q230;1917;1991;A
MDA;KAZ;Q232;1917;1991;A
MDA;UZB;Q265;1917;1991;A
MDA;FIN;Q33;1809;1917;A
MDA;POL;Q36;;1991;A
MDA;LTU;Q37;1917;1991;A
MDA;ARM;Q399;1917;1991;A
MDA;KGZ;Q813;1917;1991;A
MDA;;Q863;1917;1991;A
MDA;TKM;Q874;1917;1991;A
MDA;;Q907112;1940;1991;A
MDV;MDV;Q826;1959;1963;B
