iso3;role;other_qid;other_label;from_year;to_year;detail_item_qid;detail_item_label
AGO;as_colony;Q200464;Império Português;;;Q2826232;Província Ultramarina de Angola
ARG;as_colonizer;;;;;Q6071194;Ushuaia Prison
AUS;as_colonizer;;;;;Q2000451;Norte da Austrália
AUS;as_colonizer;;;;;Q1144760;Darlington Probation Station
AUS;as_colonizer;;;;;Q1756121;Macquarie Harbour Penal Station
AUS;as_colonizer;;;;;Q2357584;Rose Hill penal colony
AUT;as_colonizer;;;;;Q10940053;Austro-Hungarian concession of Tianjin
AUT;as_colonizer;;;;;Q201001;Flavia Solva
AUT;as_colonizer;;;;;Q10940053;Austro-Hungarian concession of Tianjin
BEL;as_colonizer;;;;;Q2935972;Q2935972
BGD;as_colonizer;;;;;Q56760260;Postal Officers Colony
BGR;as_colonizer;;;;;Q9174006;Bizone
