conflict_qid;conflict_label;checked_via
Q49100;Guerra do Yom Kipur;both
Q47985;Guerra rus'-bizantina de 1043;both
Q31944;Guerra Mahdista;both
Q34103;Second Syrian War;both
Q33745;Guerra do Peloponeso;both
Q49077;Guerra dos Seis Dias;both
Q33143;Guerra dos Sete Anos;both
Q37643;Guerra do Golfo;both
Q48883;Guerra Goguryeo-Sui;both
Q75626;Primeira Guerra Macedônica;both
Q75665;Segunda Guerra Macedónica;both
Q60489;Albanian–Venetian War;both
Q74109;Segunda Guerra Mundial na Albânia;both
Q54434;Guerra da Orelha de Jenkins;both
Q74623;Grande Guerra Turca;both
Q74302;Polish–Ottoman War of 1633–34;both
Q58947;Guerra do Paraguai;both
Q74298;Polish–Ottoman War of 1672–1676;both
Q49103;Guerra do Líbano de 1982;both
Q49101;Guerra do Suez;both
Q3571687;Grito de Ascencio;both
Q1195058;Massacre de Xangai de 1927;both
Q152218;Guerra dos Nove Anos;both
Q83085;Invasão soviética do Afeganistão;both
Q151616;Grande Guerra do Norte;both
Q123070;Guerra Russo-Turca;both
Q122100;Guerra da Continuação;both
Q80330;Guerra civil inglesa;both
Q76118;Terceira Guerra Macedónica;both
Q82664;Guerra Irã-Iraque;both
Q94916;Segunda Guerra Ítalo-Etíope;both
Q174904;Spartan–Persian War;both
Q172068;Segunda Guerra Mundial na Macedônia Iugoslava;both
Q154697;Guerra Franco-Indígena;both
Q166001;Guerra da Escânia;both
Q177109;Guerra Eslováquia-Hungria;both
Q170682;Operação Chumbo Fundido;both
Q168442;Guerra Anglo-Espanhola de 1625–1630;both
Q163476;Ottoman–Safavid War;both
Q159950;Guerra Russo-Japonesa;both
Q178687;Primeira Guerra Sino-Japonesa;both
Q170314;Segunda Guerra Sino-Japonesa;both
Q168556;Guerra de Esmalcalda;both
Q177918;Primeira Guerra Balcânica;both
Q190029;Guerra do Kosovo;both
Q184637;Guerra dos Dez Anos;both
Q184183;Segunda Guerra Balcânica;both
Q179250;Campanha da Rússia;both
Q186336;Dutch Revolt;both
Q185729;Guerra ao Terror;both
Q186284;Guerra Polaco-Soviética;both
Q194951;Battle of Haram;both
Q211219;Battle of Chinsurah;both
Q211220;Battle of Chandannagar;both
Q221967;Ofensiva Brusilov;both
Q205887;Batalha de Carras;both
Q200682;Batalha de Queenston Heights;both
Q203233;Batalha de Plassey;both
Q1164169;Burmese–Siamese War of 1547–1549;both
Q1153331;Guerra otomano-veneziana (1499–1503);both
Q1073446;Guerras Sueco-Novgorodenses;both
Q1143379;Guerra na Ossétia do Sul em 1991-1992;both
Q1139887;Guerra Russo-Persa;both
Q1136575;Guerra Vândala;both
Q1074467;War of Chioggia;both
Q1186260;Guerra Creek;both
Q1116646;Guerra Anglo-Sueca;both
Q1156798;Dachstein War;both
Q1140492;Smolensk War;both
Q1202331;Germany Unification War;both
Q1122337;Second Persian invasion of Greece;both
Q1163209;Hungarian–Ottoman War;both
Q1192398;Guerras dos Mosquetes;both
Q1076902;Guerra cremonidiana;both
Q1112854;Ming–Hồ War;both
Q1208479;Conflito georgiano-osseta de 1918-1920;both
Q1209169;Guerra na Abecásia;both
Q1154983;First Ottoman–Venetian War;both
Q1207617;Pequot War;both
Q233559;Segunda Guerra dos Cem Anos;both
Q221941;Guerra da Quádrupla Aliança;both
Q233553;Segunda Guerra Sacra;both
Q228911;Guerra Anglo-Zulu;both
Q207318;Guerras Revolucionárias Francesas;both
Q233507;Segunda Guerra Anglo-Afegã;both
Q233601;Second Carnatic War;both
Q233500;Segunda Guerra Anglo-Birmanesa;both
Q233538;Second Danish-Hanseatic War;both
Q233642;Segunda Guerra Anglo-Marata;both
Q223604;Guerra Greco-Italiana;both
Q223085;Guerra do Futebol;both
Q233663;Segunda Guerra Anglo-Mysore;both
Q215112;Segunda Guerra dos Bôeres;both
Q233649;Segunda Guerra Margrave;both
Q208261;Revolta Jónica;both
Q220602;Guerra Soviético-Japonesa;both
Q214456;Guerra Filipino-Americana;both
Q233583;Guerra Indo-Paquistanesa de 1965;both
Q1305130;Guerra de São Sabas;both
Q1366196;Guerra Gótica;both
Q1362209;Primeira Guerra Anglo-Maratha;both
Q1348630;Guerras Ridda;both
Q1362205;First Olynthian War;both
Q1382989;Rogue River Wars;both
Q1262084;Guerra Civil do Djibouti;both
Q1377132;Kieft's War;both
Q1362162;First Carnatic War;both
Q1367731;Saudi–Yemeni War;both
Q1249250;First Sacred War;both
Q1361929;confronto Indonésia-Malásia;both
Q1361354;Guerra dos Nove Anos;both
Q1269777;Guerra Dano-Sueca de 1808–1809;both
Q1337911;Siamese-Cambodian War of 1622;both
Q1259237;Terceira Guerra Anglo-Afegã;both
Q1369423;Guerra de Toledo;both
Q1230787;Primeira Guerra Celtibera;both
Q1373706;Ayutthayan–Cambodian War;both
Q1271059;Guerra de Shifta;both
Q1349425;Guerra Luso-Espanhola;both
Q1355145;Italian War of 1494–1495;both
Q1352215;Guerra Polaco-Russa de 1792;both
Q1249270;Terceira Guerra Sacra;both
Q1265114;Father Rale's War;both
Q202161;Guerras da Gália;both
Q196409;Cruzada Livónia;both
Q195378;Guerra Anglo-nepalesa;both
Q191282;Primeira Guerra do Ópio;both
Q203824;Guerra Ítalo-Turca;both
Q194378;Terceira Guerra Servil;both
Q202465;Guerra Uganda-Tanzânia;both
Q1509437;Russo-Swedish War of 1495–1497;both
Q233350;Second Battle of Chlumec;both
Q1717438;Swedish invasion of Brandenburg;both
Q1533828;Guerra romano-parta de 58–63;both
Q1634776;Guerra Russo Sueca de 1590-1595;both
Q1545405;Guerras da Nova Zelândia;both
Q1503611;Guerra Numantina;both
Q1604816;Guerra lituano-soviética;both
Q244356;Batalha de Ain Jalut;both
Q1559103;Mainz Diocesan Feud;both
Q1632880;Guerra birmano-siamesa;both
Q245746;Battle of Hamburg;both
Q1540737;Guerra Hispano-Marroquina;both
Q244980;Cerco de Belgrado;both
Q1676845;Guerra dos Bôeres;both
Q1747429;Hungarian-Czechoslovak-România War;both
Q1640107;Guerra de Ifni;both
Q1520241;Yamasee War;both
Q1669192;Fourth Sacred War;both
Q1501724;Guerra da Restauração;both
Q1616064;Guerras Mitridáticas;both
Q1791222;War of the Cow;both
Q1771899;Reichskrieg;both
Q2032554;Segunda Campanha de Melilla;both
Q1922071;Guerra Indo-Paquistanesa de 1971;both
Q2038126;Tuscarora War;both
Q1837308;Guerra rus'-bizantina de 941;both
Q1851858;Dakota War of 1862;both
Q1997806;North German Margrave War;both
Q2013633;Salt War;both
Q2045508;Guerra de Java;both
Q2073517;Guerra contra Nábis;both
Q1949299;Russo-Kazan Wars;both
Q1891008;Guerra das Areias;both
Q1790268;Guerra romano-parta de 161–166;both
Q1849379;Travancore–Dutch War;both
Q1962709;Guerra Ingriana;both
Q2001528;Nepalese-Tibetan War;both
Q1967193;Second conflict in the Goryeo–Khitan War;both
Q2040276;Great Frisian War;both
Q1805364;Franco–Lombard War of 773–774;both
Q1972316;Guerra Grã-Colômbia–Peru;both
Q1933729;Guerra Polónia-Checoslováquia;both
Q1758978;Burmese–Siamese War of 1775–76;both
Q1814745;Eelam War I;both
Q1925514;Third War of the Diadochi;both
Q1764124;Terceira Guerra Mitridática;both
Q1780850;Campanha contra a Noruega;both
Q2075775;Segunda Guerra Messênia;both
Q252298;Guerra húngaro-romena de 1919;both
Q246863;Guerra da Livónia;both
Q327237;Guerra do Quivu;both
Q324438;Campanha do Rossilhão;both
Q258679;Austro-Turkish War of 1663-1664;both
Q277392;Guerra Polaco-Otomana;both
Q325314;Guerra de Tecumseh;both
Q303801;Insurgência em Uganda;both
Q260684;Alexander's Balkan campaign;both
Q322607;Guerra de Desgaste;both
Q248984;Conquista muçulmana da Síria;both
Q249232;Terceira Coligação;both
Q327513;Guerra bizantino-genovesa de 1348–1349;both
Q233667;Second Olynthian War;both
Q288251;Guerra da Cisplatina;both
Q233702;Segunda Guerra da Silésia;both
Q318250;Guerra de Ogaden;both
Q254106;Guerra da Crimeia;both
Q15902182;Bailingmiao-Aufstand;both
Q55262726;Chamorro Wars;both
Q16422057;Jørgen Jørgensen's Revolution;both
Q17028780;Revolt of Tyre;both
Q329203;Primeira Guerra dos Bôeres;both
Q6086412;First Anglo-Powhatan War;both
Q333023;Captura Teutônica de Danzig;both
Q6094583;Ottoman-Safavid War of 1548–1549;both
Q5452603;Primeira Guerra Carib;both
Q4122600;War of the Priests;both
Q5073613;Char Bouba War;both
Q4400956;Russo-Tlingit War;both
Q5168559;Cophen Campaign;both
Q4338036;Guerra Otomano-Mameluca (1485–1491);both
Q4207759;Seleucid–Parthian Wars;both
Q5529300;Ga–Fante War;both
Q4222429;Sino–Tibetan War;both
Q4793354;Armenian–Parthian War;both
Q4349074;First Oirat–Manchu War;both
Q5557072;Ghost Dance War;both
Q4400941;Russo-Kazan War of 1487;both
Q4207617;Campanha balcânica de 1529;both
Q5403659;Guerra etíope-egípcia;both
Q4349810;First Dacian War;both
Q4166614;Muscovite–Lithuanian War of 1368-1372;both
Q4373383;Guerra Naval Portuguesa-Mameluca;both
Q4465891;Ottoman–Persian War of 1743–46;both
Q5453768;First Rohilla War;both
Q4515025;Fourth War of the Diadochi;both
Q4338038;Guerra Otomano-Mameluca;both
Q4261059;1240 Izborsk and Pskov campaign;both
Q5037035;Capture of Minorca;both
Q4300304;Moldavian campaign (1684–1691);both
Q16663506;Cypriot-Genoese War;both
Q16178616;Second Judeo–Seleucid War;both
Q13085198;First War of Konavle;both
Q11915301;Conquest of Murcia;both
Q16912790;Athenian-Macedonian War (340–338 BC);both
Q13422413;Franconian War;both
Q16009852;Third Seminole War;both
Q16362506;Lithuanian Crusade;both
Q11893060;Guerra romano-parta de 195–198;both
Q15867770;Naval War on Lake Constance;both
Q11924845;Guerras Messênias;both
Q11944992;War of the Vardanants;both
Q12628185;Bosnian–Ragusan War;both
Q12910863;Timur's invasion of India;both
Q11924841;Guerra Gótica;both
Q16126368;Guerra Iemenita de 1972;both
Q16208236;Byzantine–Sasanian War;both
Q11871384;Sino–Mongolian War;both
Q11942758;Ethiopian-Somali border conflict;both
Q16327601;Demetrius War;both
Q12010160;Värmland military campaign;both
Q12356285;Latin War;both
Q28407700;Skylab mutiny;both
Q15640057;War of the Straits;both
Q15542964;Guerra Italiana de 1542-1546;both
Q15867454;War of the Oxen;both
Q16533921;Gascon War;both
Q12279474;Aeginetan War;both
Q442268;Anglo-Hanseatic War;both
Q369291;Guerra Anglo-Espanhola (1654–1660);both
Q430572;Guerra escocesa-norueguesa;both
Q431001;Guerra Fantástica;both
Q382116;Guerra do Cáucaso;both
Q462964;Levante de Novembro;both
Q372338;Sixth Syrian War;both
Q418151;Segunda Guerra do Ópio;both
Q474891;Texas–Indian Wars;both
Q426201;Gunboat War;both
Q400465;Guerra Chiquita;both
Q455747;Guerras de Appenzell;both
Q372330;Fifth Syrian War;both
Q368594;Banjarmasin War;both
Q431177;Conquista mongol do Império Corásmio;both
Q468120;Saxon Fratricidal War;both
Q381375;Primeira Guerra de Nagorno-Karabakh;both
Q356920;War of the Golden Stool;both
Q370963;Russo-Swedish War of 1554–1557;both
Q438252;Antiga Guerra de Zurique;both
Q387020;Social War of 357-355 BCE;both
Q1418062;Fourth Syrian War;both
Q1455917;Invasão muçulmana da Península Ibérica;both
Q1495944;Guerra polaco-lituana;both
Q700874;Battle of Bileća;both
Q1450532;Guerra Franco-Turca;both
Q700880;Battle of Dubravnica;both
Q700218;Battle of Kagul;both
Q1456170;Burmese–Siamese War of 1583-1593;both
Q704921;Batalha de Tanga;both
Q1426479;Siamese-Cambodian War of 1603;both
Q701335;Batalha de Sisak;both
Q1441223;Siamese-Burmese War of 1613–1618;both
Q1420115;Guerra Russo-Persa;both
Q698045;Saque de Magdeburgo;both
Q700866;Batalha de Grocka;both
Q1456086;Guerra dos Nez-Percés;both
Q1434602;Guerra Líbia-Egito;both
Q1432300;War of Agis;both
Q707238;Batalha de Imphal;both
Q699669;Batalha das Ilhas de Santa Cruz;both
Q86669104;Tunisian-Algerian War of 1694;both
Q65052293;Parthian–Greco Bactrian War;both
Q96620627;Gothic War in Spain of 416-418;both
Q64019384;Fulbe War;both
Q67174853;First Spanish Hispaniola War;both
Q77458574;Ottoman Invasion of Persia;both
Q86681879;Genoese-Theodorite War;both
Q86671214;Tunisian-Algerian War of 1756;both
Q65159720;Поход Руси на Волжскую Булгарию;both
Q85760625;Fatimid conquest of Egypt;both
Q85993960;Second War of Konavle;both
Q55600802;Guerra de fronteira etíope-somali de 1964;both
Q86675526;Argos and Nafplio War;both
Q60745019;Dardanian-Bastarnae War;both
Q55612563;Georgian-Ayyubid Wars;both
Q56318126;Castilian-Aragonese War of 1429-1430;both
Q55633531;Souliote War;both
Q96749450;Suebi-Vandal War;both
Q86669223;Tunisian-Algerian War of 1705;both
Q86669074;Tunisian-Algerian War of 1700;both
Q56280276;Barra War;both
Q65165803;Primeira Guerra Luso-Ovimbundo;both
Q86670059;Tunisian-Algerian War of 1735;both
Q65129936;Franco-Visigothic War of 494–502;both
Q86668908;Tunisian-Algerian War of 1628;both
Q7784850;Third Fernandine War;both
Q7447941;Seleucid–Mauryan War;both
Q6932168;Mughal–Safavid War;both
Q7134668;Paraguay campaign;both
Q6744162;Mallian Campaign;both
Q6428897;Guerra Konbaung-Hanthawaddy;both
Q7382025;Russian conquest of Bukhara;both
Q108894580;1986–1987 John Deere-UAW labor dispute;both
Q7125242;Paiute War;both
Q6861027;Guerra Aqueia;both
Q16932264;South Sulawesi expedition;both
Q6414591;Harb al-fijar;both
