conflict_qid;conflict_label;participant_qid;participant_label;role_label;is_human
Q26749;Segunda Coligação;Q175881;República Romana;;no
Q26749;Segunda Coligação;Q154849;Grão-Ducado da Toscana;;no
Q26749;Segunda Coligação;Q173065;Reino de Nápoles;;no
Q26749;Segunda Coligação;Q174193;Reino Unido da Grã-Bretanha e Irlanda;;no
Q26749;Segunda Coligação;Q188553;República Batava;;no
Q26749;Segunda Coligação;Q206696;República Helvética;;no
Q26749;Segunda Coligação;Q213353;República Cisalpina;;no
Q26749;Segunda Coligação;Q3355522;Malta hospitalária;;no
Q26749;Segunda Coligação;Q514423;República Napolitana;;no
Q26749;Segunda Coligação;Q659312;República Lígure;;no
Q26749;Segunda Coligação;Q29;Espanha;;no
Q26749;Segunda Coligação;Q34266;Império Russo;;no
Q26749;Segunda Coligação;Q12548;Sacro Império Romano-Germânico;;no
Q26749;Segunda Coligação;Q12560;Império Otomano;;no
Q26749;Segunda Coligação;Q45670;Reino de Portugal;;no
Q26749;Segunda Coligação;Q58296;Primeira República Francesa;;no
Q6271;Segunda Guerra Púnica;Q102679;Numídia;;no
Q6271;Segunda Guerra Púnica;Q1288728;Masaesyli;;no
Q6271;Segunda Guerra Púnica;Q190992;Iberos;;no
Q6271;Segunda Guerra Púnica;Q3293507;Públio Cornélio Cipião;;yes
Q6271;Segunda Guerra Púnica;Q245273;Liga Etólia;;no
Q6271;Segunda Guerra Púnica;Q2429397;Civilização cartaginesa;belligerent;no
Q6271;Segunda Guerra Púnica;Q274545;Fábio Máximo;;yes
Q6271;Segunda Guerra Púnica;Q432244;Lúcio Emílio Paulo;;yes
Q6271;Segunda Guerra Púnica;Q315274;Caio Terêncio Varrão;;yes
Q6271;Segunda Guerra Púnica;Q603588;Maesulians;;no
Q6271;Segunda Guerra Púnica;Q83958;Macedónia Antiga;;no
Q6271;Segunda Guerra Púnica;Q36456;Aníbal;chefe militar;yes
Q6271;Segunda Guerra Púnica;Q2253;Cipião Africano;;yes
Q6271;Segunda Guerra Púnica;Q13670;Siracusa;;no
Q6271;Segunda Guerra Púnica;Q18986;Pérgamo;;no
Q6271;Segunda Guerra Púnica;Q17167;República Romana;belligerent;no
Q29242;Conflito georgiano-osseta;Q106974;Ossetas;;no
Q29242;Conflito georgiano-osseta;Q18973;Georgianos;;no
Q25857;Guerra de Devolução;Q766543;Monarquia Hispânica;;no
Q25857;Guerra de Devolução;Q70972;Reino da França;vencedor;no
Q8628;Guerra da Vendeia;Q877884;Legitimismo;;no
Q8628;Guerra da Vendeia;Q58296;Primeira República Francesa;;no
Q26013;Guerra anglo-americana de 1812;Q105405;cherokee;;no
Q26013;Guerra anglo-americana de 1812;Q324516;Choctaw;;no
Q26013;Guerra anglo-americana de 1812;Q174193;Reino Unido da Grã-Bretanha e Irlanda;;no
Q26013;Guerra anglo-americana de 1812;Q253436;Shawnees;;no
Q26013;Guerra anglo-americana de 1812;Q255872;Ojíbuas;;no
Q26013;Guerra anglo-americana de 1812;Q717738;Tecumseh's Confederacy;;no
Q26013;Guerra anglo-americana de 1812;Q7721124;The Canadas;;no
Q26013;Guerra anglo-americana de 1812;Q51705;Creek;;no
Q26013;Guerra anglo-americana de 1812;Q30;Estados Unidos;;no
Q12583;Guerra Hispano-Americana;Q1044536;Restauração bourbônica na Espanha;;no
Q12583;Guerra Hispano-Americana;Q14905932;República de Cuba;;no
Q12583;Guerra Hispano-Americana;Q53553879;Revolutionary Government of the Philippines;;no
Q12583;Guerra Hispano-Americana;Q30;Estados Unidos;;no
Q6286;Primeira Guerra Púnica;Q2429397;Civilização cartaginesa;;no
Q6286;Primeira Guerra Púnica;Q13415270;tyrant of Syracuse;;no
Q6286;Primeira Guerra Púnica;Q17167;República Romana;;no
Q12551;Guerra dos Cem Anos;Q179876;Reino da Inglaterra;;no
Q12551;Guerra dos Cem Anos;Q70972;Reino da França;;no
Q28365;Guerra Lamiaca;Q13533353;Argos;;no
Q28365;Guerra Lamiaca;Q844930;Atenas;;no
Q28365;Guerra Lamiaca;Q166919;Tessália;;no
Q28365;Guerra Lamiaca;Q187570;Beócia;;no
Q28365;Guerra Lamiaca;Q2637650;Phocis;;no
Q28365;Guerra Lamiaca;Q245273;Liga Etólia;;no
Q28365;Guerra Lamiaca;Q659791;Lócrida;;no
Q28365;Guerra Lamiaca;Q83958;Macedónia Antiga;;no
Q28365;Guerra Lamiaca;Q38281545;Amphissa;;no
Q8663;Guerra da Coreia;Q148;China;;no
Q8663;Guerra da Coreia;Q16;Canadá;;no
Q8663;Guerra da Coreia;Q142;França;;no
Q8663;Guerra da Coreia;Q32;Luxemburgo;;no
Q8663;Guerra da Coreia;Q31;Bélgica;;no
Q8663;Guerra da Coreia;Q115;Etiópia;;no
Q8663;Guerra da Coreia;Q43;Turquia;;no
Q8663;Guerra da Coreia;Q55;Países Baixos;;no
Q8663;Guerra da Coreia;Q739;Colômbia;;no
Q8663;Guerra da Coreia;Q145;Reino Unido;;no
Q8663;Guerra da Coreia;Q15180;União Soviética;;no
Q8663;Guerra da Coreia;Q408;Austrália;;no
Q8663;Guerra da Coreia;Q869;Tailândia;;no
Q8663;Guerra da Coreia;Q258;África do Sul;;no
Q8663;Guerra da Coreia;Q41;Grécia;;no
Q8663;Guerra da Coreia;Q30;Estados Unidos;;no
Q8663;Guerra da Coreia;Q423;Coreia do Norte;;no
Q8663;Guerra da Coreia;Q884;Coreia do Sul;;no
Q8663;Guerra da Coreia;Q928;Filipinas;;no
Q8663;Guerra da Coreia;Q664;Nova Zelândia;;no
Q6334;Terceira guerra púnica;Q1747689;Roma Antiga;;no
Q6334;Terceira guerra púnica;Q2429397;Civilização cartaginesa;;no
Q6683;Guerra Mexicano-Americana;Q7443295;Segunda República Federal do México;;no
Q6683;Guerra Mexicano-Americana;Q17557;República da Califórnia;;no
Q6683;Guerra Mexicano-Americana;Q30;Estados Unidos;;no
Q29269;Primeira Guerra da Chechênia;Q1377638;Gennady Troshev;;yes
Q29269;Primeira Guerra da Chechênia;Q179846;Djokhar Dudaiev;;yes
Q29269;Primeira Guerra da Chechênia;Q190731;Shamil Bassaiev;;yes
Q29269;Primeira Guerra da Chechênia;Q193354;Aslan Maskhadov;;yes
Q29269;Primeira Guerra da Chechênia;Q210036;República Chechena da Ichkeria;;no
Q29269;Primeira Guerra da Chechênia;Q335460;Ibn al-Khattab;;yes
