conflict_qid;conflict_label;checked_via
Q25397027;1820 Haitian Revolution;both
Q248033;Golpe de 18 Frutidor;both
Q16931679;Queda da monarquia romana;both
Q104845861;Kalimantan Physical Revolution;both
Q255006;Magnate conspiracy;both
Q123925308;Chechen Revolution;both
Q85288797;The events of the 1989 Romanian Revolution in Cluj-Napoca;both
Q25397029;1859 Haitian Revolution;both
Q57497418;Revolución catalana de 1460-1461;both
Q11703010;Spanish Revolution of 1854;both
Q135183212;Restore Britain;both
Q189508;Revolução Gloriosa;both
Q25397030;1876 Haitian Revolution;both
Q5366010;Ikkō-shū;both
Q248743;Züriputsch;both
Q25397037;1915 Haitian Revolution;both
Q16708757;Ukrainian national revolution;both
Q9068534;Revolução de 11 de setembro de 1852;both
Q134623331;Cibaeño Revolution;both
Q25397024;Reform Revolution;both
Q22314611;Spanish Revolution of 1848;both
Q135012695;Progressive and Popular Revolution;both
Q20106628;Revolution of 1933;both
Q389853;Golpe de Estado no Uruguai em 1973;both
Q134085085;Advance UK;both
Q16625168;Revolution of the Seven Chiefs;both
Q449436;Golpe de estado no Iraque de novembro de 1963;both
Q9068538;Revolução etíope de 1974;both
Q12203914;Revolt of Cairo (1800);both
Q13605743;Golpe de Estado no Egito em 2013;both
Q15733401;Revolução Ucraniana de 2014;both
Q16976566;Revolução Abecásia;both
Q11391276;August Revolution theory;both
Q106419770;Friedliche Revolution in Plauen;both
Q17015429;Revolution of 1848 in Luxembourg;both
Q61750249;Revolução Veintimillista;both
Q11703023;Revolution of 1934 in Cantabria;both
Q19605695;Revolution of 1951, Nepal;both
Q122929851;Odjak of Algiers Revolution;both
Q24951395;1908 Haitian Revolution;both
Q593774;Operação Ajax;both
Q25397035;1888 Haitian Revolution;both
Q19356877;Revolução quetzalteca;both
Q5286648;Ohigashi schism;both
Q451046;Golpe de estado na Prússia;both
Q136387966;Cretan Revolt of 1895-1898;both
Q129716811;ثورة الجزيرة الفراتية (751);both
Q132861153;Aftermath of the July Revolution;both
Q575347;Golpe de Estado na Romênia em 1944;both
Q485728;Golpe de Estado de 17 de Maio;both
Q193245;Revolução dos Cravos;both
Q12577605;Three Districts Revolution;both
Q7318712;Revolution in the Kingdom of Poland;both
Q125692807;Восстание Штульского;both
Q6464343;La Paz Revolution;both
Q6107215;Revolution of May 1811;both
Q4301694;Revolução Monegasca;both
Q190517;Revolução Xinhai;both
Q1783955;Revolução Nepalesa de 1990;both
Q6107192;revolución de Cochabamba;both
Q2998936;Revolução de 11 de Setembro de 1922;both
Q1822896;Liberal Revolution of Ecuador;both
Q1982745;Revolução Espanhola;both
Q4162685;Revolução Ruandesa;both
Q204213;Revolução Romena de 1989;both
Q780048;Reformas de Atatürk;both
Q1822923;Revolução liberal do Porto;both
Q223933;Revolução Belga;both
Q799097;Baden Revolution;both
Q6107187;revolución de Cochabamba 1810;both
Q5163326;Consolidação da Revolução Iraniana;both
Q689128;Revolução Haitiana;both
Q2584397;Revolução de 3 de setembro de 1843;both
Q236023;Revoltas no Quirguistão em 2010;both
Q690959;Revoluções de 1848 no Império Austríaco;both
Q6107220;Revolução de 28 de Maio de 1944;both
Q2603206;Revolução Batava;both
Q5792513;Cruzada Libertadora de 1825;both
Q170306;Revolução Alemã de 1918-1919;both
Q441920;Athenian Revolution;both
Q808928;March Revolution;both
Q2081446;Revolução Mongol de 1921;both
Q489416;Revolução de Abril;both
Q5933860;Abbasid Revolution;both
Q682258;Die Wende;both
Q192769;Revolução Americana;both
Q5614269;Revolução Guatemalteca;both
Q3773164;Catalunha Revolucionária;both
Q1368440;Revolução Constitucional Persa;both
Q182817;Revolução de Veludo;both
Q2592295;Revolução Constitucionalista de 1932;both
Q896479;Revolução brabantina;both
Q1463516;Revolução Sandinista;both
Q1341539;Revolução de Saur;both
Q1993171;Revolução Egípcia de 1919;both
Q6107179;Revolution of 1934 in the Basque Country;both
Q838980;Revolução de Maio;both
Q836386;Revolução Laranja;both
Q3727804;Revolução Liberal Restauradora;both
Q622774;Revolução francesa de 1848;both
Q422082;Revolução Filipina;both
Q459162;Revolução das Tulipas;both
Q955802;Revolução Cultural Iraniana;both
Q8690;Revolução Cultural Chinesa;both
Q219470;Revolução Rosa;both
Q75844;Revolução de Zanzibar;both
Q6107169;Revolución de 1858;both
Q5944417;Quito's revolutionary process;both
Q6107265;Tricolor Revolution;both
Q1540751;Revolução de 1868;both
Q891367;Revolução Bolivariana;both
Q1780431;Revolução Egípcia de 1952;both
Q2620180;feudal revolution;both
Q732219;Golpe de Estado de 28 de Maio de 1926;both
Q1068139;Revolução Branca;both
