qid;label
Q180684;military conflict
Q3596827;102/35 su SPA 9000
Q4388339;1918 Ukrainian coup d'état
Q85722364;1938 deportation of Jews from Slovakia
Q127273725;1946 Palestine general strike
Q4566043;1947 Royal New Zealand Navy mutinies
Q350604;battle
Q12158103;1990s Donbas miners' strikes
Q4617641;2010 Kashmir unrest
Q97976264;2017 Season of Bullfighting Fair in Granada
Q66711913;2019 Hong Kong Lennon Wall
Q94953459;2019 Season of Bullfighting Festival of Corpus Christi in Granada
Q97970431;2019 Season of Saint Ignatius in Azpeitia
Q97216201;2020–2022 Slovenian protests
Q111334724;2022 Beersheba attack
Q111420818;2022 Bnei Brak shootings
Q111845482;2022 El'ad attack
Q111383118;2022 Hadera shooting
Q111524362;2022 Tel Aviv shooting
Q111430223;2022 wave of terrorism in Israel
Q133859307;2023 Datong rape case
Q124568074;2024 Kiryat Malakhi attack
Q124290874;2024 Ra'anana attack
Q133552741;2025 Gaza Strip anti-Hamas protests
Q4031158;3M8
Q4031162;3М9
Q3599282;51T6 Gorgon
Q4640332;53T6
Q3118356;59 minutes strike
Q1130330;9K31 Strela-1
Q329148;9K310 Igla-1
Q17277328;9K333 Verba
Q5653155;9K338 Igla-S
Q1051186;9K34 Strela-3
Q633510;9K35 Strela-10
Q147847;9K38 Igla
Q11188509;9M311
Q65226806;9M318
Q4032821;9M38
Q1084294;A-350
Q277754;A–135 anti-ballistic missile system
Q28532983;Ababeel
Q16335379;Abalroamento aéreo
Q645883;civil conflict
Q3040277;Abastecimento aéreo
Q7995869;abolição de monarquia
Q2892865;Abraço de urso
Q198;war
Q4348173;absolute war
Q2415157;abuso político da psiquiatria
Q4006775;Abuso político da psiquiatria na União Soviética
Q93430598;academic dispute
Q506259;ação direta
Q3631521;Ação direta
Q676027;Ação Pauliana
Q3309962;Ação policial
Q451584;ação popular
Q4215744;accounting scandal
Q116430223;Acefalism
Q123138957;aceifa
Q102197252;Ações judiciais pós-eleitorais relacionadas à eleição presidencial de 2020 nos EUA
Q422635;action art
Q7356125;Acusações de corrupção contra Rod Blagojevich
Q123248286;AD-08
Q4680016;Adam and Eve in LDS doctrine
Q2889084;Administração militar
Q129820183;Administrative court cases in mainland China
Q133520154;Administrative disputes
Q11626120;Administrative Litigation
Q129820369;Administrative Litigation (mainland China)
Q129820379;Administrative Reconsideration
Q133890420;Administrative reconsideration case filed at Ministry of Industry and Information Technology of China
Q129820225;Administrative Reconsideration cases
Q131567018;Administrative Review Tribunal decision
Q11640222;advance and occupation
Q4686864;advisory opinion
Q15104954;aerial interception
Q125887591;aerial naval mine delivery
Q4688999;affirmative action bake sale
Q114363090;agrarian uprising
Q16486639;Aipenkuit
Q1897017;air battle
Q178561;rebellion
Q18015493;air combat
Q290105;Air Defense Anti-Tank System
Q4698343;air offensive
Q1373607;Air raids of the Battle of the Gilbert Islands
Q4698397;air warfare in Yugoslavia
Q952209;air warfare of World War II
Q76370269;air-to-surface warfare
Q89541131;airborne warfare
Q2652759;Akash
Q105438625;Akash-NG
Q133297584;Algerian cave warfare
Q134302830;Alicante in the Spanish Civil War
Q2583287;All Japan Women's Pro-Wrestling
Q18015698;all-weather interception
Q19606784;Allied bombing
Q127773696;Allied bombing of Yugoslavia in World War II
Q4738731;Alysh
Q117020505;AMAN
Q4111554;Amateur Pankration
Q5928045;Ambivalência
Q17149403;American military operations other than war
Q3354924;amphibious military operation
Q4748201;amphibious reconnaissance
Q194465;anexação
Q388924;Anexo:Lista de batalhas na série de livros As Crônicas de Nárnia
Q12230894;Anglican Communion sexual abuse cases
Q30323964;animal-baiting
Q4771217;Antelope air defence system
Q28668602;anti-aircraft grenade launcher
Q86739852;anti-aircraft warfare
Q4774129;anti-Catholic riots
Q11517839;anti-Chinese riots
Q19950013;Anti-Francoist urban guerrilla
Q13538715;Anti-Habsburg uprisings
Q247735;Anti-Jewish pogroms in the Russian Empire
Q11079230;anti-missionary riot in China
Q15466187;anti-nuclear protest
Q4774420;anti-nuclear protests in the United States
Q2334946;anti-psychiatry in Netherlands
Q47657138;Anti-Russian rebellions
Q107722568;Anti-ship weapons
Q1964176;anti-U-boat operations
Q582667;antipsiquiatria
Q584205;antitrinitarismo
Q61221204;antitrust case
Q3696223;Anza (míssil)
Q7234541;Apologia do nazismo
Q5400540;Arabian Gauntlet
Q12835951;Aratan
Q131751107;arbitration case
Q4788547;area bombardment
Q108323073;Argentinian genocide
Q83922;arianismo
Q24936119;Arianismo na Hispânia
Q664017;Arianização
Q4792474;Arm triangle choke
Q1418029;Armas combinadas
Q3267933;armed struggle
Q880637;armored reconnaissance
Q15517541;army co-operation
Q131627884;Arrow
Q5363532;Arrow 3
Q136462954;artificial intelligence controversies
Q4070286;artillery offensive
Q2497090;artillery preparation
Q2865836;artivismo
Q4804181;asentamiento
Q16533779;asonada
Q4654336;ASRAD-HELLAS
Q939087;Assalto aéreo
Q115892552;Assassination of Majid Sharif-Vaghefi
Q115791837;Assassination of Rockwell International personnel in Tehran
Q2206565;assédio judicial
Q747354;Aster
Q30588142;ataque de drone
Q123513446;Ataque de tiro duplo
Q1470138;ataque militar
Q127260330;Ataques aéreos à Ucrânia de 8 de julho de 2024
Q721668;Ataques aéreos de luta profissional
Q756540;Atlantic pockets
Q98607365;atmospheric nuclear test
Q12840408;attack
Q127325186;Attacks against computer networks
Q508284;Attacks on North America during World War II
Q115902065;attempted assassination of Morteza Samadieh-Labbaf
Q4460509;auto-golpe
Q786766;autogenocide
Q24931116;Avar raids
Q11762688;Aviation Assault
Q3815060;backflip kick
Q1779477;Backyard wrestling
Q4840830;Badger-baiting
Q20105468;Balearic privateering
Q795400;BALTOPS
Q17100946;Bambule
Q2882324;Bandido
Q1317135;Barak 1
Q16695097;Barak 8
Q304860;barragem
Q106506622;barróg
Q28068509;baseball choke
Q18120972;Bashkir Uprisings
Q810704;bataireacht
Q743488;batalha campal
Q15047343;batalha da Guerra do Paraguai
Q7578135;Batalha espiritual
Q1261499;batalha naval
Q15991159;Batalhas da Idade Média
Q2890633;Battle of the Queens
Q3241463;battle royal
Q14944691;battle royal
