Iso3;ActorQID;ConflictQID;ConflictLabel;TypeQID;TypeLabel;Start;End;Tag
AFG;Q889;Q1259237;Terceira Guerra Anglo-Afegã;Q198;guerra;1919-05-06T00:00:00Z;1919-08-08T00:00:00Z;all
AFG;Q889;Q40837;Guerras Anglo-Afegãs;Q198;guerra;;;all
AFG;Q889;Q385546;Battle of Alasay;Q178561;batalha;2009-03-14T00:00:00Z;2009-03-23T00:00:00Z;all
AFG;Q889;Q15709934;Battle of Joybar;Q178561;batalha;;;all
AFG;Q889;Q267418;Emboscada de Uzbin;Q178561;batalha;;2008-08-19T00:00:00Z;all
AFG;Q889;Q19646470;Invasão do Afeganistão pelos Estados Unidos;Q645883;operação militar;2001-10-07T00:00:00Z;2001-12-17T00:00:00Z;all
AFG;Q889;Q2549377;Operação Golpe de Espada;Q645883;operação militar;2009-07-02T00:00:00Z;2009-08-20T00:00:00Z;all
AFG;Q889;Q4072719;Conflitos fronteiriços entre Afeganistão e Paquistão;Q350604;armed conflict;1949-01-01T00:00:00Z;;all
AFG;Q889;Q136196344;Iran–Afghanistan water dispute;Q180684;conflito;2021-01-01T00:00:00Z;;ge1900
AGO;Q916;Q1021172;Guerra Civil na República do Congo;Q198;guerra;1997-01-01T00:00:00Z;1999-01-01T00:00:00Z;all
AGO;Q916;Q327237;Guerra do Quivu;Q198;guerra;2004-06-02T00:00:00Z;;all
AGO;Q916;Q75756;Segunda Guerra do Congo;Q198;guerra;1998-08-02T00:00:00Z;2003-06-30T00:00:00Z;all
AGO;Q916;Q838695;Primeira Guerra do Congo;Q198;guerra;1996-10-24T00:00:00Z;1997-05-16T00:00:00Z;all
AGO;Q916;Q63929552;Operação Kitona;Q645883;operação militar;1998-08-04T00:00:00Z;1998-08-30T00:00:00Z;all
AGO;Q916;Q152060;Conflito de Cabinda;Q180684;conflito;1975-11-08T00:00:00Z;;ge1900
ALB;Q222;Q190029;Guerra do Kosovo;Q198;guerra;1998-02-27T00:00:00Z;1999-06-11T00:00:00Z;all
ALB;Q222;Q18651204;Missão Apoio Resoluto;Q645883;operação militar;2014-12-28T00:00:00Z;2021-07-12T00:00:00Z;all
ALB;Q222;Q602902;Confronto fronteiriço entre Albânia e Iugoslávia;Q350604;armed conflict;;;all
ALB;Q222;Q131742733;Albanian-Yugoslav border conflict;Q350604;armed conflict;1998-01-01T00:00:00Z;1999-01-01T00:00:00Z;all
ALB;Q222;Q127390566;Yugoslav–Albanian border conflict;Q350604;armed conflict;1998-04-23T00:00:00Z;1999-06-10T00:00:00Z;all
ALB;Q467864;Q796498;Terceira Guerra da Indochina;Q198;guerra;1975-05-01T00:00:00Z;1991-10-23T00:00:00Z;all
ALB;Q467864;Q11825999;Postribë uprising;Q645883;operação militar;;;all
ALB;Q467864;Q115519297;Conflito fronteiriço entre a Albânia e a Iugoslávia;Q350604;armed conflict;1948-07-01T00:00:00Z;1954-12-01T00:00:00Z;all
ALB;Q467864;Q129434146;Gramos incident;Q350604;armed conflict;;;all
ALB;Q777147;Q74109;Segunda Guerra Mundial na Albânia;Q198;guerra;1939-01-01T00:00:00Z;1944-01-01T00:00:00Z;all
ALB;Q777147;Q172068;Segunda Guerra Mundial na Macedônia Iugoslava;Q198;guerra;1941-10-11T00:00:00Z;1944-11-23T00:00:00Z;all
ARE;Q878;Q28716912;Yakla raid;Q178561;batalha;;;all
ARE;Q878;Q48735086;Batalha de Al Hudaydah;Q178561;batalha;2018-06-13T00:00:00Z;;all
ARE;Q878;Q44407676;Batalha de Saná;Q178561;batalha;2017-11-29T00:00:00Z;2017-12-04T00:00:00Z;all
ARE;Q878;Q19682450;intervenção militar no Iêmen em 2015;Q645883;operação militar;2015-03-25T00:00:00Z;;all
ARE;Q878;Q878102;Operação Amanhecer da Odisseia;Q645883;operação militar;2011-03-19T00:00:00Z;2011-03-31T00:00:00Z;all
ARE;Q1852345;Q12207425;Buraimi dispute;Q180684;conflito;1952-01-28T00:00:00Z;1955-10-25T00:00:00Z;ge1900
ARG;Q414;Q3042463;Guerra do Uruguai;Q198;guerra;1864-08-10T00:00:00Z;1865-02-20T00:00:00Z;all
ARG;Q414;Q48249;Guerra das Malvinas;Q198;guerra;1982-04-02T00:00:00Z;1982-06-14T00:00:00Z;all
ARG;Q414;Q58947;Guerra do Paraguai;Q198;guerra;1864-12-27T00:00:00Z;1870-03-01T00:00:00Z;all
ARG;Q414;Q59559767;Sinking of HMS Sheffield;Q178561;batalha;;;all
ARG;Q414;Q2295869;Snipe incident;Q178561;batalha;;;all
ARG;Q414;Q4871801;Battle of Mount Harriet;Q178561;batalha;1982-06-11T00:00:00Z;1982-06-12T00:00:00Z;all
ARG;Q414;Q4930640;Bluff Cove Air Attacks;Q178561;batalha;;;all
ARG;Q414;Q4871774;Batalha de Monte Santiago;Q178561;batalha;1827-04-07T00:00:00Z;1827-04-08T00:00:00Z;all
ARG;Q414;Q91168260;Battle of Murrell Bridge;Q178561;batalha;1982-06-06T00:00:00Z;1982-06-07T00:00:00Z;all
ARG;Q414;Q19546198;Deception Island incident;Q178561;batalha;;;all
ARG;Q414;Q4871802;Battle of Mount Longdon;Q178561;batalha;1982-06-11T00:00:00Z;1982-06-12T00:00:00Z;all
ARG;Q414;Q5722546;Batalha de Lomas Valentinas;Q178561;batalha;1868-12-21T00:00:00Z;1868-12-27T00:00:00Z;all
ARG;Q414;Q2641750;Batalha de Goose Green;Q178561;batalha;1982-05-28T00:00:00Z;1982-05-29T00:00:00Z;all
ARG;Q414;Q6065903;Passagem de Curupaiti;Q178561;batalha;;;all
ARG;Q414;Q2890596;Batalha da Vuelta de Obligado;Q178561;batalha;;;all
ARG;Q414;Q4872743;Battle of Wireless Ridge;Q178561;batalha;1982-06-13T00:00:00Z;1982-06-14T00:00:00Z;all
ARG;Q414;Q4582489;Battle of Mount Tumbledown;Q178561;batalha;1982-06-13T00:00:00Z;1982-06-14T00:00:00Z;all
ARG;Q414;Q94277038;Battle of Toldos Viejos;Q178561;batalha;;;all
ARG;Q414;Q4872265;Battle of San Carlos;Q178561;batalha;1982-05-21T00:00:00Z;1982-05-25T00:00:00Z;all
ARG;Q414;Q3284956;Afundamento do Cruzador General Belgrano;Q178561;batalha;;;all
ARG;Q414;Q3269922;Operação Paraquet;Q645883;operação militar;;;all
ARG;Q414;Q5939948;Operaçâo Alfil;Q645883;operação militar;1990-09-18T00:00:00Z;1991-08-01T00:00:00Z;all
ARG;Q414;Q7301548;Reassertion of British sovereignty over the Falkland Islands;Q645883;operação militar;;;all
ARG;Q414;Q1809313;Operation Sovereignty;Q645883;operação militar;;;all
ARG;Q414;Q84762353;Bombing of Two Sisters;Q645883;operação militar;;;all
ARG;Q414;Q699036;Organização de Supervisão de Trégua das Nações Unidas;Q645883;operação militar;;;all
ARG;Q414;Q1968528;Operation Black Buck;Q645883;operação militar;;;all
ARG;Q414;Q812908;Conflito de Beagle;Q180684;conflito;1981-01-01T00:00:00Z;1984-01-01T00:00:00Z;ge1900
ARG;Q738144;Q1123201;guerras de independência na América espanhola;Q198;guerra;1808-09-25T00:00:00Z;1833-09-29T00:00:00Z;all
ARG;Q738144;Q288251;Guerra da Cisplatina;Q198;guerra;1825-12-10T00:00:00Z;1828-08-27T00:00:00Z;all
ARG;Q738144;Q1072889;Independência do Chile;Q198;guerra;1827-01-01T00:00:00Z;;all
ARG;Q738144;Q2480544;Batalha do Passo do Rosário;Q178561;batalha;;;all
