conflict_qid;conflict_label;empty_what
Q26749;Segunda Coligação;p17
Q6271;Segunda Guerra Púnica;p17
Q29242;Conflito georgiano-osseta;p17
Q25857;Guerra de Devolução;labels
Q8628;Guerra da Vendeia;labels
Q26013;Guerra anglo-americana de 1812;p17
Q12583;Guerra Hispano-Americana;p17
Q6286;Primeira Guerra Púnica;p17
Q12551;Guerra dos Cem Anos;p17
Q28365;Guerra Lamiaca;labels
Q8663;Guerra da Coreia;labels
Q6334;Terceira guerra púnica;p17
Q6683;Guerra Mexicano-Americana;labels
Q29269;Primeira Guerra da Chechênia;p17
Q29122;Primeira Guerra Anglo-Birmanesa;p17
Q46083;Guerra franco-prussiana;p17
Q34145;Third Syrian War;p17
Q31880;Castille War;p17
Q31307;Guerra birmanesa-siamesa;p17
Q31301;Guerra Anglo-Turca;p17
Q48249;Guerra das Malvinas;labels
Q49100;Guerra do Yom Kipur;p17
Q47985;Guerra rus'-bizantina de 1043;p17
Q31944;Guerra Mahdista;p17
Q34103;Second Syrian War;p17
Q49097;Guerra da Palestina de 1948;labels
Q33745;Guerra do Peloponeso;p17
Q49077;Guerra dos Seis Dias;p17
Q49092;Guerra árabe-israelense de 1948;labels
Q33143;Guerra dos Sete Anos;p17
Q37643;Guerra do Golfo;p17
Q48883;Guerra Goguryeo-Sui;p17
Q75626;Primeira Guerra Macedônica;p17
Q75665;Segunda Guerra Macedónica;p17
Q60489;Albanian–Venetian War;p17
Q74109;Segunda Guerra Mundial na Albânia;p17
Q54434;Guerra da Orelha de Jenkins;p17
Q74623;Grande Guerra Turca;p17
Q49104;guerra do Líbano de 2006;labels
Q74302;Polish–Ottoman War of 1633–34;p17
Q58947;Guerra do Paraguai;p17
Q74298;Polish–Ottoman War of 1672–1676;p17
Q75756;Segunda Guerra do Congo;labels
Q49103;Guerra do Líbano de 1982;p17
Q68969;Guerra de Independência da Croácia;labels
Q49101;Guerra do Suez;p17
Q473716;Revolução húngara de 1848;labels
Q769960;Revolução de Agosto;labels
Q11264;Revolução Cubana;labels
Q8729;Revolução Russa de 1917;labels
Q1332160;Revolução Nacional da Indonésia;labels
Q2745716;Revolta Paulista de 1924;labels
Q6534;Revolução Francesa;labels
Q101534;Revolução de Fevereiro;labels
Q6107175;Revolução uruguaia de 1904;labels
Q5408962;Uruguayan revolution of 1897;labels
Q214426;Revolução Mexicana;labels
Q4298662;Revolução dos Jovens Turcos;labels
Q126065;Revolução Iraniana;labels
Q42976;Revolução de Outubro;labels
Q3571687;Grito de Ascencio;p17
Q184928;Revolução Russa de 1905;labels
Q2570156;Golpe de Estado na Lituânia em 1926;labels
