iso3;qid_country;lang_qid;lang_label;scope;region_label;start_year;end_year;country_label_pt;country_label_en;lang_label_pt;lang_label_en
ABW;Q21203;Q33856;Papiamento;national;;;;Aruba;Aruba;Papiamento;Papiamento
ABW;Q21203;Q7411;neerlandês;national;;;;Aruba;Aruba;neerlandês;Dutch
AFG;Q889;Q36670;Pashayi;regional;língua regional;;;Afeganistão;Afghanistan;Pashayi;Pashayi
AFG;Q889;Q33049;Língua balúchi;regional;língua regional;;;Afeganistão;Afghanistan;Língua balúchi;Balochi
AFG;Q889;Q161804;Nuristani;regional;língua regional;;;Afeganistão;Afghanistan;Nuristani;Nuristani
AFG;Q889;Q58680;pastó;national;;;;Afeganistão;Afghanistan;pastó;Pashto
AFG;Q889;Q9267;Língua turcomena;national;;;;Afeganistão;Afghanistan;Língua turcomena;Turkmen
AFG;Q889;Q178440;Língua dari;national;;;;Afeganistão;Afghanistan;Língua dari;Dari
AFG;Q889;Q13955;árabe;regional;língua regional;;;Afeganistão;Afghanistan;árabe;Arabic
AFG;Q889;Q1772864;línguas pamir;regional;língua regional;;;Afeganistão;Afghanistan;línguas pamir;Pamir
AFG;Q889;Q9264;língua uzbeque;regional;língua regional;;;Afeganistão;Afghanistan;língua uzbeque;Uzbek
AGO;Q916;Q5146;português;national;;;;Angola;Angola;português;Portuguese
AIA;Q25228;Q1860;inglês;national;;;;Anguila;Anguilla;inglês;English
ALA;Q5689;Q9027;língua sueca;national;;;;Åland;Åland;língua sueca;Swedish
ALB;Q222;Q8748;língua albanesa;national;;;;Albânia;Albania;língua albanesa;Albanian
AND;Q228;Q7026;língua catalã;national;;;;Andorra;Andorra;língua catalã;Catalan
ARE;Q878;Q13955;árabe;national;;;;Emirados Árabes Unidos;United Arab Emirates;árabe;Arabic
ARG;Q414;Q1321;espanhol;national;;;;Argentina;Argentina;espanhol;Spanish
ARM;Q399;Q8785;língua arménia;national;;;;Arménia;Armenia;língua arménia;Armenian
ASM;Q16641;Q34011;Língua samoana;national;;;;Samoa Americana;American Samoa;Língua samoana;Samoan
ASM;Q16641;Q1860;inglês;national;;;;Samoa Americana;American Samoa;inglês;English
ATF;Q129003;Q150;francês;national;;;;Terras Austrais e Antárticas Francesas;French Southern and Antarctic Lands;francês;French
ATG;Q781;Q1860;inglês;national;;;;Antígua e Barbuda;Antigua and Barbuda;inglês;English
AUS;Q408;Q44679;inglês australiano;national;;;;Austrália;Australia;inglês australiano;Australian English
AUS;Q408;Q29525;língua de sinais australiana;national;;;;Austrália;Australia;língua de sinais australiana;Auslan
AUT;Q40;Q188;alemão;national;;;;Áustria;Austria;alemão;German
AUT;Q40;Q36668;língua de sinais austríaca;national;;;;Áustria;Austria;língua de sinais austríaca;Austrian Sign Language
AZE;Q227;Q9292;Língua azeri;regional;Standart Azerbaijani;;;Azerbaijão;Azerbaijan;Língua azeri;Azerbaijani
AZE;Q227;Q55698568;Língua gestual azerbaijana;national;;;;Azerbaijão;Azerbaijan;Língua gestual azerbaijana;Azerbaijani Sign Language
BDI;Q967;Q150;francês;national;;;;Burundi;Burundi;francês;French
BDI;Q967;Q33583;Língua kirundi;national;;;;Burundi;Burundi;Língua kirundi;Kirundi
BDI;Q967;Q1860;inglês;national;;;;Burundi;Burundi;inglês;English
BEL;Q31;Q188;alemão;regional;Comunidade germanófona da Bélgica;;;Bélgica;Belgium;alemão;German
BEL;Q31;Q188;alemão;regional;Welkenraedt;;;Bélgica;Belgium;alemão;German
BEL;Q31;Q188;alemão;regional;Malmedy;;;Bélgica;Belgium;alemão;German
BEL;Q31;Q188;alemão;regional;Waimes;;;Bélgica;Belgium;alemão;German
BEL;Q31;Q188;alemão;regional;Baelen;;;Bélgica;Belgium;alemão;German
BEL;Q31;Q188;alemão;regional;Plombières;;;Bélgica;Belgium;alemão;German
BEL;Q31;Q150;francês;regional;Valónia;;;Bélgica;Belgium;francês;French
BEL;Q31;Q150;francês;regional;Região de Bruxelas-Capital;;;Bélgica;Belgium;francês;French
BEL;Q31;Q150;francês;regional;Ronse;;;Bélgica;Belgium;francês;French
BEL;Q31;Q150;francês;regional;Voeren;;;Bélgica;Belgium;francês;French
BEL;Q31;Q150;francês;regional;Herstappe;;;Bélgica;Belgium;francês;French
BEL;Q31;Q150;francês;regional;Linkebeek;;;Bélgica;Belgium;francês;French
BEL;Q31;Q150;francês;regional;Drogenbos;;;Bélgica;Belgium;francês;French
BEL;Q31;Q150;francês;regional;Mesen;;;Bélgica;Belgium;francês;French
BEL;Q31;Q150;francês;regional;Bever;;;Bélgica;Belgium;francês;French
BEL;Q31;Q150;francês;regional;Sint-Genesius-Rode;;;Bélgica;Belgium;francês;French
BEL;Q31;Q150;francês;regional;Spiere-Helkijn;;;Bélgica;Belgium;francês;French
BEL;Q31;Q7411;neerlandês;regional;Flandres;;;Bélgica;Belgium;neerlandês;Dutch
BEL;Q31;Q7411;neerlandês;regional;Região de Bruxelas-Capital;;;Bélgica;Belgium;neerlandês;Dutch
BEL;Q31;Q7411;neerlandês;regional;Welkenraedt;;;Bélgica;Belgium;neerlandês;Dutch
BEL;Q31;Q7411;neerlandês;regional;Mouscron;;;Bélgica;Belgium;neerlandês;Dutch
BEL;Q31;Q7411;neerlandês;regional;Comines-Warneton;;;Bélgica;Belgium;neerlandês;Dutch
BEL;Q31;Q7411;neerlandês;regional;Enghien;;;Bélgica;Belgium;neerlandês;Dutch
BEL;Q31;Q7411;neerlandês;regional;Baelen;;;Bélgica;Belgium;neerlandês;Dutch
BEL;Q31;Q7411;neerlandês;regional;Plombières;;;Bélgica;Belgium;neerlandês;Dutch
BEN;Q962;Q150;francês;national;;;;Benim;Benin;francês;French
BES;Q27561;Q33856;Papiamento;regional;Bonaire;;;Países Baixos Caribenhos;Caribbean Netherlands;Papiamento;Papiamento
BES;Q27561;Q1860;inglês;national;;;;Países Baixos Caribenhos;Caribbean Netherlands;inglês;English
BES;Q27561;Q7411;neerlandês;national;;;;Países Baixos Caribenhos;Caribbean Netherlands;neerlandês;Dutch
BFA;Q965;Q32706;Língua dioula;national;;;;Burquina Fasso;Burkina Faso;Língua dioula;Dioula
BFA;Q965;Q32934;Língua bissa;national;;;;Burquina Fasso;Burkina Faso;Língua bissa;Bissa
BFA;Q965;Q36096;Língua more;national;;;;Burquina Fasso;Burkina Faso;Língua more;Mooré
BGD;Q902;Q9610;língua bangla;national;;;;Bangladesh;Bangladesh;língua bangla;Bangla
BGR;Q219;Q7918;língua búlgara;national;;;;Bulgária;Bulgaria;língua búlgara;Bulgarian
BHR;Q398;Q13955;árabe;national;;;;Bahrein;Bahrain;árabe;Arabic
BHS;Q778;Q1860;inglês;national;;;;Bahamas;The Bahamas;inglês;English
BIH;Q225;Q6654;croata;national;;;;Bósnia e Herzegovina;Bosnia and Herzegovina;croata;Croatian
BIH;Q225;Q9303;Língua bósnia;national;;;;Bósnia e Herzegovina;Bosnia and Herzegovina;Língua bósnia;Bosnian
BIH;Q225;Q9299;língua sérvia;national;;;;Bósnia e Herzegovina;Bosnia and Herzegovina;língua sérvia;Serbian
BLM;Q25362;Q150;francês;national;;;;São Bartolomeu;Saint Barthélemy;francês;French
BLR;Q184;Q9091;Língua bielorrussa;national;;;;Bielorrússia;Belarus;Língua bielorrussa;Belarusian
BLR;Q184;Q7737;russo;national;;1995;;Bielorrússia;Belarus;russo;Russian
BLZ;Q242;Q1860;inglês;national;;;;Belize;Belize;inglês;English
BMU;Q23635;Q1860;inglês;national;;;;Bermudas;Bermuda;inglês;English
BOL;Q750;Q5218;quíchua;national;;;;Bolívia;Bolivia;quíchua;Quechua
BOL;Q750;Q1321;espanhol;national;;;;Bolívia;Bolivia;espanhol;Spanish
BOL;Q750;Q35876;língua guarani;national;;;;Bolívia;Bolivia;língua guarani;Guarani
BOL;Q750;Q4627;Língua aymará;national;;;;Bolívia;Bolivia;Língua aymará;Aymara
BRA;Q155;Q5146;português;national;;;;Brasil;Brazil;português;Portuguese
BRA;Q155;Q3436689;língua brasileira de sinais;national;;;;Brasil;Brazil;língua brasileira de sinais;Brazilian Sign Language
BRB;Q244;Q2524014;Crioulo bajan;national;;;;Barbados;Barbados;Crioulo bajan;Bajan Creole
BRB;Q244;Q1860;inglês;national;;;;Barbados;Barbados;inglês;English
BRN;Q921;Q7979;inglês britânico;national;;;;Brunei;Brunei;inglês britânico;British English
BRN;Q921;Q9237;malaio;national;;;;Brunei;Brunei;malaio;Malay
BTN;Q917;Q33081;língua butanesa;national;;;;Butão;Bhutan;língua butanesa;Dzongkha
BWA;Q963;Q1860;inglês;national;;;;Botsuana;Botswana;inglês;English
CAF;Q929;Q33954;Língua sango;national;;;;República Centro-Africana;Central African Republic;Língua sango;Sango
CAF;Q929;Q150;francês;national;;;;República Centro-Africana;Central African Republic;francês;French
CAN;Q16;Q1860;inglês;national;;1972;;Canadá;Canada;inglês;English
CAN;Q16;Q150;francês;national;;1972;;Canadá;Canada;francês;French
CCK;Q36004;Q1860;inglês;national;;;;Ilhas Cocos;Cocos (Keeling) Islands;inglês;English
CHE;Q39;Q150;francês;national;;;;Suíça;Switzerland;francês;French
CHE;Q39;Q652;italiano;national;;;;Suíça;Switzerland;italiano;Italian
CHE;Q39;Q188;alemão;national;;;;Suíça;Switzerland;alemão;German
CHE;Q39;Q13199;romanche;national;;;;Suíça;Switzerland;romanche;Romansh
CHL;Q298;Q1321;espanhol;national;;;;Chile;Chile;espanhol;Spanish
CHN;Q148;Q24841726;Putonghua;national;;;;China;People's Republic of China;Putonghua;Putonghua
CHN;Q148;Q7850;língua chinesa;national;;;;China;People's Republic of China;língua chinesa;Chinese
CHN;Q148;Q727694;mandarim padrão;national;;;;China;People's Republic of China;mandarim padrão;Standard Chinese
CHN;Q148;Q835866;Línguas da China;national;;;;China;People's Republic of China;Línguas da China;languages of China
CIV;Q1008;Q150;francês;national;;;;Costa do Marfim;Ivory Coast;francês;French
CMR;Q1009;Q150;francês;national;;;;Camarões;Cameroon;francês;French
CMR;Q1009;Q1860;inglês;national;;;;Camarões;Cameroon;inglês;English
COD;Q974;Q150;francês;national;;;;República Democrática do Congo;Democratic Republic of the Congo;francês;French
COG;Q971;Q150;francês;national;;;;República do Congo;Republic of the Congo;francês;French
COK;Q26988;Q1860;inglês;national;;;;Ilhas Cook;Cook Islands;inglês;English
COK;Q26988;Q36745;Maori das Ilhas Cook;national;;;;Ilhas Cook;Cook Islands;Maori das Ilhas Cook;Cook Islands Maori
COL;Q739;Q1321;espanhol;national;;;;Colômbia;Colombia;espanhol;Spanish
COM;Q970;Q150;francês;national;;;;Comores;Comoros;francês;French
COM;Q970;Q13955;árabe;national;;;;Comores;Comoros;árabe;Arabic
COM;Q970;Q33077;Língua comoriana;national;;;;Comores;Comoros;Língua comoriana;Comorian
CPV;Q1011;Q5146;português;national;;;;Cabo Verde;Cape Verde;português;Portuguese
CPV;Q1011;Q35963;crioulo cabo-verdiano;national;;;;Cabo Verde;Cape Verde;crioulo cabo-verdiano;Cape Verdean Creole
CRI;Q800;Q1321;espanhol;national;;;;Costa Rica;Costa Rica;espanhol;Spanish
CUB;Q241;Q1321;espanhol;national;;;;Cuba;Cuba;espanhol;Spanish
CUW;Q25279;Q1860;inglês;national;;;;Curaçau;Curaçao;inglês;English
CUW;Q25279;Q33856;Papiamento;national;;;;Curaçau;Curaçao;Papiamento;Papiamento
CUW;Q25279;Q7411;neerlandês;national;;;;Curaçau;Curaçao;neerlandês;Dutch
CXR;Q31063;Q1860;inglês;national;;;;Ilha Christmas;Christmas Island;inglês;English
CYM;Q5785;Q1860;inglês;national;;;;Ilhas Cayman;Cayman Islands;inglês;English
CYP;Q229;Q9129;grego;national;;;;Chipre;Cyprus;grego;Greek
CYP;Q229;Q256;língua turca;national;;;;Chipre;Cyprus;língua turca;Turkish
CYP;Q229;Q36510;grego moderno;national;;;;Chipre;Cyprus;grego moderno;Modern Greek
CZE;Q213;Q9056;checo;national;;;;Chéquia;Czech Republic;checo;Czech
DEU;Q183;Q188;alemão;national;;;;Alemanha;Germany;alemão;German
DJI;Q977;Q150;francês;national;;;;Djibouti;Djibouti;francês;French
DJI;Q977;Q13955;árabe;national;;;;Djibouti;Djibouti;árabe;Arabic
DMA;Q784;Q1860;inglês;national;;;;Dominica;Dominica;inglês;English
DNK;Q35;Q9035;dinamarquês;national;;;;Dinamarca;Denmark;dinamarquês;Danish
DOM;Q786;Q1321;espanhol;national;;;;República Dominicana;Dominican Republic;espanhol;Spanish
DZA;Q262;Q61053330;Standard Algerian Berber;national;;2002;;Argélia;Algeria;Standard Algerian Berber;Standard Algerian Berber
DZA;Q262;Q13955;árabe;national;;;;Argélia;Algeria;árabe;Arabic
ECU;Q736;Q1321;espanhol;national;;;;Equador;Ecuador;espanhol;Spanish
ECU;Q736;Q1740805;Língua quichua;national;;;;Equador;Ecuador;Língua quichua;Northern Quichua
ECU;Q736;Q617291;Língua shuar;national;;;;Equador;Ecuador;Língua shuar;Shuar
EGY;Q79;Q13955;árabe;national;;;;Egito;Egypt;árabe;Arabic
ERI;Q986;Q1860;inglês;national;;;;Eritreia;Eritrea;inglês;English
ERI;Q986;Q13955;árabe;national;;;;Eritreia;Eritrea;árabe;Arabic
ERI;Q986;Q34124;Língua tigrínia;national;;;;Eritreia;Eritrea;Língua tigrínia;Tigrinya
ESP;Q29;Q1321;espanhol;national;;;;Espanha;Spain;espanhol;Spanish
ESP;Q29;Q14185;língua occitana;regional;Catalunha;;;Espanha;Spain;língua occitana;Occitan
ESP;Q29;Q7026;língua catalã;regional;Catalunha;;;Espanha;Spain;língua catalã;Catalan
ESP;Q29;Q7026;língua catalã;regional;Comunidade Valenciana;;;Espanha;Spain;língua catalã;Catalan
ESP;Q29;Q7026;língua catalã;regional;Ilhas Baleares;;;Espanha;Spain;língua catalã;Catalan
ESP;Q29;Q9307;galego;regional;Galiza;;;Espanha;Spain;galego;Galician
ESP;Q29;Q8752;basco;regional;Comunidade Autónoma do País Basco;;;Espanha;Spain;basco;Basque
ESP;Q29;Q8752;basco;regional;zona bascófona de Navarra;;;Espanha;Spain;basco;Basque
EST;Q191;Q9072;estónio;national;;;;Estónia;Estonia;estónio;Estonian
ETH;Q115;Q28244;Língua amárica;national;;;;Etiópia;Ethiopia;Língua amárica;Amharic
FIN;Q33;Q9027;língua sueca;national;;;;Finlândia;Finland;língua sueca;Swedish
FIN;Q33;Q1412;finlandês;national;;;;Finlândia;Finland;finlandês;Finnish
FJI;Q712;Q33295;Língua fidjiana;national;;;;Fiji;Fiji;Língua fidjiana;Fijian
FJI;Q712;Q46728;Hindi fijiano;national;;;;Fiji;Fiji;Hindi fijiano;Fiji Hindi
FJI;Q712;Q1860;inglês;national;;;;Fiji;Fiji;inglês;English
