iso3;qid_country;lang_qid;lang_label
ABW;Q21203;Q1860;inglês
ABW;Q21203;Q7411;neerlandês
ABW;Q21203;Q33856;Papiamento
AFG;Q889;Q9267;Língua turcomena
AFG;Q889;Q13336;Língua mogholi
AFG;Q889;Q27898;Aimaq
AFG;Q889;Q29379;Ashkun
AFG;Q889;Q32689;Wasi-wari
AFG;Q889;Q33202;Língua brahui
AFG;Q889;Q33398;Língua hazaragi
AFG;Q889;Q33419;Língua ishkashimi
AFG;Q889;Q33639;Língua munji
AFG;Q889;Q33777;Shumashti
AFG;Q889;Q33894;Língua gawar-bati
AFG;Q889;Q34053;Língua shughni
AFG;Q889;Q34081;Tregami
AFG;Q889;Q34196;Waigali
AFG;Q889;Q34208;Língua wakhi
AFG;Q889;Q56833;Tajiki Arabic
AFG;Q889;Q178440;Língua dari
AFG;Q889;Q1066787;Southern Uzbek
AFG;Q889;Q1193495;Kamviri
AFG;Q889;Q2605045;Língua Kamkata-vari
AFG;Q889;Q2640637;Parachi
AFG;Q889;Q3444203;Nangalami
AFG;Q889;Q3472220;Língua sanglechi
AFG;Q889;Q3474654;Língua sawi
AFG;Q889;Q3812406;Tirahi
AFG;Q889;Q3877569;Wotapuri-Katarqalai
AFG;Q889;Q4159744;Inku
AFG;Q889;Q4689093;Afghan Sign Language
AFG;Q889;Q7124567;Pahlavni
AFG;Q889;Q12642194;Northern Pashto
AFG;Q889;Q12642198;Northeast Pashai
AFG;Q889;Q12645075;Warduji
AFG;Q889;Q12645561;Western Balochi
AFG;Q889;Q16112270;Southwest Pashai
AFG;Q889;Q16112855;Southern Pashto
AFG;Q889;Q23713532;Northwest Pashai
AFG;Q889;Q23713536;Southeast Pashai
AGO;Q916;Q5146;português
AGO;Q916;Q28305;Khwe
AGO;Q916;Q33597;Língua luvale
AGO;Q916;Q33607;Lunda
AGO;Q916;Q34170;Mbunda
AGO;Q916;Q34173;Língua tshiluba
AGO;Q916;Q35588;Yaka
AGO;Q916;Q35891;quimbundo
AGO;Q916;Q36334;Kwangali
AGO;Q916;Q36983;Umbundu
AGO;Q916;Q1405077;Língua cuanhama
AGO;Q916;Q1845148;Zemba
AGO;Q916;Q2364661;Kwadi
AGO;Q916;Q2422065;Côkwe
AGO;Q916;Q2599826;Yauma
AGO;Q916;Q2691548;Língua mbukushu
AGO;Q916;Q3265143;Língua luchazi
AGO;Q916;Q3346655;Nyemba
AGO;Q916;Q3780954;Língua dciriku
AGO;Q916;Q4121133;Holu
AGO;Q916;Q4939959;Bolo
AGO;Q916;Q6407456;Língua sama
AGO;Q916;Q6448765;Kuvale
AGO;Q916;Q6799612;Mbangala
AGO;Q916;Q6983792;Ndombe
AGO;Q916;Q7067577;Nsongo
AGO;Q916;Q7071068;Nyengo
AGO;Q916;Q10961003;Ngandyera
AGO;Q916;Q10961975;Kiyombe
AGO;Q916;Q10962292;Nkangala
AGO;Q916;Q10962298;Nyaneka
AGO;Q916;Q10962737;Mashi
AGO;Q916;Q10963134;Luimbi
AGO;Q916;Q11004988;Mbwela
AGO;Q916;Q11019169;Nkhumbi
AIA;Q25228;Q1860;inglês
AIA;Q25228;Q3244184;Crioulo inglês caribenho de Sotavento
ALA;Q5689;Q9027;língua sueca
ALB;Q222;Q8748;língua albanesa
ALB;Q222;Q9129;grego
ALB;Q222;Q29316;língua arromena
ALB;Q222;Q36510;grego moderno
ALB;Q222;Q180937;Tosk
ALB;Q222;Q181037;Gheg
ALB;Q222;Q4709168;Língua de sinais albanesa
AND;Q228;Q7026;língua catalã
ARE;Q878;Q1860;inglês
ARE;Q878;Q56385;Árabe khaliji
ARE;Q878;Q56467;árabe moderno padrão
ARE;Q878;Q56571;Árabe shihhi
