iso3;country;item;url_slug;ranking;score;critics;source
TON;Tonga;'Ota 'ika;ota-ika;;2;2;tasteatlas_html
IND;Índia;Aamras;aamras;;3;3;tasteatlas_html
IRN;Irão;Abgoosht;abgoosht;;2;2;tasteatlas_html
COL;Colômbia;Aborrajados;aborrajado;;;;tasteatlas_html
BRA;Brasil;Acarajé;acaraje;;;;tasteatlas_html
JAM;Jamaica;Ackee and saltfish;ackee-and-saltfish;;3;3;tasteatlas_html
PRT;Portugal;Açorda;acorda;;;;tasteatlas_html
PRT;Portugal;Açorda de camarão;acorda-de-camarao;;1;1;tasteatlas_html
PRT;Portugal;Açorda de marisco;acorda-de-marisco;;1;1;tasteatlas_html
TUR;Turquia;Adana kebap;adana-kebab;;;;tasteatlas_html
DNK;Dinamarca;Æbleflæsk;bleflsk;;1;1;tasteatlas_html
DNK;Dinamarca;Æggekage;ggekage;1;10;10;tasteatlas_html
NGA;Nigéria;Afang Soup;afang-soup;;1;1;tasteatlas_html
NZL;Nova Zelândia;Afghan Biscuit;afghan-biscuit;;1;1;tasteatlas_html
GBR;Reino Unido;Afternoon tea;afternoon-tea;3;19;19;tasteatlas_html
SWE;Suécia;Äggakaka;aggakaka;;;;tasteatlas_html
ITA;Itália;Agnolotti del plin;agnolotti-del-plin;;2;2;tasteatlas_html
MEX;México;Aguachile;aguachile;1;5;5;tasteatlas_html
GEO;Geórgia;Ajaruli khachapuri;adjarian-khachapuri;;;;tasteatlas_html
PER;Peru;Aji de gallina;aji-de-gallina;;2;2;tasteatlas_html
BOL;Bolívia;Ají de lengua;aji-de-lengua;;1;1;tasteatlas_html
COL;Colômbia;Ajiaco;ajiaco;1;8;8;tasteatlas_html
ESP;Espanha;Ajoaerriero;ajoarriero;;;;tasteatlas_html
SRB;Sérvia;Ajvar;;;;;tasteatlas_html
JPN;Japão;Akami nigiri sushi;akami-nigiri-sushi;;1;1;tasteatlas_html
PRI;Porto Rico;Alcapurria;alcapurria;2;5;5;tasteatlas_html
CAN;Canadá;Alcoholic Beverage;alcohol;;;;tasteatlas_html
JPN;Japão;Alcoholic Beverage;alcohol;;;;tasteatlas_html
ARG;Argentina;Alfajores;alfajores;;4;4;tasteatlas_html
JPN;Japão;Alga;algae;;;;tasteatlas_html
PRT;Portugal;Alheira;alheira;;;;tasteatlas_html
PRT;Portugal;Alheira de Mirandela;alheira-de-mirandela;;1;1;tasteatlas_html
MLT;Malta;Aljotta;aljotta;;;;tasteatlas_html
COL;Colômbia;Almojábana;almojabana;;4;4;tasteatlas_html
IND;Índia;Aloo paratha;aloo-paratha;;;;tasteatlas_html
PRT;Portugal;Amêijoas à Bulhão Pato;ameijoas-a-bulhao-pato;;2;2;tasteatlas_html
USA;Estados Unidos;American Babka;american-babka;;4;4;tasteatlas_html
USA;Estados Unidos;American pancakes;american-pancakes;3;12;12;tasteatlas_html
JPN;Japão;Anago nigiri sushi;anago-nigiri-sushi;;;;tasteatlas_html
FRA;França;Andouillette;andouillette;;1;1;tasteatlas_html
GBR;Reino Unido;Animal Fat;animal-fat;;;;tasteatlas_html
ITA;Itália;Animal Fat;animal-fat;;;;tasteatlas_html
KOR;Coreia do Sul;Anju;anju;;;;tasteatlas_html
JPN;Japão;Ankimo;ankimo;1;6;6;tasteatlas_html
PER;Peru;Anticuchos;anticucho;;;;tasteatlas_html
PER;Peru;Anticuchos de corazon;anticucho-de-corazon;;4;4;tasteatlas_html
GRC;Grécia;Antikristo;antikristo;1;6;6;tasteatlas_html
GRC;Grécia;Antzougia;antzougia;;;;tasteatlas_html
USA;Estados Unidos;Apizza;apizza;1;11;11;tasteatlas_html
FRA;França;Appetizer;Appetizers;;;;tasteatlas_html
GBR;Reino Unido;Appetizer;Appetizers;;;;tasteatlas_html
IRL;República da Irlanda;Appetizer;Appetizers;;;;tasteatlas_html
NZL;Nova Zelândia;Appetizer;Appetizers;;;;tasteatlas_html
USA;Estados Unidos;Appetizer;Appetizers;;;;tasteatlas_html
USA;Estados Unidos;Apple Crisp;apple-crisp;;1;1;tasteatlas_html
USA;Estados Unidos;Apple Pie;apple-pie;;1;1;tasteatlas_html
ARG;Argentina;Arabian Empanadas;arabian-empanadas;;1;1;tasteatlas_html
COL;Colômbia;Arepa;arepa;3;5;5;tasteatlas_html
VEN;Venezuela;Arepa;arepa;4;7;7;tasteatlas_html
COL;Colômbia;Arepa de huevo;arepa-de-huevo;;1;1;tasteatlas_html
COL;Colômbia;Arepa de queso;arepa-de-queso;;1;1;tasteatlas_html
VEN;Venezuela;Arepa reina pepiada;arepa-reina-pepiada;;1;1;tasteatlas_html
COL;Colômbia;Arepa Santandereana;arepa-santandereana;;3;3;tasteatlas_html
ESP;Espanha;Arròs negre;arros-negre;;;;tasteatlas_html
PRI;Porto Rico;Arroz con gandules;arroz-con-gandules;;1;1;tasteatlas_html
ESP;Espanha;Arroz con leche;arroz-con-leche;;1;1;tasteatlas_html
PER;Peru;Arroz con pato a la chiclayana;arroz-con-pato-a-la-chiclayana;;1;1;tasteatlas_html
BOL;Bolívia;Arroz con queso;arroz-con-queso;;2;2;tasteatlas_html
PRT;Portugal;Arroz de marisco;arroz-de-marisco;;;;tasteatlas_html
PRT;Portugal;Arroz de pato;arroz-de-pato;;;;tasteatlas_html
PRT;Portugal;Arroz de tamboril;arroz-de-tamboril;;;;tasteatlas_html
PRI;Porto Rico;Arroz y habichuelas;arroz-y-habichuelas;;1;1;tasteatlas_html
BRA;Brasil;Arrumadinho;arrumadinho;;;;tasteatlas_html
IDN;Indonésia;Arsik;arsik;1;6;6;tasteatlas_html
SWE;Suécia;Ärtsoppa;artsoppa;;2;2;tasteatlas_html
ARG;Argentina;Asado;asado;1;12;12;tasteatlas_html
VEN;Venezuela;Asado negro;asado-negro;;;;tasteatlas_html
IRN;Irão;Ash reshteh;ash-reshteh;1;5;5;tasteatlas_html
IRN;Irão;Ash-e jo;ash-e-jo;;;;tasteatlas_html
IDN;Indonésia;Asinan;asinan;1;7;7;tasteatlas_html
LVA;Letónia;Aukstā zupa;auksta-zupa;;3;3;tasteatlas_html
IND;Índia;Avial;avial;;1;1;tasteatlas_html
AUS;Austrália;Avocado Toast;avocado-toast;7;12;12;tasteatlas_html
IDN;Indonésia;Ayam betutu;ayam-betutu;;;;tasteatlas_html
FRA;França;Baba au rhum;baba-au-rhum;;;;tasteatlas_html
LBN;Líbano;Baba ghanoush;baba-ghanoush;;1;1;tasteatlas_html
SYR;Síria;Baba ghanoush;baba-ghanoush;;2;2;tasteatlas_html
IDN;Indonésia;Babi panggang;babi-panggang;;4;4;tasteatlas_html
PRT;Portugal;Bacalhau;bacalhau;;;;tasteatlas_html
PRT;Portugal;Bacalhau à brás;bacalhau-a-bras;;;;tasteatlas_html
PRT;Portugal;Bacalhau à lagareiro;bacalhau-a-lagareiro;;;;tasteatlas_html
PRT;Portugal;Bacalhau com natas;bacalhau-com-natas;;;;tasteatlas_html
ITA;Itália;Baccalà alla Vicentina;baccala-alla-vicentina;;1;1;tasteatlas_html
ITA;Itália;Baccalà mantecato;baccala-mantecato;;1;1;tasteatlas_html
IRL;República da Irlanda;Bacon and cabbage;bacon-and-cabbage;;2;2;tasteatlas_html
USA;Estados Unidos;Bagel and Lox;bagel-and-lox;1;15;15;tasteatlas_html
MAR;Marrocos;Baghrir;baghrir;;;;tasteatlas_html
BHS;Bahamas;Bahamian Stew Fish;bahamian-stew-fish;;1;1;tasteatlas_html
BRA;Brasil;Baião-de-dois;baiao-de-dois;1;5;5;tasteatlas_html
BRB;Barbados;Bajan Macaroni Pie and Flying Fish;bajan-macaroni-pie-and-flying-fish;;1;1;tasteatlas_html
SGP;Singapura;Bak kut teh;bak-kut-teh;4;6;6;tasteatlas_html
TTO;Trindade e Tobago;Bake and Shark;bake-and-shark;1;7;7;tasteatlas_html
CAN;Canadá;Baked Goods;baked-goods;;;;tasteatlas_html
TUR;Turquia;Baklava;baklava;1;32;32;tasteatlas_html
TUR;Turquia;Bal kaymak;bal-kaymak;1;12;12;tasteatlas_html
ARE;Emirados Árabes Unidos;Balaleet;balaleet;;1;1;tasteatlas_html
LTU;Lituânia;Balandėliai;balandeliai;;;;tasteatlas_html
ABW;Aruba;Balchi di pisca;balchi-di-piska;;1;1;tasteatlas_html
