iso3;country;continent;area_km2;highest_point;highest_point_m;capital;latitude;longitude;avg_temp_c;avg_precip_mm;description;source_climate
ABW;Aruba;América do Norte e América Central;0.000178916378;Mount Jamanota;188.0;Oranjestad;12.518611111;-70.035833333;;;país insular caribenho constituinte do Reino dos Países Baixos;
AFG;Afeganistão;Ásia;0.65223;Noshaq;7492.0;Cabul;34.532777777;69.165833333;;;país na Ásia Central e Meridional;
AGO;Angola;África;1.2467;Morro do Moco;2619.0;Luanda;-8.838333333;13.234444444;;;país na costa oeste da África Austral;
ALB;Albânia;Europa;0.028748;Monte Korab;2764.0;Tirana;41.328888888;19.817777777;;;pequeno país montanhoso da península Balcânica, no sudeste da Europa;
AND;Andorra;Europa;0.000468;Coma Pedrosa;2942.0;Andorra-a-Velha;42.507222222;1.522222222;;;microestado na Península Ibérica;
ARE;Emirados Árabes Unidos;Ásia;0.0836;Jebel Jais;1911.0;Abu Dhabi;24.451111111;54.396944444;;;país na Ásia Ocidental;
ARG;Argentina;América do Sul;2.7804;Aconcágua;6962.0;Buenos Aires;-34.599722222;-58.381944444;;;país na América do Sul;
ARM;Arménia;Ásia;0.029743423459000003;Aragats;4090.0;Erevã;40.181388888;44.514444444;;;país na Ásia Ocidental;
ATG;Antígua e Barbuda;América do Norte e América Central;0.00044029000000000003;Monte Obama;402.0;São João;17.121111111;-61.844722222;;;país nas Pequenas Antilhas das Índias Ocidentais;
AUS;Austrália;Oceania;7.692024;Pico Mawson;2745.0;Camberra;-35.293055555;149.126944444;;;país da Oceania;
AUT;Áustria;Europa;0.08387899;Grossglockner;3798.0;Viena;48.208333333;16.3725;;;país localizado na Europa Central;
AZE;Azerbaijão;Ásia;0.0866;Bazarduzu Dagi;4466.0;Baku;40.366655555;49.835183333;;;país no cruzamento da Europa Oriental e da Ásia Ocidental no Cáucaso;
BDI;Burundi;África;0.027834;Monte Heha;2684.0;Guitega;-3.428333333;29.925;;;país de África;
BEL;Bélgica;Europa;0.030688;Signal de Botrange;694.24;Bruxelas;50.846666666;4.351666666;;;país da Europa;
BEN;Benim;África;0.114763;Monte Sokbaro;658.0;Porto Novo;6.483333333;2.616666666;;;país africano;
BFA;Burquina Fasso;África;0.2742;Monte Tenakourou;749.0;Uagadugu;12.368611111;-1.5275;;;país de África;
