iso3;country;neighbors_iso3;neighbors_count;border_km_total;timezones;timezones_count;capital_lat;capital_lon;seasons_estimate
ABW;Aruba;;0;;UTC−04:00;1;12.518611111;-70.035833333;4
AFG;Afeganistão;CHN,IRN,PAK,TJK,TKM,UZB;6;;UTC+2,UTC+3,UTC+3:30,UTC+4:30,UTC+6;5;34.532777777;69.165833333;4
AGO;Angola;COD,COG,GAB,NAM,ZMB;5;;UTC+1,UTC+2;2;-8.838333333;13.234444444;2
ALB;Albânia;GRC,MKD,MNE,SRB;4;;UTC+1,UTC+2,UTC+3;3;41.328888888;19.817777777;4
AND;Andorra;ESP,FRA;2;;UTC+1,UTC+2;2;42.507222222;1.522222222;4
ARE;Emirados Árabes Unidos;IRN,OMN,SAU;3;;UTC+1,UTC+2,UTC+3,UTC+3:30,UTC+4;5;24.451111111;54.396944444;4
ARG;Argentina;BOL,BRA,CHL,GBR,PRY,URY;6;;UTC+1,UTC−04:00,UTC−2,UTC−3;4;-34.599722222;-58.381944444;4
ARM;Arménia;AZE,GEO,IRN,TUR;4;;UTC+3,UTC+4;2;40.181388888;44.514444444;4
ATG;Antígua e Barbuda;GBR;1;;UTC+1,UTC−04:00;2;17.121111111;-61.844722222;4
AUS;Austrália;IDN,NZL,PNG,SLB,TLS,VUT;6;;UTC+1,UTC+10,UTC+10:30,UTC+11,UTC+11:30,UTC+5,UTC+6:30,UTC+7,UTC+8,UTC+8:45,UTC+9,UTC+9:30;12;-35.293055555;149.126944444;4
AUT;Áustria;CHE,CZE,DEU,HUN,ITA,LIE,SVK,SVN;8;;UTC+1,UTC+2,UTC−1,UTC−2;4;48.208333333;16.3725;4
AZE;Azerbaijão;ARM,GEO,IRN,RUS,TUR;5;;UTC+3,UTC+4,UTC+5;3;40.366655555;49.835183333;4
BDI;Burundi;COD,RWA,TZA;3;;UTC+2,UTC+3;2;-3.428333333;29.925;2
BEL;Bélgica;DEU,FRA,LUX,NLD;4;;UTC+1,UTC+2;2;50.846666666;4.351666666;4
BEN;Benim;BFA,NER,NGA,TGO;4;;UTC+1;1;6.483333333;2.616666666;2
BFA;Burquina Fasso;BEN,CIV,GHA,MLI,NER,TGO;6;;UTC+0,UTC+1;2;12.368611111;-1.5275;4
BGD;Bangladesh;IND,MMR;2;;UTC+1,UTC+5:30,UTC+6;3;23.728888888;90.394444444;4
BGR;Bulgária;GRC,MKD,ROU,SRB,TUR;5;;UTC+2,UTC+3;2;42.697886;23.321726;4
BHR;Bahrein;IRN,SAU;2;;UTC+2,UTC+3,UTC+3:30,UTC+5:30;4;26.225;50.5775;4
BHS;Bahamas;GBR,USA;2;;UTC+1,UTC−04:00,UTC−5;3;25.078055555;-77.338611111;4
BIH;Bósnia e Herzegovina;HRV,MNE,SRB;3;;UTC+1,UTC+2;2;43.856388888;18.413055555;4
BLR;Bielorrússia;LTU,LVA,POL,RUS,UKR;5;;UTC+10,UTC+11,UTC+12,UTC+2,UTC+3,UTC+4,UTC+5,UTC+6,UTC+7,UTC+8,UTC+9;11;53.902246;27.561837;4
BLZ;Belize;GTM,MEX;2;;UTC+1,UTC−6;2;17.25;-88.7675;4
BOL;Bolívia;ARG,BRA,CHL,PER,PRY;5;;UTC+1,UTC−04:00,UTC−3;3;-16.495833333;-68.133333333;4
BRA;Brasil;ARG,BOL,COL,FRA,GUY,PER,PRY,SUR,URY,VEN;10;;UTC+1,UTC−04:00,UTC−2,UTC−3,UTC−5;5;-15.793888888;-47.882777777;4
BRB;Barbados;;0;;UTC−04:00;1;13.0975;-59.616666666;4
BRN;Brunei;MYS;1;;UTC+1,UTC+7,UTC+8;3;4.916666666;114.916666666;2
BTN;Butão;CHN,IND;2;;UTC+6,UTC+7;2;27.47135;89.63367;4
BWA;Botsuana;NAM,ZAF,ZMB,ZWE;4;;UTC+2;1;-24.656944444;25.908611111;4
CAF;República Centro-Africana;CMR,COD,COG,SDN,SSD,TCD;6;;UTC+1;1;4.37325;18.562833333;2
CAN;Canadá;USA;1;;UTC+0,UTC+1,UTC+3:30,UTC−04:00,UTC−2:30,UTC−3,UTC−3:30,UTC−5,UTC−6,UTC−7,UTC−8;11;45.424722222;-75.695;4
CHE;Suíça;AUT,DEU,FRA,ITA,LIE;5;;UTC+1,UTC+2;2;46.94798;7.44743;4
CHL;Chile;ARG,BOL,PER;3;;UTC+1,UTC−04:00,UTC−3,UTC−5,UTC−6;5;-33.4375;-70.65;4
CHN;China;AFG,BTN,IND,JPN,KAZ,KGZ,KOR,LAO,MMR,MNG,NPL,PAK,PRK,RUS,TJK,VNM;16;;UTC+1,UTC+6,UTC+7,UTC+8,UTC+9,UTC−8;6;39.90403;116.407526;4
CIV;Costa do Marfim;BFA,GHA,GIN,LBR,MLI;5;;UTC+0,UTC+1,UTC+3;3;6.816111111;-5.274166666;2
CMR;Camarões;CAF,COG,GAB,GNQ,NGA,TCD;6;;UTC+1;1;3.857777777;11.518055555;2
COD;República Democrática do Congo;AGO,BDI,CAF,CMR,COG,RWA,SDN,SSD,TZA,UGA,ZMB;11;;UTC+1,UTC+2,UTC+3;3;-4.321944444;15.311944444;2
COG;República do Congo;AGO,CAF,CMR,COD,GAB;5;;UTC+1,UTC+2;2;-4.269444444;15.271111111;2
COK;Ilhas Cook;;0;;UTC−10;1;-21.207;-159.771;4
COL;Colômbia;BRA,ECU,NIC,PAN,PER,VEN;6;;UTC+1,UTC−5;2;4.60971;-74.08175;2
COM;Comores;FRA,MDG,MOZ,SYC,TZA;5;;UTC+3;1;-11.703611111;43.253611111;4
CPV;Cabo Verde;;0;;UTC+1,UTC−1;2;14.917719444;-23.509155555;4
CRI;Costa Rica;NIC,PAN;2;;UTC+1,UTC−5,UTC−6;3;9.932738888;-84.079613888;2
CUB;Cuba;GBR,USA;2;;UTC+1,UTC−04:00,UTC−5;3;23.136666666;-82.358888888;4
CYP;Chipre;GBR,ISR,TUR;3;;UTC+2,UTC+3,UTC+3:30;3;35.1725;33.365;4
CZE;Chéquia;AUT,DEU,POL,SVK;4;;UTC+1,UTC+2,UTC+3;3;50.0875;14.421388888;4
DEU;Alemanha;AUT,BEL,CHE,CZE,DNK,FRA,LUX,POL;8;;UTC+1,UTC+2,UTC+3,UTC−1,UTC−2;5;52.516666666;13.383333333;4
DJI;Djibouti;ERI,ETH,SOM;3;;UTC+1,UTC+3;2;11.595;43.148055555;4
DMA;Dominica;VEN;1;;UTC−04:00;1;15.3;-61.383333333;4
