"iso3";"status";"info";"ts"
"ABW";"ok";"fetched";"2025-10-14T22:39:28.126407"
"AFG";"ok";"fetched";"2025-10-14T22:39:33.673900"
"AGO";"ok";"fetched";"2025-10-14T22:39:37.513983"
"AIA";"ok";"fetched";"2025-10-14T22:39:42.367322"
"ALA";"ok";"fetched";"2025-10-14T22:39:45.618786"
"ALB";"ok";"fetched";"2025-10-14T22:39:49.683572"
"AND";"ok";"fetched";"2025-10-14T22:39:53.037661"
"ARE";"ok";"fetched";"2025-10-14T22:40:02.087962"
"ARG";"ok";"fetched";"2025-10-14T22:40:06.531545"
"ARM";"ok";"fetched";"2025-10-14T22:40:10.212312"
"ASM";"ok";"fetched";"2025-10-14T22:40:17.218690"
"ATA";"ok";"fetched";"2025-10-14T22:40:21.107913"
"ATF";"ok";"fetched";"2025-10-14T22:40:32.799789"
"ATG";"ok";"fetched";"2025-10-14T22:40:38.277693"
"AUS";"ok";"fetched";"2025-10-14T22:40:42.466522"
"AUT";"ok";"fetched";"2025-10-14T22:40:47.451083"
"AZE";"ok";"fetched";"2025-10-14T22:40:51.817605"
"BDI";"ok";"fetched";"2025-10-14T22:41:01.307930"
"BEL";"ok";"fetched";"2025-10-14T22:41:08.362328"
"BEN";"ok";"fetched";"2025-10-14T22:41:12.307265"
"BES";"ok";"fetched";"2025-10-14T22:41:21.787256"
"BFA";"ok";"fetched";"2025-10-14T22:41:25.779792"
"BGD";"ok";"fetched";"2025-10-14T22:41:29.558355"
"BGR";"ok";"fetched";"2025-10-14T22:41:33.623116"
"BHR";"ok";"fetched";"2025-10-14T22:41:37.436661"
"BHS";"ok";"fetched";"2025-10-14T22:41:41.430405"
"BIH";"ok";"fetched";"2025-10-14T22:41:44.534302"
"BLM";"ok";"fetched";"2025-10-14T22:41:55.454328"
"BLR";"ok";"fetched";"2025-10-14T22:42:00.190544"
"BLZ";"ok";"fetched";"2025-10-14T22:42:04.362242"
"BMU";"ok";"fetched";"2025-10-14T22:42:13.751594"
"BOL";"ok";"fetched";"2025-10-14T22:42:17.667853"
"BRA";"ok";"fetched";"2025-10-14T22:42:21.311798"
"BRB";"ok";"fetched";"2025-10-14T22:42:24.480497"
"BRN";"ok";"fetched";"2025-10-14T22:42:28.473126"
"BTN";"ok";"fetched";"2025-10-14T22:42:35.044058"
"BVT";"ok";"fetched";"2025-10-14T22:42:43.113876"
"BWA";"ok";"fetched";"2025-10-14T22:42:47.442091"
"CAF";"ok";"fetched";"2025-10-14T22:42:51.109601"
"CAN";"ok";"fetched";"2025-10-14T22:42:55.600371"
"CCK";"ok";"fetched";"2025-10-14T22:43:02.071663"
"CHE";"ok";"fetched";"2025-10-14T22:43:05.801472"
"CHL";"ok";"fetched";"2025-10-14T22:43:09.562266"
"CHN";"ok";"fetched";"2025-10-14T22:43:14.174450"
"CIV";"ok";"fetched";"2025-10-14T22:43:17.827896"
"CMR";"ok";"fetched";"2025-10-14T22:43:24.883996"
"COD";"ok";"fetched";"2025-10-14T22:43:29.410256"
"COG";"ok";"fetched";"2025-10-14T22:43:33.123639"
"COK";"ok";"fetched";"2025-10-14T22:43:39.812767"
"COL";"ok";"fetched";"2025-10-14T22:43:44.343967"
"COM";"ok";"fetched";"2025-10-14T22:43:49.889669"
"CPV";"ok";"fetched";"2025-10-14T22:43:53.607857"
"CRI";"ok";"fetched";"2025-10-14T22:44:02.328911"
"CUB";"ok";"fetched";"2025-10-14T22:44:06.478415"
"CUW";"ok";"fetched";"2025-10-14T22:44:09.905785"
"CXR";"ok";"fetched";"2025-10-14T22:44:21.459938"
"CYM";"ok";"fetched";"2025-10-14T22:44:29.129406"
"CYP";"ok";"fetched";"2025-10-14T22:44:33.308750"
"CZE";"ok";"fetched";"2025-10-14T22:44:37.975428"
"DEU";"ok";"fetched";"2025-10-14T22:44:42.985045"
"DJI";"ok";"fetched";"2025-10-14T22:44:47.246879"
"DMA";"ok";"fetched";"2025-10-14T22:44:53.939249"
"DNK";"ok";"fetched";"2025-10-14T22:44:57.130492"
"DOM";"ok";"fetched";"2025-10-14T22:45:03.130235"
"DZA";"ok";"fetched";"2025-10-14T22:45:09.785607"
"ECU";"ok";"fetched";"2025-10-14T22:45:13.842892"
"EGY";"ok";"fetched";"2025-10-14T22:45:20.202389"
"ERI";"ok";"fetched";"2025-10-14T22:45:26.751815"
"ESH";"ok";"fetched";"2025-10-14T22:45:34.843676"
"ESP";"ok";"fetched";"2025-10-14T22:45:39.791364"
"EST";"ok";"fetched";"2025-10-14T22:45:46.834518"
"ETH";"ok";"fetched";"2025-10-14T22:45:50.366733"
"FIN";"ok";"fetched";"2025-10-14T22:45:54.727082"
"FJI";"ok";"fetched";"2025-10-14T22:46:00.556260"
"FLK";"ok";"fetched";"2025-10-14T22:46:03.626227"
"FRA";"ok";"fetched";"2025-10-14T22:46:08.062911"
"FRO";"ok";"fetched";"2025-10-14T22:46:11.791008"
"FSM";"ok";"fetched";"2025-10-14T22:46:19.686495"
"GAB";"ok";"fetched";"2025-10-14T22:46:25.536487"
"GBR";"ok";"fetched";"2025-10-14T22:46:29.795517"
"GEO";"ok";"fetched";"2025-10-14T22:46:34.046664"
"GGY";"ok";"fetched";"2025-10-14T22:46:47.738340"
"GHA";"ok";"fetched";"2025-10-14T22:46:51.802541"
"GIB";"ok";"fetched";"2025-10-14T22:46:58.020878"
"GIN";"ok";"fetched";"2025-10-14T22:47:01.383866"
"GLP";"ok";"fetched";"2025-10-14T22:47:08.513872"
"GMB";"ok";"fetched";"2025-10-14T22:47:13.482806"
"GNB";"ok";"fetched";"2025-10-14T22:47:19.589528"
"GNQ";"ok";"fetched";"2025-10-14T22:47:30.799668"
"GRC";"ok";"fetched";"2025-10-14T22:47:35.300634"
"GRD";"ok";"fetched";"2025-10-14T22:47:43.552959"
"GRL";"ok";"fetched";"2025-10-14T22:47:49.692032"
"GTM";"ok";"fetched";"2025-10-14T22:47:53.858901"
"GUF";"ok";"fetched";"2025-10-14T22:48:00.654087"
"GUM";"ok";"fetched";"2025-10-14T22:48:08.091794"
"GUY";"ok";"fetched";"2025-10-14T22:48:12.229640"
"HKG";"ok";"fetched";"2025-10-14T22:48:15.616971"
"HMD";"ok";"fetched";"2025-10-14T22:48:23.887940"
"HND";"ok";"fetched";"2025-10-14T22:48:29.349367"
"HRV";"ok";"fetched";"2025-10-14T22:48:32.877509"
"HTI";"ok";"fetched";"2025-10-14T22:48:35.866214"
"HUN";"ok";"fetched";"2025-10-14T22:48:40.145888"
"IDN";"ok";"fetched";"2025-10-14T22:48:44.658534"
"IMN";"ok";"fetched";"2025-10-14T22:48:51.321385"
"IND";"ok";"fetched";"2025-10-14T22:48:57.602057"
"IOT";"ok";"fetched";"2025-10-14T22:49:04.113030"
"IRL";"ok";"fetched";"2025-10-14T22:49:08.850219"
"IRN";"ok";"fetched";"2025-10-14T22:49:14.957042"
"IRQ";"ok";"fetched";"2025-10-14T22:49:17.994230"
"ISL";"ok";"fetched";"2025-10-14T22:49:22.524751"
"ISR";"ok";"fetched";"2025-10-14T22:49:26.121041"
"ITA";"ok";"fetched";"2025-10-14T22:49:30.792603"
"JAM";"ok";"fetched";"2025-10-14T22:49:34.276746"
"JEY";"ok";"fetched";"2025-10-14T22:49:40.025854"
"JOR";"ok";"fetched";"2025-10-14T22:49:44.175037"
"JPN";"ok";"fetched";"2025-10-14T22:49:48.614904"
"KAZ";"ok";"fetched";"2025-10-14T22:49:53.034760"
"KEN";"ok";"fetched";"2025-10-14T22:49:57.295475"
"KGZ";"ok";"fetched";"2025-10-14T22:50:04.992715"
"KHM";"ok";"fetched";"2025-10-14T22:50:08.959942"
"KIR";"ok";"fetched";"2025-10-14T22:50:14.882575"
"KNA";"ok";"fetched";"2025-10-14T22:50:17.883475"
"KOR";"ok";"fetched";"2025-10-14T22:50:27.631236"
"KWT";"ok";"fetched";"2025-10-14T22:50:36.782942"
"LAO";"ok";"fetched";"2025-10-15T00:15:12.402641"
"LBN";"ok";"fetched";"2025-10-15T00:15:16.141806"
"LBR";"ok";"fetched";"2025-10-15T00:15:21.184512"
"LBY";"ok";"fetched";"2025-10-15T00:15:27.625720"
"LCA";"ok";"fetched";"2025-10-15T00:15:31.285285"
"LIE";"ok";"fetched";"2025-10-15T00:15:37.422269"
"LKA";"ok";"fetched";"2025-10-15T00:15:41.492033"
"LSO";"ok";"fetched";"2025-10-15T00:15:49.287611"
"LTU";"ok";"fetched";"2025-10-15T00:15:53.256000"
"LUX";"ok";"fetched";"2025-10-15T00:16:02.414549"
"LVA";"ok";"fetched";"2025-10-15T00:16:06.044748"
"MAC";"ok";"fetched";"2025-10-15T00:16:09.771886"
"MAF";"ok";"fetched";"2025-10-15T00:16:20.150633"
"MAR";"ok";"fetched";"2025-10-15T00:16:24.619340"
"MCO";"ok";"fetched";"2025-10-15T00:16:31.925765"
"MDA";"ok";"fetched";"2025-10-15T00:16:38.341085"
"MDG";"ok";"fetched";"2025-10-15T00:16:46.583058"
"MDV";"ok";"fetched";"2025-10-15T00:16:54.072470"
"MEX";"ok";"fetched";"2025-10-15T00:16:58.427978"
"MHL";"ok";"fetched";"2025-10-15T00:17:07.326572"
"MKD";"ok";"fetched";"2025-10-15T00:17:11.341247"
"MLI";"ok";"fetched";"2025-10-15T00:17:16.067303"
"MLT";"ok";"fetched";"2025-10-15T00:17:20.013819"
"MMR";"ok";"fetched";"2025-10-15T00:17:23.667101"
"MNE";"ok";"fetched";"2025-10-15T00:17:27.580741"
"MNG";"ok";"fetched";"2025-10-15T00:17:34.728555"
"MNP";"ok";"fetched";"2025-10-15T00:18:15.034751"
"MOZ";"ok";"fetched";"2025-10-15T00:18:21.793885"
"MRT";"ok";"fetched";"2025-10-15T00:18:25.896791"
"MSR";"ok";"fetched";"2025-10-15T00:18:43.419841"
"MTQ";"ok";"fetched";"2025-10-15T00:18:46.426751"
"MUS";"ok";"fetched";"2025-10-15T00:18:51.036065"
"MWI";"ok";"fetched";"2025-10-15T00:18:56.134366"
"MYS";"ok";"fetched";"2025-10-15T00:19:00.200820"
"MYT";"ok";"fetched";"2025-10-15T00:19:05.595779"
"NAM";"ok";"fetched";"2025-10-15T00:19:33.279851"
"NCL";"ok";"fetched";"2025-10-15T00:19:42.419592"
"NER";"ok";"fetched";"2025-10-15T00:19:50.102086"
"NFK";"ok";"fetched";"2025-10-15T00:20:00.029623"
"NGA";"ok";"fetched";"2025-10-15T00:20:04.238987"
"NIC";"ok";"fetched";"2025-10-15T00:20:08.437632"
"NIU";"ok";"fetched";"2025-10-15T00:20:15.124707"
"NLD";"ok";"fetched";"2025-10-15T00:20:23.713151"
"NOR";"ok";"fetched";"2025-10-15T00:20:27.293574"
"NPL";"ok";"fetched";"2025-10-15T00:20:31.188041"
"NRU";"ok";"fetched";"2025-10-15T00:20:37.899780"
"NZL";"ok";"fetched";"2025-10-15T00:20:42.542382"
"OMN";"ok";"fetched";"2025-10-15T00:20:49.663073"
"PAK";"ok";"fetched";"2025-10-15T00:20:53.864422"
"PAN";"ok";"fetched";"2025-10-15T00:20:57.554254"
"PCN";"ok";"fetched";"2025-10-15T00:21:06.330713"
"PER";"ok";"fetched";"2025-10-15T00:21:10.296846"
"PHL";"ok";"fetched";"2025-10-15T00:21:14.806615"
"PLW";"ok";"fetched";"2025-10-15T00:21:17.809060"
"PNG";"ok";"fetched";"2025-10-15T00:21:23.823728"
"POL";"ok";"fetched";"2025-10-15T00:21:30.612775"
"PRI";"ok";"fetched";"2025-10-15T00:21:34.338834"
"PRK";"ok";"fetched";"2025-10-15T00:21:37.640972"
"PRT";"ok";"fetched";"2025-10-15T00:21:41.282183"
"PRY";"ok";"fetched";"2025-10-15T00:21:44.948451"
"PSE";"ok";"fetched";"2025-10-15T00:21:48.934535"
"PYF";"ok";"fetched";"2025-10-15T00:21:57.291649"
"QAT";"ok";"fetched";"2025-10-15T00:22:00.942377"
"REU";"ok";"fetched";"2025-10-15T00:22:03.870264"
"ROU";"ok";"fetched";"2025-10-15T00:22:08.167992"
"RUS";"ok";"fetched";"2025-10-15T00:22:12.285377"
"RWA";"ok";"fetched";"2025-10-15T00:22:19.015101"
"SAU";"ok";"fetched";"2025-10-15T00:22:22.594254"
"SDN";"ok";"fetched";"2025-10-15T00:22:31.739439"
"SEN";"ok";"fetched";"2025-10-15T00:22:35.595693"
"SGP";"ok";"fetched";"2025-10-15T00:22:40.200080"
"SGS";"ok";"fetched";"2025-10-15T00:22:49.195280"
"SHN";"ok";"fetched";"2025-10-15T00:22:57.338051"
"SJM";"ok";"fetched";"2025-10-15T00:23:05.581923"
"SLB";"ok";"fetched";"2025-10-15T00:23:09.404230"
"SLE";"ok";"fetched";"2025-10-15T00:23:13.840150"
"SLV";"ok";"fetched";"2025-10-15T00:23:17.250443"
"SMR";"ok";"fetched";"2025-10-15T00:23:22.821316"
"SOM";"ok";"fetched";"2025-10-15T00:23:31.282260"
"SPM";"ok";"fetched";"2025-10-15T00:23:39.441269"
"SRB";"ok";"fetched";"2025-10-15T00:23:45.910060"
"SSD";"ok";"fetched";"2025-10-15T00:23:48.919297"
