ISO3;Country_ID;Country;Conflict_ID;Conflict;Conflict_Type;Start;End;PointInTime;Start_Year;End_Year;Point_Year;Winner_ID;Winner;PartOf_ID;PartOf;Context_ID;Context;Place_ID;Place;Coordinates;Deaths;Source;Deaths_Num
AUS;http://www.wikidata.org/entity/Q408;Austrália;http://www.wikidata.org/entity/Q215112;Segunda Guerra dos Bôeres;guerra;1899-10-23T00:00:00Z;1902-05-31T00:00:00Z;;1899;1902;;;;http://www.wikidata.org/entity/Q6857636;military history of South Africa;;;http://www.wikidata.org/entity/Q258;África do Sul;;;participant;
AUS;http://www.wikidata.org/entity/Q408;Austrália;http://www.wikidata.org/entity/Q361;Primeira Guerra Mundial;guerra mundial;1914-07-28T00:00:00Z;1918-11-11T00:00:00Z;;1914;1918;;;;;;;;http://www.wikidata.org/entity/Q15;África;;17000000;participant;17000000.0
AUS;http://www.wikidata.org/entity/Q408;Austrália;http://www.wikidata.org/entity/Q156554;Batalha da Jutlândia;batalha naval;1916-05-31T00:00:00Z;1916-06-01T00:00:00Z;;1916;1916;;;;http://www.wikidata.org/entity/Q361;Primeira Guerra Mundial;;;http://www.wikidata.org/entity/Q1693;Mar do Norte;Point(5.9 56.7);;participant;
AUS;http://www.wikidata.org/entity/Q408;Austrália;http://www.wikidata.org/entity/Q1144824;Batalha de Messines;batalha;1917-06-07T00:00:00Z;1917-06-14T00:00:00Z;;1917;1917;;;;http://www.wikidata.org/entity/Q152989;Frente Ocidental;;;http://www.wikidata.org/entity/Q1113;Flandres Ocidental;Point(2.863888888 50.78);;participant;
AUS;http://www.wikidata.org/entity/Q408;Austrália;http://www.wikidata.org/entity/Q79911;Guerra Civil Russa;guerra civil;1917-11-07T00:00:00Z;1922-10-25T00:00:00Z;;1917;1922;;;;http://www.wikidata.org/entity/Q7318933;Revoluções de 1917-23;;;http://www.wikidata.org/entity/Q711;Mongólia;;;participant;
AUS;http://www.wikidata.org/entity/Q408;Austrália;http://www.wikidata.org/entity/Q911448;Batalha de Amiens;batalha;1918-08-08T00:00:00Z;1918-08-12T00:00:00Z;;1918;1918;;;;http://www.wikidata.org/entity/Q152989;Frente Ocidental;;;http://www.wikidata.org/entity/Q41604;Amiens;Point(2.29425 49.893913888);;participant;
AUS;http://www.wikidata.org/entity/Q408;Austrália;http://www.wikidata.org/entity/Q620215;Batalha do Monte Saint-Quentin;batalha;1918-08-31T00:00:00Z;1918-09-03T00:00:00Z;;1918;1918;;;;http://www.wikidata.org/entity/Q1130507;Ofensiva dos Cem Dias;;;http://www.wikidata.org/entity/Q3322083;Mont Saint-Quentin;Point(2.9325 49.9472);;participant;
AUS;http://www.wikidata.org/entity/Q408;Austrália;http://www.wikidata.org/entity/Q362;Segunda Guerra Mundial;guerra mundial;1939-09-01T00:00:00Z;1945-09-02T00:00:00Z;;1939;1945;;;;;;;;http://www.wikidata.org/entity/Q15;África;;73000000;participant;73000000.0
AUS;http://www.wikidata.org/entity/Q408;Austrália;http://www.wikidata.org/entity/Q154720;Batalha da Grã-Bretanha;air battle;1940-07-10T00:00:00Z;1940-10-31T00:00:00Z;1940-01-01T00:00:00Z;1940;1940;1940;;;http://www.wikidata.org/entity/Q362;Segunda Guerra Mundial;;;http://www.wikidata.org/entity/Q145;Reino Unido;Point(-2.0 54.0);;participant;
AUS;http://www.wikidata.org/entity/Q408;Austrália;http://www.wikidata.org/entity/Q696848;Guerra Anglo-Iraquiana;guerra;1941-05-02T00:00:00Z;1941-05-31T00:00:00Z;1941-01-01T00:00:00Z;1941;1941;1941;;;http://www.wikidata.org/entity/Q696817;Frente do Mediterrâneo;;;http://www.wikidata.org/entity/Q149805;Reino do Iraque;;;participant;
AUS;http://www.wikidata.org/entity/Q408;Austrália;http://www.wikidata.org/entity/Q544090;Batalha do Cabo Matapão;batalha naval;1941-03-27T00:00:00Z;1941-03-29T00:00:00Z;;1941;1941;;;;http://www.wikidata.org/entity/Q702176;Batalha do Mediterrâneo;;;http://www.wikidata.org/entity/Q849911;Cabo Taenarum;Point(22.0 35.35);;participant;
AUS;http://www.wikidata.org/entity/Q408;Austrália;http://www.wikidata.org/entity/Q296754;Batalha de Singapura;batalha;1942-02-08T00:00:00Z;1942-02-15T00:00:00Z;;1942;1942;;;;http://www.wikidata.org/entity/Q362;Segunda Guerra Mundial;;;http://www.wikidata.org/entity/Q4420036;Singapore in the Straits Settlements;Point(103.768888888 1.3525);;participant;
AUS;http://www.wikidata.org/entity/Q408;Austrália;http://www.wikidata.org/entity/Q207165;Batalha do Mar de Coral;batalha naval;1942-05-04T00:00:00Z;1942-05-08T00:00:00Z;;1942;1942;;;;http://www.wikidata.org/entity/Q2276692;Campanha da Nova Guiné;;;http://www.wikidata.org/entity/Q82931;Mar de Coral;Point(162.333333333 -16.266666666);;participant;
AUS;http://www.wikidata.org/entity/Q408;Austrália;http://www.wikidata.org/entity/Q1536686;Battle of Sunda Strait;batalha naval;1942-02-28T00:00:00Z;1942-03-01T00:00:00Z;;1942;1942;;;;http://www.wikidata.org/entity/Q362;Segunda Guerra Mundial;;;http://www.wikidata.org/entity/Q192790;Estreito de Sunda;;;participant;
AUS;http://www.wikidata.org/entity/Q408;Austrália;http://www.wikidata.org/entity/Q4873065;Battle off Endau;batalha naval;1942-01-26T00:00:00Z;1942-01-27T00:00:00Z;;1942;1942;;;;http://www.wikidata.org/entity/Q696664;Campanha da Malásia;;;;;;;participant;
AUS;http://www.wikidata.org/entity/Q408;Austrália;http://www.wikidata.org/entity/Q757871;Indian Ocean raid;batalha naval;1942-03-31T00:00:00Z;1942-04-10T00:00:00Z;;1942;1942;;;;http://www.wikidata.org/entity/Q184425;Guerra do Pacífico;;;http://www.wikidata.org/entity/Q1239;Oceano Índico;Point(80.0 -20.0);;participant;
AUS;http://www.wikidata.org/entity/Q408;Austrália;http://www.wikidata.org/entity/Q1440764;Batalha de Timor;batalha;1942-02-19T00:00:00Z;1943-02-10T00:00:00Z;;1942;1943;;;;http://www.wikidata.org/entity/Q362;Segunda Guerra Mundial;;;http://www.wikidata.org/entity/Q142965;Província Ultramarina de Timor;Point(123.63333333 -10.38333333);;participant;
AUS;http://www.wikidata.org/entity/Q408;Austrália;http://www.wikidata.org/entity/Q1129167;Convoy GP 55;batalha naval;1943-06-15T00:00:00Z;1943-06-20T00:00:00Z;;1943;1943;;;;http://www.wikidata.org/entity/Q184425;Guerra do Pacífico;;;;;;;participant;
AUS;http://www.wikidata.org/entity/Q408;Austrália;http://www.wikidata.org/entity/Q16470;Desembarques da Normandia;batalha;1944-06-06T00:00:00Z;1944-08-29T00:00:00Z;;1944;1944;;;;http://www.wikidata.org/entity/Q16471;Batalha da Normandia;;;http://www.wikidata.org/entity/Q15878;Normandia;Point(-0.6 49.34);;participant;
AUS;http://www.wikidata.org/entity/Q408;Austrália;http://www.wikidata.org/entity/Q192660;Batalha de Okinawa;batalha;1945-04-01T00:00:00Z;1945-06-23T00:00:00Z;1945-01-01T00:00:00Z;1945;1945;1945;;;http://www.wikidata.org/entity/Q362;Segunda Guerra Mundial;;;http://www.wikidata.org/entity/Q697589;Ilhas de Okinawa;Point(128.0 26.5);200656;participant;200656.0
AUS;http://www.wikidata.org/entity/Q408;Austrália;http://www.wikidata.org/entity/Q18920234;Battle of Labuan;batalha;1945-06-10T00:00:00Z;1945-06-21T00:00:00Z;;1945;1945;;;;http://www.wikidata.org/entity/Q1934591;Battle of North Borneo;;;http://www.wikidata.org/entity/Q214504;Labuan;Point(115.211 5.32028);423;participant;423.0
AUS;http://www.wikidata.org/entity/Q408;Austrália;http://www.wikidata.org/entity/Q1934591;Battle of North Borneo;batalha;1945-06-10T00:00:00Z;1945-08-15T00:00:00Z;;1945;1945;;;;http://www.wikidata.org/entity/Q184425;Guerra do Pacífico;;;http://www.wikidata.org/entity/Q1147441;Bornéu do Norte britânico;;;participant;
AUS;http://www.wikidata.org/entity/Q408;Austrália;http://www.wikidata.org/entity/Q2342102;Guerras na Indochina;guerra;1946-01-01T00:00:00Z;1989-01-01T00:00:00Z;;1946;1989;;;;;;;;http://www.wikidata.org/entity/Q11708;Sudeste Asiático;;;participant;
AUS;http://www.wikidata.org/entity/Q408;Austrália;http://www.wikidata.org/entity/Q2354629;Emergência Malaia;guerra;1948-06-16T00:00:00Z;1960-07-12T00:00:00Z;;1948;1960;;;;http://www.wikidata.org/entity/Q8683;Guerra Fria;;;http://www.wikidata.org/entity/Q18758;Península da Malásia;;;participant;
AUS;http://www.wikidata.org/entity/Q408;Austrália;http://www.wikidata.org/entity/Q8663;Guerra da Coreia;guerra;1950-06-25T00:00:00Z;1953-07-27T00:00:00Z;;1950;1953;;;;http://www.wikidata.org/entity/Q8683;Guerra Fria;;;http://www.wikidata.org/entity/Q27092;Mar do Japão;;;participant;
