ISO3;Country_ID;Country;Conflict_ID;Conflict;Conflict_Type;Start;End;PointInTime;Start_Year;End_Year;Point_Year;Winner_ID;Winner;PartOf_ID;PartOf;Context_ID;Context;Place_ID;Place;Coordinates;Deaths;Source;Deaths_Num
AUT;http://www.wikidata.org/entity/Q40;Áustria;http://www.wikidata.org/entity/Q125030839;Alho Skirmish;batalha;1921-08-29T00:00:00Z;1921-08-31T00:00:00Z;;1921;1921;;;;http://www.wikidata.org/entity/Q1219590;Uprising in West-Hungary;;;http://www.wikidata.org/entity/Q21879777;Markt Allhau;;;participant;
AUT;http://www.wikidata.org/entity/Q40;Áustria;http://www.wikidata.org/entity/Q125030977;Battle of Császárkőbanya;batalha;1921-09-23T00:00:00Z;1921-09-27T00:00:00Z;;1921;1921;;;;http://www.wikidata.org/entity/Q1219590;Uprising in West-Hungary;;;http://www.wikidata.org/entity/Q874833;Kaisersteinbruch;;;participant;
AUT;http://www.wikidata.org/entity/Q40;Áustria;http://www.wikidata.org/entity/Q125116962;Swirling Clash;batalha;1921-09-04T00:00:00Z;1921-09-05T00:00:00Z;;1921;1921;;;;http://www.wikidata.org/entity/Q1219590;Uprising in West-Hungary;;;http://www.wikidata.org/entity/Q257945;Steinbach im Burgenland;;;participant;
AUT;http://www.wikidata.org/entity/Q40;Áustria;http://www.wikidata.org/entity/Q124981340;Battle of Gyanafalva;batalha;;;1921-09-05T00:00:00Z;;;1921;;;http://www.wikidata.org/entity/Q1219590;Uprising in West-Hungary;;;http://www.wikidata.org/entity/Q660491;Jennersdorf;;;participant;
AUT;http://www.wikidata.org/entity/Q40;Áustria;http://www.wikidata.org/entity/Q125117239;Battle of Kirchschlag;batalha;;;1921-09-05T00:00:00Z;;;1921;;;http://www.wikidata.org/entity/Q1219590;Uprising in West-Hungary;;;http://www.wikidata.org/entity/Q113727969;Kirchschlag;;;participant;
AUT;http://www.wikidata.org/entity/Q40;Áustria;http://www.wikidata.org/entity/Q125122711;Felsőőri Skirmish;batalha;;;1921-08-30T00:00:00Z;;;1921;;;http://www.wikidata.org/entity/Q1219590;Uprising in West-Hungary;;;http://www.wikidata.org/entity/Q21880439;Oberwart;;;participant;
AUT;http://www.wikidata.org/entity/Q40;Áustria;http://www.wikidata.org/entity/Q125122668;Pinkafői Skirmish;batalha;;;1921-08-31T00:00:00Z;;;1921;;;http://www.wikidata.org/entity/Q1219590;Uprising in West-Hungary;;;http://www.wikidata.org/entity/Q21880438;Pinkafeld;;;participant;
AUT;http://www.wikidata.org/entity/Q40;Áustria;http://www.wikidata.org/entity/Q125122621;first skirmish at Ágfalva;batalha;;;1921-08-28T00:00:00Z;;;1921;;;http://www.wikidata.org/entity/Q1219590;Uprising in West-Hungary;;;http://www.wikidata.org/entity/Q249575;Ágfalva;;;participant;
AUT;http://www.wikidata.org/entity/Q40;Áustria;http://www.wikidata.org/entity/Q125117905;Karácsfa Skirmish;batalha;;;1922-07-19T00:00:00Z;;;1922;;;http://www.wikidata.org/entity/Q1219590;Uprising in West-Hungary;;;http://www.wikidata.org/entity/Q476319;Hagensdorf;;;participant;
AUT;http://www.wikidata.org/entity/Q40;Áustria;http://www.wikidata.org/entity/Q125117625;Mosonbánfalvi Skirmish;batalha;;;;;;;;;http://www.wikidata.org/entity/Q1219590;Uprising in West-Hungary;;;http://www.wikidata.org/entity/Q21880468;Apetlon;;;participant;
