ISO3;Country_ID;Country;Conflict_ID;Conflict;Conflict_Type;Start;End;PointInTime;Start_Year;End_Year;Point_Year;Winner_ID;Winner;PartOf_ID;PartOf;Context_ID;Context;Place_ID;Place;Coordinates;Deaths;Source;Deaths_Num
BEL;http://www.wikidata.org/entity/Q31;Bélgica;http://www.wikidata.org/entity/Q120801227;Belgian–Dutch War;guerra;1830-08-25T00:00:00Z;1833-11-18T00:00:00Z;;1830;1833;;;;;;;;http://www.wikidata.org/entity/Q31;Bélgica;;;participant;
BEL;http://www.wikidata.org/entity/Q31;Bélgica;http://www.wikidata.org/entity/Q853976;Primeira Batalha de Ypres;batalha;1914-10-19T00:00:00Z;1914-11-22T00:00:00Z;;1914;1914;;;;http://www.wikidata.org/entity/Q250747;Corrida para o mar;;;http://www.wikidata.org/entity/Q102728;Ypres;Point(2.891111111 50.851944444);;participant;
BEL;http://www.wikidata.org/entity/Q31;Bélgica;http://www.wikidata.org/entity/Q1088364;Batalha de La Lys;batalha;1918-04-07T00:00:00Z;1918-04-29T00:00:00Z;;1918;1918;;;;http://www.wikidata.org/entity/Q152989;Frente Ocidental;;;http://www.wikidata.org/entity/Q234;Flandres;Point(2.9 50.70555556);;participant;
BEL;http://www.wikidata.org/entity/Q31;Bélgica;http://www.wikidata.org/entity/Q151340;Batalha de França;batalha;1940-05-10T00:00:00Z;1940-06-25T00:00:00Z;;1940;1940;;;;http://www.wikidata.org/entity/Q216184;Frente Ocidental;;;http://www.wikidata.org/entity/Q31;Bélgica;;;participant;
BEL;http://www.wikidata.org/entity/Q31;Bélgica;http://www.wikidata.org/entity/Q911972;Operação Dínamo;operação militar;1940-05-26T00:00:00Z;1940-06-04T00:00:00Z;;1940;1940;;;;http://www.wikidata.org/entity/Q151340;Batalha de França;;;http://www.wikidata.org/entity/Q34640;Canal da Mancha;Point(2.3575 51.0575);;participant;
BEL;http://www.wikidata.org/entity/Q31;Bélgica;http://www.wikidata.org/entity/Q16470;Desembarques da Normandia;batalha;1944-06-06T00:00:00Z;1944-08-29T00:00:00Z;;1944;1944;;;;http://www.wikidata.org/entity/Q16471;Batalha da Normandia;;;http://www.wikidata.org/entity/Q15878;Normandia;Point(-0.6 49.34);;participant;
BEL;http://www.wikidata.org/entity/Q31;Bélgica;http://www.wikidata.org/entity/Q8663;Guerra da Coreia;guerra;1950-06-25T00:00:00Z;1953-07-27T00:00:00Z;;1950;1953;;;;http://www.wikidata.org/entity/Q8683;Guerra Fria;;;http://www.wikidata.org/entity/Q27092;Mar do Japão;;;participant;
BEL;http://www.wikidata.org/entity/Q31;Bélgica;http://www.wikidata.org/entity/Q190029;Guerra do Kosovo;guerra;1998-02-27T00:00:00Z;1999-06-11T00:00:00Z;1998-02-01T00:00:00Z;1998;1999;1998;;;http://www.wikidata.org/entity/Q242352;Guerra Civil Iugoslava;;;http://www.wikidata.org/entity/Q1231;Kosovo;;;participant;
BEL;http://www.wikidata.org/entity/Q31;Bélgica;http://www.wikidata.org/entity/Q2984732;Battle of Ixmiquilpan;batalha;;;1866-09-25T00:00:00Z;;;1866;;;;;;;;;Point(-99.218888888 20.484166666);;participant;
BEL;http://www.wikidata.org/entity/Q31;Bélgica;http://www.wikidata.org/entity/Q2745406;Segunda Guerra de Shaba;guerra;;;1978-06-01T00:00:00Z;;;1978;;;http://www.wikidata.org/entity/Q12055176;Guerra Civil Angolana;;;http://www.wikidata.org/entity/Q217242;Catanga;;;participant;
