ISO3;Country_ID;Country;Conflict_ID;Conflict;Conflict_Type;Start;End;PointInTime;Start_Year;End_Year;Point_Year;Winner_ID;Winner;PartOf_ID;PartOf;Context_ID;Context;Place_ID;Place;Coordinates;Deaths;Source;Deaths_Num
ESP;http://www.wikidata.org/entity/Q29;Espanha;http://www.wikidata.org/entity/Q3119074;Spanish conquest of the Kingdom of Q'umarkaj;guerra;1524-01-01T00:00:00Z;1524-01-01T00:00:00Z;;1524;1524;;;;;;;;;;;;participant;
ESP;http://www.wikidata.org/entity/Q29;Espanha;http://www.wikidata.org/entity/Q3902588;Pequena Guerra na Hungria;guerra;1530-01-01T00:00:00Z;1552-01-01T00:00:00Z;1526-01-01T00:00:00Z;1530;1552;1526;;;http://www.wikidata.org/entity/Q786171;Guerras Otomanos-Habsburgos;;;http://www.wikidata.org/entity/Q171150;Reino da Hungria;;;participant;
ESP;http://www.wikidata.org/entity/Q29;Espanha;http://www.wikidata.org/entity/Q8049168;Yaqui Wars;guerra;1533-01-01T00:00:00Z;1929-01-01T00:00:00Z;;1533;1929;;;;http://www.wikidata.org/entity/Q3280731;Mexican Indian Wars;;;http://www.wikidata.org/entity/Q46422;Sonora;;;participant;
ESP;http://www.wikidata.org/entity/Q29;Espanha;http://www.wikidata.org/entity/Q3119136;Third Ottoman–Venetian War;guerra;1537-01-01T00:00:00Z;1540-01-01T00:00:00Z;;1537;1540;;;;http://www.wikidata.org/entity/Q1420791;Guerras Otomano-Venezianas;;;http://www.wikidata.org/entity/Q4918;Mar Mediterrâneo;;;participant;
ESP;http://www.wikidata.org/entity/Q29;Espanha;http://www.wikidata.org/entity/Q528758;Guerra do Mixtón;guerra;1540-01-01T00:00:00Z;1542-01-01T00:00:00Z;;1540;1542;;;;;;;;;;;;participant;
ESP;http://www.wikidata.org/entity/Q29;Espanha;http://www.wikidata.org/entity/Q4871029;Batalha das Flores (1591);batalha naval;1591-08-30T00:00:00Z;1591-09-01T00:00:00Z;;1591;1591;;;;http://www.wikidata.org/entity/Q430726;Guerra Anglo-Espanhola;;;http://www.wikidata.org/entity/Q25263;Açores;Point(-31.1819 39.5119);;participant;
ESP;http://www.wikidata.org/entity/Q29;Espanha;http://www.wikidata.org/entity/Q15197201;Battle of Flores;batalha naval;1592-05-20T00:00:00Z;1592-08-13T00:00:00Z;;1592;1592;;;;http://www.wikidata.org/entity/Q430726;Guerra Anglo-Espanhola;;;http://www.wikidata.org/entity/Q216752;Ilha das Flores;Point(-31.18194444 39.51194444);;participant;
ESP;http://www.wikidata.org/entity/Q29;Espanha;http://www.wikidata.org/entity/Q690361;Grande Guerra;guerra;1593-01-01T00:00:00Z;1606-01-01T00:00:00Z;1593-01-01T00:00:00Z;1593;1606;1593;;;http://www.wikidata.org/entity/Q786171;Guerras Otomanos-Habsburgos;;;http://www.wikidata.org/entity/Q28;Hungria;;;participant;
ESP;http://www.wikidata.org/entity/Q29;Espanha;http://www.wikidata.org/entity/Q97165187;Franco-Spanish War;guerra;1595-01-01T00:00:00Z;1598-01-01T00:00:00Z;;1595;1598;;;;;;;;;;;;participant;
ESP;http://www.wikidata.org/entity/Q29;Espanha;http://www.wikidata.org/entity/Q16822746;Batalha dos Mares Estreitos;batalha naval;1602-10-03T00:00:00Z;1602-10-04T00:00:00Z;;1602;1602;;;;http://www.wikidata.org/entity/Q164432;Guerra dos Oitenta Anos;;;http://www.wikidata.org/entity/Q159898;Estreito de Dover;Point(1.45 51.0);;participant;
