ISO3;Country_ID;Country;Conflict_ID;Conflict;Conflict_Type;Start;End;PointInTime;Start_Year;End_Year;Point_Year;Winner_ID;Winner;PartOf_ID;PartOf;Context_ID;Context;Place_ID;Place;Coordinates;Deaths;Source;Deaths_Num
EST;http://www.wikidata.org/entity/Q191;Estónia;http://www.wikidata.org/entity/Q15701718;Siege of Narva;batalha;1581-09-14T00:00:00Z;1581-09-16T00:00:00Z;1581-01-01T00:00:00Z;1581;1581;1581;;;http://www.wikidata.org/entity/Q246863;Guerra da Livónia;;;http://www.wikidata.org/entity/Q102158;Narva;Point(28.200555555 59.379166666);;location;
EST;http://www.wikidata.org/entity/Q191;Estónia;http://www.wikidata.org/entity/Q1634776;Guerra Russo Sueca de 1590-1595;guerra;1590-01-01T00:00:00Z;1595-01-01T00:00:00Z;;1590;1595;;;;http://www.wikidata.org/entity/Q278709;Russo-Swedish Wars;;;http://www.wikidata.org/entity/Q545;Mar Báltico;;;location;
EST;http://www.wikidata.org/entity/Q191;Estónia;http://www.wikidata.org/entity/Q924600;War against Sigismund;guerra;1598-01-01T00:00:00Z;1599-01-01T00:00:00Z;;1598;1599;;;;http://www.wikidata.org/entity/Q1645044;Polish–Swedish Wars;;;http://www.wikidata.org/entity/Q545;Mar Báltico;;;location;
EST;http://www.wikidata.org/entity/Q191;Estónia;http://www.wikidata.org/entity/Q598774;Guerra Polaco-Sueca (1600–1611);guerra;1600-01-01T00:00:00Z;1611-01-01T00:00:00Z;;1600;1611;;;;http://www.wikidata.org/entity/Q2067876;Polish–Swedish War of 1600-1629;;;http://www.wikidata.org/entity/Q191;Estónia;;;location;
EST;http://www.wikidata.org/entity/Q191;Estónia;http://www.wikidata.org/entity/Q4110458;Siege of Pärnu;batalha;1609-02-28T00:00:00Z;1609-03-02T00:00:00Z;;1609;1609;;;;http://www.wikidata.org/entity/Q598774;Guerra Polaco-Sueca (1600–1611);;;http://www.wikidata.org/entity/Q102365;Pärnu;Point(24.498888888 58.384444444);;location;
EST;http://www.wikidata.org/entity/Q191;Estónia;http://www.wikidata.org/entity/Q2985977;Guerra polaco–sueca;guerra;1626-01-01T00:00:00Z;1629-01-01T00:00:00Z;;1626;1629;;;;http://www.wikidata.org/entity/Q2067876;Polish–Swedish War of 1600-1629;;;http://www.wikidata.org/entity/Q545;Mar Báltico;;;location;
EST;http://www.wikidata.org/entity/Q191;Estónia;http://www.wikidata.org/entity/Q4337374;Siege of Dorpat;batalha;1656-06-01T00:00:00Z;1656-10-23T00:00:00Z;;1656;1656;;;;;;;;http://www.wikidata.org/entity/Q13972;Tartu;Point(26.7225 58.38);;location;
EST;http://www.wikidata.org/entity/Q191;Estónia;http://www.wikidata.org/entity/Q4337376;Siege of Tartu;batalha;1657-07-01T00:00:00Z;1657-08-01T00:00:00Z;1657-01-01T00:00:00Z;1657;1657;1657;;;http://www.wikidata.org/entity/Q629965;Russo-Swedish War of 1656–58;;;http://www.wikidata.org/entity/Q13972;Tartu;Point(26.7225 58.38);;location;
EST;http://www.wikidata.org/entity/Q191;Estónia;http://www.wikidata.org/entity/Q694054;Siege of Narva;batalha;1704-06-27T00:00:00Z;1704-08-09T00:00:00Z;;1704;1704;;;;http://www.wikidata.org/entity/Q151616;Grande Guerra do Norte;;;http://www.wikidata.org/entity/Q102158;Narva;Point(28.200555555 59.379166666);;location;
EST;http://www.wikidata.org/entity/Q191;Estónia;http://www.wikidata.org/entity/Q254106;Guerra da Crimeia;guerra;1853-10-01T00:00:00Z;1856-02-01T00:00:00Z;;1853;1856;;;;http://www.wikidata.org/entity/Q698985;Ottoman Wars in Europe;;;http://www.wikidata.org/entity/Q545;Mar Báltico;;;location;
EST;http://www.wikidata.org/entity/Q191;Estónia;http://www.wikidata.org/entity/Q702255;Battle of the Gulf of Riga;batalha naval;1915-08-08T00:00:00Z;1915-08-19T00:00:00Z;1915-08-20T00:00:00Z;1915;1915;1915;;;http://www.wikidata.org/entity/Q361;Primeira Guerra Mundial;;;http://www.wikidata.org/entity/Q174731;Golfo de Riga;Point(23.5 57.75);;location;
EST;http://www.wikidata.org/entity/Q191;Estónia;http://www.wikidata.org/entity/Q2237192;Battle of Moon Sound;batalha naval;1917-10-19T00:00:00Z;1917-11-03T00:00:00Z;;1917;1917;;;;http://www.wikidata.org/entity/Q361;Primeira Guerra Mundial;;;http://www.wikidata.org/entity/Q545;Mar Báltico;Point(23.449978 58.601348);;location;
