ISO3;Country_ID;Country;Conflict_ID;Conflict;Conflict_Type;Start;End;PointInTime;Start_Year;End_Year;Point_Year;Winner_ID;Winner;PartOf_ID;PartOf;Context_ID;Context;Place_ID;Place;Coordinates;Deaths;Source;Deaths_Num
FRA;http://www.wikidata.org/entity/Q142;França;http://www.wikidata.org/entity/Q2297059;Batalha do Solent;batalha naval;1545-07-28T00:00:00Z;1545-07-29T00:00:00Z;;1545;1545;;;;http://www.wikidata.org/entity/Q15542964;Guerra Italiana de 1542-1546;;;http://www.wikidata.org/entity/Q1143832;Solent;Point(-1.226388888 50.7775);;participant;
FRA;http://www.wikidata.org/entity/Q142;França;http://www.wikidata.org/entity/Q2888520;Siege of Fuenterrabía;cerco;1638-06-01T00:00:00Z;1638-09-07T00:00:00Z;;1638;1638;;;;http://www.wikidata.org/entity/Q2487;Guerra dos Trinta Anos;;;http://www.wikidata.org/entity/Q492312;Hondarribia;Point(-1.8 43.36666667);;participant;
FRA;http://www.wikidata.org/entity/Q142;França;http://www.wikidata.org/entity/Q16146787;Battle of Martinique;batalha naval;1667-06-30T00:00:00Z;1667-07-07T00:00:00Z;;1667;1667;;;;http://www.wikidata.org/entity/Q916495;Segunda Guerra Anglo-Holandesa;;;http://www.wikidata.org/entity/Q589980;Saint-Pierre;Point(-61.176 14.742);;participant;
FRA;http://www.wikidata.org/entity/Q142;França;http://www.wikidata.org/entity/Q233559;Segunda Guerra dos Cem Anos;guerra;1688-01-01T00:00:00Z;1815-01-01T00:00:00Z;1689-01-01T00:00:00Z;1688;1815;1689;;;;;;;http://www.wikidata.org/entity/Q46;Europa;;;participant;
FRA;http://www.wikidata.org/entity/Q142;França;http://www.wikidata.org/entity/Q5977822;Newfoundland Expedition;batalha naval;1702-08-01T00:00:00Z;1702-10-01T00:00:00Z;;1702;1702;;;;http://www.wikidata.org/entity/Q869045;Guerra da Rainha Ana;;;http://www.wikidata.org/entity/Q48335;Terra Nova;Point(-54.6698 47.08733);;participant;
FRA;http://www.wikidata.org/entity/Q142;França;http://www.wikidata.org/entity/Q2890852;Action of 2 May 1707;batalha naval;1707-05-02T00:00:00Z;1707-05-03T00:00:00Z;;1707;1707;;;;http://www.wikidata.org/entity/Q150701;Guerra da Sucessão Espanhola;;;http://www.wikidata.org/entity/Q812895;Beachy Head;Point(0.24210556 50.73896944);;participant;
FRA;http://www.wikidata.org/entity/Q142;França;http://www.wikidata.org/entity/Q7283750;Raid on Le Havre;batalha naval;1759-07-03T00:00:00Z;1759-07-05T00:00:00Z;;1759;1759;;;;http://www.wikidata.org/entity/Q33143;Guerra dos Sete Anos;;;http://www.wikidata.org/entity/Q42810;Le Havre;Point(0.14444444 49.43722222);;participant;
FRA;http://www.wikidata.org/entity/Q142;França;http://www.wikidata.org/entity/Q19871866;Battle of Cape Finisterre;batalha naval;1761-08-13T00:00:00Z;1761-08-14T00:00:00Z;;1761;1761;;;;http://www.wikidata.org/entity/Q33143;Guerra dos Sete Anos;;;http://www.wikidata.org/entity/Q1136198;Cabo Finisterra;;;participant;
FRA;http://www.wikidata.org/entity/Q142;França;http://www.wikidata.org/entity/Q2984963;Action of 18 October 1782;batalha naval;1782-10-18T00:00:00Z;1782-10-19T00:00:00Z;;1782;1782;;;;http://www.wikidata.org/entity/Q3651696;Guerra Anglo-Francesa (1778–1783);;;;;Point(-69.31666667 19.18333333);;participant;
FRA;http://www.wikidata.org/entity/Q142;França;http://www.wikidata.org/entity/Q2601158;Battle of Trincomalee;batalha naval;1782-08-25T00:00:00Z;1782-09-03T00:00:00Z;;1782;1782;;;;http://www.wikidata.org/entity/Q40949;Guerra da Independência dos Estados Unidos;;;http://www.wikidata.org/entity/Q323873;Trincomalee;Point(81.23771667 8.54910833);;participant;
FRA;http://www.wikidata.org/entity/Q142;França;http://www.wikidata.org/entity/Q4090280;Third Battle of Ushant;batalha naval;1782-04-20T00:00:00Z;1782-04-21T00:00:00Z;;1782;1782;;;;http://www.wikidata.org/entity/Q40949;Guerra da Independência dos Estados Unidos;;;http://www.wikidata.org/entity/Q41573;Golfo da Biscaia;;;participant;
FRA;http://www.wikidata.org/entity/Q142;França;http://www.wikidata.org/entity/Q4555138;Atlantic campaign of May 1794;batalha naval;1794-05-02T00:00:00Z;1794-06-01T00:00:00Z;;1794;1794;;;;http://www.wikidata.org/entity/Q207318;Guerras Revolucionárias Francesas;;;http://www.wikidata.org/entity/Q97;Oceano Atlântico;;;participant;
FRA;http://www.wikidata.org/entity/Q142;França;http://www.wikidata.org/entity/Q7639108;Sunda Strait campaign of January 1794;batalha naval;1794-01-02T00:00:00Z;1794-02-09T00:00:00Z;;1794;1794;;;;http://www.wikidata.org/entity/Q207318;Guerras Revolucionárias Francesas;;;http://www.wikidata.org/entity/Q192790;Estreito de Sunda;;;participant;
FRA;http://www.wikidata.org/entity/Q142;França;http://www.wikidata.org/entity/Q4677221;Action of 10 April 1795;batalha naval;1795-04-10T00:00:00Z;1795-04-11T00:00:00Z;;1795;1795;;;;http://www.wikidata.org/entity/Q207318;Guerras Revolucionárias Francesas;;;http://www.wikidata.org/entity/Q1251385;Western Approaches;Point(-10.76666667 49.5);;participant;
FRA;http://www.wikidata.org/entity/Q142;França;http://www.wikidata.org/entity/Q4340192;Retirada de Cornwallis;batalha naval;1795-06-16T00:00:00Z;1795-06-17T00:00:00Z;;1795;1795;;;;http://www.wikidata.org/entity/Q207318;Guerras Revolucionárias Francesas;;;;;;;participant;
FRA;http://www.wikidata.org/entity/Q142;França;http://www.wikidata.org/entity/Q7443152;Segunda Guerra Carib;guerra;1795-01-01T00:00:00Z;1797-01-01T00:00:00Z;;1795;1797;;;;;;;;http://www.wikidata.org/entity/Q379656;São Vicente;Point(-61.2 13.25);;participant;
FRA;http://www.wikidata.org/entity/Q142;França;http://www.wikidata.org/entity/Q2113036;Expedição francesa à Irlanda;batalha naval;1796-12-15T00:00:00Z;1796-12-30T00:00:00Z;1796-12-01T00:00:00Z;1796;1796;1796;;;http://www.wikidata.org/entity/Q18817;Primeira Coligação;;;http://www.wikidata.org/entity/Q2292350;Baía de Bantry;Point(-9.8 51.6);;participant;
FRA;http://www.wikidata.org/entity/Q142;França;http://www.wikidata.org/entity/Q15262148;Newfoundland Expedition;batalha naval;1796-08-28T00:00:00Z;1796-09-05T00:00:00Z;;1796;1796;;;;http://www.wikidata.org/entity/Q18817;Primeira Coligação;;;http://www.wikidata.org/entity/Q48335;Terra Nova;Point(-59.685 52.62444444);;participant;
FRA;http://www.wikidata.org/entity/Q142;França;http://www.wikidata.org/entity/Q3061033;Action of 13 January 1797;batalha naval;1797-01-13T00:00:00Z;1797-01-16T00:00:00Z;1797-01-14T00:00:00Z;1797;1797;1797;;;http://www.wikidata.org/entity/Q207318;Guerras Revolucionárias Francesas;;;http://www.wikidata.org/entity/Q193943;Q193943;Point(-4.45444444 47.94138889);;participant;
FRA;http://www.wikidata.org/entity/Q142;França;http://www.wikidata.org/entity/Q2888504;Batalha de Fishguard;batalha;1797-02-22T00:00:00Z;1797-02-24T00:00:00Z;;1797;1797;;;;http://www.wikidata.org/entity/Q18817;Primeira Coligação;;;http://www.wikidata.org/entity/Q1018730;Fishguard;Point(-4.98041 51.9982);;participant;
FRA;http://www.wikidata.org/entity/Q142;França;http://www.wikidata.org/entity/Q4677346;Action of 30 May 1798;batalha naval;1798-05-30T00:00:00Z;1798-05-31T00:00:00Z;;1798;1798;;;;http://www.wikidata.org/entity/Q207318;Guerras Revolucionárias Francesas;;;http://www.wikidata.org/entity/Q34640;Canal da Mancha;Point(-0.11388889 49.31944444);;participant;
FRA;http://www.wikidata.org/entity/Q142;França;http://www.wikidata.org/entity/Q2984929;USS Constellation vs La Vengeance;batalha naval;1800-02-01T00:00:00Z;1800-02-02T00:00:00Z;;1800;1800;;;;http://www.wikidata.org/entity/Q655480;Quase-guerra;;;http://www.wikidata.org/entity/Q204989;Ilha de São Cristóvão;;;participant;
FRA;http://www.wikidata.org/entity/Q142;França;http://www.wikidata.org/entity/Q15282200;Algeciras Campaign;batalha naval;1801-06-13T00:00:00Z;1801-07-14T00:00:00Z;;1801;1801;;;;http://www.wikidata.org/entity/Q207318;Guerras Revolucionárias Francesas;;;http://www.wikidata.org/entity/Q36124;Estreito de Gibraltar;Point(-5.39601 36.1311);;participant;
FRA;http://www.wikidata.org/entity/Q142;França;http://www.wikidata.org/entity/Q124649;Segunda Batalha de Algeciras;batalha naval;1801-07-12T00:00:00Z;1801-07-13T00:00:00Z;;1801;1801;;;;http://www.wikidata.org/entity/Q207318;Guerras Revolucionárias Francesas;;;http://www.wikidata.org/entity/Q36124;Estreito de Gibraltar;Point(-5.5 36.0);;participant;
FRA;http://www.wikidata.org/entity/Q142;França;http://www.wikidata.org/entity/Q3486058;Battle of Crête-à-Pierrot;batalha;1802-03-04T00:00:00Z;1802-03-24T00:00:00Z;;1802;1802;;;;http://www.wikidata.org/entity/Q689128;Revolução Haitiana;;;http://www.wikidata.org/entity/Q132189;Saint-Marc;Point(-72.7 19.116666666);;participant;
FRA;http://www.wikidata.org/entity/Q142;França;http://www.wikidata.org/entity/Q13414922;Raid on Boulogne;batalha naval;1804-10-02T00:00:00Z;1804-10-03T00:00:00Z;;1804;1804;;;;http://www.wikidata.org/entity/Q78994;Guerras Napoleónicas;;;http://www.wikidata.org/entity/Q81997;Bolonha-sobre-o-Mar;Point(1.61333 50.7253);;participant;
FRA;http://www.wikidata.org/entity/Q142;França;http://www.wikidata.org/entity/Q3362247;Guerra Franco-Sueca;guerra;1805-10-31T00:00:00Z;1810-01-06T00:00:00Z;1810-01-06T00:00:00Z;1805;1810;1810;;;http://www.wikidata.org/entity/Q78994;Guerras Napoleónicas;;;http://www.wikidata.org/entity/Q682318;Pomerânia sueca;;;participant;
FRA;http://www.wikidata.org/entity/Q142;França;http://www.wikidata.org/entity/Q569290;Batalha de Fontes de Onor;batalha;1807-05-17T00:00:00Z;1811-05-05T00:00:00Z;;1807;1811;;;;http://www.wikidata.org/entity/Q152499;Guerra Peninsular;;;http://www.wikidata.org/entity/Q927947;Fontes de Onor;Point(-6.816666666 40.583333333);;participant;
FRA;http://www.wikidata.org/entity/Q142;França;http://www.wikidata.org/entity/Q3096663;Adriatic campaign of 1807–1814;batalha naval;1807-01-01T00:00:00Z;1814-01-01T00:00:00Z;;1807;1814;;;;http://www.wikidata.org/entity/Q78994;Guerras Napoleónicas;;;http://www.wikidata.org/entity/Q13924;Mar Adriático;;;participant;
FRA;http://www.wikidata.org/entity/Q142;França;http://www.wikidata.org/entity/Q1389655;Capture of the Rosily Squadron;batalha naval;1808-06-09T00:00:00Z;1808-06-14T00:00:00Z;;1808;1808;;;;http://www.wikidata.org/entity/Q152499;Guerra Peninsular;;;http://www.wikidata.org/entity/Q15682;Cádis;Point(-6.35 36.61666667);;participant;
FRA;http://www.wikidata.org/entity/Q142;França;http://www.wikidata.org/entity/Q4677225;Action of 10 February 1809;batalha naval;1809-02-08T00:00:00Z;1809-02-10T00:00:00Z;;1809;1809;;;;http://www.wikidata.org/entity/Q78994;Guerras Napoleónicas;;;http://www.wikidata.org/entity/Q29971;Ilhas de Sotavento (Antilhas);Point(-61.5 19.83333333);;participant;
FRA;http://www.wikidata.org/entity/Q142;França;http://www.wikidata.org/entity/Q19871518;Action of 15 November 1810;batalha naval;1810-11-12T00:00:00Z;1810-11-16T00:00:00Z;;1810;1810;;;;http://www.wikidata.org/entity/Q78994;Guerras Napoleónicas;;;http://www.wikidata.org/entity/Q2879719;Baie de la Seine;Point(-1.25833 49.5889);;participant;
FRA;http://www.wikidata.org/entity/Q142;França;http://www.wikidata.org/entity/Q267339;Batalha de Grand Port;batalha naval;1810-08-20T00:00:00Z;1810-08-27T00:00:00Z;;1810;1810;;;;http://www.wikidata.org/entity/Q1911564;Mauritius campaign;;;http://www.wikidata.org/entity/Q911635;Grand Port;Point(57.73388889 -20.39027778);;participant;
FRA;http://www.wikidata.org/entity/Q142;França;http://www.wikidata.org/entity/Q3365821;Invasion of Île Bonaparte;guerra naval;1810-07-07T00:00:00Z;1810-07-09T00:00:00Z;;1810;1810;;;;http://www.wikidata.org/entity/Q78994;Guerras Napoleónicas;;;http://www.wikidata.org/entity/Q47045;Saint-Denis;;;participant;
FRA;http://www.wikidata.org/entity/Q142;França;http://www.wikidata.org/entity/Q19871523;Action of 24 March 1811;batalha naval;1811-03-24T00:00:00Z;1811-03-25T00:00:00Z;;1811;1811;;;;http://www.wikidata.org/entity/Q78994;Guerras Napoleónicas;;;http://www.wikidata.org/entity/Q964781;new Gatteville Lighthouse;Point(-1.27759 49.6939);;participant;
FRA;http://www.wikidata.org/entity/Q142;França;http://www.wikidata.org/entity/Q12203897;Algerian popular resistance against French invasion;guerra;1830-01-01T00:00:00Z;1962-01-01T00:00:00Z;;1830;1962;;;;;;;;;;;;participant;
FRA;http://www.wikidata.org/entity/Q142;França;http://www.wikidata.org/entity/Q517262;Battle of Veracruz;batalha naval;1838-11-27T00:00:00Z;1838-12-05T00:00:00Z;;1838;1838;;;;http://www.wikidata.org/entity/Q856168;Guerra dos pastéis;;;http://www.wikidata.org/entity/Q173270;Veracruz;Point(-96.131388888 19.209166666);;participant;
FRA;http://www.wikidata.org/entity/Q142;França;http://www.wikidata.org/entity/Q220984;Guerras do ópio;state crime;1839-09-04T00:00:00Z;1860-10-24T00:00:00Z;;1839;1860;;;;;;;;http://www.wikidata.org/entity/Q148;China;;;participant;
FRA;http://www.wikidata.org/entity/Q142;França;http://www.wikidata.org/entity/Q2909602;Bombardment of Salé;batalha naval;1851-11-26T00:00:00Z;1851-11-27T00:00:00Z;;1851;1851;;;;http://www.wikidata.org/entity/Q118144130;Franco–Moroccan conflicts;;;http://www.wikidata.org/entity/Q466046;Salé;Point(-6.83 34.04);;participant;
FRA;http://www.wikidata.org/entity/Q142;França;http://www.wikidata.org/entity/Q815197;Cerco de Petropavlovsk;cerco;1854-08-18T00:00:00Z;1854-08-28T00:00:00Z;1854-09-01T00:00:00Z;1854;1854;1854;;;http://www.wikidata.org/entity/Q254106;Guerra da Crimeia;;;http://www.wikidata.org/entity/Q7951;Petropavlovsk-Kamchatski;Point(158.65 53.016666666);;participant;
FRA;http://www.wikidata.org/entity/Q142;França;http://www.wikidata.org/entity/Q3458306;Mokrani Revolt;guerra;1871-01-01T00:00:00Z;1872-01-01T00:00:00Z;;1871;1872;;;;http://www.wikidata.org/entity/Q2629782;Conquista francesa da Argélia;;;http://www.wikidata.org/entity/Q218272;Argélia francesa;;;participant;
FRA;http://www.wikidata.org/entity/Q142;França;http://www.wikidata.org/entity/Q2562509;Battle of Fuzhou;batalha naval;1884-08-23T00:00:00Z;1884-08-26T00:00:00Z;1884-08-01T00:00:00Z;1884;1884;1884;;;http://www.wikidata.org/entity/Q706183;Guerra Sino-Francesa;;;http://www.wikidata.org/entity/Q68481;Fuzhou;Point(119.451111111 25.976944444);;participant;
FRA;http://www.wikidata.org/entity/Q142;França;http://www.wikidata.org/entity/Q766437;Guerra do Rife;guerra;1911-06-08T00:00:00Z;1927-01-01T00:00:00Z;;1911;1927;;;;http://www.wikidata.org/entity/Q154611;período entreguerras;;;http://www.wikidata.org/entity/Q275491;Rife;;;participant;
FRA;http://www.wikidata.org/entity/Q142;França;http://www.wikidata.org/entity/Q838704;Battle of Durazzo;batalha naval;1915-12-28T00:00:00Z;1915-12-29T00:00:00Z;1915-12-29T00:00:00Z;1915;1915;1915;;;http://www.wikidata.org/entity/Q361;Primeira Guerra Mundial;;;http://www.wikidata.org/entity/Q13924;Mar Adriático;Point(19.333333333 41.283333333);;participant;
FRA;http://www.wikidata.org/entity/Q142;França;http://www.wikidata.org/entity/Q2935372;Operação Lorraine;batalha;1944-09-01T00:00:00Z;1945-03-19T00:00:00Z;1944-01-01T00:00:00Z;1944;1945;1944;;;http://www.wikidata.org/entity/Q362;Segunda Guerra Mundial;;;;;;;participant;
FRA;http://www.wikidata.org/entity/Q142;França;http://www.wikidata.org/entity/Q22082154;Battle of Authion;batalha;1945-04-10T00:00:00Z;1945-04-25T00:00:00Z;1945-04-01T00:00:00Z;1945;1945;1945;;;http://www.wikidata.org/entity/Q22247939;Second Battle of the Alps;;;http://www.wikidata.org/entity/Q3297640;Massif de l'Authion;Point(7.433039249 44.001080544);;participant;
FRA;http://www.wikidata.org/entity/Q142;França;http://www.wikidata.org/entity/Q3365438;Guerra no Vietnã (1945–1946);guerra;1945-09-13T00:00:00Z;1946-03-30T00:00:00Z;;1945;1946;;;;http://www.wikidata.org/entity/Q2342102;Guerras na Indochina;;;http://www.wikidata.org/entity/Q2289221;Sul do Vietnã;;;participant;
FRA;http://www.wikidata.org/entity/Q142;França;http://www.wikidata.org/entity/Q8663;Guerra da Coreia;guerra;1950-06-25T00:00:00Z;1953-07-27T00:00:00Z;;1950;1953;;;;http://www.wikidata.org/entity/Q8683;Guerra Fria;;;http://www.wikidata.org/entity/Q27092;Mar do Japão;;;participant;
FRA;http://www.wikidata.org/entity/Q142;França;http://www.wikidata.org/entity/Q3380491;Battle of Saigon;batalha;1955-04-28T00:00:00Z;1955-05-01T00:00:00Z;;1955;1955;;;;;;;;http://www.wikidata.org/entity/Q1854;Cidade de Ho Chi Minh;;;participant;
FRA;http://www.wikidata.org/entity/Q142;França;http://www.wikidata.org/entity/Q49101;Guerra do Suez;guerra;1956-10-29T00:00:00Z;1956-11-07T00:00:00Z;1957-03-01T00:00:00Z;1956;1956;1957;;;http://www.wikidata.org/entity/Q8669;conflito israelo-árabe;;;http://www.wikidata.org/entity/Q36755;Sinai;;;participant;
FRA;http://www.wikidata.org/entity/Q142;França;http://www.wikidata.org/entity/Q86679192;Attack on Oum El Achar;batalha;1956-06-01T00:00:00Z;1956-06-02T00:00:00Z;;1956;1956;;;;http://www.wikidata.org/entity/Q118144130;Franco–Moroccan conflicts;;;http://www.wikidata.org/entity/Q13218174;Oum El Achar;;;participant;
FRA;http://www.wikidata.org/entity/Q142;França;http://www.wikidata.org/entity/Q86679284;Battles of Atar;batalha;1957-01-12T00:00:00Z;1957-01-29T00:00:00Z;;1957;1957;;;;http://www.wikidata.org/entity/Q1640107;Guerra de Ifni;;;http://www.wikidata.org/entity/Q735645;Atar;;;participant;
FRA;http://www.wikidata.org/entity/Q142;França;http://www.wikidata.org/entity/Q1891008;Guerra das Areias;guerra;1963-09-25T00:00:00Z;1964-02-20T00:00:00Z;1963-10-01T00:00:00Z;1963;1964;1963;;;http://www.wikidata.org/entity/Q4783165;Guerra Fria Árabe;;;http://www.wikidata.org/entity/Q231151;Tindouf;;;participant;
FRA;http://www.wikidata.org/entity/Q142;França;http://www.wikidata.org/entity/Q42410550;First Chad (FROLINAT) Rebellion;guerra civil;1966-01-01T00:00:00Z;1971-01-01T00:00:00Z;;1966;1971;;;;;;;;http://www.wikidata.org/entity/Q657;Chade;;;participant;
FRA;http://www.wikidata.org/entity/Q142;França;http://www.wikidata.org/entity/Q611071;Conflito entre Chade e Líbia;guerra;1978-01-01T00:00:00Z;1987-01-01T00:00:00Z;1987-09-11T00:00:00Z;1978;1987;1987;;;;;;;http://www.wikidata.org/entity/Q657;Chade;;;participant;
FRA;http://www.wikidata.org/entity/Q142;França;http://www.wikidata.org/entity/Q27962823;Political events from 1984 to 1988 in New Caledonia;guerra civil;1984-01-01T00:00:00Z;1988-01-01T00:00:00Z;;1984;1988;;;;;;;;;;;;participant;
FRA;http://www.wikidata.org/entity/Q142;França;http://www.wikidata.org/entity/Q644589;Guerra dos Toyota;guerra;1986-12-16T00:00:00Z;1987-09-11T00:00:00Z;;1986;1987;;;;http://www.wikidata.org/entity/Q611071;Conflito entre Chade e Líbia;;;http://www.wikidata.org/entity/Q16206846;Borkou-Ennedi-Tibesti Prefecture;;;participant;
FRA;http://www.wikidata.org/entity/Q142;França;http://www.wikidata.org/entity/Q37643;Guerra do Golfo;guerra;1990-08-02T00:00:00Z;1991-02-28T00:00:00Z;;1990;1991;;;;;;;;http://www.wikidata.org/entity/Q796;Iraque;;;participant;
FRA;http://www.wikidata.org/entity/Q142;França;http://www.wikidata.org/entity/Q426722;Guerra Civil de Ruanda;guerra civil;1990-10-01T00:00:00Z;1993-08-04T00:00:00Z;;1990;1993;;;;;;;;http://www.wikidata.org/entity/Q1037;Ruanda;;;participant;
FRA;http://www.wikidata.org/entity/Q142;França;http://www.wikidata.org/entity/Q190029;Guerra do Kosovo;guerra;1998-02-27T00:00:00Z;1999-06-11T00:00:00Z;1998-02-01T00:00:00Z;1998;1999;1998;;;http://www.wikidata.org/entity/Q242352;Guerra Civil Iugoslava;;;http://www.wikidata.org/entity/Q1231;Kosovo;;;participant;
FRA;http://www.wikidata.org/entity/Q142;França;http://www.wikidata.org/entity/Q185729;Guerra ao Terror;guerra;2001-09-11T00:00:00Z;2021-08-30T00:00:00Z;;2001;2021;;;;;;;;;;;;participant;
