ISO3;Country_ID;Country;Conflict_ID;Conflict;Conflict_Type;Start;End;PointInTime;Start_Year;End_Year;Point_Year;Winner_ID;Winner;PartOf_ID;PartOf;Context_ID;Context;Place_ID;Place;Coordinates;Deaths;Source;Deaths_Num
GBR;http://www.wikidata.org/entity/Q145;Reino Unido;http://www.wikidata.org/entity/Q157627;Batalha do Atlântico;campanha militar;1939-09-03T00:00:00Z;1945-05-08T00:00:00Z;;1939;1945;;;;http://www.wikidata.org/entity/Q362;Segunda Guerra Mundial;;;http://www.wikidata.org/entity/Q97;Oceano Atlântico;;;participant;
GBR;http://www.wikidata.org/entity/Q145;Reino Unido;http://www.wikidata.org/entity/Q362;Segunda Guerra Mundial;guerra mundial;1939-09-01T00:00:00Z;1945-09-02T00:00:00Z;;1939;1945;;;;;;;;http://www.wikidata.org/entity/Q15;África;;73000000;participant;73000000.0
GBR;http://www.wikidata.org/entity/Q145;Reino Unido;http://www.wikidata.org/entity/Q154720;Batalha da Grã-Bretanha;air battle;1940-07-10T00:00:00Z;1940-10-31T00:00:00Z;1940-01-01T00:00:00Z;1940;1940;1940;;;http://www.wikidata.org/entity/Q362;Segunda Guerra Mundial;;;http://www.wikidata.org/entity/Q145;Reino Unido;Point(-2.0 54.0);;participant;
GBR;http://www.wikidata.org/entity/Q145;Reino Unido;http://www.wikidata.org/entity/Q18216807;Siege of Giarabub;batalha;1940-12-01T00:00:00Z;1941-03-21T00:00:00Z;1940-12-25T00:00:00Z;1940;1941;1940;;;http://www.wikidata.org/entity/Q625798;Campanha do Deserto Ocidental;;;http://www.wikidata.org/entity/Q284251;Al Jaghbub;Point(24.5169 29.7425);;participant;
GBR;http://www.wikidata.org/entity/Q145;Reino Unido;http://www.wikidata.org/entity/Q697625;Batalha da Bélgica;batalha;1940-05-10T00:00:00Z;1940-05-28T00:00:00Z;;1940;1940;;;;http://www.wikidata.org/entity/Q362;Segunda Guerra Mundial;;;http://www.wikidata.org/entity/Q31;Bélgica;;;participant;
GBR;http://www.wikidata.org/entity/Q145;Reino Unido;http://www.wikidata.org/entity/Q208529;Batalha de Dunquerque;batalha;1940-05-26T00:00:00Z;1940-06-04T00:00:00Z;;1940;1940;;;;http://www.wikidata.org/entity/Q362;Segunda Guerra Mundial;;;http://www.wikidata.org/entity/Q45797;Dunquerque;Point(2.376819444 51.0343);;participant;
GBR;http://www.wikidata.org/entity/Q145;Reino Unido;http://www.wikidata.org/entity/Q151340;Batalha de França;batalha;1940-05-10T00:00:00Z;1940-06-25T00:00:00Z;;1940;1940;;;;http://www.wikidata.org/entity/Q216184;Frente Ocidental;;;http://www.wikidata.org/entity/Q31;Bélgica;;;participant;
GBR;http://www.wikidata.org/entity/Q145;Reino Unido;http://www.wikidata.org/entity/Q708217;Batalha de Narvik;batalha;1940-04-09T00:00:00Z;1940-06-08T00:00:00Z;;1940;1940;;;;http://www.wikidata.org/entity/Q5084679;Campanha da Noruega;;;http://www.wikidata.org/entity/Q50630;Nordland;Point(17.56 68.420555555);;participant;
GBR;http://www.wikidata.org/entity/Q145;Reino Unido;http://www.wikidata.org/entity/Q3532325;Batalha de Roterdã;batalha;1940-05-10T00:00:00Z;1940-05-14T00:00:00Z;;1940;1940;;;;http://www.wikidata.org/entity/Q732626;liberation of the Netherlands from German occupation;;;http://www.wikidata.org/entity/Q34370;Roterdão;Point(4.47916667 51.93083333);;participant;
GBR;http://www.wikidata.org/entity/Q145;Reino Unido;http://www.wikidata.org/entity/Q16165696;Batalha do Canal Ypres−Comines;batalha;1940-05-26T00:00:00Z;1940-05-28T00:00:00Z;;1940;1940;;;;http://www.wikidata.org/entity/Q151340;Batalha de França;;;http://www.wikidata.org/entity/Q102728;Ypres;;;participant;
GBR;http://www.wikidata.org/entity/Q145;Reino Unido;http://www.wikidata.org/entity/Q56063313;Battle for Kvam;batalha;1940-04-25T00:00:00Z;1940-04-26T00:00:00Z;;1940;1940;;;;http://www.wikidata.org/entity/Q362;Segunda Guerra Mundial;;;http://www.wikidata.org/entity/Q1772293;Kvam;;;participant;
GBR;http://www.wikidata.org/entity/Q145;Reino Unido;http://www.wikidata.org/entity/Q7508662;Battle of Sidi Barrani;batalha;1940-12-10T00:00:00Z;1940-12-11T00:00:00Z;;1940;1940;;;;http://www.wikidata.org/entity/Q625798;Campanha do Deserto Ocidental;;;http://www.wikidata.org/entity/Q1018010;Sidi Barrani;Point(25.9256 31.6108);;participant;
GBR;http://www.wikidata.org/entity/Q145;Reino Unido;http://www.wikidata.org/entity/Q911972;Operação Dínamo;operação militar;1940-05-26T00:00:00Z;1940-06-04T00:00:00Z;;1940;1940;;;;http://www.wikidata.org/entity/Q151340;Batalha de França;;;http://www.wikidata.org/entity/Q34640;Canal da Mancha;Point(2.3575 51.0575);;participant;
GBR;http://www.wikidata.org/entity/Q145;Reino Unido;http://www.wikidata.org/entity/Q3535001;Åndalsnes landings;batalha;1940-04-01T00:00:00Z;1940-05-01T00:00:00Z;;1940;1940;;;;http://www.wikidata.org/entity/Q362;Segunda Guerra Mundial;;;http://www.wikidata.org/entity/Q271083;Åndalsnes;Point(7.68321944 62.56345833);;participant;
GBR;http://www.wikidata.org/entity/Q145;Reino Unido;http://www.wikidata.org/entity/Q3687151;Capture of Kassala;batalha;1940-06-10T00:00:00Z;1941-01-17T00:00:00Z;;1940;1941;;;;http://www.wikidata.org/entity/Q1052120;East African Campaign;;;http://www.wikidata.org/entity/Q1049;Sudão;Point(36.0 16.0);;participant;
GBR;http://www.wikidata.org/entity/Q145;Reino Unido;http://www.wikidata.org/entity/Q704248;Battle of Thermopylae;batalha;1941-04-24T00:00:00Z;1941-04-25T00:00:00Z;1941-01-01T00:00:00Z;1941;1941;1941;;;http://www.wikidata.org/entity/Q2888837;Batalha da Grécia;;;http://www.wikidata.org/entity/Q194450;Termópilas;Point(22.53666667 38.79638889);;participant;
GBR;http://www.wikidata.org/entity/Q145;Reino Unido;http://www.wikidata.org/entity/Q696848;Guerra Anglo-Iraquiana;guerra;1941-05-02T00:00:00Z;1941-05-31T00:00:00Z;1941-01-01T00:00:00Z;1941;1941;1941;;;http://www.wikidata.org/entity/Q696817;Frente do Mediterrâneo;;;http://www.wikidata.org/entity/Q149805;Reino do Iraque;;;participant;
GBR;http://www.wikidata.org/entity/Q145;Reino Unido;http://www.wikidata.org/entity/Q4871724;Batalha da Linha Metaxás;batalha;1941-04-06T00:00:00Z;1941-04-09T00:00:00Z;;1941;1941;;;;http://www.wikidata.org/entity/Q2888837;Batalha da Grécia;;;;;;;participant;
GBR;http://www.wikidata.org/entity/Q145;Reino Unido;http://www.wikidata.org/entity/Q153316;Batalha de Creta;batalha;1941-05-20T00:00:00Z;1941-06-01T00:00:00Z;;1941;1941;;;;http://www.wikidata.org/entity/Q162362;Campanha dos Balcãs;;;http://www.wikidata.org/entity/Q34374;Creta;Point(24.061111111 35.5);;participant;
GBR;http://www.wikidata.org/entity/Q145;Reino Unido;http://www.wikidata.org/entity/Q697059;Batalha de Hong Kong;batalha;1941-12-08T00:00:00Z;1941-12-25T00:00:00Z;;1941;1941;;;;http://www.wikidata.org/entity/Q184425;Guerra do Pacífico;;;http://www.wikidata.org/entity/Q1054923;Hong Kong britânico;Point(114.161111111 22.2825);;participant;
GBR;http://www.wikidata.org/entity/Q145;Reino Unido;http://www.wikidata.org/entity/Q544090;Batalha do Cabo Matapão;batalha naval;1941-03-27T00:00:00Z;1941-03-29T00:00:00Z;;1941;1941;;;;http://www.wikidata.org/entity/Q702176;Batalha do Mediterrâneo;;;http://www.wikidata.org/entity/Q849911;Cabo Taenarum;Point(22.0 35.35);;participant;
GBR;http://www.wikidata.org/entity/Q145;Reino Unido;http://www.wikidata.org/entity/Q3636314;Battle of Agordat;batalha;1941-01-26T00:00:00Z;1941-01-31T00:00:00Z;;1941;1941;;;;http://www.wikidata.org/entity/Q1052120;East African Campaign;;;http://www.wikidata.org/entity/Q395433;Agordat;Point(37.886667 15.548611);;participant;
