ISO3;Country_ID;Country;Conflict_ID;Conflict;Conflict_Type;Start;End;PointInTime;Start_Year;End_Year;Point_Year;Winner_ID;Winner;PartOf_ID;PartOf;Context_ID;Context;Place_ID;Place;Coordinates;Deaths;Source;Deaths_Num
JPN;http://www.wikidata.org/entity/Q17;Japão;http://www.wikidata.org/entity/Q83834887;Battle of Tjiater Pass;batalha;1942-03-05T00:00:00Z;1942-03-07T00:00:00Z;1942-03-07T00:00:00Z;1942;1942;1942;;;http://www.wikidata.org/entity/Q362;Segunda Guerra Mundial;;;http://www.wikidata.org/entity/Q952158;Ciater;;;participant;
JPN;http://www.wikidata.org/entity/Q17;Japão;http://www.wikidata.org/entity/Q624525;Battle of Busan;batalha naval;;;1592-10-05T00:00:00Z;;;1592;;;http://www.wikidata.org/entity/Q576338;Guerra Imjin;;;http://www.wikidata.org/entity/Q136032782;Busanpo;;;participant;
JPN;http://www.wikidata.org/entity/Q17;Japão;http://www.wikidata.org/entity/Q16262252;Battle of Chobayashiura;batalha naval;;;1592-01-01T00:00:00Z;;;1592;;;http://www.wikidata.org/entity/Q122846639;First Japanese Invasion of Korea;;;http://www.wikidata.org/entity/Q16182617;Jangnim-dong;;;participant;
JPN;http://www.wikidata.org/entity/Q17;Japão;http://www.wikidata.org/entity/Q626283;Battle of Danghangpo;batalha naval;;;1592-07-12T00:00:00Z;;;1592;;;http://www.wikidata.org/entity/Q122846639;First Japanese Invasion of Korea;;;http://www.wikidata.org/entity/Q50208;Goseong County;;;participant;
JPN;http://www.wikidata.org/entity/Q17;Japão;http://www.wikidata.org/entity/Q626291;Battle of Dangpo;batalha naval;;;1592-07-09T00:00:00Z;;;1592;;;http://www.wikidata.org/entity/Q122846639;First Japanese Invasion of Korea;;;http://www.wikidata.org/entity/Q42152;Tongyeong;Point(128.423611111 34.845833333);;participant;
JPN;http://www.wikidata.org/entity/Q17;Japão;http://www.wikidata.org/entity/Q4871190;Battle of Happo;batalha naval;;;1592-05-07T00:00:00Z;;;1592;;;http://www.wikidata.org/entity/Q122846639;First Japanese Invasion of Korea;;;;;;;participant;
JPN;http://www.wikidata.org/entity/Q17;Japão;http://www.wikidata.org/entity/Q16262364;Battle of Hwajungumi;batalha naval;;;1592-01-01T00:00:00Z;;;1592;;;http://www.wikidata.org/entity/Q122846639;First Japanese Invasion of Korea;;;;;;;participant;
JPN;http://www.wikidata.org/entity/Q17;Japão;http://www.wikidata.org/entity/Q626280;Battle of Jeokjinpo;batalha naval;;;1592-05-08T00:00:00Z;;;1592;;;http://www.wikidata.org/entity/Q122846639;First Japanese Invasion of Korea;;;;;;;participant;
JPN;http://www.wikidata.org/entity/Q17;Japão;http://www.wikidata.org/entity/Q482970;Battle of Sacheon;batalha naval;;;1592-07-08T00:00:00Z;;;1592;;;http://www.wikidata.org/entity/Q122846639;First Japanese Invasion of Korea;;;http://www.wikidata.org/entity/Q42100;Sacheon;Point(128.0642 35.0038);;participant;
JPN;http://www.wikidata.org/entity/Q17;Japão;http://www.wikidata.org/entity/Q11265054;Battle of Yulpo;batalha naval;;;1592-07-15T00:00:00Z;;;1592;;;http://www.wikidata.org/entity/Q122846639;First Japanese Invasion of Korea;;;;;;;participant;
JPN;http://www.wikidata.org/entity/Q17;Japão;http://www.wikidata.org/entity/Q385677;Batalha de Myeongnyang;batalha naval;;;1597-10-26T00:00:00Z;;;1597;;;http://www.wikidata.org/entity/Q20443986;Second Japanese Invasion of Korea;;;http://www.wikidata.org/entity/Q627009;Myeongnyang Strait;Point(126.307777777 34.568333333);;participant;
JPN;http://www.wikidata.org/entity/Q17;Japão;http://www.wikidata.org/entity/Q12606514;Battle of Eoranpo;batalha naval;;;1597-10-07T00:00:00Z;;;1597;;;http://www.wikidata.org/entity/Q20443986;Second Japanese Invasion of Korea;;;;;;;participant;
JPN;http://www.wikidata.org/entity/Q17;Japão;http://www.wikidata.org/entity/Q12598161;Battle of Hekihazu;batalha naval;;;1597-10-16T00:00:00Z;;;1597;;;http://www.wikidata.org/entity/Q20443986;Second Japanese Invasion of Korea;;;;;;;participant;
JPN;http://www.wikidata.org/entity/Q17;Japão;http://www.wikidata.org/entity/Q484271;Batalha de Noryang;batalha naval;;;1598-12-16T00:00:00Z;;;1598;;;http://www.wikidata.org/entity/Q576338;Guerra Imjin;;;http://www.wikidata.org/entity/Q12590340;Q12590340;Point(127.87638889 34.94527778);;participant;
JPN;http://www.wikidata.org/entity/Q17;Japão;http://www.wikidata.org/entity/Q12615407;Battle of Jeolido;batalha naval;;;1598-08-20T00:00:00Z;;;1598;;;http://www.wikidata.org/entity/Q20948567;Q20948567;;;http://www.wikidata.org/entity/Q16179652;Geogeumdo;;;participant;
