ISO3;Country_ID;Country;Conflict_ID;Conflict;Conflict_Type;Start;End;PointInTime;Start_Year;End_Year;Point_Year;Winner_ID;Winner;PartOf_ID;PartOf;Context_ID;Context;Place_ID;Place;Coordinates;Deaths;Source;Deaths_Num
KOR;http://www.wikidata.org/entity/Q884;Coreia do Sul;http://www.wikidata.org/entity/Q2342102;Guerras na Indochina;guerra;1946-01-01T00:00:00Z;1989-01-01T00:00:00Z;;1946;1989;;;;;;;;http://www.wikidata.org/entity/Q11708;Sudeste Asiático;;;participant;
KOR;http://www.wikidata.org/entity/Q884;Coreia do Sul;http://www.wikidata.org/entity/Q8663;Guerra da Coreia;guerra;1950-06-25T00:00:00Z;1953-07-27T00:00:00Z;;1950;1953;;;;http://www.wikidata.org/entity/Q8683;Guerra Fria;;;http://www.wikidata.org/entity/Q27092;Mar do Japão;;;participant;
KOR;http://www.wikidata.org/entity/Q884;Coreia do Sul;http://www.wikidata.org/entity/Q16898848;Battle of the Punchbowl;batalha;1951-08-31T00:00:00Z;1951-09-21T00:00:00Z;;1951;1951;;;;http://www.wikidata.org/entity/Q8663;Guerra da Coreia;;;http://www.wikidata.org/entity/Q15269226;Punchbowl, Korea;Point(128.14 38.285);;participant;
KOR;http://www.wikidata.org/entity/Q884;Coreia do Sul;http://www.wikidata.org/entity/Q626542;Battle of White Horse;batalha;1952-10-06T00:00:00Z;1952-10-15T00:00:00Z;1952-01-01T00:00:00Z;1952;1952;1952;;;http://www.wikidata.org/entity/Q8663;Guerra da Coreia;;;;;Point(127.15 38.29);;participant;
KOR;http://www.wikidata.org/entity/Q884;Coreia do Sul;http://www.wikidata.org/entity/Q492671;Batalha de Triangle Hill;batalha;1952-10-14T00:00:00Z;1952-11-25T00:00:00Z;;1952;1952;;;;http://www.wikidata.org/entity/Q8663;Guerra da Coreia;;;;;Point(127.464 38.3214);;participant;
KOR;http://www.wikidata.org/entity/Q884;Coreia do Sul;http://www.wikidata.org/entity/Q4871937;Battle of Old Baldy;batalha;1952-06-26T00:00:00Z;1953-03-26T00:00:00Z;;1952;1953;;;;http://www.wikidata.org/entity/Q8663;Guerra da Coreia;;;;;Point(127.00361111 38.22861111);;participant;
KOR;http://www.wikidata.org/entity/Q884;Coreia do Sul;http://www.wikidata.org/entity/Q8740;Guerra do Vietnã;guerra por procuração;1955-11-01T00:00:00Z;1975-04-30T00:00:00Z;;1955;1975;;;;http://www.wikidata.org/entity/Q8683;Guerra Fria;;;http://www.wikidata.org/entity/Q424;Camboja;;1291426;participant;1291426.0
KOR;http://www.wikidata.org/entity/Q884;Coreia do Sul;http://www.wikidata.org/entity/Q682195;Operation Masher;batalha;1966-01-24T00:00:00Z;1966-03-06T00:00:00Z;;1966;1966;;;;http://www.wikidata.org/entity/Q120355808;Vietnam Counteroffensive Phase II;;;http://www.wikidata.org/entity/Q2276503;Bồng Sơn;;;participant;
KOR;http://www.wikidata.org/entity/Q884;Coreia do Sul;http://www.wikidata.org/entity/Q487431;Battle of Tra Binh Dong;batalha;1967-02-14T00:00:00Z;1967-02-15T00:00:00Z;1967-01-01T00:00:00Z;1967;1967;1967;;;http://www.wikidata.org/entity/Q8740;Guerra do Vietnã;;;http://www.wikidata.org/entity/Q10828503;Trà Bình;;;participant;
KOR;http://www.wikidata.org/entity/Q884;Coreia do Sul;http://www.wikidata.org/entity/Q796498;Terceira Guerra da Indochina;guerra;1975-05-01T00:00:00Z;1991-10-23T00:00:00Z;;1975;1991;;;;http://www.wikidata.org/entity/Q8683;Guerra Fria;;;http://www.wikidata.org/entity/Q148;China;;;participant;
KOR;http://www.wikidata.org/entity/Q884;Coreia do Sul;http://www.wikidata.org/entity/Q484494;Batalha de Osan;batalha;;;1950-07-04T00:00:00Z;;;1950;;;http://www.wikidata.org/entity/Q8663;Guerra da Coreia;;;http://www.wikidata.org/entity/Q42129;Osan;Point(127.053 37.185);;participant;
KOR;http://www.wikidata.org/entity/Q884;Coreia do Sul;http://www.wikidata.org/entity/Q109461479;Battle of Cheonpyeong Valley;batalha;;;1950-08-21T00:00:00Z;;;1950;;;http://www.wikidata.org/entity/Q8663;Guerra da Coreia;;;http://www.wikidata.org/entity/Q12582366;Gasan-myeon (Chilgok-gun);;;participant;
KOR;http://www.wikidata.org/entity/Q884;Coreia do Sul;http://www.wikidata.org/entity/Q289102;Battle of Korea Strait;batalha naval;;;1950-06-26T00:00:00Z;;;1950;;;http://www.wikidata.org/entity/Q8663;Guerra da Coreia;;;;;Point(129.07555556 35.17944444);;participant;
