ISO3;Country_ID;Country;Conflict_ID;Conflict;Conflict_Type;Start;End;PointInTime;Start_Year;End_Year;Point_Year;Winner_ID;Winner;PartOf_ID;PartOf;Context_ID;Context;Place_ID;Place;Coordinates;Deaths;Source;Deaths_Num
MAR;http://www.wikidata.org/entity/Q1028;Marrocos;http://www.wikidata.org/entity/Q2909602;Bombardment of Salé;batalha naval;1851-11-26T00:00:00Z;1851-11-27T00:00:00Z;;1851;1851;;;;http://www.wikidata.org/entity/Q118144130;Franco–Moroccan conflicts;;;http://www.wikidata.org/entity/Q466046;Salé;Point(-6.83 34.04);;participant;
MAR;http://www.wikidata.org/entity/Q1028;Marrocos;http://www.wikidata.org/entity/Q1891008;Guerra das Areias;guerra;1963-09-25T00:00:00Z;1964-02-20T00:00:00Z;1963-10-01T00:00:00Z;1963;1964;1963;;;http://www.wikidata.org/entity/Q4783165;Guerra Fria Árabe;;;http://www.wikidata.org/entity/Q231151;Tindouf;;;participant;
MAR;http://www.wikidata.org/entity/Q1028;Marrocos;http://www.wikidata.org/entity/Q4873204;Battles of La Güera and Tichla;batalha;1975-12-10T00:00:00Z;1975-12-22T00:00:00Z;;1975;1975;;;;http://www.wikidata.org/entity/Q1093550;Conflito do Saara Ocidental;;;http://www.wikidata.org/entity/Q1356850;Lagouira;;;participant;
MAR;http://www.wikidata.org/entity/Q1028;Marrocos;http://www.wikidata.org/entity/Q86676633;Battle of Ain Ben Tili;batalha;1976-01-19T00:00:00Z;1976-01-24T00:00:00Z;;1976;1976;;;;http://www.wikidata.org/entity/Q1093550;Conflito do Saara Ocidental;;;http://www.wikidata.org/entity/Q2828130;Ain Ben Tili;Point(-9.58694 25.91778);;participant;
MAR;http://www.wikidata.org/entity/Q1028;Marrocos;http://www.wikidata.org/entity/Q3401898;First Battle of Amgala;batalha;1976-01-27T00:00:00Z;1976-01-29T00:00:00Z;;1976;1976;;;;http://www.wikidata.org/entity/Q1093550;Conflito do Saara Ocidental;;;http://www.wikidata.org/entity/Q1089347;Amgala;Point(-11.51472222 26.44666667);;participant;
MAR;http://www.wikidata.org/entity/Q1028;Marrocos;http://www.wikidata.org/entity/Q3477157;Second Battle of Amgala;batalha;1976-02-14T00:00:00Z;1976-02-15T00:00:00Z;;1976;1976;;;;http://www.wikidata.org/entity/Q1093550;Conflito do Saara Ocidental;;;http://www.wikidata.org/entity/Q1089347;Amgala;Point(-11.514722222 26.446666666);;participant;
MAR;http://www.wikidata.org/entity/Q1028;Marrocos;http://www.wikidata.org/entity/Q56305353;Battle of Bucraa;batalha;1979-11-05T00:00:00Z;1979-11-06T00:00:00Z;;1979;1979;;;;http://www.wikidata.org/entity/Q1093550;Conflito do Saara Ocidental;;;http://www.wikidata.org/entity/Q894941;Bou Craa;;;participant;
MAR;http://www.wikidata.org/entity/Q1028;Marrocos;http://www.wikidata.org/entity/Q56305241;Battle of Tan-Tan;batalha;1979-01-28T00:00:00Z;1979-01-31T00:00:00Z;;1979;1979;;;;http://www.wikidata.org/entity/Q1093550;Conflito do Saara Ocidental;;;http://www.wikidata.org/entity/Q936316;Tan-Tan;Point(-11.09806 28.42944);;participant;
MAR;http://www.wikidata.org/entity/Q1028;Marrocos;http://www.wikidata.org/entity/Q86674230;Battle of Akka;batalha;1980-01-25T00:00:00Z;1980-01-26T00:00:00Z;;1980;1980;;;;http://www.wikidata.org/entity/Q1093550;Conflito do Saara Ocidental;;;http://www.wikidata.org/entity/Q2626422;Akka;Point(-8.25639 29.39083);;participant;
MAR;http://www.wikidata.org/entity/Q1028;Marrocos;http://www.wikidata.org/entity/Q56306231;Battle of Ras el-Khanfra (1980);batalha;1980-09-09T00:00:00Z;1981-02-01T00:00:00Z;;1980;1981;;;;http://www.wikidata.org/entity/Q1093550;Conflito do Saara Ocidental;;;http://www.wikidata.org/entity/Q28221116;Ras el-Khanfra;;;participant;
MAR;http://www.wikidata.org/entity/Q1028;Marrocos;http://www.wikidata.org/entity/Q56305224;Battle of Guelta Zemmur;batalha;1981-10-13T00:00:00Z;1981-10-29T00:00:00Z;;1981;1981;;;;http://www.wikidata.org/entity/Q1093550;Conflito do Saara Ocidental;;;;;Point(-12.37 25.14);;participant;
MAR;http://www.wikidata.org/entity/Q1028;Marrocos;http://www.wikidata.org/entity/Q56305221;Battle of Gueltat Zemmour;batalha;1981-03-22T00:00:00Z;1981-03-27T00:00:00Z;;1981;1981;;;;http://www.wikidata.org/entity/Q1093550;Conflito do Saara Ocidental;;;http://www.wikidata.org/entity/Q1380087;Guelta Zemmur;;;participant;
MAR;http://www.wikidata.org/entity/Q1028;Marrocos;http://www.wikidata.org/entity/Q56307455;Smara and Bou Craa attacks;batalha;1982-07-03T00:00:00Z;1982-07-22T00:00:00Z;;1982;1982;;;;http://www.wikidata.org/entity/Q1093550;Conflito do Saara Ocidental;;;http://www.wikidata.org/entity/Q842810;Smara;;;participant;
MAR;http://www.wikidata.org/entity/Q1028;Marrocos;http://www.wikidata.org/entity/Q56307632;Battle of Lemseied;batalha;1983-07-10T00:00:00Z;1983-08-01T00:00:00Z;;1983;1983;;;;http://www.wikidata.org/entity/Q1093550;Conflito do Saara Ocidental;;;http://www.wikidata.org/entity/Q6930162;Msied;Point(-10.8113889 28.0133333);;participant;
MAR;http://www.wikidata.org/entity/Q1028;Marrocos;http://www.wikidata.org/entity/Q56306539;Battle of Smara;batalha;1983-09-01T00:00:00Z;1983-09-10T00:00:00Z;;1983;1983;;;;http://www.wikidata.org/entity/Q1093550;Conflito do Saara Ocidental;;;http://www.wikidata.org/entity/Q842810;Smara;;;participant;
MAR;http://www.wikidata.org/entity/Q1028;Marrocos;http://www.wikidata.org/entity/Q4871196;Battle of Hausa;batalha;1989-10-10T00:00:00Z;1989-10-11T00:00:00Z;;1989;1989;;;;http://www.wikidata.org/entity/Q1093550;Conflito do Saara Ocidental;;;http://www.wikidata.org/entity/Q1584114;Haouza;Point(-11.143333 27.081389);;participant;
MAR;http://www.wikidata.org/entity/Q1028;Marrocos;http://www.wikidata.org/entity/Q86679164;Battle of Bucraa;batalha;;;1977-05-31T00:00:00Z;;;1977;;;http://www.wikidata.org/entity/Q1093550;Conflito do Saara Ocidental;;;http://www.wikidata.org/entity/Q894941;Bou Craa;;;participant;
MAR;http://www.wikidata.org/entity/Q1028;Marrocos;http://www.wikidata.org/entity/Q86674466;Battle of Zouérat;batalha;;;1977-08-19T00:00:00Z;;;1977;;;http://www.wikidata.org/entity/Q1093550;Conflito do Saara Ocidental;;;http://www.wikidata.org/entity/Q227072;Zouérat;Point(-12.466667 22.683333);;participant;
MAR;http://www.wikidata.org/entity/Q1028;Marrocos;http://www.wikidata.org/entity/Q2745406;Segunda Guerra de Shaba;guerra;;;1978-06-01T00:00:00Z;;;1978;;;http://www.wikidata.org/entity/Q12055176;Guerra Civil Angolana;;;http://www.wikidata.org/entity/Q217242;Catanga;;;participant;
MAR;http://www.wikidata.org/entity/Q1028;Marrocos;http://www.wikidata.org/entity/Q16531707;Attack on Lebouirate;batalha;;;1979-08-24T00:00:00Z;;;1979;;;http://www.wikidata.org/entity/Q1093550;Conflito do Saara Ocidental;;;;;;;participant;
MAR;http://www.wikidata.org/entity/Q1028;Marrocos;http://www.wikidata.org/entity/Q56305490;Battle of Al Mahbes;batalha;;;1979-10-14T00:00:00Z;;;1979;;;http://www.wikidata.org/entity/Q1093550;Conflito do Saara Ocidental;;;http://www.wikidata.org/entity/Q1300325;Mahbes;Point(-9.051 27.416);;participant;
MAR;http://www.wikidata.org/entity/Q1028;Marrocos;http://www.wikidata.org/entity/Q2888145;Battle of Bir Anzarane;batalha;;;1979-08-11T00:00:00Z;;;1979;;;http://www.wikidata.org/entity/Q1093550;Conflito do Saara Ocidental;;;http://www.wikidata.org/entity/Q4915523;Bir Anzarane;Point(-14.5527007 23.8933884);;participant;
MAR;http://www.wikidata.org/entity/Q1028;Marrocos;http://www.wikidata.org/entity/Q86673683;Battle of Ramth-al-Lbane;batalha;;;1979-03-13T00:00:00Z;;;1979;;;http://www.wikidata.org/entity/Q1093550;Conflito do Saara Ocidental;;;;;;;participant;
MAR;http://www.wikidata.org/entity/Q1028;Marrocos;http://www.wikidata.org/entity/Q56305335;Battle of Cape Boujdour;batalha;;;1980-02-13T00:00:00Z;;;1980;;;http://www.wikidata.org/entity/Q1093550;Conflito do Saara Ocidental;;;http://www.wikidata.org/entity/Q599897;Bojador;Point(-14.466944 26.133056);;participant;
MAR;http://www.wikidata.org/entity/Q1028;Marrocos;http://www.wikidata.org/entity/Q86677986;Battle of Gueltat Zemmour;batalha;;;1980-06-22T00:00:00Z;;;1980;;;http://www.wikidata.org/entity/Q1093550;Conflito do Saara Ocidental;;;http://www.wikidata.org/entity/Q1380087;Guelta Zemmur;;;participant;
MAR;http://www.wikidata.org/entity/Q1028;Marrocos;http://www.wikidata.org/entity/Q56306495;Battle of Smara;batalha;;;1981-04-20T00:00:00Z;;;1981;;;http://www.wikidata.org/entity/Q1093550;Conflito do Saara Ocidental;;;http://www.wikidata.org/entity/Q842810;Smara;;;participant;
MAR;http://www.wikidata.org/entity/Q1028;Marrocos;http://www.wikidata.org/entity/Q56306338;Battle of Ras el-Khanfra (1982);batalha;;;1982-01-08T00:00:00Z;;;1982;;;http://www.wikidata.org/entity/Q1093550;Conflito do Saara Ocidental;;;http://www.wikidata.org/entity/Q28221116;Ras el-Khanfra;;;participant;
MAR;http://www.wikidata.org/entity/Q1028;Marrocos;http://www.wikidata.org/entity/Q56306635;Battle of Hausa (1984);batalha;;;1984-11-25T00:00:00Z;;;1984;;;http://www.wikidata.org/entity/Q1093550;Conflito do Saara Ocidental;;;http://www.wikidata.org/entity/Q1584114;Haouza;;;participant;
MAR;http://www.wikidata.org/entity/Q1028;Marrocos;http://www.wikidata.org/entity/Q56305417;Battle of Z'Moul Niran;batalha;;;1984-10-13T00:00:00Z;;;1984;;;http://www.wikidata.org/entity/Q1093550;Conflito do Saara Ocidental;;;;;Point(-9.75 27.53333);;participant;
MAR;http://www.wikidata.org/entity/Q1028;Marrocos;http://www.wikidata.org/entity/Q56305493;Battle of Al Mahbes;batalha;;;1985-01-12T00:00:00Z;;;1985;;;http://www.wikidata.org/entity/Q1093550;Conflito do Saara Ocidental;;;http://www.wikidata.org/entity/Q1300325;Mahbes;Point(-9.051 27.416);;participant;
MAR;http://www.wikidata.org/entity/Q1028;Marrocos;http://www.wikidata.org/entity/Q56306578;Battle of Farsia;batalha;;;1987-02-25T00:00:00Z;;;1987;;;http://www.wikidata.org/entity/Q1093550;Conflito do Saara Ocidental;;;http://www.wikidata.org/entity/Q1339225;Farsia;Point(-9.04861 26.93278);;participant;
MAR;http://www.wikidata.org/entity/Q1028;Marrocos;http://www.wikidata.org/entity/Q56306600;Battle of Tichla;batalha;;;1987-07-08T00:00:00Z;;;1987;;;http://www.wikidata.org/entity/Q1093550;Conflito do Saara Ocidental;;;http://www.wikidata.org/entity/Q3991171;Tichla;;;participant;
MAR;http://www.wikidata.org/entity/Q1028;Marrocos;http://www.wikidata.org/entity/Q4873201;Battles of Farsia and Oum Dreyga;batalha;;;1987-11-18T00:00:00Z;;;1987;;;http://www.wikidata.org/entity/Q1093550;Conflito do Saara Ocidental;;;http://www.wikidata.org/entity/Q1339225;Farsia;Point(-9.04861 26.93278);;participant;
MAR;http://www.wikidata.org/entity/Q1028;Marrocos;http://www.wikidata.org/entity/Q56306614;Battle of Oum Dreyga;batalha;;;1988-09-16T00:00:00Z;;;1988;;;http://www.wikidata.org/entity/Q1093550;Conflito do Saara Ocidental;;;http://www.wikidata.org/entity/Q3850353;Umm Dreiga;Point(-13.40361 23.90667);;participant;
MAR;http://www.wikidata.org/entity/Q1028;Marrocos;http://www.wikidata.org/entity/Q56306879;Haouza attack;batalha;;;1988-08-18T00:00:00Z;;;1988;;;http://www.wikidata.org/entity/Q1093550;Conflito do Saara Ocidental;;;http://www.wikidata.org/entity/Q1584114;Haouza;;;participant;
MAR;http://www.wikidata.org/entity/Q1028;Marrocos;http://www.wikidata.org/entity/Q4870291;Battle of Amgala;batalha;;;1989-11-08T00:00:00Z;;;1989;;;http://www.wikidata.org/entity/Q1093550;Conflito do Saara Ocidental;;;http://www.wikidata.org/entity/Q1089347;Amgala;;;participant;
MAR;http://www.wikidata.org/entity/Q1028;Marrocos;http://www.wikidata.org/entity/Q4871159;Battle of Guelta Zemmour;batalha;;;1989-10-07T00:00:00Z;;;1989;;;http://www.wikidata.org/entity/Q1093550;Conflito do Saara Ocidental;;;http://www.wikidata.org/entity/Q1380087;Guelta Zemmur;;;participant;
