ISO3;Country_ID;Country;Conflict_ID;Conflict;Conflict_Type;Start;End;PointInTime;Start_Year;End_Year;Point_Year;Winner_ID;Winner;PartOf_ID;PartOf;Context_ID;Context;Place_ID;Place;Coordinates;Deaths;Source;Deaths_Num
MNE;http://www.wikidata.org/entity/Q236;Montenegro;http://www.wikidata.org/entity/Q118929718;Spanish-Ottoman War;guerra;1515-01-01T00:00:00Z;1577-01-01T00:00:00Z;;1515;1577;;;;http://www.wikidata.org/entity/Q786171;Guerras Otomanos-Habsburgos;;;http://www.wikidata.org/entity/Q4918;Mar Mediterrâneo;;;location;
MNE;http://www.wikidata.org/entity/Q236;Montenegro;http://www.wikidata.org/entity/Q786171;Guerras Otomanos-Habsburgos;series of wars;1526-01-01T00:00:00Z;1791-01-01T00:00:00Z;;1526;1791;;;;http://www.wikidata.org/entity/Q698985;Ottoman Wars in Europe;;;http://www.wikidata.org/entity/Q4918;Mar Mediterrâneo;;;location;
MNE;http://www.wikidata.org/entity/Q236;Montenegro;http://www.wikidata.org/entity/Q3119136;Third Ottoman–Venetian War;guerra;1537-01-01T00:00:00Z;1540-01-01T00:00:00Z;;1537;1540;;;;http://www.wikidata.org/entity/Q1420791;Guerras Otomano-Venezianas;;;http://www.wikidata.org/entity/Q4918;Mar Mediterrâneo;;;location;
MNE;http://www.wikidata.org/entity/Q236;Montenegro;http://www.wikidata.org/entity/Q2524228;Guerra italiana de 1551–1559;guerra;1551-01-01T00:00:00Z;1559-01-01T00:00:00Z;;1551;1559;;;;http://www.wikidata.org/entity/Q273348;Guerras Italianas;;;http://www.wikidata.org/entity/Q4918;Mar Mediterrâneo;;;location;
MNE;http://www.wikidata.org/entity/Q236;Montenegro;http://www.wikidata.org/entity/Q118929717;Austro-Turkish War of 1552–1559;guerra;1551-01-01T00:00:00Z;1562-01-01T00:00:00Z;;1551;1562;;;;http://www.wikidata.org/entity/Q3902588;Pequena Guerra na Hungria;;;http://www.wikidata.org/entity/Q4918;Mar Mediterrâneo;;;location;
MNE;http://www.wikidata.org/entity/Q236;Montenegro;http://www.wikidata.org/entity/Q598089;Uskok War;guerra;1615-12-01T00:00:00Z;1617-09-26T00:00:00Z;;1615;1617;;;;;;;;http://www.wikidata.org/entity/Q13924;Mar Adriático;;;location;
MNE;http://www.wikidata.org/entity/Q236;Montenegro;http://www.wikidata.org/entity/Q121335815;Dutch-Barbary War;guerra;1618-01-01T00:00:00Z;1622-01-01T00:00:00Z;;1618;1622;;;;;;;;http://www.wikidata.org/entity/Q4918;Mar Mediterrâneo;;;location;
MNE;http://www.wikidata.org/entity/Q236;Montenegro;http://www.wikidata.org/entity/Q122828106;English expedition to Algiers (1620–1621);guerra;1620-01-01T00:00:00Z;1621-01-01T00:00:00Z;;1620;1621;;;;http://www.wikidata.org/entity/Q64929650;Algeria–United Kingdom relations;;;http://www.wikidata.org/entity/Q4918;Mar Mediterrâneo;;;location;
MNE;http://www.wikidata.org/entity/Q236;Montenegro;http://www.wikidata.org/entity/Q122908959;Anglo-Algerian War;guerra;1677-01-01T00:00:00Z;1682-01-01T00:00:00Z;;1677;1682;;;;http://www.wikidata.org/entity/Q64929650;Algeria–United Kingdom relations;;;http://www.wikidata.org/entity/Q4918;Mar Mediterrâneo;;;location;
MNE;http://www.wikidata.org/entity/Q236;Montenegro;http://www.wikidata.org/entity/Q122909186;Dutch-Algerian War;guerra;1715-01-01T00:00:00Z;1726-01-01T00:00:00Z;;1715;1726;;;;;;;;http://www.wikidata.org/entity/Q4918;Mar Mediterrâneo;;;location;
MNE;http://www.wikidata.org/entity/Q236;Montenegro;http://www.wikidata.org/entity/Q40949;Guerra da Independência dos Estados Unidos;guerra de libertação nacional;1775-04-19T00:00:00Z;1783-09-03T00:00:00Z;;1775;1783;;;;http://www.wikidata.org/entity/Q1227237;relações entre Estados Unidos e Reino Unido;;;http://www.wikidata.org/entity/Q4918;Mar Mediterrâneo;;;location;
MNE;http://www.wikidata.org/entity/Q236;Montenegro;http://www.wikidata.org/entity/Q122639374;American-Algerian War;guerra;1785-01-01T00:00:00Z;1795-01-01T00:00:00Z;;1785;1795;;;;;;;;http://www.wikidata.org/entity/Q4918;Mar Mediterrâneo;;;location;
MNE;http://www.wikidata.org/entity/Q236;Montenegro;http://www.wikidata.org/entity/Q123125481;Swedish–Algerian war;guerra;1791-01-01T00:00:00Z;1792-01-01T00:00:00Z;;1791;1792;;;;http://www.wikidata.org/entity/Q64943732;Algeria–Sweden relations;;;http://www.wikidata.org/entity/Q4918;Mar Mediterrâneo;;;location;
MNE;http://www.wikidata.org/entity/Q236;Montenegro;http://www.wikidata.org/entity/Q4087383;Battle of Martinići;batalha;1796-07-02T00:00:00Z;1796-07-11T00:00:00Z;;1796;1796;;;;;;;;http://www.wikidata.org/entity/Q3123315;Spuž;;;location;
MNE;http://www.wikidata.org/entity/Q236;Montenegro;http://www.wikidata.org/entity/Q125503739;Swedish-Tripolitanian War;guerra;1796-01-01T00:00:00Z;1802-10-01T00:00:00Z;;1796;1802;;;;;;;;http://www.wikidata.org/entity/Q4918;Mar Mediterrâneo;;;location;
MNE;http://www.wikidata.org/entity/Q236;Montenegro;http://www.wikidata.org/entity/Q26749;Segunda Coligação;guerra;1798-01-01T00:00:00Z;1801-01-01T00:00:00Z;;1798;1801;;;;http://www.wikidata.org/entity/Q207318;Guerras Revolucionárias Francesas;;;http://www.wikidata.org/entity/Q4918;Mar Mediterrâneo;;;location;
MNE;http://www.wikidata.org/entity/Q236;Montenegro;http://www.wikidata.org/entity/Q468293;Guerra de Trípoli;guerra;1801-05-10T00:00:00Z;1805-06-10T00:00:00Z;1805-06-10T00:00:00Z;1801;1805;1805;;;http://www.wikidata.org/entity/Q807741;Guerras Berberes;;;http://www.wikidata.org/entity/Q4918;Mar Mediterrâneo;Point(13.164 32.958);;location;
MNE;http://www.wikidata.org/entity/Q236;Montenegro;http://www.wikidata.org/entity/Q3096663;Adriatic campaign of 1807–1814;batalha naval;1807-01-01T00:00:00Z;1814-01-01T00:00:00Z;;1807;1814;;;;http://www.wikidata.org/entity/Q78994;Guerras Napoleónicas;;;http://www.wikidata.org/entity/Q13924;Mar Adriático;;;location;
MNE;http://www.wikidata.org/entity/Q236;Montenegro;http://www.wikidata.org/entity/Q233505;Segunda Guerra Berberesca;guerra;1815-06-17T00:00:00Z;1815-06-19T00:00:00Z;1815-01-01T00:00:00Z;1815;1815;1815;;;http://www.wikidata.org/entity/Q807741;Guerras Berberes;;;http://www.wikidata.org/entity/Q4918;Mar Mediterrâneo;;;location;
MNE;http://www.wikidata.org/entity/Q236;Montenegro;http://www.wikidata.org/entity/Q3545065;Battle of Grahovac;batalha;1858-04-28T00:00:00Z;1858-05-01T00:00:00Z;;1858;1858;;;;;;;;http://www.wikidata.org/entity/Q3113283;Grahovac;Point(18.6114 42.6878);;location;
MNE;http://www.wikidata.org/entity/Q236;Montenegro;http://www.wikidata.org/entity/Q16724471;Montenegrin–Ottoman War of 1861–62;guerra;1861-01-01T00:00:00Z;1862-01-01T00:00:00Z;;1861;1862;;;;;;;;http://www.wikidata.org/entity/Q236;Montenegro;;;location;
MNE;http://www.wikidata.org/entity/Q236;Montenegro;http://www.wikidata.org/entity/Q4513932;Montenegrin–Ottoman War of 1876–78;guerra;1876-06-18T00:00:00Z;1878-02-19T00:00:00Z;;1876;1878;;;;http://www.wikidata.org/entity/Q16246888;Grande Crise do Oriente;;;http://www.wikidata.org/entity/Q236;Montenegro;;;location;
MNE;http://www.wikidata.org/entity/Q236;Montenegro;http://www.wikidata.org/entity/Q18639861;Velika attacks;batalha;1879-10-09T00:00:00Z;1879-11-22T00:00:00Z;1879-11-22T00:00:00Z;1879;1879;1879;;;http://www.wikidata.org/entity/Q23020500;Battles for Plav and Gusinje;;;http://www.wikidata.org/entity/Q968107;Velika;;;location;
MNE;http://www.wikidata.org/entity/Q236;Montenegro;http://www.wikidata.org/entity/Q899191;naval warfare in the Mediterranean during World War I;batalha naval;1914-08-01T00:00:00Z;1918-10-01T00:00:00Z;;1914;1918;;;;http://www.wikidata.org/entity/Q695497;naval warfare of World War I;;;http://www.wikidata.org/entity/Q4918;Mar Mediterrâneo;Point(18.0 38.0);;location;
MNE;http://www.wikidata.org/entity/Q236;Montenegro;http://www.wikidata.org/entity/Q838704;Battle of Durazzo;batalha naval;1915-12-28T00:00:00Z;1915-12-29T00:00:00Z;1915-12-29T00:00:00Z;1915;1915;1915;;;http://www.wikidata.org/entity/Q361;Primeira Guerra Mundial;;;http://www.wikidata.org/entity/Q13924;Mar Adriático;Point(19.333333333 41.283333333);;location;
MNE;http://www.wikidata.org/entity/Q236;Montenegro;http://www.wikidata.org/entity/Q543048;Bombardeio de Ancona;batalha;1915-05-23T00:00:00Z;1915-05-24T00:00:00Z;;1915;1915;;;;http://www.wikidata.org/entity/Q361;Primeira Guerra Mundial;;;http://www.wikidata.org/entity/Q13924;Mar Adriático;Point(13.5525 43.68583333);;location;
MNE;http://www.wikidata.org/entity/Q236;Montenegro;http://www.wikidata.org/entity/Q2451530;Batalha de Mojkovac;batalha;1916-01-06T00:00:00Z;1916-01-07T00:00:00Z;;1916;1916;;;;http://www.wikidata.org/entity/Q361;Primeira Guerra Mundial;;;http://www.wikidata.org/entity/Q500080;Mojkovac;;;location;
MNE;http://www.wikidata.org/entity/Q236;Montenegro;http://www.wikidata.org/entity/Q129807813;Battle of Lovćen;batalha;1916-01-07T00:00:00Z;1916-01-11T00:00:00Z;;1916;1916;;;;http://www.wikidata.org/entity/Q1402894;Montenegrin Campaign;;;http://www.wikidata.org/entity/Q1370044;Lovćen;Point(18.818333333 42.399166666);;location;
MNE;http://www.wikidata.org/entity/Q236;Montenegro;http://www.wikidata.org/entity/Q362;Segunda Guerra Mundial;guerra mundial;1939-09-01T00:00:00Z;1945-09-02T00:00:00Z;;1939;1945;;;;;;;;http://www.wikidata.org/entity/Q4918;Mar Mediterrâneo;;73000000;location;73000000.0
MNE;http://www.wikidata.org/entity/Q236;Montenegro;http://www.wikidata.org/entity/Q10130;Operation Harpoon;batalha naval;1942-06-12T00:00:00Z;1942-06-15T00:00:00Z;1942-01-01T00:00:00Z;1942;1942;1942;;;http://www.wikidata.org/entity/Q702176;Batalha do Mediterrâneo;;;http://www.wikidata.org/entity/Q4918;Mar Mediterrâneo;Point(11.63333333 36.2);;location;
MNE;http://www.wikidata.org/entity/Q236;Montenegro;http://www.wikidata.org/entity/Q1927362;Operação Pedestal;batalha;1942-08-03T00:00:00Z;1942-08-15T00:00:00Z;;1942;1942;;;;http://www.wikidata.org/entity/Q702176;Batalha do Mediterrâneo;;;http://www.wikidata.org/entity/Q4918;Mar Mediterrâneo;Point(-5.412476 36.171272);;location;
MNE;http://www.wikidata.org/entity/Q236;Montenegro;http://www.wikidata.org/entity/Q16208357;Battle of the Campobasso Convoy;batalha naval;1943-05-03T00:00:00Z;1943-05-04T00:00:00Z;1943-05-04T00:00:00Z;1943;1943;1943;;;http://www.wikidata.org/entity/Q702176;Batalha do Mediterrâneo;;;http://www.wikidata.org/entity/Q4918;Mar Mediterrâneo;Point(10.75 36.75);;location;
