ISO3;Country_ID;Country;Conflict_ID;Conflict;Conflict_Type;Start;End;PointInTime;Start_Year;End_Year;Point_Year;Winner_ID;Winner;PartOf_ID;PartOf;Context_ID;Context;Place_ID;Place;Coordinates;Deaths;Source;Deaths_Num
PER;http://www.wikidata.org/entity/Q419;Peru;http://www.wikidata.org/entity/Q1123201;guerras de independência na América espanhola;guerra de libertação nacional;1808-09-25T00:00:00Z;1833-09-29T00:00:00Z;;1808;1833;;;;http://www.wikidata.org/entity/Q3108868;Revoluções do Atlântico;;;http://www.wikidata.org/entity/Q653884;América espanhola;;;participant;
PER;http://www.wikidata.org/entity/Q419;Peru;http://www.wikidata.org/entity/Q1972316;Guerra Grã-Colômbia–Peru;guerra;1828-05-20T00:00:00Z;1829-09-22T00:00:00Z;;1828;1829;;;;http://www.wikidata.org/entity/Q2363837;conflitos fronteiriços entre Peru e Equador;;;http://www.wikidata.org/entity/Q98;Oceano Pacífico;;;participant;
PER;http://www.wikidata.org/entity/Q419;Peru;http://www.wikidata.org/entity/Q28131511;Intervenção boliviana no Peru em 1835-1836;guerra;1835-01-01T00:00:00Z;1836-01-01T00:00:00Z;;1835;1836;;;;;;;;;;;;participant;
PER;http://www.wikidata.org/entity/Q419;Peru;http://www.wikidata.org/entity/Q742813;Guerra Espanhola-sul-americana;guerra;1864-04-14T00:00:00Z;1866-01-01T00:00:00Z;1864-01-01T00:00:00Z;1864;1866;1864;;;;;;;http://www.wikidata.org/entity/Q1073664;Ilhas Chincha;;;participant;
PER;http://www.wikidata.org/entity/Q419;Peru;http://www.wikidata.org/entity/Q152004;Guerra do Pacífico;guerra;1879-04-05T00:00:00Z;1884-04-04T00:00:00Z;;1879;1884;;;;;;;;http://www.wikidata.org/entity/Q419;Peru;;;participant;
PER;http://www.wikidata.org/entity/Q419;Peru;http://www.wikidata.org/entity/Q1500631;Guerra peruano-equatoriana;guerra;1941-07-05T00:00:00Z;1942-01-29T00:00:00Z;1942-01-31T00:00:00Z;1941;1942;1942;;;http://www.wikidata.org/entity/Q2363837;conflitos fronteiriços entre Peru e Equador;;;;;;;participant;
PER;http://www.wikidata.org/entity/Q419;Peru;http://www.wikidata.org/entity/Q245898;Battle of Frankfurt;batalha;1945-03-26T00:00:00Z;1945-03-29T00:00:00Z;;1945;1945;;;;http://www.wikidata.org/entity/Q666414;Invasão dos Aliados Ocidentais da Alemanha;;;http://www.wikidata.org/entity/Q1794;Frankfurt am Main;;;participant;
PER;http://www.wikidata.org/entity/Q419;Peru;http://www.wikidata.org/entity/Q2337340;Guerra de Cenepa;guerra;1995-01-26T00:00:00Z;1995-02-28T00:00:00Z;;1995;1995;;;;http://www.wikidata.org/entity/Q2363837;conflitos fronteiriços entre Peru e Equador;;;http://www.wikidata.org/entity/Q1288434;Condorcanqui;;;participant;
PER;http://www.wikidata.org/entity/Q419;Peru;http://www.wikidata.org/entity/Q2394918;Batalha de Callao;batalha;;;1866-05-02T00:00:00Z;;;1866;;;http://www.wikidata.org/entity/Q742813;Guerra Espanhola-sul-americana;;;http://www.wikidata.org/entity/Q105037;El Callao;Point(-77.153611111 -12.047777777);;participant;
PER;http://www.wikidata.org/entity/Q419;Peru;http://www.wikidata.org/entity/Q472672;Batalha Naval de Iquique;batalha naval;;;1879-05-21T00:00:00Z;;;1879;;;http://www.wikidata.org/entity/Q152004;Guerra do Pacífico;;;http://www.wikidata.org/entity/Q298;Chile;Point(-70.155902 -20.201577);;participant;
PER;http://www.wikidata.org/entity/Q419;Peru;http://www.wikidata.org/entity/Q5748680;Capture of the corvette Pilcomayo;batalha naval;;;1879-11-18T00:00:00Z;;;1879;;;;;;;;;;;participant;
PER;http://www.wikidata.org/entity/Q419;Peru;http://www.wikidata.org/entity/Q5748699;Capture of the steamer Rímac;batalha naval;;;1879-07-23T00:00:00Z;;;1879;;;;;;;;;;;participant;
PER;http://www.wikidata.org/entity/Q419;Peru;http://www.wikidata.org/entity/Q5488396;Second Battle of Iquique;batalha naval;;;1879-07-10T00:00:00Z;;;1879;;;;;;;;;;;participant;
PER;http://www.wikidata.org/entity/Q419;Peru;http://www.wikidata.org/entity/Q106777055;Battle of Buenavista;batalha;;;1880-04-18T00:00:00Z;;;1880;;;http://www.wikidata.org/entity/Q152004;Guerra do Pacífico;;;;;;;participant;
PER;http://www.wikidata.org/entity/Q419;Peru;http://www.wikidata.org/entity/Q39081010;Battle of El Manzano;batalha;;;1880-12-27T00:00:00Z;;;1880;;;;;;;;;;;participant;
PER;http://www.wikidata.org/entity/Q419;Peru;http://www.wikidata.org/entity/Q11680810;Combate Naval de Arica;batalha naval;;;1880-02-27T00:00:00Z;;;1880;;;http://www.wikidata.org/entity/Q152004;Guerra do Pacífico;;;http://www.wikidata.org/entity/Q2203;Arica;;;participant;
PER;http://www.wikidata.org/entity/Q419;Peru;http://www.wikidata.org/entity/Q5812146;Rupture of the Blockade of Arica;batalha naval;;;1880-03-27T00:00:00Z;;;1880;;;http://www.wikidata.org/entity/Q11680452;Naval Campaign of the War of the Pacific;;;http://www.wikidata.org/entity/Q2203;Arica;;;participant;
