ISO3;Country_ID;Country;Conflict_ID;Conflict;Conflict_Type;Start;End;PointInTime;Start_Year;End_Year;Point_Year;Winner_ID;Winner;PartOf_ID;PartOf;Context_ID;Context;Place_ID;Place;Coordinates;Deaths;Source;Deaths_Num
PNG;http://www.wikidata.org/entity/Q691;Papua-Nova Guiné;http://www.wikidata.org/entity/Q362;Segunda Guerra Mundial;guerra mundial;1939-09-01T00:00:00Z;1945-09-02T00:00:00Z;;1939;1945;;;;;;;;http://www.wikidata.org/entity/Q11708;Sudeste Asiático;;73000000;location;73000000.0
PNG;http://www.wikidata.org/entity/Q691;Papua-Nova Guiné;http://www.wikidata.org/entity/Q1572785;Batalha de Rabaul;batalha;1942-01-23T00:00:00Z;1942-02-01T00:00:00Z;1942-01-01T00:00:00Z;1942;1942;1942;;;http://www.wikidata.org/entity/Q2276692;Campanha da Nova Guiné;;;http://www.wikidata.org/entity/Q218768;Rabaul;Point(152.168056 -4.198056);;location;
PNG;http://www.wikidata.org/entity/Q691;Papua-Nova Guiné;http://www.wikidata.org/entity/Q113621;Batalha da Baía Milne;batalha;1942-08-25T00:00:00Z;1942-09-07T00:00:00Z;;1942;1942;;;;http://www.wikidata.org/entity/Q2276692;Campanha da Nova Guiné;;;http://www.wikidata.org/entity/Q1781066;Milne Bay;Point(150.48 -10.32);;location;
PNG;http://www.wikidata.org/entity/Q691;Papua-Nova Guiné;http://www.wikidata.org/entity/Q699669;Batalha das Ilhas de Santa Cruz;batalha;1942-10-25T00:00:00Z;1942-10-27T00:00:00Z;;1942;1942;;;;http://www.wikidata.org/entity/Q184425;Guerra do Pacífico;;;http://www.wikidata.org/entity/Q148966;Arquipélago das Ilhas Salomão;Point(166.71666667 -8.63333333);;location;
PNG;http://www.wikidata.org/entity/Q691;Papua-Nova Guiné;http://www.wikidata.org/entity/Q207165;Batalha do Mar de Coral;batalha naval;1942-05-04T00:00:00Z;1942-05-08T00:00:00Z;;1942;1942;;;;http://www.wikidata.org/entity/Q2276692;Campanha da Nova Guiné;;;http://www.wikidata.org/entity/Q82931;Mar de Coral;Point(162.333333333 -16.266666666);;location;
PNG;http://www.wikidata.org/entity/Q691;Papua-Nova Guiné;http://www.wikidata.org/entity/Q4871126;Battle of Goodenough Island;batalha;1942-10-22T00:00:00Z;1942-10-27T00:00:00Z;;1942;1942;;;;http://www.wikidata.org/entity/Q362;Segunda Guerra Mundial;;;http://www.wikidata.org/entity/Q616107;Ilha Goodenough;Point(150.26751667 -9.34021944);;location;
PNG;http://www.wikidata.org/entity/Q691;Papua-Nova Guiné;http://www.wikidata.org/entity/Q2917077;Batalha de Buna-Gona;batalha;1942-11-16T00:00:00Z;1943-01-22T00:00:00Z;;1942;1943;;;;http://www.wikidata.org/entity/Q2276692;Campanha da Nova Guiné;;;http://www.wikidata.org/entity/Q3236032;Buna;Point(148.35 -8.65);;location;
PNG;http://www.wikidata.org/entity/Q691;Papua-Nova Guiné;http://www.wikidata.org/entity/Q4872083;Battle of Port Moresby;batalha;1942-02-03T00:00:00Z;1943-08-17T00:00:00Z;;1942;1943;;;;http://www.wikidata.org/entity/Q184425;Guerra do Pacífico;;;http://www.wikidata.org/entity/Q36526;Port Moresby;Point(147.19024167 -9.48154722);;location;
PNG;http://www.wikidata.org/entity/Q691;Papua-Nova Guiné;http://www.wikidata.org/entity/Q2890968;Battle for Australia;batalha;1942-02-01T00:00:00Z;1945-09-02T00:00:00Z;;1942;1945;;;;http://www.wikidata.org/entity/Q362;Segunda Guerra Mundial;;;http://www.wikidata.org/entity/Q82931;Mar de Coral;;;location;
PNG;http://www.wikidata.org/entity/Q691;Papua-Nova Guiné;http://www.wikidata.org/entity/Q743889;Battle of Wau;batalha;1943-01-29T00:00:00Z;1943-01-31T00:00:00Z;1943-02-04T00:00:00Z;1943;1943;1943;;;http://www.wikidata.org/entity/Q2276692;Campanha da Nova Guiné;;;http://www.wikidata.org/entity/Q954956;Wau;Point(146.716666666 -7.338888888);;location;
PNG;http://www.wikidata.org/entity/Q691;Papua-Nova Guiné;http://www.wikidata.org/entity/Q2091385;Battle of Arawe;batalha;1943-12-15T00:00:00Z;1944-02-24T00:00:00Z;1943-12-01T00:00:00Z;1943;1944;1943;;;http://www.wikidata.org/entity/Q184425;Guerra do Pacífico;;;http://www.wikidata.org/entity/Q1753444;Arawe;Point(149.036944444 -6.154444444);;location;
PNG;http://www.wikidata.org/entity/Q691;Papua-Nova Guiné;http://www.wikidata.org/entity/Q7122813;Pacification of Rabaul;batalha;1943-12-17T00:00:00Z;1945-08-08T00:00:00Z;1943-12-17T00:00:00Z;1943;1945;1943;;;http://www.wikidata.org/entity/Q1759161;Campanha nas Ilhas Salomão;;;http://www.wikidata.org/entity/Q218768;Rabaul;;;location;
PNG;http://www.wikidata.org/entity/Q691;Papua-Nova Guiné;http://www.wikidata.org/entity/Q1753578;Batalha do Mar de Bismarck;batalha;1943-03-02T00:00:00Z;1943-03-04T00:00:00Z;;1943;1943;;;;http://www.wikidata.org/entity/Q184425;Guerra do Pacífico;;;http://www.wikidata.org/entity/Q1743608;Estreito de Vitiaz;Point(148.25 -7.25);;location;
PNG;http://www.wikidata.org/entity/Q691;Papua-Nova Guiné;http://www.wikidata.org/entity/Q4870169;Battle for Piva Trail;batalha;1943-11-08T00:00:00Z;1943-11-09T00:00:00Z;;1943;1943;;;;http://www.wikidata.org/entity/Q184425;Guerra do Pacífico;;;http://www.wikidata.org/entity/Q201766;Bougainville;;;location;
PNG;http://www.wikidata.org/entity/Q691;Papua-Nova Guiné;http://www.wikidata.org/entity/Q4870935;Battle of Dumpu;batalha;1943-09-22T00:00:00Z;1943-10-04T00:00:00Z;;1943;1943;;;;http://www.wikidata.org/entity/Q5450372;Finisterre Range campaign;;;http://www.wikidata.org/entity/Q5313988;Dumpu, Papua New Guinea;;;location;
PNG;http://www.wikidata.org/entity/Q691;Papua-Nova Guiné;http://www.wikidata.org/entity/Q2165486;Battle of Empress Augusta Bay;batalha;1943-11-01T00:00:00Z;1943-11-02T00:00:00Z;;1943;1943;;;;http://www.wikidata.org/entity/Q362;Segunda Guerra Mundial;;;http://www.wikidata.org/entity/Q647280;Empress Augusta Bay;Point(155.15 -6.4);;location;
PNG;http://www.wikidata.org/entity/Q691;Papua-Nova Guiné;http://www.wikidata.org/entity/Q4871014;Battle of Finschhafen;batalha;1943-09-22T00:00:00Z;1943-10-24T00:00:00Z;;1943;1943;;;;http://www.wikidata.org/entity/Q362;Segunda Guerra Mundial;;;http://www.wikidata.org/entity/Q15217719;Finschhafen;;;location;
PNG;http://www.wikidata.org/entity/Q691;Papua-Nova Guiné;http://www.wikidata.org/entity/Q4871207;Battle of Hellzapoppin Ridge and Hill 600A;batalha;1943-12-12T00:00:00Z;1943-12-24T00:00:00Z;;1943;1943;;;;http://www.wikidata.org/entity/Q184425;Guerra do Pacífico;;;http://www.wikidata.org/entity/Q201766;Bougainville;;;location;
PNG;http://www.wikidata.org/entity/Q691;Papua-Nova Guiné;http://www.wikidata.org/entity/Q4871367;Battle of Kaiapit;batalha;1943-09-19T00:00:00Z;1943-09-20T00:00:00Z;;1943;1943;;;;http://www.wikidata.org/entity/Q5450372;Finisterre Range campaign;;;http://www.wikidata.org/entity/Q611528;Kaiapit;Point(146.247777777 -6.266666666);;location;
PNG;http://www.wikidata.org/entity/Q691;Papua-Nova Guiné;http://www.wikidata.org/entity/Q3636298;Battle of Koromokina Lagoon;batalha;1943-11-07T00:00:00Z;1943-11-08T00:00:00Z;;1943;1943;;;;http://www.wikidata.org/entity/Q184425;Guerra do Pacífico;;;http://www.wikidata.org/entity/Q201766;Bougainville;;;location;
PNG;http://www.wikidata.org/entity/Q691;Papua-Nova Guiné;http://www.wikidata.org/entity/Q16966601;Battle of Piva Forks;batalha;1943-11-18T00:00:00Z;1943-11-25T00:00:00Z;;1943;1943;;;;http://www.wikidata.org/entity/Q184425;Guerra do Pacífico;;;http://www.wikidata.org/entity/Q201766;Bougainville;;;location;
PNG;http://www.wikidata.org/entity/Q691;Papua-Nova Guiné;http://www.wikidata.org/entity/Q4872324;Battle of Sattelberg;batalha;1943-11-17T00:00:00Z;1943-11-25T00:00:00Z;;1943;1943;;;;http://www.wikidata.org/entity/Q184425;Guerra do Pacífico;;;http://www.wikidata.org/entity/Q1350254;Península de Huon;Point(147.766666666 -6.486388888);;location;
PNG;http://www.wikidata.org/entity/Q691;Papua-Nova Guiné;http://www.wikidata.org/entity/Q4872331;Battle of Scarlet Beach;batalha;1943-09-22T00:00:00Z;1943-10-02T00:00:00Z;;1943;1943;;;;http://www.wikidata.org/entity/Q184425;Guerra do Pacífico;;;http://www.wikidata.org/entity/Q1350254;Península de Huon;Point(147.85 -6.483333);;location;
PNG;http://www.wikidata.org/entity/Q691;Papua-Nova Guiné;http://www.wikidata.org/entity/Q4872538;Battle of The Pimple;batalha;1943-12-27T00:00:00Z;1943-12-28T00:00:00Z;;1943;1943;;;;http://www.wikidata.org/entity/Q362;Segunda Guerra Mundial;;;http://www.wikidata.org/entity/Q59585;Montes Finisterre;;;location;
PNG;http://www.wikidata.org/entity/Q691;Papua-Nova Guiné;http://www.wikidata.org/entity/Q4872710;Battle of Wareo;batalha;1943-11-27T00:00:00Z;1943-12-08T00:00:00Z;;1943;1943;;;;http://www.wikidata.org/entity/Q2935393;Huon Peninsula campaign;;;http://www.wikidata.org/entity/Q7969312;Wareo;Point(147.783333 -6.45);;location;
PNG;http://www.wikidata.org/entity/Q691;Papua-Nova Guiné;http://www.wikidata.org/entity/Q4872892;Battle of the Coconut Grove;batalha;1943-11-13T00:00:00Z;1943-11-14T00:00:00Z;;1943;1943;;;;;;;;http://www.wikidata.org/entity/Q201766;Bougainville;;;location;
PNG;http://www.wikidata.org/entity/Q691;Papua-Nova Guiné;http://www.wikidata.org/entity/Q3293566;Batalha de Cape Gloucester;batalha;1943-12-26T00:00:00Z;1944-04-22T00:00:00Z;;1943;1944;;;;http://www.wikidata.org/entity/Q362;Segunda Guerra Mundial;;;http://www.wikidata.org/entity/Q1702791;Cabo Gloucester;Point(148.416666666 -5.45);;location;
PNG;http://www.wikidata.org/entity/Q691;Papua-Nova Guiné;http://www.wikidata.org/entity/Q4872384;Batalha de Sio;batalha;1943-12-05T00:00:00Z;1944-03-01T00:00:00Z;;1943;1944;;;;http://www.wikidata.org/entity/Q362;Segunda Guerra Mundial;;;http://www.wikidata.org/entity/Q7525278;Sio;Point(147.37 -5.955);;location;
PNG;http://www.wikidata.org/entity/Q691;Papua-Nova Guiné;http://www.wikidata.org/entity/Q2935393;Huon Peninsula campaign;batalha;1943-09-22T00:00:00Z;1944-03-01T00:00:00Z;;1943;1944;;;;http://www.wikidata.org/entity/Q184425;Guerra do Pacífico;;;http://www.wikidata.org/entity/Q1350254;Península de Huon;;;location;
PNG;http://www.wikidata.org/entity/Q691;Papua-Nova Guiné;http://www.wikidata.org/entity/Q1726931;Operation Dexterity;batalha;1943-12-15T00:00:00Z;1944-04-22T00:00:00Z;;1943;1944;;;;http://www.wikidata.org/entity/Q362;Segunda Guerra Mundial;;;http://www.wikidata.org/entity/Q1753444;Arawe;;;location;
PNG;http://www.wikidata.org/entity/Q691;Papua-Nova Guiné;http://www.wikidata.org/entity/Q2026016;Operação Cartwheel;batalha;1943-06-30T00:00:00Z;1944-03-20T00:00:00Z;;1943;1944;;;;http://www.wikidata.org/entity/Q2423295;Frente do Sudoeste do Pacífico na Segunda Guerra Mundial;;;http://www.wikidata.org/entity/Q37394;Melanésia;Point(152.172941666 -4.196130555);;location;
PNG;http://www.wikidata.org/entity/Q691;Papua-Nova Guiné;http://www.wikidata.org/entity/Q704785;Campanha em Bougainville;batalha;1943-11-01T00:00:00Z;1945-08-21T00:00:00Z;;1943;1945;;;;http://www.wikidata.org/entity/Q184425;Guerra do Pacífico;;;http://www.wikidata.org/entity/Q201766;Bougainville;Point(155.1 -6.02);;location;
