ISO3;Country_ID;Country;Conflict_ID;Conflict;Conflict_Type;Start;End;PointInTime;Start_Year;End_Year;Point_Year;Winner_ID;Winner;PartOf_ID;PartOf;Context_ID;Context;Place_ID;Place;Coordinates;Deaths;Source;Deaths_Num
POL;http://www.wikidata.org/entity/Q36;Polónia;http://www.wikidata.org/entity/Q924600;War against Sigismund;guerra;1598-01-01T00:00:00Z;1599-01-01T00:00:00Z;;1598;1599;;;;http://www.wikidata.org/entity/Q1645044;Polish–Swedish Wars;;;http://www.wikidata.org/entity/Q545;Mar Báltico;;;participant;
POL;http://www.wikidata.org/entity/Q36;Polónia;http://www.wikidata.org/entity/Q151340;Batalha de França;batalha;1940-05-10T00:00:00Z;1940-06-25T00:00:00Z;;1940;1940;;;;http://www.wikidata.org/entity/Q216184;Frente Ocidental;;;http://www.wikidata.org/entity/Q31;Bélgica;;;participant;
POL;http://www.wikidata.org/entity/Q36;Polónia;http://www.wikidata.org/entity/Q911972;Operação Dínamo;operação militar;1940-05-26T00:00:00Z;1940-06-04T00:00:00Z;;1940;1940;;;;http://www.wikidata.org/entity/Q151340;Batalha de França;;;http://www.wikidata.org/entity/Q34640;Canal da Mancha;Point(2.3575 51.0575);;participant;
POL;http://www.wikidata.org/entity/Q36;Polónia;http://www.wikidata.org/entity/Q10130;Operation Harpoon;batalha naval;1942-06-12T00:00:00Z;1942-06-15T00:00:00Z;1942-01-01T00:00:00Z;1942;1942;1942;;;http://www.wikidata.org/entity/Q702176;Batalha do Mediterrâneo;;;http://www.wikidata.org/entity/Q4918;Mar Mediterrâneo;Point(11.63333333 36.2);;participant;
POL;http://www.wikidata.org/entity/Q36;Polónia;http://www.wikidata.org/entity/Q16470;Desembarques da Normandia;batalha;1944-06-06T00:00:00Z;1944-08-29T00:00:00Z;;1944;1944;;;;http://www.wikidata.org/entity/Q16471;Batalha da Normandia;;;http://www.wikidata.org/entity/Q15878;Normandia;Point(-0.6 49.34);;participant;
POL;http://www.wikidata.org/entity/Q36;Polónia;http://www.wikidata.org/entity/Q2237268;Batalha de Umm Qasr;batalha;2003-03-21T00:00:00Z;2003-03-25T00:00:00Z;;2003;2003;;;;http://www.wikidata.org/entity/Q107802;Invasão do Iraque em 2003;;;http://www.wikidata.org/entity/Q842407;Umm Qasr;Point(47.936944444 30.028055555);;participant;
POL;http://www.wikidata.org/entity/Q36;Polónia;http://www.wikidata.org/entity/Q545449;Guerra do Iraque;guerra;2003-03-20T00:00:00Z;2011-12-15T00:00:00Z;;2003;2011;;;;http://www.wikidata.org/entity/Q185729;Guerra ao Terror;;;http://www.wikidata.org/entity/Q796;Iraque;;;participant;
POL;http://www.wikidata.org/entity/Q36;Polónia;http://www.wikidata.org/entity/Q18920712;guerra do Afeganistão (2015–2021);guerra;2015-01-01T00:00:00Z;2021-08-30T00:00:00Z;;2015;2021;;;;http://www.wikidata.org/entity/Q182865;Guerra do Afeganistão;;;http://www.wikidata.org/entity/Q889;Afeganistão;;;participant;
POL;http://www.wikidata.org/entity/Q36;Polónia;http://www.wikidata.org/entity/Q104608805;Battle of Czortkowem;batalha;;;1920-07-29T00:00:00Z;;;1920;;;http://www.wikidata.org/entity/Q186284;Guerra Polaco-Soviética;;;http://www.wikidata.org/entity/Q148473;Chortkiv;;;participant;
POL;http://www.wikidata.org/entity/Q36;Polónia;http://www.wikidata.org/entity/Q3270927;Battle of Ushant;batalha naval;;;1944-06-09T00:00:00Z;;;1944;;;http://www.wikidata.org/entity/Q16471;Batalha da Normandia;;;http://www.wikidata.org/entity/Q34640;Canal da Mancha;;;participant;
POL;http://www.wikidata.org/entity/Q36;Polónia;http://www.wikidata.org/entity/Q136202496;Incursão de drones russos na Polónia em setembro de 2025;escaramuça;;;2025-09-09T00:00:00Z;;;2025;;;http://www.wikidata.org/entity/Q110999040;invasão da Ucrânia pela Rússia (2022–presente);;;http://www.wikidata.org/entity/Q11822329;Eastern Poland;;;participant;
