ISO3;Country_ID;Country;Conflict_ID;Conflict;Conflict_Type;Start;End;PointInTime;Start_Year;End_Year;Point_Year;Winner_ID;Winner;PartOf_ID;PartOf;Context_ID;Context;Place_ID;Place;Coordinates;Deaths;Source;Deaths_Num
PRT;http://www.wikidata.org/entity/Q45;Portugal;http://www.wikidata.org/entity/Q15197201;Battle of Flores;batalha naval;1592-05-20T00:00:00Z;1592-08-13T00:00:00Z;;1592;1592;;;;http://www.wikidata.org/entity/Q430726;Guerra Anglo-Espanhola;;;http://www.wikidata.org/entity/Q216752;Ilha das Flores;Point(-31.18194444 39.51194444);;participant;
PRT;http://www.wikidata.org/entity/Q45;Portugal;http://www.wikidata.org/entity/Q2092338;Batalha de Suvali;batalha naval;1612-12-09T00:00:00Z;1612-12-10T00:00:00Z;;1612;1612;;;;http://www.wikidata.org/entity/Q377269;Guerra Luso-Holandesa;;;http://www.wikidata.org/entity/Q28153930;Suvali Beach;Point(72.61666667 21.16666667);;participant;
PRT;http://www.wikidata.org/entity/Q45;Portugal;http://www.wikidata.org/entity/Q2567256;Batalha naval do Golfo Pérsico;batalha naval;1625-02-01T00:00:00Z;1625-02-24T00:00:00Z;1625-02-12T00:00:00Z;1625;1625;1625;;;http://www.wikidata.org/entity/Q377269;Guerra Luso-Holandesa;;;http://www.wikidata.org/entity/Q34675;Golfo Pérsico;Point(51.683428 26.750534);;participant;
PRT;http://www.wikidata.org/entity/Q45;Portugal;http://www.wikidata.org/entity/Q15282200;Algeciras Campaign;batalha naval;1801-06-13T00:00:00Z;1801-07-14T00:00:00Z;;1801;1801;;;;http://www.wikidata.org/entity/Q207318;Guerras Revolucionárias Francesas;;;http://www.wikidata.org/entity/Q36124;Estreito de Gibraltar;Point(-5.39601 36.1311);;participant;
PRT;http://www.wikidata.org/entity/Q45;Portugal;http://www.wikidata.org/entity/Q124649;Segunda Batalha de Algeciras;batalha naval;1801-07-12T00:00:00Z;1801-07-13T00:00:00Z;;1801;1801;;;;http://www.wikidata.org/entity/Q207318;Guerras Revolucionárias Francesas;;;http://www.wikidata.org/entity/Q36124;Estreito de Gibraltar;Point(-5.5 36.0);;participant;
PRT;http://www.wikidata.org/entity/Q45;Portugal;http://www.wikidata.org/entity/Q190029;Guerra do Kosovo;guerra;1998-02-27T00:00:00Z;1999-06-11T00:00:00Z;1998-02-01T00:00:00Z;1998;1999;1998;;;http://www.wikidata.org/entity/Q242352;Guerra Civil Iugoslava;;;http://www.wikidata.org/entity/Q1231;Kosovo;;;participant;
PRT;http://www.wikidata.org/entity/Q45;Portugal;http://www.wikidata.org/entity/Q1628477;Batalha de Diu;batalha naval;;;1509-02-03T00:00:00Z;;;1509;;;;;;;http://www.wikidata.org/entity/Q66710;Damão e Diu;Point(71.0 20.0);;participant;
PRT;http://www.wikidata.org/entity/Q45;Portugal;http://www.wikidata.org/entity/Q5452540;Batalha de Tamão;batalha naval;;;1521-01-01T00:00:00Z;;;1521;;;;;;;http://www.wikidata.org/entity/Q1758751;Tuen Mun;Point(113.9782 22.3713);;participant;
PRT;http://www.wikidata.org/entity/Q45;Portugal;http://www.wikidata.org/entity/Q1953346;Batalha do Cabo Rachado;batalha naval;;;1606-08-18T00:00:00Z;;;1606;;;http://www.wikidata.org/entity/Q377269;Guerra Luso-Holandesa;;;http://www.wikidata.org/entity/Q7683445;Tanjung Tuan;;;participant;
PRT;http://www.wikidata.org/entity/Q45;Portugal;http://www.wikidata.org/entity/Q25378760;Battle of Dschask;batalha naval;;;1620-12-28T00:00:00Z;;;1620;;;;;;;;;Point(57.85 25.64);;participant;
PRT;http://www.wikidata.org/entity/Q45;Portugal;http://www.wikidata.org/entity/Q2890640;Batalha Naval de Abrolhos;batalha naval;;;1631-09-12T00:00:00Z;;;1631;;;http://www.wikidata.org/entity/Q2487;Guerra dos Trinta Anos;;;http://www.wikidata.org/entity/Q331529;Abrolhos;Point(-38.666667 -18.033333);;participant;
PRT;http://www.wikidata.org/entity/Q45;Portugal;http://www.wikidata.org/entity/Q1752752;Batalha de Ambuíla;batalha;;;1665-10-29T00:00:00Z;;;1665;;;;;;;http://www.wikidata.org/entity/Q6799844;Mbwila;;;participant;
PRT;http://www.wikidata.org/entity/Q45;Portugal;http://www.wikidata.org/entity/Q2984874;Capture of the Virgin of the Cape;batalha naval;;;1721-04-26T00:00:00Z;;;1721;;;;;;;http://www.wikidata.org/entity/Q1239;Oceano Índico;Point(55.44806 -20.87889);;participant;
PRT;http://www.wikidata.org/entity/Q45;Portugal;http://www.wikidata.org/entity/Q16497139;Batalha da Boca do Tigre;batalha naval;;;1809-09-01T00:00:00Z;;;1809;;;;;;;;;;;participant;
