ISO3;Country_ID;Country;Conflict_ID;Conflict;Conflict_Type;Start;End;PointInTime;Start_Year;End_Year;Point_Year;Winner_ID;Winner;PartOf_ID;PartOf;Context_ID;Context;Place_ID;Place;Coordinates;Deaths;Source;Deaths_Num
SRB;http://www.wikidata.org/entity/Q403;Sérvia;http://www.wikidata.org/entity/Q535542;Cerco de Belgrado (1521);batalha;1521-06-25T00:00:00Z;1521-08-29T00:00:00Z;1521-09-08T00:00:00Z;1521;1521;1521;;;http://www.wikidata.org/entity/Q698985;Ottoman Wars in Europe;;;http://www.wikidata.org/entity/Q3711;Belgrado;Point(20.466666666 44.816666666);;location;
SRB;http://www.wikidata.org/entity/Q403;Sérvia;http://www.wikidata.org/entity/Q4438396;Battle of Batočina;batalha;1689-08-29T00:00:00Z;1689-08-30T00:00:00Z;;1689;1689;;;;http://www.wikidata.org/entity/Q74623;Grande Guerra Turca;;;http://www.wikidata.org/entity/Q810884;Batočina;;;location;
SRB;http://www.wikidata.org/entity/Q403;Sérvia;http://www.wikidata.org/entity/Q26799687;Guerra Austro-Turca (1716–1718);guerra;1716-01-01T00:00:00Z;1718-07-21T00:00:00Z;;1716;1718;;;;http://www.wikidata.org/entity/Q12075929;Austro-Turkish Wars;;;http://www.wikidata.org/entity/Q403;Sérvia;Point(20.93 43.95);;location;
SRB;http://www.wikidata.org/entity/Q403;Sérvia;http://www.wikidata.org/entity/Q2631076;Siege of Belgrade;batalha;1717-07-16T00:00:00Z;1717-08-17T00:00:00Z;1717-08-16T00:00:00Z;1717;1717;1717;;;http://www.wikidata.org/entity/Q26799687;Guerra Austro-Turca (1716–1718);;;http://www.wikidata.org/entity/Q3711;Belgrado;Point(20.450277777 44.823333333);;location;
SRB;http://www.wikidata.org/entity/Q403;Sérvia;http://www.wikidata.org/entity/Q24913478;Battles of Batočina and Jagodina;batalha;1804-04-04T00:00:00Z;1804-04-07T00:00:00Z;;1804;1804;;;;http://www.wikidata.org/entity/Q368689;Primeira Revolta Sérvia;;;http://www.wikidata.org/entity/Q810884;Batočina;;;location;
SRB;http://www.wikidata.org/entity/Q403;Sérvia;http://www.wikidata.org/entity/Q2750389;Batalha de Mišar;batalha;1806-08-12T00:00:00Z;1806-08-15T00:00:00Z;;1806;1806;;;;http://www.wikidata.org/entity/Q368689;Primeira Revolta Sérvia;;;http://www.wikidata.org/entity/Q2736506;Mišar;Point(19.7608 44.7292);;location;
SRB;http://www.wikidata.org/entity/Q403;Sérvia;http://www.wikidata.org/entity/Q1551047;Battle of Čegar;batalha;1809-04-15T00:00:00Z;1809-05-31T00:00:00Z;;1809;1809;;;;http://www.wikidata.org/entity/Q368689;Primeira Revolta Sérvia;;;http://www.wikidata.org/entity/Q3066255;Čegar;Point(21.94278 43.36528);;location;
SRB;http://www.wikidata.org/entity/Q403;Sérvia;http://www.wikidata.org/entity/Q14834919;Battle of Loznica;batalha;1810-10-17T00:00:00Z;1810-10-18T00:00:00Z;;1810;1810;;;;http://www.wikidata.org/entity/Q368689;Primeira Revolta Sérvia;;;http://www.wikidata.org/entity/Q648489;Loznica;Point(19.2225 44.550277777);;location;
SRB;http://www.wikidata.org/entity/Q403;Sérvia;http://www.wikidata.org/entity/Q25464443;Battle of Varvarin;batalha;1810-09-18T00:00:00Z;1810-09-10T00:00:00Z;;1810;1810;;;;http://www.wikidata.org/entity/Q368689;Primeira Revolta Sérvia;;;http://www.wikidata.org/entity/Q367214;Varvarin;;;location;
SRB;http://www.wikidata.org/entity/Q403;Sérvia;http://www.wikidata.org/entity/Q61134760;Q61134760;batalha;1813-07-28T00:00:00Z;1813-11-15T00:00:00Z;;1813;1813;;;;http://www.wikidata.org/entity/Q368689;Primeira Revolta Sérvia;;;http://www.wikidata.org/entity/Q2720854;Deligrad;;;location;
SRB;http://www.wikidata.org/entity/Q403;Sérvia;http://www.wikidata.org/entity/Q686564;First Serbian–Ottoman War;guerra;1876-06-30T00:00:00Z;1878-03-03T00:00:00Z;;1876;1878;;;;http://www.wikidata.org/entity/Q4416705;Guerra Sérvio-Otomana;;;http://www.wikidata.org/entity/Q1255;Província Autônoma de Kosovo e Metohija;;;location;
SRB;http://www.wikidata.org/entity/Q403;Sérvia;http://www.wikidata.org/entity/Q12273314;Q12273314;batalha;1878-01-01T00:00:00Z;;;1878;;;;;http://www.wikidata.org/entity/Q12294927;Second Serbian–Ottoman War;;;http://www.wikidata.org/entity/Q967216;Samokovo;;;location;
