ISO3;Country_ID;Country;Conflict_ID;Conflict;Conflict_Type;Start;End;PointInTime;Start_Year;End_Year;Point_Year;Winner_ID;Winner;PartOf_ID;PartOf;Context_ID;Context;Place_ID;Place;Coordinates;Deaths;Source;Deaths_Num
USA;http://www.wikidata.org/entity/Q30;Estados Unidos;http://www.wikidata.org/entity/Q8049168;Yaqui Wars;guerra;1533-01-01T00:00:00Z;1929-01-01T00:00:00Z;;1533;1929;;;;http://www.wikidata.org/entity/Q3280731;Mexican Indian Wars;;;http://www.wikidata.org/entity/Q46422;Sonora;;;participant;
USA;http://www.wikidata.org/entity/Q30;Estados Unidos;http://www.wikidata.org/entity/Q849680;Guerras indígenas nos Estados Unidos;series of wars;1609-01-01T00:00:00Z;1924-01-01T00:00:00Z;;1609;1924;;;;;;;;http://www.wikidata.org/entity/Q49;América do Norte e América Central;;;participant;
USA;http://www.wikidata.org/entity/Q30;Estados Unidos;http://www.wikidata.org/entity/Q5150525;Comanche Wars;series of wars;1706-01-01T00:00:00Z;1875-01-01T00:00:00Z;;1706;1875;;;;http://www.wikidata.org/entity/Q474891;Texas–Indian Wars;;;http://www.wikidata.org/entity/Q1261;Colorado;;;participant;
USA;http://www.wikidata.org/entity/Q30;Estados Unidos;http://www.wikidata.org/entity/Q40949;Guerra da Independência dos Estados Unidos;guerra de libertação nacional;1775-04-19T00:00:00Z;1783-09-03T00:00:00Z;;1775;1783;;;;http://www.wikidata.org/entity/Q1227237;relações entre Estados Unidos e Reino Unido;;;http://www.wikidata.org/entity/Q30;Estados Unidos;;;participant;
USA;http://www.wikidata.org/entity/Q30;Estados Unidos;http://www.wikidata.org/entity/Q4584046;Battle of Fort Cumberland;batalha;1776-11-10T00:00:00Z;1776-11-29T00:00:00Z;1776-01-01T00:00:00Z;1776;1776;1776;;;http://www.wikidata.org/entity/Q192769;Revolução Americana;;;;;Point(-64.291111111 45.865);;participant;
USA;http://www.wikidata.org/entity/Q30;Estados Unidos;http://www.wikidata.org/entity/Q4871284;Battle of Iron Works Hill;batalha;1776-12-22T00:00:00Z;1776-12-23T00:00:00Z;1776-01-01T00:00:00Z;1776;1776;1776;;;http://www.wikidata.org/entity/Q40949;Guerra da Independência dos Estados Unidos;;;http://www.wikidata.org/entity/Q936639;Mount Holly;Point(-74.78694444 39.995);;participant;
USA;http://www.wikidata.org/entity/Q30;Estados Unidos;http://www.wikidata.org/entity/Q846674;Batalha de Saratoga;batalha;1777-09-19T00:00:00Z;1777-12-17T00:00:00Z;1777-10-07T00:00:00Z;1777;1777;1777;;;http://www.wikidata.org/entity/Q40949;Guerra da Independência dos Estados Unidos;;;http://www.wikidata.org/entity/Q3709125;Stillwater;Point(-73.6375 42.998888888);;participant;
USA;http://www.wikidata.org/entity/Q30;Estados Unidos;http://www.wikidata.org/entity/Q2890385;Battle of White Marsh;batalha;1777-12-05T00:00:00Z;1777-12-08T00:00:00Z;1777-01-01T00:00:00Z;1777;1777;1777;;;http://www.wikidata.org/entity/Q40949;Guerra da Independência dos Estados Unidos;;;http://www.wikidata.org/entity/Q7996166;Whitemarsh Township;Point(-75.23 40.12);;participant;
USA;http://www.wikidata.org/entity/Q30;Estados Unidos;http://www.wikidata.org/entity/Q4871625;Second Battle of Machias;batalha;1777-08-13T00:00:00Z;1777-08-14T00:00:00Z;1777-01-01T00:00:00Z;1777;1777;1777;;;http://www.wikidata.org/entity/Q40949;Guerra da Independência dos Estados Unidos;;;http://www.wikidata.org/entity/Q2725736;Machias;Point(-67.46086111 44.71405);;participant;
USA;http://www.wikidata.org/entity/Q30;Estados Unidos;http://www.wikidata.org/entity/Q1307876;Siege of Fort Ticonderoga;batalha;1777-07-02T00:00:00Z;1777-07-06T00:00:00Z;1777-01-01T00:00:00Z;1777;1777;1777;;;http://www.wikidata.org/entity/Q40949;Guerra da Independência dos Estados Unidos;;;http://www.wikidata.org/entity/Q1438776;Forte Ticonderoga;Point(-73.388055555 43.841388888);;participant;
USA;http://www.wikidata.org/entity/Q30;Estados Unidos;http://www.wikidata.org/entity/Q6921294;Mount Hope Bay raids;batalha;1778-05-25T00:00:00Z;1778-05-30T00:00:00Z;1778-01-01T00:00:00Z;1778;1778;1778;;;http://www.wikidata.org/entity/Q40949;Guerra da Independência dos Estados Unidos;;;http://www.wikidata.org/entity/Q6921291;Mount Hope Bay;Point(-71.216 41.694);;participant;
USA;http://www.wikidata.org/entity/Q30;Estados Unidos;http://www.wikidata.org/entity/Q2296381;Battle of Minisink;batalha;1779-07-19T00:00:00Z;1779-07-22T00:00:00Z;1779-01-01T00:00:00Z;1779;1779;1779;;;http://www.wikidata.org/entity/Q40949;Guerra da Independência dos Estados Unidos;;;http://www.wikidata.org/entity/Q5414022;Highland;Point(-74.9708 41.4889);;participant;
USA;http://www.wikidata.org/entity/Q30;Estados Unidos;http://www.wikidata.org/entity/Q4870589;Battle of Bull's Ferry;batalha;1780-07-20T00:00:00Z;1780-07-21T00:00:00Z;;1780;1780;;;;http://www.wikidata.org/entity/Q40949;Guerra da Independência dos Estados Unidos;;;http://www.wikidata.org/entity/Q4997035;Bulls Ferry;Point(-74.0 40.789);;participant;
USA;http://www.wikidata.org/entity/Q30;Estados Unidos;http://www.wikidata.org/entity/Q459447;Batalha de Yorktown;batalha;1781-09-28T00:00:00Z;1781-10-19T00:00:00Z;1781-01-01T00:00:00Z;1781;1781;1781;;;http://www.wikidata.org/entity/Q40949;Guerra da Independência dos Estados Unidos;;;http://www.wikidata.org/entity/Q938699;Yorktown;Point(-76.5025 37.230833333);397;participant;397.0
USA;http://www.wikidata.org/entity/Q30;Estados Unidos;http://www.wikidata.org/entity/Q16253782;Battle of the Delaware Capes;batalha;1782-12-20T00:00:00Z;1782-12-21T00:00:00Z;;1782;1782;;;;http://www.wikidata.org/entity/Q40949;Guerra da Independência dos Estados Unidos;;;http://www.wikidata.org/entity/Q738808;Baía de Delaware;Point(-74.972 38.965);;participant;
USA;http://www.wikidata.org/entity/Q30;Estados Unidos;http://www.wikidata.org/entity/Q122639374;American-Algerian War;guerra;1785-01-01T00:00:00Z;1795-01-01T00:00:00Z;;1785;1795;;;;;;;;http://www.wikidata.org/entity/Q97;Oceano Atlântico;;;participant;
USA;http://www.wikidata.org/entity/Q30;Estados Unidos;http://www.wikidata.org/entity/Q2656995;Guerra Indígena do Noroeste;guerra;1785-01-01T00:00:00Z;1795-01-01T00:00:00Z;;1785;1795;;;;http://www.wikidata.org/entity/Q7533291;Sixty Years' War;;;http://www.wikidata.org/entity/Q669315;Território do Noroeste;Point(-86.0 41.0);;participant;
USA;http://www.wikidata.org/entity/Q30;Estados Unidos;http://www.wikidata.org/entity/Q207318;Guerras Revolucionárias Francesas;guerra;1792-04-20T00:00:00Z;1802-03-25T00:00:00Z;;1792;1802;;;;http://www.wikidata.org/entity/Q6534;Revolução Francesa;;;http://www.wikidata.org/entity/Q46;Europa;;;participant;
USA;http://www.wikidata.org/entity/Q30;Estados Unidos;http://www.wikidata.org/entity/Q655480;Quase-guerra;guerra;1798-07-07T00:00:00Z;1800-09-30T00:00:00Z;;1798;1800;;;;http://www.wikidata.org/entity/Q207318;Guerras Revolucionárias Francesas;;;http://www.wikidata.org/entity/Q97;Oceano Atlântico;;;participant;
USA;http://www.wikidata.org/entity/Q30;Estados Unidos;http://www.wikidata.org/entity/Q2984929;USS Constellation vs La Vengeance;batalha naval;1800-02-01T00:00:00Z;1800-02-02T00:00:00Z;;1800;1800;;;;http://www.wikidata.org/entity/Q655480;Quase-guerra;;;http://www.wikidata.org/entity/Q204989;Ilha de São Cristóvão;;;participant;
USA;http://www.wikidata.org/entity/Q30;Estados Unidos;http://www.wikidata.org/entity/Q807741;Guerras Berberes;guerra;1801-01-01T00:00:00Z;1815-01-01T00:00:00Z;1805-07-18T00:00:00Z;1801;1815;1805;;;;;;;http://www.wikidata.org/entity/Q501768;Berbéria;;;participant;
