ISO3;Country_ID;Country;Conflict_ID;Conflict;Conflict_Type;Start;End;PointInTime;Start_Year;End_Year;Point_Year;Winner_ID;Winner;PartOf_ID;PartOf;Context_ID;Context;Place_ID;Place;Coordinates;Deaths;Source;Deaths_Num
VEN;http://www.wikidata.org/entity/Q717;Venezuela;http://www.wikidata.org/entity/Q40949;Guerra da Independência dos Estados Unidos;guerra de libertação nacional;1775-04-19T00:00:00Z;1783-09-03T00:00:00Z;;1775;1783;;;;http://www.wikidata.org/entity/Q1227237;relações entre Estados Unidos e Reino Unido;;;http://www.wikidata.org/entity/Q1247;Mar das Caraíbas;;;location;
VEN;http://www.wikidata.org/entity/Q717;Venezuela;http://www.wikidata.org/entity/Q1123201;guerras de independência na América espanhola;guerra de libertação nacional;1808-09-25T00:00:00Z;1833-09-29T00:00:00Z;;1808;1833;;;;http://www.wikidata.org/entity/Q3108868;Revoluções do Atlântico;;;http://www.wikidata.org/entity/Q653884;América espanhola;;;location;
VEN;http://www.wikidata.org/entity/Q717;Venezuela;http://www.wikidata.org/entity/Q7846536;Troude's expedition to the Caribbean;batalha naval;1809-04-14T00:00:00Z;1809-04-17T00:00:00Z;;1809;1809;;;;http://www.wikidata.org/entity/Q78994;Guerras Napoleónicas;;;http://www.wikidata.org/entity/Q1247;Mar das Caraíbas;;;location;
VEN;http://www.wikidata.org/entity/Q717;Venezuela;http://www.wikidata.org/entity/Q8934;Guerra de Independência da Venezuela;guerra de libertação nacional;1810-01-01T00:00:00Z;1823-01-01T00:00:00Z;1810-04-19T00:00:00Z;1810;1823;1810;;;http://www.wikidata.org/entity/Q1123201;guerras de independência na América espanhola;;;http://www.wikidata.org/entity/Q717;Venezuela;;;location;
VEN;http://www.wikidata.org/entity/Q717;Venezuela;http://www.wikidata.org/entity/Q5722924;Battle of San Mateo;batalha;1814-02-28T00:00:00Z;1814-03-25T00:00:00Z;;1814;1814;;;;http://www.wikidata.org/entity/Q8934;Guerra de Independência da Venezuela;;;http://www.wikidata.org/entity/Q3471566;San Mateo;Point(-67.4225 10.213333333);;location;
VEN;http://www.wikidata.org/entity/Q717;Venezuela;http://www.wikidata.org/entity/Q12583;Guerra Hispano-Americana;guerra;1898-04-25T00:00:00Z;1898-08-11T00:00:00Z;1898-01-01T00:00:00Z;1898;1898;1898;;;http://www.wikidata.org/entity/Q1514908;Guerra de Independência Cubana;;;http://www.wikidata.org/entity/Q1247;Mar das Caraíbas;;;location;
VEN;http://www.wikidata.org/entity/Q717;Venezuela;http://www.wikidata.org/entity/Q66474138;Campanha do Catatumbo;guerra;2018-01-01T00:00:00Z;;;2018;;;;;http://www.wikidata.org/entity/Q169072;conflito armado na Colômbia;;;http://www.wikidata.org/entity/Q1948210;Rio Catatumbo;;;location;
VEN;http://www.wikidata.org/entity/Q717;Venezuela;http://www.wikidata.org/entity/Q9173762;Battle of Golfo Triste;batalha;;;1669-01-01T00:00:00Z;;;1669;;;http://www.wikidata.org/entity/Q1535601;Época Dourada da Pirataria;;;http://www.wikidata.org/entity/Q3110232;Golfo Triste;;;location;
VEN;http://www.wikidata.org/entity/Q717;Venezuela;http://www.wikidata.org/entity/Q4871513;Battle of La Guaira;batalha;;;1743-03-02T00:00:00Z;;;1743;;;http://www.wikidata.org/entity/Q54434;Guerra da Orelha de Jenkins;;;http://www.wikidata.org/entity/Q873405;La Guaira;Point(-66.93305556 10.6);;location;
VEN;http://www.wikidata.org/entity/Q717;Venezuela;http://www.wikidata.org/entity/Q4872124;Battle of Puerto Cabello;batalha;;;1743-04-16T00:00:00Z;;;1743;;;http://www.wikidata.org/entity/Q54434;Guerra da Orelha de Jenkins;;;http://www.wikidata.org/entity/Q995695;Puerto Cabello;;;location;
VEN;http://www.wikidata.org/entity/Q717;Venezuela;http://www.wikidata.org/entity/Q18204832;Action of 17 February 1783;batalha naval;;;1783-02-17T00:00:00Z;;;1783;;;http://www.wikidata.org/entity/Q40949;Guerra da Independência dos Estados Unidos;;;http://www.wikidata.org/entity/Q1247;Mar das Caraíbas;;;location;
VEN;http://www.wikidata.org/entity/Q717;Venezuela;http://www.wikidata.org/entity/Q17512431;Cutting out of the Hermione;batalha naval;;;1799-10-25T00:00:00Z;;;1799;;;http://www.wikidata.org/entity/Q207318;Guerras Revolucionárias Francesas;;;http://www.wikidata.org/entity/Q995695;Puerto Cabello;;;location;
VEN;http://www.wikidata.org/entity/Q717;Venezuela;http://www.wikidata.org/entity/Q5722373;Batalha de Coro;batalha;;;1810-11-28T00:00:00Z;;;1810;;;http://www.wikidata.org/entity/Q8934;Guerra de Independência da Venezuela;;;http://www.wikidata.org/entity/Q1134454;Coro;;;location;
VEN;http://www.wikidata.org/entity/Q717;Venezuela;http://www.wikidata.org/entity/Q4871516;Battle of La Guaira;batalha naval;;;1812-12-11T00:00:00Z;;;1812;;;http://www.wikidata.org/entity/Q26013;Guerra anglo-americana de 1812;;;http://www.wikidata.org/entity/Q873405;La Guaira;Point(-66.93305556 10.6);;location;
VEN;http://www.wikidata.org/entity/Q717;Venezuela;http://www.wikidata.org/entity/Q17622613;Battle of La Victoria;batalha;;;1812-01-01T00:00:00Z;;;1812;;;http://www.wikidata.org/entity/Q8934;Guerra de Independência da Venezuela;;;http://www.wikidata.org/entity/Q590133;La Victoria;Point(-67.333611111 10.227777777);;location;
VEN;http://www.wikidata.org/entity/Q717;Venezuela;http://www.wikidata.org/entity/Q4870282;Battle of Alto de los Godos;batalha;;;1813-05-25T00:00:00Z;;;1813;;;http://www.wikidata.org/entity/Q8934;Guerra de Independência da Venezuela;;;http://www.wikidata.org/entity/Q842779;Maturín;;;location;
VEN;http://www.wikidata.org/entity/Q717;Venezuela;http://www.wikidata.org/entity/Q2891495;Battle of Araure;batalha;;;1813-12-05T00:00:00Z;;;1813;;;http://www.wikidata.org/entity/Q8934;Guerra de Independência da Venezuela;;;http://www.wikidata.org/entity/Q626670;Araure;Point(-69.216666666 9.566666666);;location;
VEN;http://www.wikidata.org/entity/Q717;Venezuela;http://www.wikidata.org/entity/Q5723013;Battle of Taguanes;batalha;;;1813-07-31T00:00:00Z;;;1813;;;http://www.wikidata.org/entity/Q8934;Guerra de Independência da Venezuela;;;http://www.wikidata.org/entity/Q1517139;Tinaquillo;;;location;
VEN;http://www.wikidata.org/entity/Q717;Venezuela;http://www.wikidata.org/entity/Q5722611;Battle of La Victoria;batalha;;;1814-02-12T00:00:00Z;;;1814;;;http://www.wikidata.org/entity/Q8934;Guerra de Independência da Venezuela;;;http://www.wikidata.org/entity/Q590133;La Victoria;Point(-67.333611111 10.227777777);;location;
VEN;http://www.wikidata.org/entity/Q717;Venezuela;http://www.wikidata.org/entity/Q5722350;Battle of Clarines;batalha;;;1817-01-09T00:00:00Z;;;1817;;;http://www.wikidata.org/entity/Q8934;Guerra de Independência da Venezuela;;;http://www.wikidata.org/entity/Q2975618;Clarines;Point(-65.166111111 9.943333333);;location;
VEN;http://www.wikidata.org/entity/Q717;Venezuela;http://www.wikidata.org/entity/Q388210;Batalha de Carabobo;batalha;;;1821-06-24T00:00:00Z;;;1821;;;http://www.wikidata.org/entity/Q8934;Guerra de Independência da Venezuela;;;http://www.wikidata.org/entity/Q6402317;Campo de Carabobo;Point(-68.1657 10.0045);;location;
VEN;http://www.wikidata.org/entity/Q717;Venezuela;http://www.wikidata.org/entity/Q2890925;Naval Battle of Lake Maracaibo;batalha;;;1823-07-24T00:00:00Z;;;1823;;;http://www.wikidata.org/entity/Q8934;Guerra de Independência da Venezuela;;;http://www.wikidata.org/entity/Q182137;Lago de Maracaibo;Point(-71.5567 9.81583);;location;
VEN;http://www.wikidata.org/entity/Q717;Venezuela;http://www.wikidata.org/entity/Q5037073;Capture of the sloop Anne;batalha naval;;;1825-03-05T00:00:00Z;;;1825;;;http://www.wikidata.org/entity/Q7985528;West Indies anti-piracy operations of the United States;;;http://www.wikidata.org/entity/Q1247;Mar das Caraíbas;Point(-66.221 17.9175);;location;
VEN;http://www.wikidata.org/entity/Q717;Venezuela;http://www.wikidata.org/entity/Q6148234;Capture of Coro;batalha;;;1859-02-20T00:00:00Z;;;1859;;;;;;;http://www.wikidata.org/entity/Q1134454;Coro;;;location;
VEN;http://www.wikidata.org/entity/Q717;Venezuela;http://www.wikidata.org/entity/Q114873572;La Sampablera;batalha;;;1859-08-02T00:00:00Z;;;1859;;;http://www.wikidata.org/entity/Q1479636;Guerra Federal;;;http://www.wikidata.org/entity/Q1533;Caracas;;;location;
VEN;http://www.wikidata.org/entity/Q717;Venezuela;http://www.wikidata.org/entity/Q2888340;Battle of Coplé;batalha;;;1860-02-17T00:00:00Z;;;1860;;;http://www.wikidata.org/entity/Q1479636;Guerra Federal;;;http://www.wikidata.org/entity/Q1026185;Calabozo;;;location;
VEN;http://www.wikidata.org/entity/Q717;Venezuela;http://www.wikidata.org/entity/Q97170012;Capture of Capatárida;batalha;;;1931-10-12T00:00:00Z;;;1931;;;;;;;http://www.wikidata.org/entity/Q1034218;Capatárida;;;location;
VEN;http://www.wikidata.org/entity/Q717;Venezuela;http://www.wikidata.org/entity/Q85865520;Battle of Barquisimeto;batalha;;;;;;;;;;;;;http://www.wikidata.org/entity/Q4709;Barquisimeto;;;location;
VEN;http://www.wikidata.org/entity/Q717;Venezuela;http://www.wikidata.org/entity/Q5722408;Battle of Dabajuro;batalha;;;;;;;;;http://www.wikidata.org/entity/Q8934;Guerra de Independência da Venezuela;;;http://www.wikidata.org/entity/Q985991;Dabajuro;;;location;
VEN;http://www.wikidata.org/entity/Q717;Venezuela;http://www.wikidata.org/entity/Q5722754;Battle of Ospino;batalha;;;;;;;;;;;;;http://www.wikidata.org/entity/Q205784;Portuguesa;Point(-69.45861111 9.29527778);;location;
VEN;http://www.wikidata.org/entity/Q717;Venezuela;http://www.wikidata.org/entity/Q9389470;Capture of Puerto Cabello;batalha;;;;;;;;;http://www.wikidata.org/entity/Q8934;Guerra de Independência da Venezuela;;;http://www.wikidata.org/entity/Q995695;Puerto Cabello;;;location;
