m49;iso3;name_en;aliases;notes
28.0;ATG;Antigua and Barbuda;Antígua e Barbuda|Antígua_e_Barbuda;
52.0;BRB;Barbados;Barbados;
84.0;BLZ;Belize;Belize;
90.0;SLB;Solomon Islands;Ilhas Salomão|Ilhas_Salomão;
96.0;BRN;Brunei Darussalam;Brunei;
124.0;CAN;Canada;Canadá;
140.0;CAF;Central African Republic;República Centro-Africana|República_Centro Africana;
175.0;MYT;Mayotte;Mayotte;
203.0;CZE;Czech Republic;Tchéquia;
214.0;DOM;Dominican Republic;República Dominicana|República_Dominicana;
268.0;GEO;Georgia;Geórgia;
308.0;GRD;Grenada;Granada;
348.0;HUN;Hungary;Hungria;
364.0;IRN;Iran;Irã;
372.0;IRL;Ireland;Irlanda;
388.0;JAM;Jamaica;Jamaica;
392.0;JPN;Japan;Japão;
410.0;KOR;South Korea;Coreia do Sul|Coreia_do_Sul;
418.0;LAO;Laos;Laos;
434.0;LBY;Libya;Líbia;
458.0;MYS;Malaysia;Malásia;
496.0;MNG;Mongolia;Mongólia;
499.0;MNE;Montenegro;Montenegro;
638.0;REU;Réunion;Reunião;
642.0;ROU;Romania;Romênia;
643.0;RUS;Russian Federation;Rússia;
659.0;KNA;Saint Kitts and Nevis;São Cristóvão e Névis|São_Cristóvão_e_Névis;
662.0;LCA;Saint Lucia;Santa Lúcia|Santa_Lúcia;
670.0;VCT;Saint Vincent and the Grenadines;São Vicente e Granadinas|São_Vicente_e_Granadinas;
704.0;VNM;Vietnam;Vietnã;
732.0;ESH;Western Sahara;Saara Ocidental|Saara_Ocidental;
760.0;SYR;Syria;Síria;
784.0;ARE;United Arab Emirates;Emirados Árabes Unidos|Emirados_Árabes_Unidos;
795.0;TKM;Turkmenistan;Turcomenistão;
798.0;TUV;Tuvalu;Tuvalu;
834.0;TZA;Tanzania;Tanzânia;
854.0;BFA;Burkina Faso;Burquina Faso|Burquina_Faso;
