iso3,country,role,person,person_qid,start,end,party,end_cause
ABW,Aruba,head_of_government,Mike Eman,Q1268462,2025-03-28T00:00:00Z,,Aruban People's Party,
ABW,Aruba,head_of_state,Guilherme Alexandre dos Países Baixos,Q154952,,,,
AFG,Afeganistão,head_of_government,Mohammad Hasan Akhund,Q108444479,2023-07-17T00:00:00Z,,Taliban,
AFG,Afeganistão,head_of_state,Hibatullah Akhundzada,Q24237654,2021-08-15T00:00:00Z,,Taliban,
AGO,Angola,head_of_government,João Lourenço,Q28650390,2017-09-26T00:00:00Z,,MPLA,
AGO,Angola,head_of_state,João Lourenço,Q28650390,2017-09-26T00:00:00Z,,MPLA,
AIA,Anguila,head_of_government,Cora Richardson-Hodge,Q56235950,2025-02-27T00:00:00Z,,Anguilla United Front,
AIA,Anguila,head_of_state,Julia Catherine Crouch,Q122762528,2023-09-11T00:00:00Z,,,
ALA,Ilhas Aland,head_of_government,Katrin Sjögren,Q2269243,2023-12-11T00:00:00Z,,Liberals for Åland,
ALB,Albânia,head_of_government,Edi Rama,Q316901,2013-09-15T00:00:00Z,,SP,
ALB,Albânia,head_of_state,Bajram Begaj,Q107422711,2022-07-24T00:00:00Z,,Ind.,
AND,Andorra,head_of_government,Xavier Espot Zamora,Q21001195,2019-05-16T00:00:00Z,,Democrats for Andorra,
AND,Andorra,head_of_state,Josep-Lluís Serrano Pentinat,Q93244592,2025-05-31T00:00:00Z,,,
ARE,Emirados Árabes Unidos,head_of_government,Mohammed bin Rashid Al Maktoum,Q57655,2006-02-11T00:00:00Z,,,
ARE,Emirados Árabes Unidos,head_of_state,Maomé bin Zayed Al Nahyan,Q1951896,2022-05-14T00:00:00Z,,,
ARG,Argentina,head_of_government,Javier Milei,Q52395487,2023-12-10T00:00:00Z,,Avanza Libertad,
ARG,Argentina,head_of_state,Javier Milei,Q52395487,2023-12-10T00:00:00Z,,Avanza Libertad,
ARM,Armênia,head_of_government,Nikol Pashinyan,Q7035479,2021-06-20T00:00:00Z,,My Step Alliance,
ARM,Armênia,head_of_state,Vahagn Khachaturyan,Q3553274,2022-03-13T00:00:00Z,,nonpartisanism,
ASM,Samoa Americana,head_of_government,Lemanu Peleti Mauga,Q6521013,2021-01-03T00:00:00Z,,DP,
ATG,Antígua e Barbuda,head_of_government,Gaston Browne,Q17177542,2014-06-13T00:00:00Z,,Antigua and Barbuda Labour Party,
ATG,Antígua e Barbuda,head_of_state,Carlos III do Reino Unido,Q43274,2022-09-08T00:00:00Z,,,
AUS,Austrália,head_of_government,Anthony Albanese,Q335697,2022-05-23T00:00:00Z,,ALP,
AUS,Austrália,head_of_state,Carlos III do Reino Unido,Q43274,2022-09-08T00:00:00Z,,,
AUT,Áustria,head_of_government,Christian Stocker,Q64576653,2025-03-03T00:00:00Z,,Austrian People's Party,
AUT,Áustria,head_of_state,Alexander van der Bellen,Q78869,2017-01-26T00:00:00Z,,The Greens – The Green Alternative,
AZE,Azerbaijão,head_of_government,Ali Asadov,Q12850075,2019-10-08T00:00:00Z,,New Azerbaijan Party,
AZE,Azerbaijão,head_of_state,Ilham Aliyev,Q57371,2003-10-31T00:00:00Z,,New Azerbaijan Party,
BDI,Burundi,head_of_government,Nestor Ntahontuye,Q135650664,2025-08-05T00:00:00Z,,,
BDI,Burundi,head_of_state,Évariste Ndayishimiye,Q27329764,2020-06-18T00:00:00Z,,National Council for the Defense of Democracy–Forces for the Defense of Democracy,
BEL,Bélgica,head_of_government,Bart De Wever,Q336599,2025-02-03T00:00:00Z,,People's Union,
BEL,Bélgica,head_of_state,"Filipe, Duque de Brabante",Q155004,2013-07-21T00:00:00Z,,,
BEN,Benin,head_of_government,Patrice Talon,Q16669148,2016-04-06T00:00:00Z,,Ind.,
BEN,Benin,head_of_state,Patrice Talon,Q16669148,2016-04-06T00:00:00Z,,Ind.,
BES,Países Baixos Caribenhos,head_of_government,Henk Kamp,Q732818,2002-07-22T00:00:00Z,2003-05-27T00:00:00Z,People's Party for Freedom and Democracy,
