iso3,country,role,person,person_qid,start,end
ABW,Aruba,head_of_government,Mike Eman,Q1268462,2009-10-30T00:00:00Z,2017-11-17T00:00:00Z
ABW,Aruba,head_of_government,Evelyn Wever-Croes,Q23038705,2017-11-17T00:00:00Z,
ABW,Aruba,head_of_state,Guilherme Alexandre dos Países Baixos,Q154952,,
AFG,Afeganistão,head_of_government,Mohammad Hasan Akhund,Q108444479,2023-07-17T00:00:00Z,
AFG,Afeganistão,head_of_state,Mohammed Zahir Xá,Q152265,1933-11-08T00:00:00Z,1973-07-17T00:00:00Z
AFG,Afeganistão,head_of_state,Burhanuddin Rabbani,Q188667,2001-11-16T00:00:00Z,2001-12-22T00:00:00Z
AFG,Afeganistão,head_of_state,Mohammad Najibullah,Q207728,1987-11-30T00:00:00Z,1992-04-28T00:00:00Z
AFG,Afeganistão,head_of_state,Hibatullah Akhundzada,Q24237654,2021-08-15T00:00:00Z,
AFG,Afeganistão,head_of_state,Habibullāh Kalakāni,Q473247,1929-01-17T00:00:00Z,1929-10-16T00:00:00Z
AFG,Afeganistão,head_of_state,Mohammed Nadir Shah,Q355610,1929-10-16T00:00:00Z,1929-10-16T00:00:00Z
AFG,Afeganistão,head_of_state,Amanullah Khan,Q153620,1926-06-09T00:00:00Z,1929-01-14T00:00:00Z
AFG,Afeganistão,head_of_state,Ashraf Ghani,Q172388,2014-09-29T00:00:00Z,2021-08-15T00:00:00Z
AFG,Afeganistão,head_of_state,Inayatullah Khan,Q471037,1929-01-14T00:00:00Z,1929-01-17T00:00:00Z
AFG,Afeganistão,head_of_state,Mohammed Daoud Khan,Q310247,1973-07-17T00:00:00Z,1978-04-27T00:00:00Z
AGO,Angola,head_of_government,João Lourenço,Q28650390,2017-09-26T00:00:00Z,
AGO,Angola,head_of_state,João Lourenço,Q28650390,2017-08-23T00:00:00Z,
AIA,Anguila,head_of_government,Ellis Webster,Q98079363,2020-06-30T00:00:00Z,
AIA,Anguila,head_of_government,Victor Banks,Q19831099,2019-05-14T00:00:00Z,2020-06-30T00:00:00Z
ALA,Ilhas Aland,head_of_government,Katrin Sjögren,Q2269243,,
ALB,Albânia,head_of_government,Edi Rama,Q316901,,
ALB,Albânia,head_of_state,Ilir Meta,Q727132,2017-07-24T00:00:00Z,
ALB,Albânia,head_of_state,Bajram Begaj,Q107422711,2022-07-24T00:00:00Z,
AND,Andorra,head_of_government,Antoni Martí,Q24801,2011-05-12T00:00:00Z,2019-05-16T00:00:00Z
AND,Andorra,head_of_government,Xavier Espot Zamora,Q21001195,2019-05-16T00:00:00Z,
