iso3;year;immigrants;emigrants
ABW;1990;14444.0;4564.0
ABW;1995;22274.0;4844.0
ABW;2000;30104.0;5433.0
ABW;2005;32540.0;5447.0
ABW;2010;34328.0;7117.0
ABW;2015;36114.0;9011.0
ABW;2020;53593.0;16628.0
ABW;2024;73494.0;29305.0
AFG;1990;57686.0;7477104.0
AFG;1995;71522.0;4107724.0
AFG;2000;75917.0;4544516.0
AFG;2005;87314.0;3902699.0
AFG;2010;102276.0;5074825.0
AFG;2015;339432.0;5181002.0
AFG;2020;144098.0;5729887.0
AFG;2024;98110.0;7528994.0
AGO;1990;33517.0;799084.0
AGO;1995;39813.0;656106.0
AGO;2000;46108.0;873474.0
AGO;2005;62331.0;663380.0
AGO;2010;336367.0;579968.0
AGO;2015;632178.0;518695.0
AGO;2020;656434.0;549257.0
AGO;2024;676507.0;616967.0
AIA;1990;2570.0;2262.0
AIA;1995;3317.0;2205.0
AIA;2000;4063.0;2158.0
AIA;2005;4684.0;1776.0
AIA;2010;5103.0;1719.0
AIA;2015;5471.0;1572.0
AIA;2020;5715.0;1561.0
AIA;2024;5918.0;1614.0
ALB;1990;66013.0;178747.0
ALB;1995;71354.0;394084.0
ALB;2000;76695.0;629192.0
ALB;2005;64739.0;784369.0
ALB;2010;52784.0;962514.0
ALB;2015;52031.0;985561.0
ALB;2020;48810.0;1103849.0
ALB;2024;46377.0;1216628.0
AND;1990;38891.0;143.0
AND;1995;44206.0;283.0
AND;2000;42147.0;436.0
AND;2005;50298.0;448.0
AND;2010;52053.0;1213.0
AND;2015;42264.0;1467.0
AND;2020;45574.0;1751.0
AND;2024;48408.0;1982.0
ARE;1990;1302298.0;61137.0
ARE;1995;1795514.0;74060.0
ARE;2000;2373577.0;93827.0
ARE;2005;3218730.0;86261.0
ARE;2010;5446000.0;108381.0
ARE;2015;6859000.0;121499.0
ARE;2020;7184000.0;142981.0
ARE;2024;8157000.0;166074.0
ARG;1990;1647935.0;406466.0
ARG;1995;1589660.0;445110.0
ARG;2000;1543851.0;571985.0
ARG;2005;1641560.0;824076.0
ARG;2010;1799680.0;877341.0
ARG;2015;1856613.0;895980.0
ARG;2020;1912294.0;1014400.0
ARG;2024;1958039.0;1183381.0
ARM;1990;433541.0;813557.0
ARM;1995;622042.0;990938.0
ARM;2000;588242.0;950779.0
ARM;2005;476812.0;787489.0
ARM;2010;210873.0;799328.0
ARM;2015;190896.0;741708.0
ARM;2020;207139.0;685545.0
ARM;2024;274645.0;637604.0
ASM;1990;21283.0;1085.0
ASM;1995;23098.0;1625.0
ASM;2000;24912.0;2183.0
ASM;2005;24233.0;2148.0
ASM;2010;23555.0;2341.0
ASM;2015;23513.0;2452.0
ASM;2020;23608.0;2952.0
ASM;2024;23684.0;3362.0
ATG;1990;12029.0;7368.0
ATG;1995;17550.0;7792.0
ATG;2000;23071.0;8297.0
ATG;2005;24741.0;7978.0
ATG;2010;26412.0;8143.0
ATG;2015;28082.0;12860.0
ATG;2020;29386.0;12999.0
ATG;2024;30473.0;13111.0
AUS;1990;3991501.0;250909.0
AUS;1995;4215646.0;280785.0
AUS;2000;4389847.0;311529.0
AUS;2005;4880921.0;337326.0
AUS;2010;5879802.0;362178.0
AUS;2015;6733056.0;403333.0
AUS;2020;7604850.0;420672.0
AUS;2024;8111404.0;430718.0
AUT;1990;633753.0;433951.0
AUT;1995;764758.0;418616.0
AUT;2000;920045.0;414141.0
AUT;2005;1174101.0;408939.0
AUT;2010;1285706.0;409023.0
AUT;2015;1540486.0;411144.0
AUT;2020;1781046.0;424072.0
AUT;2024;2327064.0;430560.0
AZE;1990;402177.0;1334492.0
AZE;1995;588812.0;1517896.0
AZE;2000;523518.0;1466589.0
AZE;2005;301922.0;1350981.0
AZE;2010;251417.0;1050055.0
AZE;2015;224337.0;860748.0
AZE;2020;198894.0;790122.0
AZE;2024;218460.0;810116.0
BDI;1990;333110.0;342568.0
BDI;1995;254853.0;549487.0
BDI;2000;125628.0;802113.0
BDI;2005;192774.0;651030.0
BDI;2010;247321.0;290788.0
BDI;2015;298299.0;444013.0
BDI;2020;344767.0;552134.0
BDI;2024;387101.0;576530.0
BEL;1990;944340.0;312709.0
BEL;1995;1003834.0;305533.0
BEL;2000;1076676.0;313188.0
BEL;2005;1243352.0;374297.0
BEL;2010;1567639.0;405732.0
BEL;2015;1814949.0;438560.0
BEL;2020;2046975.0;482561.0
BEL;2024;2349032.0;521884.0
BEN;1990;76751.0;226170.0
BEN;1995;105703.0;265968.0
BEN;2000;134655.0;321244.0
BEN;2005;248320.0;496572.0
BEN;2010;309225.0;533981.0
BEN;2015;366284.0;628871.0
BEN;2020;394276.0;678375.0
BEN;2024;418202.0;726530.0
BES;1990;12930.0;2852.0
BES;1995;13508.0;2947.0
BES;2000;14233.0;3052.0
BES;2005;16980.0;3016.0
BES;2010;20559.0;2883.0
BES;2015;24610.0;3100.0
BES;2020;26454.0;3524.0
BES;2024;30676.0;4744.0
BFA;1990;349652.0;1015890.0
BFA;1995;464104.0;1152082.0
BFA;2000;520363.0;1297567.0
BFA;2005;597658.0;1443306.0
BFA;2010;674438.0;1601296.0
BFA;2015;704676.0;1759971.0
BFA;2020;723989.0;1919400.0
BFA;2024;739820.0;2050050.0
BGD;1990;881617.0;5076540.0
BGD;1995;934735.0;5266258.0
BGD;2000;987853.0;5287858.0
BGD;2005;1062270.0;5198991.0
BGD;2010;1345546.0;6221642.0
BGD;2015;1422179.0;7883873.0
BGD;2020;2115408.0;8085347.0
BGD;2024;2906338.0;8706947.0
BGR;1990;21510.0;597707.0
BGR;1995;32435.0;661065.0
BGR;2000;43360.0;707846.0
BGR;2005;61074.0;808373.0
BGR;2010;76287.0;926056.0
BGR;2015;123803.0;1030383.0
BGR;2020;184363.0;1178732.0
BGR;2024;299100.0;1252234.0
BHR;1990;176972.0;11251.0
BHR;1995;213818.0;21614.0
BHR;2000;238924.0;32137.0
BHR;2005;387591.0;36803.0
BHR;2010;643007.0;42283.0
BHR;2015;721540.0;45263.0
BHR;2020;785983.0;45356.0
BHR;2024;840202.0;57160.0
BHS;1990;26855.0;2074.0
BHS;1995;31654.0;2064.0
BHS;2000;36454.0;2139.0
BHS;2005;45531.0;1985.0
BHS;2010;54745.0;1867.0
BHS;2015;59241.0;1955.0
BHS;2020;63583.0;2042.0
BHS;2024;67285.0;2174.0
BIH;1990;56000.0;1108999.0
BIH;1995;69476.0;1705561.0
BIH;2000;82952.0;1624537.0
BIH;2005;47287.0;1494812.0
BIH;2010;38945.0;1481062.0
BIH;2015;38597.0;1477261.0
BIH;2020;36042.0;1542552.0
BIH;2024;34120.0;1608324.0
BLM;1990;0.0;
BLM;1995;0.0;
BLM;2000;0.0;
BLM;2005;0.0;
BLM;2010;0.0;
BLM;2015;0.0;
BLM;2020;0.0;
BLM;2024;0.0;
BLR;1990;1248977.0;1768067.0
BLR;1995;1186282.0;1680350.0
BLR;2000;1123586.0;1599048.0
BLR;2005;1106982.0;1462091.0
