m49;country;year;immigrants;emigrants
4;Afghanistan;1990;57686.0;7477104.0
4;Afghanistan;1995;71522.0;4107724.0
4;Afghanistan;2000;75917.0;4544516.0
4;Afghanistan;2005;87314.0;3902699.0
4;Afghanistan;2010;102276.0;5074825.0
4;Afghanistan;2015;339432.0;5181002.0
4;Afghanistan;2020;144098.0;5729887.0
4;Afghanistan;2024;98110.0;7528994.0
8;Albania;1990;66013.0;178747.0
8;Albania;1995;71354.0;394084.0
8;Albania;2000;76695.0;629192.0
8;Albania;2005;64739.0;784369.0
8;Albania;2010;52784.0;962514.0
8;Albania;2015;52031.0;985561.0
8;Albania;2020;48810.0;1103849.0
8;Albania;2024;46377.0;1216628.0
12;Algeria;1990;273954.0;1458505.0
12;Algeria;1995;262032.0;1424971.0
12;Algeria;2000;250110.0;1427791.0
12;Algeria;2005;197728.0;1554741.0
12;Algeria;2010;217268.0;1604582.0
12;Algeria;2015;239473.0;1662433.0
12;Algeria;2020;250378.0;1732822.0
12;Algeria;2024;259458.0;1780399.0
16;American Samoa*;1990;21283.0;1085.0
16;American Samoa*;1995;23098.0;1625.0
16;American Samoa*;2000;24912.0;2183.0
16;American Samoa*;2005;24233.0;2148.0
16;American Samoa*;2010;23555.0;2341.0
16;American Samoa*;2015;23513.0;2452.0
16;American Samoa*;2020;23608.0;2952.0
16;American Samoa*;2024;23684.0;3362.0
20;Andorra;1990;38891.0;143.0
20;Andorra;1995;44206.0;283.0
20;Andorra;2000;42147.0;436.0
20;Andorra;2005;50298.0;448.0
20;Andorra;2010;52053.0;1213.0
20;Andorra;2015;42264.0;1467.0
20;Andorra;2020;45574.0;1751.0
20;Andorra;2024;48408.0;1982.0
24;Angola;1990;33517.0;799084.0
24;Angola;1995;39813.0;656106.0
24;Angola;2000;46108.0;873474.0
24;Angola;2005;62331.0;663380.0
24;Angola;2010;336367.0;579968.0
24;Angola;2015;632178.0;518695.0
24;Angola;2020;656434.0;549257.0
24;Angola;2024;676507.0;616967.0
28;Antigua and Barbuda;1990;12029.0;7368.0
28;Antigua and Barbuda;1995;17550.0;7792.0
28;Antigua and Barbuda;2000;23071.0;8297.0
28;Antigua and Barbuda;2005;24741.0;7978.0
28;Antigua and Barbuda;2010;26412.0;8143.0
28;Antigua and Barbuda;2015;28082.0;12860.0
28;Antigua and Barbuda;2020;29386.0;12999.0
28;Antigua and Barbuda;2024;30473.0;13111.0
31;Azerbaijan;1990;402177.0;1334492.0
31;Azerbaijan;1995;588812.0;1517896.0
31;Azerbaijan;2000;523518.0;1466589.0
31;Azerbaijan;2005;301922.0;1350981.0
31;Azerbaijan;2010;251417.0;1050055.0
31;Azerbaijan;2015;224337.0;860748.0
31;Azerbaijan;2020;198894.0;790122.0
31;Azerbaijan;2024;218460.0;810116.0
32;Argentina;1990;1647935.0;406466.0
32;Argentina;1995;1589660.0;445110.0
32;Argentina;2000;1543851.0;571985.0
