iso3,country,indicator,indicator_name,year,value
WLD,World,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,905976152196.263
IBT,IDA & IBRD total,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,734809248640.309
LMY,Low & middle income,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,699862042205.586
MIC,Middle income,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,682951391175.84
EAR,Early-demographic dividend,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,508196197852.83
IBD,IBRD only,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,490665192437.936
OED,OECD members,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,253436919322.631
ECS,Europe & Central Asia,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,232551853282.085
IDA,IDA total,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,211009801058.616
SAS,South Asia,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,200056713935.92
TSA,South Asia (IDA & IBRD),BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,200056713935.92
PST,Post-demographic dividend,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,183644171840.311
LCN,Latin America & Caribbean,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,166029652502.767
TLA,Latin America & the Caribbean (IDA & IBRD countries),BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,165750813849.02
LAC,Latin America & Caribbean (excluding high income),BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,163311103847.792
LTE,Late-demographic dividend,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,160625617752.452
EUU,European Union,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,157426006823.837
IND,India,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,137674533895.686
EAS,East Asia & Pacific,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,137565540953.326
IDX,IDA only,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,126256082589.587
TEA,East Asia & Pacific (IDA & IBRD countries),BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,121179607293.079
EAP,East Asia & Pacific (excluding high income),BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,121177654293.079
EMU,Euro area,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,121069437492.606
MEA,"Middle East, North Africa, Afghanistan & Pakistan",BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,100487345794.359
MNA,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,97695237444.7769
TMN,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,96959629693.2193
TEC,Europe & Central Asia (IDA & IBRD countries),BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,93486876039.7361
LDC,Least developed countries: UN classification,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,88696280471.4005
IDB,IDA blend,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,84753718469.0285
ARB,Arab World,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,67680713966.0694
MEX,Mexico,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,67637913797.0
FCS,Fragile and conflict affected situations,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,63959479140.5644
ECA,Europe & Central Asia (excluding high income),BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,63957036432.6521
SSF,Sub-Saharan Africa,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,57375607829.3351
TSS,Sub-Saharan Africa (IDA & IBRD countries),BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,57375607829.3351
SSA,Sub-Saharan Africa (excluding high income),BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,56079630895.8146
PRE,Pre-demographic dividend,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,48858535494.7226
HPC,Heavily indebted poor countries (HIPC),BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,44907138228.7152
CEB,Central Europe and the Baltics,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,43587902285.3213
PHL,Philippines,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,40279405932.4327
FRA,France,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,38775361344.0285
AFW,Africa Western and Central,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,35703449873.4421
PAK,Pakistan,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,34914000000.0
CHN,China,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,31410598200.12
EGY,"Egypt, Arab Rep.",BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,29559100000.0
NPL,Nepal,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,28376777191.8336
BGD,Bangladesh,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,27168536337.4362
AFE,Africa Eastern and Southern,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,21672157955.8931
GTM,Guatemala,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,21649327000.0
NGA,Nigeria,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,21292957333.3537
DEU,Germany,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,21225006283.5321
UZB,Uzbekistan,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,16579258955.3401
IDN,Indonesia,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,16038366972.4451
VNM,Viet Nam,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,16000000000.0
BEL,Belgium,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,15208330615.0796
MAR,Morocco,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,12510938321.8773
UKR,Ukraine,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,11948000000.0
NAC,North America,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,11909437898.4724
COL,Colombia,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,11873232976.2659
DOM,Dominican Republic,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,11247000000.0
ITA,Italy,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,11151789911.0752
THA,Thailand,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,9584457475.02693
HND,Honduras,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,9532724045.27075
ROU,Romania,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,9523551275.51815
USA,United States,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,8712000000.0
POL,Poland,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,8687000000.0
SLV,El Salvador,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,8488402967.26914
KOR,"Korea, Rep.",BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,7449400000.0
TJK,Tajikistan,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,6801890973.46099
HRV,Croatia,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,6739238331.56578
LKA,Sri Lanka,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,6721610000.0
ECU,Ecuador,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,6544355900.6287
SST,Small states,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,6525191077.97513
ESP,Spain,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,6338713659.8486
LBN,Lebanon,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,5800000000.0
SRB,Serbia,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,5676016700.77228
NIC,Nicaragua,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,5245600000.0
HUN,Hungary,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,5237273918.8111
KEN,Kenya,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,4999830478.63973
PER,Peru,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,4933771110.13101
BRA,Brazil,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,4902400448.25
GBR,United Kingdom,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,4833962372.39769
NLD,Netherlands,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,4719400104.5275
JPN,Japan,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,4644199355.62275
SWE,Sweden,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,4469058341.09046
JOR,Jordan,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,4431126760.56337
CZE,Czechia,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,4247984188.48437
GEO,Georgia,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,4058448979.28
HTI,Haiti,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,3900000000.0
SEN,Senegal,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,3750000000.0
OSS,Other small states,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,3643601106.90323
ZWE,Zimbabwe,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,3600000000.0
AUT,Austria,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,3591781612.73455
JAM,Jamaica,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,3564377716.20867
CHE,Switzerland,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,3501719973.32564
YEM,"Yemen, Rep.",BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,3433016800.0
TUN,Tunisia,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,3256966863.52219
BIH,Bosnia and Herzegovina,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,3124315487.86078
KGZ,Kyrgyz Republic,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,3100000000.0
GHA,Ghana,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,3027416789.17939
KHM,Cambodia,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,2827917512.10208
SVK,Slovak Republic,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,2741066434.08152
BGR,Bulgaria,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,2672220000.0
LUX,Luxembourg,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,2447792823.66862
BMU,Bermuda,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,2346000000.0
ALB,Albania,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,2274440593.60033
SOM,"Somalia, Fed. Rep.",BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,2118090000.0
COD,"Congo, Dem. Rep.",BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,2000736160.66299
XKX,Kosovo,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,1934000000.0
MDA,Moldova,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,1917700000.0
RUS,Russian Federation,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,1907830000.0
AUS,Australia,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,1893434964.20227
PRT,Portugal,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,1804893649.40479
DZA,Algeria,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,1799073771.92093
SYR,Syrian Arab Republic,BX.TRF.PWKR.CD.DT,Remittances received (US$),2010,1622538750.0
MYS,Malaysia,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,1605279752.31516
CSS,Caribbean small states,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,1595715165.67185
DNK,Denmark,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,1519481607.32724
QAT,Qatar,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,1443131868.13186
UGA,Uganda,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,1437700124.58108
BLR,Belarus,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,1377333747.69
AZE,Azerbaijan,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,1351678000.0
LVA,Latvia,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,1338010413.67246
BOL,Bolivia,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,1286715866.3982
PSS,Pacific island small states,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,1285874805.40005
ARM,Armenia,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,1278216269.14741
MMR,Myanmar,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,1150000000.0
SSD,South Sudan,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,1138504150.39063
MLI,Mali,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,1094528068.0984
CIV,Cote d'Ivoire,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,1090000000.0
LTU,Lithuania,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,1053040837.54854
ARG,Argentina,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,1044365105.03816
IRN,"Iran, Islamic Rep.",BX.TRF.PWKR.CD.DT,Remittances received (US$),2004,1032000000.0
TUR,Turkiye,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,982000000.0
ISR,Israel,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,952300000.0
SDN,Sudan,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,900000000.0
IRQ,Iraq,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,879409973.144531
PRY,Paraguay,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,878191146.175132
ZAF,South Africa,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,855374671.121348
MNE,Montenegro,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,855194696.701429
SVN,Slovenia,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,852252884.463343
CAN,Canada,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,851437898.472404
TZA,Tanzania,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,750000000.0
FIN,Finland,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,748914874.945902
PSE,West Bank and Gaza,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,735607751.557531
CRI,Costa Rica,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,724796054.747405
LBR,Liberia,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,680000000.0
CYP,Cyprus,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,660727970.073943
CMR,Cameroon,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,630000000.0
NOR,Norway,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,621249012.964298
NCL,New Caledonia,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,621061715.841089
GIN,Guinea,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,616420000.0
GUY,Guyana,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,600000000.0
IRL,Ireland,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,600000000.0
TGO,Togo,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,600000000.0
NZL,New Zealand,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,598191538.973225
BFA,Burkina Faso,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,590000000.0
PYF,French Polynesia,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,581560094.176844
NER,Niger,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,567472152.801391
GRC,Greece,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,561447512.229397
RWA,Rwanda,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,537455322.265625
PAN,Panama,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,531591166.76
GMB,"Gambia, The",BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,528765281.012022
MNG,Mongolia,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,527686176.930018
EST,Estonia,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,496264001.176001
ETH,Ethiopia,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,490000000.0
