iso3;qid;country_pt;country_en;ports_pt;ports_en;waters_pt;waters_en;has_ports;has_routes
GAB;Q1000;Gabão;Gabon;;Gamba Oil Terminal, Olowi Marine Terminal, Etame Terminal, M'bya Oil Terminal, Oguendjo Terminal, Libreville, Cap Lopez, Port Owendo, Port Gentil;Oceano Atlântico;Atlantic Ocean;Sim;Sim
GMB;Q1005;Gâmbia;The Gambia;;Banjul;Oceano Atlântico;Atlantic Ocean;Sim;Sim
GIN;Q1006;Guiné;Guinea;;Benti, Port de Pêche de Boulbinet, Port de Conakry, Port Hug, Port of Kamsar;Oceano Atlântico;Atlantic Ocean;Sim;Sim
GNB;Q1007;Guiné-Bissau;Guinea-Bissau;Porto de Bissau;RIO CACHEU, Port of Bissau;Oceano Atlântico;Atlantic Ocean;Sim;Sim
CIV;Q1008;Costa do Marfim;Ivory Coast;;Baobab Marine Terminal, ESPOIR MARINE TERMINAL, Port Bouet, Bassa Anchorage, Autonomous Port of Abidjan;Oceano Atlântico;Atlantic Ocean;Sim;Sim
CMR;Q1009;Camarões;Cameroon;;KOME KRIBI 1 MARINE TERMINAL, Limboh Terminal, Moudi Marine Terminal, Ebome Marine Terminal, Kole Oil Terminal, Kribi Deep Sea Port, Cameroon FLNG, Port autonome de Douala;Oceano Atlântico;Atlantic Ocean;Sim;Sim
CPV;Q1011;Cabo Verde;Cape Verde;Porto da Praia;Porto da Praia, Vale de Cavaleiros;Oceano Atlântico;Atlantic Ocean;Sim;Sim
LSO;Q1013;Lesoto;Lesotho;;;;;Não;Não
LBR;Q1014;Libéria;Liberia;;Buchanan, Greenville, Cape Palmas, Freeport of Monrovia;Oceano Atlântico;Atlantic Ocean;Sim;Sim
LBY;Q1016;Líbia;Libya;;Harbour, Ptolemais, Inner (West) Harbour, Apollonia, Port area, Sabratha, Marsá ar Raḩá, Abu Khammash, Az Zawiya, Marsa Sabratah, Ez Zueitina, Al Burayqah, As Sidr, Misratah, Darnah, Ras Lanuf, Khoms, Marsa El Brega LNG, Port of Tobruk, Port of Benghazi, Port of Tripoli;;;Sim;Não
MDG;Q1019;Madagáscar;Madagascar;Port d'Ehoala;Antsohim Bondrona, Maintirano, Tolanaro, Manakara, Maroantsetra, IHARANA, Mahajanga, Toliara, Mananjary, Antsiranana, Andoany, Morondava, Port d'Ehola, Toamasina Autonomous Port;;;Sim;Não
MWI;Q1020;Malawi;Malawi;;;;;Não;Não
MRT;Q1025;Mauritânia;Mauritania;;Nouadhibou, Port of Nouakchott;Oceano Atlântico;Atlantic Ocean;Sim;Sim
MUS;Q1027;Maurícia;Mauritius;;Port Louis, Port Mathurin, Caudan Waterfront;Oceano Índico;Indian Ocean;Sim;Sim
MAR;Q1028;Marrocos;Morocco;Porto de Mohammedia, Port De Tanger;Port of Asilah, Port of El Jadida, Sidi Ifni port, Port of Larache, Port of Essaouira, Port of Casablanca, Port of Agadir, Al Hoceima Port, Port of Kenitra, Port de Mohammedia, Port de Safi, Sidi Ifni harbour, Port of Tangier Ville, Bouregreg Marina, Jorf Lasfar, Nador West Med, Tanger-Med, Nador Port, United States Naval Communications Station Sidi Yahya El Gharb, Ras El Ma Port;Oceano Atlântico;Atlantic Ocean;Sim;Sim
MOZ;Q1029;Moçambique;Mozambique;Porto da Beira, Porto de Maputo, Porto de Nacala;Port of Beira, Chinde, Mocambique, Quelimane, Inhambane, Pemba, Pebane, Ibo, Port of Matola, Porto Belo, Port Maputo, Port of Nacala;;;Sim;Não
NAM;Q1030;Namíbia;Namibia;;Port of Lüderitz, Port of Walvis Bay, Naval Calling Station Luderitz;Oceano Atlântico;Atlantic Ocean;Sim;Sim
NER;Q1032;Níger;Niger;;;;;Não;Não
NGA;Q1033;Nigéria;Nigeria;;Gelegele, Ukpokiti Marine Terminal, Odudu Terminal, Okono Terminal, Okwori Terminal, Onne, Agbami Oil Terminal, Egina Oil Terminal, Akpo Oil Terminal, Forcados Oil Terminal, Okrika, Antan Oil Terminal, Calabar, Escravos Oil Terminal, Koko, Forcados, Burutu, Brass Oil Terminal, Qua Iboe Oil Terminal, Bonny Offshore Terminal, Sea Eagle Terminal, Bonny, Yoho Terminal, Pennington Oil Terminal, Sapele, Warri, Apapa Port  Lagos, Onne Port, Rivers State, Warri Port, Delta State, Delta Port, Delta State, Calabar River Port, Cross River State, Tincan Island Port Lagos, Abuja Port, Abuja, Okrika Oil terminal, Akassa oil terminal, Burutu oil terminal, Funtua Inland Dry Port, Nigeria navy base Command Idah, Port of Port Harcourt, Tin Can Island Port, Nigeria LNG, Lekki Port, Lagos;Oceano Atlântico;Atlantic Ocean;Sim;Sim
UGA;Q1036;Uganda;Uganda;;Bukasa Inland Port, Tororo Inland Port;;;Sim;Não
RWA;Q1037;Ruanda;Rwanda;;;;;Não;Não
STP;Q1039;São Tomé e Príncipe;São Tomé and Príncipe;Porto de Ana Chaves;Port of São Tomé, Santo Antonio;Oceano Atlântico;Atlantic Ocean;Sim;Sim
