iso3;river_name;length_km;scalerank;featurecla;source
GAB;Aïna;207;7;River;NaturalEarth_10m_rivers
GAB;Benito;62;7;River;NaturalEarth_10m_rivers
GAB;Ivindo;228;7;River;NaturalEarth_10m_rivers
GAB;Ngounie;360;8;River;NaturalEarth_10m_rivers
GAB;Ogooué;896;8;Lake Centerline;NaturalEarth_10m_rivers
GMB;Gambia;289;7;River;NaturalEarth_10m_rivers
GIN;Bafing;307;4;River;NaturalEarth_10m_rivers
GIN;Gambia;181;7;River;NaturalEarth_10m_rivers
GIN;Geba;244;7;River;NaturalEarth_10m_rivers
GIN;Niger;544;3;River;NaturalEarth_10m_rivers
GIN;Saint Paul;174;8;River;NaturalEarth_10m_rivers
GNB;Geba;223;7;River;NaturalEarth_10m_rivers
CIV;Bandama;467;7;Lake Centerline;NaturalEarth_10m_rivers
CIV;Bandama Blanc;446;7;River;NaturalEarth_10m_rivers
CIV;Baoulé;131;7;River;NaturalEarth_10m_rivers
CIV;Black Volta;100;5;River;NaturalEarth_10m_rivers
CIV;Komoé;997;7;River;NaturalEarth_10m_rivers
CIV;Sassandra;714;6;Lake Centerline;NaturalEarth_10m_rivers
CMR;Aïna;63;7;River;NaturalEarth_10m_rivers
CMR;Benue;336;4;River;NaturalEarth_10m_rivers
CMR;Chari;189;6;River;NaturalEarth_10m_rivers
CMR;Dja;670;8;River;NaturalEarth_10m_rivers
CMR;Kadeï;517;6;River;NaturalEarth_10m_rivers
CMR;Logone;305;7;River;NaturalEarth_10m_rivers
CMR;Lom;396;6;River;NaturalEarth_10m_rivers
CMR;Mbam;457;7;River;NaturalEarth_10m_rivers
CMR;Sanaga;463;6;River;NaturalEarth_10m_rivers
CMR;Vina;225;7;River;NaturalEarth_10m_rivers
LSO;Orange;312;6;River;NaturalEarth_10m_rivers
LBR;Saint Paul;259;8;River;NaturalEarth_10m_rivers
MDG;Betsiboka;502;7;River;NaturalEarth_10m_rivers
MDG;Mananantanana;248;6;River;NaturalEarth_10m_rivers
MDG;Mangoky;287;6;River;NaturalEarth_10m_rivers
MDG;Mania;315;7;River;NaturalEarth_10m_rivers
MDG;Onilahy;357;8;River;NaturalEarth_10m_rivers
MDG;Tsiribihina;137;7;River;NaturalEarth_10m_rivers
MWI;Shire;394;3;Lake Centerline;NaturalEarth_10m_rivers
MRT;Senegal;369;4;River;NaturalEarth_10m_rivers
MAR;Sebou;389;8;River;NaturalEarth_10m_rivers
MOZ;Limpopo;483;6;River;NaturalEarth_10m_rivers
MOZ;Lúrio;549;7;River;NaturalEarth_10m_rivers
MOZ;Maputo;98;8;River;NaturalEarth_10m_rivers
MOZ;Mazowe;112;7;River;NaturalEarth_10m_rivers
MOZ;Ruvuma;141;6;River;NaturalEarth_10m_rivers
MOZ;Save;318;7;River;NaturalEarth_10m_rivers
MOZ;Shire;73;3;River;NaturalEarth_10m_rivers
MOZ;Zambezi;878;3;Lake Centerline;NaturalEarth_10m_rivers
NAM;Auob;504;8;River;NaturalEarth_10m_rivers
NAM;Cuando;245;7;River;NaturalEarth_10m_rivers
NAM;Cunene;122;7;River;NaturalEarth_10m_rivers
