cls_qid;cls_label;item_qid;item_label;iso3
Q3624078;sovereign state;Q786;República Dominicana;DOM
Q3624078;sovereign state;Q232;Cazaquistão;KAZ
Q3624078;sovereign state;Q96;México;MEX
Q3624078;sovereign state;Q664;Nova Zelândia;NZL
Q3624078;sovereign state;Q794;Irão;IRN
Q3624078;sovereign state;Q40;Áustria;AUT
Q3624078;sovereign state;Q347;Liechtenstein;LIE
Q3624078;sovereign state;Q419;Peru;PER
Q3624078;sovereign state;Q778;Bahamas;BHS
Q3624078;sovereign state;Q750;Bolívia;BOL
Q3624078;sovereign state;Q148;China;CHN
Q3624078;sovereign state;Q423;Coreia do Norte;PRK
Q3624078;sovereign state;Q142;França;FRA
Q3624078;sovereign state;Q235;Mónaco;MCO
Q3624078;sovereign state;Q183;Alemanha;DEU
Q3624078;sovereign state;Q672;Tuvalu;TUV
Q3624078;sovereign state;Q739;Colômbia;COL
Q3624078;sovereign state;Q685;Ilhas Salomão;SLB
Q3624078;sovereign state;Q184;Bielorrússia;BLR
Q3624078;sovereign state;Q242;Belize;BLZ
Q3624078;sovereign state;Q230;Geórgia;GEO
Q3624078;sovereign state;Q237;Vaticano;VAT
Q3624078;sovereign state;Q244;Barbados;BRB
Q3624078;sovereign state;Q424;Camboja;KHM
Q3624078;sovereign state;Q222;Albânia;ALB
Q3624078;sovereign state;Q236;Montenegro;MNE
Q3624078;sovereign state;Q783;Honduras;HND
Q3624078;sovereign state;Q784;Dominica;DMA
Q3624078;sovereign state;Q45;Portugal;PRT
Q3624078;sovereign state;Q414;Argentina;ARG
Q3624078;sovereign state;Q189;Islândia;ISL
Q3624078;sovereign state;Q145;Reino Unido;GBR
Q3624078;sovereign state;Q241;Cuba;CUB
Q3624078;sovereign state;Q733;Paraguai;PRY
Q3624078;sovereign state;Q691;Papua-Nova Guiné;PNG
Q3624078;sovereign state;Q769;Granada;GRD
Q3624078;sovereign state;Q191;Estónia;EST
Q3624078;sovereign state;Q796;Iraque;IRQ
Q3624078;sovereign state;Q574;Timor-Leste;TLS
Q3624078;sovereign state;Q229;Chipre;CYP
Q3624078;sovereign state;Q79;Egito;EGY
Q3624078;sovereign state;Q709;Ilhas Marshall;MHL
Q3624078;sovereign state;Q736;Equador;ECU
Q3624078;sovereign state;Q697;Nauru;NRU
Q3624078;sovereign state;Q760;Santa Lúcia;LCA
Q3624078;sovereign state;Q252;Indonésia;IDN
Q3624078;sovereign state;Q702;Micronésia;FSM
Q3624078;sovereign state;Q334;Singapura;SGP
Q3624078;sovereign state;Q710;Kiribati;KIR
Q3624078;sovereign state;Q43;Turquia;TUR
Q3624078;sovereign state;Q800;Costa Rica;CRI
Q3624078;sovereign state;Q298;Chile;CHL
Q3624078;sovereign state;Q233;Malta;MLT
Q3624078;sovereign state;Q262;Argélia;DZA
Q3624078;sovereign state;Q790;Haiti;HTI
Q3624078;sovereign state;Q258;África do Sul;ZAF
Q3624078;sovereign state;Q730;Suriname;SUR
Q3624078;sovereign state;Q228;Andorra;AND
Q3624078;sovereign state;Q217;Moldávia;MDA
Q3624078;sovereign state;Q668;Índia;IND
Q3624078;sovereign state;Q265;Uzbequistão;UZB
Q3624078;sovereign state;Q41;Grécia;GRC
Q3624078;sovereign state;Q238;San Marino;SMR
Q3624078;sovereign state;Q408;Austrália;AUS
Q3624078;sovereign state;Q686;Vanuatu;VUT
Q3624078;sovereign state;Q695;Palau;PLW
Q3624078;sovereign state;Q398;Bahrein;BHR
Q3624078;sovereign state;Q114;Quénia;KEN
Q3624078;sovereign state;Q227;Azerbaijão;AZE
Q3624078;sovereign state;Q211;Letónia;LVA
Q3624078;sovereign state;Q774;Guatemala;GTM
Q3624078;sovereign state;Q115;Etiópia;ETH
Q3624078;sovereign state;Q711;Mongólia;MNG
Q3624078;sovereign state;Q77;Uruguai;URY
Q3624078;sovereign state;Q754;Trindade e Tobago;TTO
Q3624078;sovereign state;Q403;Sérvia;SRB
Q3624078;sovereign state;Q159;Rússia;RUS
Q3624078;sovereign state;Q212;Ucrânia;UKR
Q3624078;sovereign state;Q213;Chéquia;CZE
Q3624078;sovereign state;Q763;São Cristóvão e Neves;KNA
Q3624078;sovereign state;Q757;São Vicente e Granadinas;VCT
Q3624078;sovereign state;Q214;Eslováquia;SVK
Q3624078;sovereign state;Q215;Eslovénia;SVN
Q3624078;sovereign state;Q219;Bulgária;BGR
Q3624078;sovereign state;Q218;Roménia;ROU
Q3624078;sovereign state;Q717;Venezuela;VEN
Q3624078;sovereign state;Q683;Samoa;WSM
Q3624078;sovereign state;Q792;El Salvador;SLV
Q3624078;sovereign state;Q678;Tonga;TON
Q3624078;sovereign state;Q117;Gana;GHA
Q3624078;sovereign state;Q221;Macedónia do Norte;MKD
Q3624078;sovereign state;Q734;Guiana;GUY
Q3624078;sovereign state;Q781;Antígua e Barbuda;ATG
Q3624078;sovereign state;Q657;Chade;TCD
Q3624078;sovereign state;Q399;Arménia;ARM
Q3624078;sovereign state;Q224;Croácia;HRV
Q3624078;sovereign state;Q766;Jamaica;JAM
Q3624078;sovereign state;Q155;Brasil;BRA
Q3624078;sovereign state;Q712;Fiji;FJI
Q3624078;sovereign state;Q225;Bósnia e Herzegovina;BIH
Q3624078;sovereign state;Q970;Comores;COM
Q3624078;sovereign state;Q810;Jordânia;JOR
Q3624078;sovereign state;Q928;Filipinas;PHL
Q3624078;sovereign state;Q124653007;realm of the United Kingdom;
Q3624078;sovereign state;Q948;Tunísia;TUN
Q3624078;sovereign state;Q865;Taiwan;TWN
Q3624078;sovereign state;Q11278480;Q11278480;
Q3624078;sovereign state;Q11294076;Q11294076;
Q3624078;sovereign state;Q837;Nepal;NPL
Q3624078;sovereign state;Q131839713;Kingdom of Patones;
Q3624078;sovereign state;Q29999;Reino dos Países Baixos;NLD
Q3624078;sovereign state;Q874;Turquemenistão;TKM
Q3624078;sovereign state;Q916;Angola;AGO
Q3624078;sovereign state;Q29;Espanha;ESP
Q3624078;sovereign state;Q958;Sudão do Sul;SSD
Q3624078;sovereign state;Q11265535;Inobutan Kingdom;
Q3624078;sovereign state;Q954;Zimbábue;ZWE
Q3624078;sovereign state;Q1718707;Sauk-Suiattle Indian Tribe;
Q3624078;sovereign state;Q1000;Gabão;GAB
Q3624078;sovereign state;Q804;Panamá;PAN
Q3624078;sovereign state;Q965;Burquina Fasso;BFA
Q3624078;sovereign state;Q805;Iémen;YEM
Q3624078;sovereign state;Q963;Botsuana;BWA
Q3624078;sovereign state;Q1005;Gâmbia;GMB
Q3624078;sovereign state;Q1007;Guiné-Bissau;GNB
Q3624078;sovereign state;Q1008;Costa do Marfim;CIV
Q3624078;sovereign state;Q953;Zâmbia;ZMB
Q3624078;sovereign state;Q1011;Cabo Verde;CPV
