QID;Iso3
Q1000;GAB
Q100272879;FRA
Q1005;GMB
Q1006;GIN
Q1007;GNB
Q1008;CIV
Q1009;CMR
Q1011;CPV
Q101242375;IND
Q1013;LSO
Q1014;LBR
Q1016;LBY
Q1019;MDG
Q1020;MWI
Q1025;MRT
Q1027;MUS
Q1028;MAR
Q1028095;IND
Q1029;MOZ
Q1030;NAM
Q1032;NER
Q1033;NGA
Q1036;UGA
Q1037;RWA
Q1039;STP
Q1041;SEN
Q104151568;IND
Q104151575;IND
Q104151601;IND
Q104152096;IND
Q104152097;IND
Q104152099;IND
Q104152100;IND
Q104152101;IND
Q104152102;IND
Q104152103;IND
Q104152104;IND
Q104152105;IND
Q104152106;IND
Q104152107;IND
Q104152108;IND
Q104152109;IND
Q104152110;IND
Q104152111;IND
Q104152114;PAK
Q104152246;IND
Q104152343;IND
Q104177909;NRU
Q1042;SYC
Q1044;SLE
Q1045;SOM
Q104830524;LBR
Q1049;SDN
Q1050;SWZ
Q1050859;TUV
Q1060520;IND
Q1061057;IDN
Q1061488;COL
Q1061488;PAN
Q1062546;TWN
Q106396892;VAT
Q1071439;ATF
Q1071439;COM
Q1071439;MDG
Q1071493;IND
Q1072140;VAT
Q1072362;VNM
Q107258515;IRN
Q107783136;GAB
Q1078602;NPL
Q10797411;IND
Q10841085;VNM
Q10957559;ROU
Q1097943;UGA
Q1106857;SOM
Q111016259;IND
Q1115291;THA
Q11177699;CZE
Q11177699;SVK
Q1121436;CAN
Q11317232;PAK
Q1134180;CAN
Q11344632;MDV
Q1139807;PRT
Q114;KEN
Q1140152;IRL
Q1141215;COL
Q1141215;PAN
Q115;ETH
Q1152126;COG
Q1155700;THA
Q116282722;ATG
Q116282722;BRB
Q116282722;CYM
Q116282722;DMA
Q116282722;GRD
Q116282722;JAM
Q116282722;LCA
Q116282722;MSR
Q116282722;TCA
Q116282722;TTO
Q116282722;VCT
Q117;GHA
Q11703;VIR
Q1172600;IND
Q11750128;POL
Q1178974;TWN
Q1183;PRI
Q11905286;IND
Q11909106;IND
Q11909259;IND
Q11916643;IND
Q11916665;IND
Q11916768;IND
Q11917045;IND
Q11923882;IND
Q11925661;IND
Q11927113;IND
Q11927151;IND
Q11927206;IND
Q11927430;IND
Q11927544;IND
Q11927549;IND
Q1192936;BDI
Q11929623;IND
Q11929645;IND
Q11929746;IND
Q11929762;IND
Q11931118;IND
Q11934705;IND
Q11937172;IND
Q11937876;IND
Q11939770;IND
Q11940483;IND
Q11944481;IND
Q11944509;IND
Q11944704;IND
Q11946883;IND
Q11949691;IND
Q11950939;IDN
Q11951827;IND
Q11952191;IND
Q11953949;IND
Q11954352;IND
Q1198163;TWN
Q12053604;MUS
Q1206012;DEU
Q12060881;MNG
Q1207105;IND
Q1207561;IND
Q1207641;IND
Q12183875;MAR
Q121932;BGR
Q122955960;IND
Q1232509;GNQ
Q1233672;ESP
Q1235737;ESP
Q1240096;IND
Q12491027;IDN
Q124943;EGY
Q1252744;IND
Q12536;TUR
Q12544;TUR
Q12560;TUR
Q1261339;IND
Q1261743;IND
Q1274468;BIH
Q127607963;TUR
Q1277557;HRV
Q1277557;MKD
Q1277557;SVN
Q12816977;IND
Q129003;ATF
Q1290149;HRV
Q1290149;MKD
Q1290149;SVN
Q129286;IND
Q1297894;ESP
Q130229;GEO
Q130280;EST
Q131198;HMD
Q131337;AZE
Q131404661;SYR
Q131964;AUT
Q131964;ITA
Q133356;UKR
Q1335260;IND
Q1335260;PAK
Q13353;MSR
Q13389050;IND
Q13410267;SLB
Q13426199;CHN
Q13426199;TWN
Q1375154;IND
Q137816;TWN
Q1381495;IND
Q139319;RUS
Q1395011;IND
Q1396700;IND
Q139948;PAK
Q1400780;IND
Q1410;GIB
Q142;FRA
Q142965;TLS
Q1440788;GUF
Q14491604;IND
Q145;GBR
Q1450765;DJI
Q14552167;IND
Q1457519;IND
Q146328;PHL
Q146720;IRQ
Q146885;SYR
Q14759030;MUS
Q1476723;IND
Q1477220;SOM
Q147909;BGR
Q1479726;MYS
Q148;CHN
