Iso3Start;Level;QID;Label;FormationYear;SourceFlag
GAB;0;Q1000;Gabão;;seed
GAB;1;Q107783136;Middle Congo;;seed_evidence
GAB;2;Q265319;Congo francês;1882;seed_evidence
GMB;0;Q1005;Gâmbia;;seed
GMB;1;Q7735661;Commonwealth realm of the Gambia;1965;seed_evidence
GIN;0;Q1006;Guiné;;seed
GIN;1;Q98605707;People's Revolutionary Republic of Guinea;1958;seed_evidence
GIN;1;Q210682;África Ocidental Francesa;1895;seed_evidence
GIN;2;Q797433;Guiné francesa;1894;seed_evidence
GIN;2;Q568712;Império de Uassulu;1878;seed_evidence
GIN;2;Q536476;Império Tuculor;1836;seed_evidence
GNB;0;Q1007;Guiné-Bissau;;seed
GNB;1;Q2002279;Privíncia Ultramarina da Guiné;1474;seed_evidence
CIV;0;Q1008;Costa do Marfim;;seed
CIV;1;Q39074482;French Ivory Coast;1893;seed_evidence
CIV;1;Q210682;África Ocidental Francesa;1895;seed_evidence
CIV;2;Q568712;Império de Uassulu;1878;seed_evidence
CIV;2;Q536476;Império Tuculor;1836;seed_evidence
CMR;0;Q1009;Camarões;;seed
CMR;1;Q60023785;United Republic of Cameroon;1972;seed_evidence
CMR;2;Q30744169;Federal Republic of Cameroon;1961;seed_evidence
CPV;0;Q1011;Cabo Verde;;seed
CPV;1;Q4393598;República das Ilhas de Cabo Verde;1975;seed_evidence
CPV;2;Q3023340;Província Ultramarina de Cabo Verde;1462;seed_evidence
LSO;0;Q1013;Lesoto;;seed
LSO;1;Q2340665;Basutolândia;1884;seed_evidence
LBR;0;Q1014;Libéria;;seed
LBR;1;Q544630;Republic of Maryland;1854;seed_evidence
LBR;1;Q104830524;Colony of Liberia;1822;seed_evidence
LBR;2;Q1014;Libéria;1822;seed_evidence
LBY;0;Q1016;Líbia;;seed
LBY;1;Q4843701;Líbia Era Muammar al-Gaddafi;1977;seed_evidence
LBY;2;Q2347668;República Árabe da Líbia;1969;seed_evidence
MDG;0;Q1019;Madagáscar;;seed
MDG;1;Q5501842;French Madagascar;1897;seed_evidence
MDG;2;Q1071439;Reino de Madagascar;1540;seed_evidence
MDG;2;Q16540904;Colony of Mayotte and Dependencies;1886;seed_evidence
MDG;2;Q25424205;Sultanate of Mohéli;1830;seed_evidence
MWI;0;Q1020;Malawi;;seed
MWI;1;Q6741448;Commonwealth realm of Malawi;1964;seed_evidence
MRT;0;Q1025;Mauritânia;;seed
MRT;1;Q210682;África Ocidental Francesa;1895;seed_evidence
MRT;2;Q536476;Império Tuculor;1836;seed_evidence
MUS;0;Q1027;Maurícia;;seed
MUS;1;Q14759030;Commonwealth realm of Mauritius;1968;seed_evidence
MUS;2;Q12053604;Maurício Britânico;1810;seed_evidence
MAR;0;Q1028;Marrocos;;seed
MAR;1;Q457242;Marrocos Espanhol;1912;seed_evidence
MAR;2;Q12183875;Sharifian Empire;1510;seed_evidence
MAR;2;Q37102;República do Rife;1921;seed_evidence
MOZ;0;Q1029;Moçambique;;seed
MOZ;1;Q617078;República Popular de Moçambique;1975;seed_evidence
NAM;0;Q1030;Namíbia;;seed
NAM;1;Q953068;Sudoeste Africano;1915;seed_evidence
NAM;2;Q153665;Sudoeste Africano Alemão;1884;seed_evidence
NER;0;Q1032;Níger;;seed
NER;1;Q210682;África Ocidental Francesa;1895;seed_evidence
NER;2;Q536476;Império Tuculor;1836;seed_evidence
NGA;0;Q1033;Nigéria;;seed
NGA;1;Q5440850;Federation of Nigeria;1960;seed_evidence
NGA;2;Q2046345;Nigéria colonial;1914;seed_evidence
UGA;0;Q1036;Uganda;;seed
UGA;1;Q7877575;Commonwealth realm of Uganda;1962;seed_evidence
UGA;2;Q1097943;Protetorado do Uganda;1894;seed_evidence
RWA;0;Q1037;Ruanda;;seed
STP;0;Q1039;São Tomé e Príncipe;;seed
STP;1;Q7232692;Província Ultramarina de São Tomé e Príncipe;1470;seed_evidence
SEN;0;Q1041;Senegal;;seed
SEN;1;Q216632;Federação do Mali;1959;seed_evidence
SEN;1;Q210682;África Ocidental Francesa;1895;seed_evidence
SEN;2;Q3456487;Sudanese Republic;1958;seed_evidence
SEN;2;Q536476;Império Tuculor;1836;seed_evidence
SYC;0;Q1042;Seychelles;;seed
SLE;0;Q1044;Serra Leoa;;seed
SLE;1;Q14920623;Commonwealth realm of Sierra Leone;1961;seed_evidence
SLE;2;Q15240191;Colony of Sierra Leone;;seed_evidence
SLE;2;Q30059027;Colônia e Protetorado de Serra Leoa;1808;seed_evidence
SOM;0;Q1045;Somália;;seed
SOM;1;Q1477220;República Democrática da Somália;1969;seed_evidence
SOM;1;Q1106857;Estado da Somalilândia;1960;seed_evidence
SOM;2;Q7559152;República Somali;1960;seed_evidence
SOM;2;Q662653;Somalilândia Britânica;1884;seed_evidence
SDN;0;Q1049;Sudão;;seed
SDN;1;Q541455;Sudão Anglo-Egípcio;1899;seed_evidence
SWZ;0;Q1050;Essuatíni;;seed
SWZ;1;Q21815946;British Swaziland;;seed_evidence
KEN;0;Q114;Quénia;;seed
KEN;1;Q6392538;Kenya (1963–1964);1963;seed_evidence
KEN;2;Q2538511;Quênia britânico;1920;seed_evidence
ETH;0;Q115;Etiópia;;seed
GHA;0;Q117;Gana;;seed
GHA;1;Q5555325;Dominion of Ghana;1957;seed_evidence
GHA;1;Q503623;Costa do Ouro;1821;seed_evidence
