iso3,country,city_qid,admin_q,is_cap,pop,yr,lat,lon
ARG,Argentina,Q1486,http://www.wikidata.org/entity/Q414,1,3121707,,-34.599722222222,-58.381944444444
ARG,Argentina,Q81562,http://www.wikidata.org/entity/Q1190458,0,25171,,-46.8,-67.966666666667
ARG,Argentina,Q106096,http://www.wikidata.org/entity/Q1190776,0,14246,,-40.7616474,-71.6447641
ARG,Argentina,Q147196,http://www.wikidata.org/entity/Q1191283,0,40472,,-38.902777777778,-70.065
ARG,Argentina,Q259498,http://www.wikidata.org/entity/Q44823,0,110709,,-31.266666666667,-61.483333333333
ARG,Argentina,Q260600,http://www.wikidata.org/entity/Q44754,0,768470,,-34.916666666667,-57.95
ARG,Argentina,Q377965,http://www.wikidata.org/entity/Q2027949,0,160000,,-33.333333333333,-60.216666666667
ARG,Argentina,Q379383,http://www.wikidata.org/entity/Q44796,0,5019,,-31.5667,-66.25
ARG,Argentina,Q603592,http://www.wikidata.org/entity/Q653605,0,58315,,-38.88,-62.075
ARG,Argentina,Q604640,http://www.wikidata.org/entity/Q44754,0,35251,,-35.03,-63.009833333333
ARG,Argentina,Q607174,http://www.wikidata.org/entity/Q645679,0,14389,,-30.31053,-61.23724
ARG,Argentina,Q790179,http://www.wikidata.org/entity/Q44754,0,40002,,-33.833333333333,-59.533333333333
ARG,Argentina,Q15329,http://www.wikidata.org/entity/Q665082,0,22000,,-32.066666666667,-64.533333333333
ARG,Argentina,Q23044,http://www.wikidata.org/entity/Q2004531,0,215020,,-34.6175,-68.335555555556
ARG,Argentina,Q44059,http://www.wikidata.org/entity/Q260600,0,193144,,-34.933333333333,-57.95
ARG,Argentina,Q44162,http://www.wikidata.org/entity/Q858182,0,159139,,-28.468611111111,-65.779166666667
ARG,Argentina,Q44206,http://www.wikidata.org/entity/Q1063341,0,298611,,-27.451388888889,-58.986666666667
ARG,Argentina,Q44210,http://www.wikidata.org/entity/Q858183,0,1329604,,-31.416666666667,-64.183333333333
ARG,Argentina,Q44211,http://www.wikidata.org/entity/Q858178,0,352646,,-27.483333333333,-58.816666666667
ARG,Argentina,Q44208,http://www.wikidata.org/entity/Q1088518,0,31787,,-43.3,-65.1
ARG,Argentina,Q44214,http://www.wikidata.org/entity/Q649840,0,222226,,-26.184722222222,-58.175833333333
ARG,Argentina,Q44215,http://www.wikidata.org/entity/Q2398948,0,102860,,-36.620277777778,-64.290555555556
ARG,Argentina,Q44213,http://www.wikidata.org/entity/Q518847,0,247863,,-31.733055555556,-60.529722222222
ARG,Argentina,Q44217,http://www.wikidata.org/entity/Q907577,0,321789,,-24.185555555556,-65.299444444444
ARG,Argentina,Q44238,http://www.wikidata.org/entity/Q44798,0,275988,,-27.366666666667,-55.896944444444
ARG,Argentina,Q52607,http://www.wikidata.org/entity/Q671742,0,593337,,-38.0,-57.55
ARG,Argentina,Q54108,http://www.wikidata.org/entity/Q788626,0,299101,,-38.716666666667,-62.266666666667
ARG,Argentina,Q44239,http://www.wikidata.org/entity/Q960802,0,288896,,-38.951833333333,-68.059194444444
ARG,Argentina,Q44236,http://www.wikidata.org/entity/Q732783,0,180995,,-29.4130555556,-66.8558333333
ARG,Argentina,Q44237,http://www.wikidata.org/entity/Q44797,0,114822,,-32.889722222222,-68.844444444444
ARG,Argentina,Q44242,http://www.wikidata.org/entity/Q761763,0,115585,,-51.623333333333,-69.216111111111
ARG,Argentina,Q44243,http://www.wikidata.org/entity/Q955598,0,169947,,-33.299444444444,-66.339166666667
ARG,Argentina,Q44240,http://www.wikidata.org/entity/Q1190188,0,59993,,-40.8,-63.0
ARG,Argentina,Q44241,http://www.wikidata.org/entity/Q1190333,0,471389,,-31.5375,-68.536388888889
ARG,Argentina,Q44244,http://www.wikidata.org/entity/Q1190687,0,405683,,-31.633333333333,-60.7
ARG,Argentina,Q44254,http://www.wikidata.org/entity/Q2342358,0,82615,,-54.807222222222,-68.304444444444
ARG,Argentina,Q44255,http://www.wikidata.org/entity/Q1190337,0,605767,,-26.816666666667,-65.216666666667
ARG,Argentina,Q44253,http://www.wikidata.org/entity/Q510050,0,430280,,-27.784444444444,-64.266944444444
