iso3,country,city_qid,admin_q,is_cap,pop,yr,lat,lon
AUS,Austrália,Q3130,http://www.wikidata.org/entity/Q3224,0,5450496,,-33.867777777778,151.21
AUS,Austrália,Q3141,http://www.wikidata.org/entity/Q36687,0,5350705,,-37.814166666667,144.96305555556
AUS,Austrália,Q34932,http://www.wikidata.org/entity/Q36074,0,2706966,,-27.467777777778,153.02777777778
AUS,Austrália,Q3183,http://www.wikidata.org/entity/Q3206,0,2141834,,-31.955833333333,115.85972222222
AUS,Austrália,Q5112,http://www.wikidata.org/entity/Q35715,0,1387290,,-34.9275,138.6
AUS,Austrália,Q140075,http://www.wikidata.org/entity/Q36074,0,638090,,-28.016666666667,153.4
AUS,Austrália,Q1069385,http://www.wikidata.org/entity/Q36074,0,625087,,-28.001111111111,153.42833333333
AUS,Austrália,Q57278,http://www.wikidata.org/entity/Q820325,0,481183,,-32.916666666667,151.75
AUS,Austrália,Q3114,http://www.wikidata.org/entity/Q3258,1,452670,,-35.293055555556,149.12694444444
AUS,Austrália,Q828357,http://www.wikidata.org/entity/Q36074,0,353281,,-26.654166666667,153.09333333333
AUS,Austrália,Q2944411,http://www.wikidata.org/entity/Q3224,0,325255,,-33.299166666667,151.19222222222
AUS,Austrália,Q187861,http://www.wikidata.org/entity/Q820296,0,289236,,-34.433055555556,150.88305555556
AUS,Austrália,Q1009253,http://www.wikidata.org/entity/Q1631867,0,232930,,-27.616666666667,152.76666666667
AUS,Austrália,Q40191,http://www.wikidata.org/entity/Q34366,0,222356,,-42.883333333333,147.31666666667
AUS,Austrália,Q231765,http://www.wikidata.org/entity/Q1476602,0,191440,,-38.15,144.35
AUS,Austrália,Q190021,http://www.wikidata.org/entity/Q1066884,0,178649,,-19.262222222222,146.81583333333
AUS,Austrália,Q189133,http://www.wikidata.org/entity/Q1025962,0,158653,,-16.925555555556,145.77527777778
AUS,Austrália,Q11568,http://www.wikidata.org/entity/Q3235,0,146982,,-12.438055555556,130.84111111111
AUS,Austrália,Q478302,http://www.wikidata.org/entity/Q1067014,0,135631,,-27.55,151.95
AUS,Austrália,Q17856,http://www.wikidata.org/entity/Q36687,0,116201,,-37.560833333333,143.8475
