iso3,country,city_qid,admin_q,is_cap,pop,yr,lat,lon
BDI,Burundi,Q167551,http://www.wikidata.org/entity/Q720843,1,135467,,-3.4283333333333,29.925
BDI,Burundi,Q246069,http://www.wikidata.org/entity/Q131844612,0,5865,,-3.9236111111111,30.006111111111
BDI,Burundi,Q557529,http://www.wikidata.org/entity/Q720843,0,5458,,-3.25,29.6
BDI,Burundi,Q684152,http://www.wikidata.org/entity/Q735463,0,10317,,-3.1,30.166666666667
BDI,Burundi,Q746329,http://www.wikidata.org/entity/Q15478219,0,23885,,-2.888333,29.119722
BDI,Burundi,Q929689,http://www.wikidata.org/entity/Q131844755,0,39884,,-2.9,29.81666667
BDI,Burundi,Q992247,http://www.wikidata.org/entity/Q5153997,0,4478,,-3.9333333333333,29.616666666667
BDI,Burundi,Q1018116,http://www.wikidata.org/entity/Q131844468,0,7139,,-3.4666666666667,30.25
BDI,Burundi,Q1286083,http://www.wikidata.org/entity/Q5154022,0,9396,,-4.1333333333333,29.8
BDI,Burundi,Q2006076,http://www.wikidata.org/entity/Q131844468,0,9609,,-2.85,30.333333
BDI,Burundi,Q2020432,http://www.wikidata.org/entity/Q15478219,0,20031,,-3.083333,29.4
BDI,Burundi,Q2305839,http://www.wikidata.org/entity/Q131844755,0,21767,,-2.9221,29.6293
BDI,Burundi,Q2458075,http://www.wikidata.org/entity/Q135926217,0,2403,,-3.533333,29.7
BDI,Burundi,Q2640808,http://www.wikidata.org/entity/Q131844755,0,10024,,-2.58333333,30.1
BDI,Burundi,Q2669640,http://www.wikidata.org/entity/Q131844468,0,3624,,-3.219444,30.552778
BDI,Burundi,Q3110231,http://www.wikidata.org/entity/Q131844612,0,35931,,-3.966667,29.433333
BDI,Burundi,Q4453823,http://www.wikidata.org/entity/Q131844755,0,66816,,-2.5525,30.34083333
BDI,Burundi,Q5154000,http://www.wikidata.org/entity/Q131844468,0,39178,,-3.30638889,30.21416667
BDI,Burundi,Q5527537,http://www.wikidata.org/entity/Q645043,0,11700,,-3.33333333,29.25
BDI,Burundi,Q14823669,http://www.wikidata.org/entity/Q15478219,0,69525,,-3.293,29.325
BDI,Burundi,Q3854,http://www.wikidata.org/entity/Q1816580,0,658859,,-3.3825,29.361111111111
