iso3,country,city_qid,admin_q,is_cap,pop,yr,lat,lon
BDI,Burundi,Q3854,Q1816580,0,658859,2014,-3.3825,29.361111111111
BDI,Burundi,Q167551,Q720843,1,135467,2020,-3.4283333333333,29.925
BDI,Burundi,Q14823669,Q15478219,0,69525,2008,-3.293,29.325
BDI,Burundi,Q4453823,Q131844755,0,66816,2008,-2.5525,30.34083333
BDI,Burundi,Q929689,Q131844755,0,39884,2008,-2.9,29.81666667
BDI,Burundi,Q5154000,Q131844468,0,39178,2008,-3.30638889,30.21416667
BDI,Burundi,Q3110231,Q20669646,0,35931,2008,-3.966667,29.433333
BDI,Burundi,Q746329,Q15478219,0,23885,2008,-2.888333,29.119722
BDI,Burundi,Q2305839,Q131844755,0,21767,2008,-2.916667,29.616667
BDI,Burundi,Q2020432,Q15478219,0,20031,2008,-3.083333,29.4
BDI,Burundi,Q5527537,Q645043,0,11700,2008,-3.33333333,29.25
BDI,Burundi,Q684152,Q735463,0,10317,2008,-3.1,30.166666666667
BDI,Burundi,Q2640808,Q600840,0,10024,2008,-2.58333333,30.1
BDI,Burundi,Q2006076,Q131844468,0,9609,2008,-2.85,30.333333
BDI,Burundi,Q1286083,Q823740,0,9396,2008,-4.1333333333333,29.8
BDI,Burundi,Q1018116,Q131844468,0,7139,2008,-3.4666666666667,30.25
BDI,Burundi,Q246069,Q131844612,0,5865,2008,-3.9236111111111,30.006111111111
BDI,Burundi,Q557529,Q720843,0,5458,2008,-3.25,29.6
BDI,Burundi,Q992247,Q431385,0,4478,2008,-3.9333333333333,29.616666666667
BDI,Burundi,Q2669640,Q131844468,0,3624,2008,-3.219444,30.552778
