iso3,country,city_qid,admin_q,is_cap,pop,yr,lat,lon
BGD,Bangladesh,Q1354,Q330158,1,16800000,2017,23.728888888889,90.394444444444
BGD,Bangladesh,Q3345331,Q2094101,0,3023516,2022,24.02,90.4
BGD,Bangladesh,Q376749,Q1074991,0,2581643,2011,22.335,91.8325
BGD,Bangladesh,Q1027100,Q1850485,0,2311796,2022,23.88,90.28
BGD,Bangladesh,Q4313079,Q2208354,0,1770734,2022,23.6,90.5
BGD,Bangladesh,Q243325,Q2093344,0,1400689,2007,22.816666666667,89.55
BGD,Bangladesh,Q3345695,Q1850485,0,1011063,2022,23.683333333333,90.333333333333
BGD,Bangladesh,Q4293913,Q1429976,0,998422,2022,24.75,90.4167
BGD,Bangladesh,Q7660566,Q2093352,0,936237,2022,24.8917,91.8833
BGD,Bangladesh,Q7292912,Q2344570,0,887245,2022,25.75014,89.23333
BGD,Bangladesh,Q4526629,Q2094101,0,855263,2022,24.2,90.4667
BGD,Bangladesh,Q4313456,Q2042638,0,852330,2022,23.87,90.71
BGD,Bangladesh,Q3346331,Q1862981,0,844374,2022,23.1681,89.2042
BGD,Bangladesh,Q6479958,Q1550252,0,814847,2022,22.95,90.825
BGD,Bangladesh,Q322155,Q2344697,0,775495,2008,24.366666666667,88.6
BGD,Bangladesh,Q4341198,Q1083505,0,711588,2022,24.005,89.25
BGD,Bangladesh,Q4400172,Q2208354,0,704869,2022,23.83,90.54
BGD,Bangladesh,Q3347172,Q2094101,0,694608,2022,24.075,90.2167
BGD,Bangladesh,Q4955557,Q897330,0,677243,2022,23.9528,91.1167
BGD,Bangladesh,Q5151841,Q1480778,0,671865,2022,23.4583,91.1833
