iso3,country,city_qid,admin_q,is_cap,pop,yr,lat,lon
BOL,Bolívia,Q170688,Q582935,0,3151676,2017,-17.789166666667,-63.1975
BOL,Bolívia,Q1491,Q272784,1,2867504,2017,-16.495833333333,-68.133333333333
BOL,Bolívia,Q30996,Q955745,0,842378,2012,-16.504722222222,-68.163333333333
BOL,Bolívia,Q183124,Q200795,0,632013,2012,-17.3935419,-66.1570139
BOL,Bolívia,Q2907,Q1420303,1,360544,2021,-19.0475,-65.26
BOL,Bolívia,Q35246,Q1061368,0,264683,2012,-17.966666666667,-67.116666666667
BOL,Bolívia,Q973385,Q1215506,0,214216,2020,-17.51027778,-63.16472222
BOL,Bolívia,Q35045,Q1335276,0,189652,2012,-19.589166666667,-65.753333333333
BOL,Bolívia,Q35004,Q328661,0,179528,2012,-21.533888888889,-64.734166666667
BOL,Bolívia,Q995727,Q1521148,0,172466,2012,-17.404166666667,-66.040833333333
BOL,Bolívia,Q1002090,Q1553258,0,137182,2012,-17.3975,-66.281666666667
BOL,Bolívia,Q990706,Q1215579,0,126886,2024,-17.3425,-63.255277777778
BOL,Bolívia,Q34986,Q821,0,124357,2024,-14.833333333333,-64.9
BOL,Bolívia,Q990743,Q267695,0,97296,2012,-22.013888888889,-63.677777777778
BOL,Bolívia,Q941357,Q1325798,0,78100,2018,-11.005,-66.066111111111
BOL,Bolívia,Q1860785,Q1232232,0,71386,2012,-16.9725,-65.42
BOL,Bolívia,Q1506556,Q1215525,0,57683,2001,-17.402777777778,-63.885
BOL,Bolívia,Q2097756,Q1521128,0,46627,2012,-16.866666666667,-64.783055555556
BOL,Bolívia,Q34995,Q1473307,0,46267,2012,-11.0182955,-68.7537452
BOL,Bolívia,Q1014504,Q267695,0,39800,2012,-21.264722222222,-63.458611111111
