iso3,country,city_qid,admin_q,is_cap,pop,yr,lat,lon
BRA,Brasil,Q80004,Q39109,0,110290,2020,-19.518888888889,-42.628888888889
BRA,Brasil,Q80004,Q39109,0,110709,2021,-19.518888888889,-42.628888888889
BRA,Brasil,Q80004,Q39109,0,103694,2010,-19.518888888889,-42.628888888889
BRA,Brasil,Q80004,Q39109,0,97451,2000,-19.518888888889,-42.628888888889
BRA,Brasil,Q80004,Q39109,0,104736,2022,-19.518888888889,-42.628888888889
BRA,Brasil,Q80004,Q39109,0,104637,2012,-19.518888888889,-42.628888888889
BRA,Brasil,Q80004,Q39109,0,109857,2016,-19.518888888889,-42.628888888889
BRA,Brasil,Q80004,Q39109,0,110326,2017,-19.518888888889,-42.628888888889
BRA,Brasil,Q80004,Q39109,0,109855,2019,-19.518888888889,-42.628888888889
BRA,Brasil,Q80004,Q39109,0,105037,2009,-19.518888888889,-42.628888888889
BRA,Brasil,Q80004,Q39109,0,108708,2025,-19.518888888889,-42.628888888889
BRA,Brasil,Q80004,Q39109,0,104415,2008,-19.518888888889,-42.628888888889
BRA,Brasil,Q80004,Q39109,0,108302,2013,-19.518888888889,-42.628888888889
BRA,Brasil,Q80004,Q39109,0,108843,2014,-19.518888888889,-42.628888888889
BRA,Brasil,Q80004,Q39109,0,109363,2015,-19.518888888889,-42.628888888889
BRA,Brasil,Q80004,Q39109,0,109405,2018,-19.518888888889,-42.628888888889
BRA,Brasil,Q80004,Q39109,0,108551,2024,-19.518888888889,-42.628888888889
BRA,Brasil,Q80004,Q39109,0,104173,2011,-19.518888888889,-42.628888888889
BRA,Brasil,Q80004,Q39109,0,75701,1980,-19.518888888889,-42.628888888889
BRA,Brasil,Q80004,Q39109,0,87439,1991,-19.518888888889,-42.628888888889
BRA,Brasil,Q80004,Q39109,0,41120,1970,-19.518888888889,-42.628888888889
BRA,Brasil,Q80004,Q39109,0,108843,2014,-19.518888888889,-42.628888888889
BRA,Brasil,Q80004,Q39109,0,109363,2015,-19.518888888889,-42.628888888889
BRA,Brasil,Q80004,Q39109,0,109405,2018,-19.518888888889,-42.628888888889
BRA,Brasil,Q80004,Q39109,0,108551,2024,-19.518888888889,-42.628888888889
BRA,Brasil,Q80004,Q39109,0,104173,2011,-19.518888888889,-42.628888888889
BRA,Brasil,Q80004,Q39109,0,75701,1980,-19.518888888889,-42.628888888889
BRA,Brasil,Q80004,Q39109,0,87439,1991,-19.518888888889,-42.628888888889
BRA,Brasil,Q80004,Q39109,0,41120,1970,-19.518888888889,-42.628888888889
BRA,Brasil,Q80004,Q39109,0,75701,1980,-19.518888888889,-42.628888888889
BRA,Brasil,Q80004,Q39109,0,87439,1991,-19.518888888889,-42.628888888889
BRA,Brasil,Q80004,Q39109,0,41120,1970,-19.518888888889,-42.628888888889
BRA,Brasil,Q80004,Q39109,0,110290,2020,-19.518888888889,-42.628888888889
BRA,Brasil,Q80004,Q39109,0,110709,2021,-19.518888888889,-42.628888888889
BRA,Brasil,Q80004,Q39109,0,103694,2010,-19.518888888889,-42.628888888889
BRA,Brasil,Q80004,Q39109,0,97451,2000,-19.518888888889,-42.628888888889
BRA,Brasil,Q80004,Q39109,0,104736,2022,-19.518888888889,-42.628888888889
BRA,Brasil,Q80004,Q39109,0,104637,2012,-19.518888888889,-42.628888888889
BRA,Brasil,Q80004,Q39109,0,109857,2016,-19.518888888889,-42.628888888889
BRA,Brasil,Q80004,Q39109,0,110326,2017,-19.518888888889,-42.628888888889
BRA,Brasil,Q80004,Q39109,0,109855,2019,-19.518888888889,-42.628888888889
BRA,Brasil,Q80004,Q39109,0,105037,2009,-19.518888888889,-42.628888888889
BRA,Brasil,Q80004,Q39109,0,108708,2025,-19.518888888889,-42.628888888889
BRA,Brasil,Q80004,Q39109,0,104415,2008,-19.518888888889,-42.628888888889
BRA,Brasil,Q80004,Q39109,0,108302,2013,-19.518888888889,-42.628888888889
BRA,Brasil,Q80004,Q39109,0,110290,2020,-19.518888888889,-42.628888888889
