iso3,country,city_qid,admin_q,is_cap,pop,yr,lat,lon
BRA,Brasil,Q174,Q175,0,12396372,2021,-23.550394444444,-46.633947222222
BRA,Brasil,Q8678,Q41428,0,6775561,2021,-22.911111111111,-43.205555555556
BRA,Brasil,Q2844,Q119158,1,3094325,2021,-15.793888888889,-47.882777777778
BRA,Brasil,Q43463,Q40123,0,2703391,2021,-3.7275,-38.5275
BRA,Brasil,Q36947,Q40430,0,2675656,2010,-12.983055555556,-38.492777777778
BRA,Brasil,Q42800,Q39109,0,2530701,2021,-19.928055555556,-43.941944444444
BRA,Brasil,Q4361,Q15499,0,1963726,2021,-25.429722222222,-49.271944444444
BRA,Brasil,Q48344,Q40942,0,1661017,2021,-8.0538888888889,-34.880833333333
BRA,Brasil,Q83189,Q41587,0,1555626,2021,-16.680555555556,-49.256388888889
BRA,Brasil,Q184409,Q175,0,1404694,2021,-23.466666666667,-46.533333333333
BRA,Brasil,Q40269,Q40030,0,1263403,1991,-30.032777777778,-51.23
BRA,Brasil,Q83114,Q41428,0,1084839,2019,-22.826944444444,-43.053888888889
BRA,Brasil,Q168929,Q43319,0,962883,2025,-20.468611111111,-54.622222222222
BRA,Brasil,Q167436,Q38088,0,897633,2025,-7.12,-34.88
BRA,Brasil,Q131620,Q43255,0,896708,2021,-5.795,-35.208888888889
BRA,Brasil,Q184403,Q175,0,849874,2021,-23.693888888889,-46.565
BRA,Brasil,Q4035,Q175,0,759524,2025,-23.532777777778,-46.791944444444
BRA,Brasil,Q191642,Q175,0,737310,2021,-23.178888888889,-45.886944444444
BRA,Brasil,Q156819,Q41115,0,616317,2022,-26.303888888889,-48.845833333333
BRA,Brasil,Q180215,Q40130,0,522357,2021,0.032958333333333,-51.065311111111
