iso3,country,city_qid,admin_q,is_cap,pop,yr,lat,lon
BRN,Brunei,Q9279,Q153009,1,50000,2015.0,4.9166666666667,114.91666666667
BRN,Brunei,Q2024412,Q153009,0,41153,2011.0,4.98333,114.91667
BRN,Brunei,Q3866969,Q153009,0,34220,2011.0,4.52623,114.61929
BRN,Brunei,Q2364102,Q153009,0,34049,2016.0,4.52623,114.61929
BRN,Brunei,Q1954622,Q40395,0,33032,2011.0,4.58333333,114.18333333
BRN,Brunei,Q2490410,Q153009,0,31576,2011.0,4.9358333333333,114.82888888889
BRN,Brunei,Q1952924,Q153009,0,31180,2011.0,4.98333,114.91667
BRN,Brunei,Q2365615,Q153009,0,30192,2016.0,4.962,115.023
BRN,Brunei,Q2365651,Q153009,0,24435,2011.0,4.8491666666667,114.88166666667
BRN,Brunei,Q1953067,Q40395,0,21214,2016.0,4.6,114.33333333333
BRN,Brunei,Q2159472,Q1953067,0,21082,,4.6141666666667,114.33027777778
BRN,Brunei,Q2490398,Q153009,0,16173,2016.0,5.0079722222222,115.05252777778
BRN,Brunei,Q2365632,Q153009,0,15071,2011.0,4.8830833333333,114.96352777778
BRN,Brunei,Q2365680,Q153009,0,14492,2016.0,4.9,114.9
BRN,Brunei,Q1953083,Q40395,0,14301,2016.0,4.66,114.45888888889
BRN,Brunei,Q7129799,Q1953067,0,11404,2016.0,4.6,114.28333333333
BRN,Brunei,Q2742235,Q40398,0,11144,2011.0,4.8,114.65
BRN,Brunei,Q2365664,Q153009,0,10218,2011.0,4.8985277777778,114.93388888889
BRN,Brunei,Q2742244,Q40398,0,10095,2016.0,4.7336111111111,114.55722222222
BRN,Brunei,Q16944546,Q40398,0,9707,2016.0,4.8213237,114.7268464
