iso3,country,city_qid,admin_q,is_cap,pop,yr,lat,lon
BTN,Butão,Q862041,Q7967830,0,2362,2005,27.433333333333,89.416666666667
BTN,Butão,Q862041,Q7967830,0,2362,2005,27.433333333333,89.416666666667
BTN,Butão,Q862041,Q7967830,0,2362,2005,27.433333333333,89.416666666667
BTN,Butão,Q862041,Q7967830,0,2362,2005,27.433333333333,89.416666666667
BTN,Butão,Q862041,Q7967830,0,2362,2005,27.433333333333,89.416666666667
BTN,Butão,Q862041,Q7967830,0,2362,2005,27.433333333333,89.416666666667
BTN,Butão,Q862041,Q7967830,0,2362,2005,27.433333333333,89.416666666667
BTN,Butão,Q862041,Q7967830,0,2362,2005,27.433333333333,89.416666666667
BTN,Butão,Q1019534,Q728938,0,2695,2005,27.516805555556,90.5
BTN,Butão,Q1019534,Q728938,0,2695,2005,27.516805555556,90.5
BTN,Butão,Q1019534,Q728938,0,2695,2005,27.516805555556,90.5
BTN,Butão,Q1019534,Q728938,0,2695,2005,27.516805555556,90.5
BTN,Butão,Q1019534,Q728938,0,2695,2005,27.516805555556,90.5
BTN,Butão,Q1019534,Q728938,0,2695,2005,27.516805555556,90.5
BTN,Butão,Q1715095,Q7777691,0,6714,2005,27.466666666667,89.9
BTN,Butão,Q1715095,Q7777691,0,6714,2005,27.466666666667,89.9
BTN,Butão,Q1715095,Q7777691,0,6714,2005,27.466666666667,89.9
BTN,Butão,Q1715095,Q7777691,0,6714,2005,27.466666666667,89.9
BTN,Butão,Q2253073,Q728922,0,1666,2005,27.016666666667,90.1
BTN,Butão,Q2253073,Q728922,0,1666,2005,27.016666666667,90.1
BTN,Butão,Q2253073,Q728922,0,1666,2005,27.016666666667,90.1
BTN,Butão,Q2315241,Q728917,0,4981,2005,26.866666666667,89.1
BTN,Butão,Q2315241,Q728917,0,4981,2005,26.866666666667,89.1
BTN,Butão,Q2315241,Q728917,0,4981,2005,26.866666666667,89.1
BTN,Butão,Q2315241,Q728917,0,4981,2005,26.866666666667,89.1
BTN,Butão,Q2315241,Q728917,0,4981,2005,26.866666666667,89.1
BTN,Butão,Q2315241,Q728917,0,4981,2005,26.866666666667,89.1
BTN,Butão,Q2597251,Q598793,0,1935,2008,27.65,91.15
BTN,Butão,Q2597251,Q598793,0,1935,2008,27.65,91.15
BTN,Butão,Q2597251,Q598793,0,1935,2008,27.65,91.15
BTN,Butão,Q4167662,Q389734,0,541,2005,27.315555555556,91.436388888889
BTN,Butão,Q4167662,Q389734,0,541,2005,27.315555555556,91.436388888889
BTN,Butão,Q4167662,Q389734,0,541,2005,27.315555555556,91.436388888889
BTN,Butão,Q9270,Q254889,1,79185,2005,27.47135,89.63367
BTN,Butão,Q9270,Q254889,1,79185,2005,27.47135,89.63367
BTN,Butão,Q9270,Q254889,1,79185,2005,27.47135,89.63367
BTN,Butão,Q9270,Q254889,1,79185,2005,27.47135,89.63367
BTN,Butão,Q9270,Q254889,1,79185,2005,27.47135,89.63367
BTN,Butão,Q9270,Q254889,1,79185,2005,27.47135,89.63367
BTN,Butão,Q9270,Q254889,1,79185,2005,27.47135,89.63367
BTN,Butão,Q9270,Q254889,1,79185,2005,27.47135,89.63367
BTN,Butão,Q9270,Q254889,1,114551,2017,27.47135,89.63367
BTN,Butão,Q9270,Q254889,1,114551,2017,27.47135,89.63367
BTN,Butão,Q9270,Q254889,1,114551,2017,27.47135,89.63367
BTN,Butão,Q9270,Q254889,1,114551,2017,27.47135,89.63367
BTN,Butão,Q9270,Q254889,1,114551,2017,27.47135,89.63367
BTN,Butão,Q9270,Q254889,1,114551,2017,27.47135,89.63367
BTN,Butão,Q9270,Q254889,1,114551,2017,27.47135,89.63367
BTN,Butão,Q9270,Q254889,1,114551,2017,27.47135,89.63367
BTN,Butão,Q9270,Q254889,1,79185,2005,27.47135,89.63367
BTN,Butão,Q9270,Q254889,1,79185,2005,27.47135,89.63367
BTN,Butão,Q9270,Q254889,1,79185,2005,27.47135,89.63367
BTN,Butão,Q9270,Q254889,1,79185,2005,27.47135,89.63367
BTN,Butão,Q9270,Q254889,1,114551,2017,27.47135,89.63367
BTN,Butão,Q9270,Q254889,1,114551,2017,27.47135,89.63367
BTN,Butão,Q9270,Q254889,1,114551,2017,27.47135,89.63367
BTN,Butão,Q9270,Q254889,1,114551,2017,27.47135,89.63367
