iso3,country,city_qid,admin_q,is_cap,pop,yr,lat,lon
BWA,Botsuana,Q3919,http://www.wikidata.org/entity/Q57695,1,246325,,-24.656944444444,25.908611111111
BWA,Botsuana,Q119806208,http://www.wikidata.org/entity/Q165422,0,147122,,,
BWA,Botsuana,Q170717,http://www.wikidata.org/entity/Q57599,0,88098,,-24.633333333333,25.866666666667
BWA,Botsuana,Q170732,http://www.wikidata.org/entity/Q57617,0,85293,,-19.983333333333,23.416666666667
BWA,Botsuana,Q170725,http://www.wikidata.org/entity/Q57599,0,67598,,-24.4066,25.4951
BWA,Botsuana,Q859785,http://www.wikidata.org/entity/Q57695,0,55517,,-24.6686,25.9711
BWA,Botsuana,Q141263,http://www.wikidata.org/entity/Q57525,0,49724,,-21.966666666667,27.916666666667
BWA,Botsuana,Q855634,http://www.wikidata.org/entity/Q57525,0,47447,,-22.383333,26.716667
BWA,Botsuana,Q113631007,,0,44815,,,
BWA,Botsuana,Q615877,http://www.wikidata.org/entity/Q57593,0,44339,,-24.416666666667,26.15
BWA,Botsuana,Q170711,http://www.wikidata.org/entity/Q57525,0,36211,,-22.55,27.133333333333
BWA,Botsuana,Q165768,http://www.wikidata.org/entity/Q57695,0,29700,,-25.216666666667,25.666666666667
BWA,Botsuana,Q165988,http://www.wikidata.org/entity/Q57525,0,21216,,-21.9655,28.4363
BWA,Botsuana,Q38855,http://www.wikidata.org/entity/Q57599,0,20018,,-24.666666666667,25.782222222222
BWA,Botsuana,Q166365,http://www.wikidata.org/entity/Q57525,0,13198,,-21.8765,27.7518
BWA,Botsuana,Q170647,http://www.wikidata.org/entity/Q57593,0,10257,,-24.573056,26.033889
BWA,Botsuana,Q170870,http://www.wikidata.org/entity/Q57617,0,8704,,-17.803888888889,25.241111111111
BWA,Botsuana,Q39137,http://www.wikidata.org/entity/Q57599,0,8081,,-24.553055555556,25.803888888889
BWA,Botsuana,Q170663,http://www.wikidata.org/entity/Q57617,0,6693,,-18.369166666667,21.845833333333
BWA,Botsuana,Q170830,http://www.wikidata.org/entity/Q57636,0,5696,,-20.6245,27.4488
