iso3,country,city_qid,admin_q,is_cap,pop,yr,lat,lon
CAN,Canadá,Q75861,Q1948,0,3322,2016.0,49.8508,-100.932
CAN,Canadá,Q75912,Q1948,0,2800,,50.0622,-96.5161
CAN,Canadá,Q75912,Q1349342,0,2800,,50.0622,-96.5161
CAN,Canadá,Q86366,Q1948,0,1201,2016.0,50.3858,-97.2611
CAN,Canadá,Q92561,Q1931946,0,366151,2011.0,42.9837,-81.2497
CAN,Canadá,Q92561,Q1931946,0,366151,2011.0,42.9837,-81.2497
CAN,Canadá,Q92561,Q1931946,0,366151,2011.0,42.9837,-81.2497
CAN,Canadá,Q92561,Q1931946,0,383822,2016.0,42.9837,-81.2497
CAN,Canadá,Q92561,Q1931946,0,383822,2016.0,42.9837,-81.2497
CAN,Canadá,Q92561,Q1931946,0,383822,2016.0,42.9837,-81.2497
CAN,Canadá,Q92561,Q1931946,0,422324,2021.0,42.9837,-81.2497
CAN,Canadá,Q92561,Q1931946,0,422324,2021.0,42.9837,-81.2497
CAN,Canadá,Q92561,Q1931946,0,422324,2021.0,42.9837,-81.2497
CAN,Canadá,Q92561,Q1931946,0,366151,2011.0,42.9837,-81.2497
CAN,Canadá,Q92561,Q1931946,0,366151,2011.0,42.9837,-81.2497
CAN,Canadá,Q92561,Q1931946,0,366151,2011.0,42.9837,-81.2497
CAN,Canadá,Q92561,Q1931946,0,366151,2011.0,42.9837,-81.2497
CAN,Canadá,Q92561,Q1931946,0,383822,2016.0,42.9837,-81.2497
CAN,Canadá,Q92561,Q1931946,0,383822,2016.0,42.9837,-81.2497
CAN,Canadá,Q92561,Q1931946,0,383822,2016.0,42.9837,-81.2497
CAN,Canadá,Q92561,Q1931946,0,383822,2016.0,42.9837,-81.2497
CAN,Canadá,Q92561,Q1931946,0,422324,2021.0,42.9837,-81.2497
CAN,Canadá,Q92561,Q1931946,0,422324,2021.0,42.9837,-81.2497
CAN,Canadá,Q92561,Q1931946,0,422324,2021.0,42.9837,-81.2497
CAN,Canadá,Q92561,Q1931946,0,422324,2021.0,42.9837,-81.2497
CAN,Canadá,Q92561,Q1931946,0,366151,2011.0,42.9837,-81.2497
CAN,Canadá,Q92561,Q1931946,0,383822,2016.0,42.9837,-81.2497
CAN,Canadá,Q92561,Q1931946,0,422324,2021.0,42.9837,-81.2497
CAN,Canadá,Q139019,Q1517947,0,10159,2021.0,45.6706,-73.76293
CAN,Canadá,Q139019,Q1517947,0,10480,2022.0,45.6706,-73.76293
CAN,Canadá,Q139019,Q1517947,0,9485,2011.0,45.6706,-73.76293
CAN,Canadá,Q139019,Q1517947,0,9970,2019.0,45.6706,-73.76293
CAN,Canadá,Q139019,Q1517947,0,10045,2020.0,45.6706,-73.76293
CAN,Canadá,Q139027,Q1517234,0,3439,2011.0,47.05,-70.9
CAN,Canadá,Q142024,Q1517236,0,20176,2022.0,47.8333,-69.5333
CAN,Canadá,Q142024,Q1517236,0,20118,2021.0,47.8333,-69.5333
CAN,Canadá,Q142024,Q1517236,0,19447,2011.0,47.8333,-69.5333
CAN,Canadá,Q142024,Q1517236,0,20176,2022.0,47.8333,-69.5333
CAN,Canadá,Q142024,Q1517236,0,20118,2021.0,47.8333,-69.5333
CAN,Canadá,Q142024,Q1517236,0,19447,2011.0,47.8333,-69.5333
CAN,Canadá,Q142029,Q1810586,0,13987,2021.0,48.843333333333,-67.530555555556
CAN,Canadá,Q142029,Q1810586,0,14178,2020.0,48.843333333333,-67.530555555556
CAN,Canadá,Q142029,Q1810586,0,14142,2019.0,48.843333333333,-67.530555555556
CAN,Canadá,Q142029,Q1810586,0,14000,2022.0,48.843333333333,-67.530555555556
CAN,Canadá,Q142029,Q1810586,0,14462,2011.0,48.843333333333,-67.530555555556
CAN,Canadá,Q142029,Q1810586,0,13987,2021.0,48.843333333333,-67.530555555556
CAN,Canadá,Q142029,Q1810586,0,14178,2020.0,48.843333333333,-67.530555555556
CAN,Canadá,Q142029,Q1810586,0,14142,2019.0,48.843333333333,-67.530555555556
CAN,Canadá,Q142029,Q1810586,0,14000,2022.0,48.843333333333,-67.530555555556
CAN,Canadá,Q142029,Q1810586,0,14462,2011.0,48.843333333333,-67.530555555556
CAN,Canadá,Q142035,Q2826806,0,19277,2021.0,45.433333333333,-73.866666666667
CAN,Canadá,Q142035,Q2826806,0,19977,2019.0,45.433333333333,-73.866666666667
CAN,Canadá,Q142035,Q2826806,0,19755,2022.0,45.433333333333,-73.866666666667
CAN,Canadá,Q142035,Q2826806,0,19505,2011.0,45.433333333333,-73.866666666667
CAN,Canadá,Q142035,Q2826806,0,19942,2020.0,45.433333333333,-73.866666666667
CAN,Canadá,Q142035,Q2826806,0,19324,2016.0,45.433333333333,-73.866666666667
CAN,Canadá,Q142035,Q2826806,0,19277,2021.0,45.433333333333,-73.866666666667
CAN,Canadá,Q142035,Q2826806,0,19977,2019.0,45.433333333333,-73.866666666667
CAN,Canadá,Q142035,Q2826806,0,19755,2022.0,45.433333333333,-73.866666666667
CAN,Canadá,Q142035,Q2826806,0,19505,2011.0,45.433333333333,-73.866666666667
CAN,Canadá,Q142035,Q2826806,0,19942,2020.0,45.433333333333,-73.866666666667
CAN,Canadá,Q142035,Q2826806,0,19324,2016.0,45.433333333333,-73.866666666667
CAN,Canadá,Q142039,Q813402,0,44838,2022.0,45.25,-74.133333333333
CAN,Canadá,Q142039,Q813402,0,40745,2016.0,45.25,-74.133333333333
CAN,Canadá,Q142039,Q813402,0,40077,2011.0,45.25,-74.133333333333
CAN,Canadá,Q142039,Q813402,0,42787,2021.0,45.25,-74.133333333333
CAN,Canadá,Q142039,Q813402,0,42410,2019.0,45.25,-74.133333333333
CAN,Canadá,Q142039,Q813402,0,42957,2020.0,45.25,-74.133333333333
CAN,Canadá,Q142039,Q813402,0,44838,2022.0,45.25,-74.133333333333
CAN,Canadá,Q142039,Q813402,0,40745,2016.0,45.25,-74.133333333333
CAN,Canadá,Q142039,Q813402,0,40077,2011.0,45.25,-74.133333333333
CAN,Canadá,Q142039,Q813402,0,42787,2021.0,45.25,-74.133333333333
CAN,Canadá,Q142039,Q813402,0,42410,2019.0,45.25,-74.133333333333
CAN,Canadá,Q142039,Q813402,0,42957,2020.0,45.25,-74.133333333333
CAN,Canadá,Q142044,Q1517997,0,6051,2022.0,45.4167,-73.0
CAN,Canadá,Q142044,Q1517997,0,5945,2020.0,45.4167,-73.0
CAN,Canadá,Q142044,Q1517997,0,5922,2019.0,45.4167,-73.0
CAN,Canadá,Q142044,Q1517997,0,5686,2011.0,45.4167,-73.0
CAN,Canadá,Q142044,Q1517997,0,5877,2016.0,45.4167,-73.0
CAN,Canadá,Q142044,Q1517997,0,5972,2021.0,45.4167,-73.0
CAN,Canadá,Q142044,Q1517997,0,6051,2022.0,45.4167,-73.0
CAN,Canadá,Q142044,Q1517997,0,5945,2020.0,45.4167,-73.0
CAN,Canadá,Q142044,Q1517997,0,5922,2019.0,45.4167,-73.0
CAN,Canadá,Q142044,Q1517997,0,5686,2011.0,45.4167,-73.0
CAN,Canadá,Q142044,Q1517997,0,5877,2016.0,45.4167,-73.0
CAN,Canadá,Q142044,Q1517997,0,5972,2021.0,45.4167,-73.0
CAN,Canadá,Q142053,Q1104454,0,8867,2021.0,45.1333,-71.8
