iso3,country,city_qid,admin_q,is_cap,pop,yr,lat,lon
CHL,Chile,Q2887,http://www.wikidata.org/entity/Q2131,1,6257516,,-33.4375,-70.65
CHL,Chile,Q51594,http://www.wikidata.org/entity/Q2131,0,573935,,-33.616666666667,-70.583333333333
CHL,Chile,Q16918,http://www.wikidata.org/entity/Q45632,0,521627,,-33.516666666667,-70.766666666667
CHL,Chile,Q188002,http://www.wikidata.org/entity/Q45632,0,404495,,-33.45,-70.666666666667
CHL,Chile,Q14460,http://www.wikidata.org/entity/Q45632,0,366916,,-33.55,-70.566666666667
CHL,Chile,Q3612,http://www.wikidata.org/entity/Q23660303,0,348517,,-23.646388888889,-70.398055555556
CHL,Chile,Q184345,http://www.wikidata.org/entity/Q23660201,0,332875,,-33.0245,-71.5518
CHL,Chile,Q56136,http://www.wikidata.org/entity/Q721450,0,301313,,-33.6,-70.716666666667
CHL,Chile,Q33986,http://www.wikidata.org/entity/Q23660191,0,296655,,-33.046111111111,-71.619722222222
CHL,Chile,Q272795,http://www.wikidata.org/entity/Q3312467,0,286240,,-18.055555555556,-70.248333333333
CHL,Chile,Q82128,http://www.wikidata.org/entity/Q23660141,0,282415,,-38.7399,-72.5901
CHL,Chile,Q41997,http://www.wikidata.org/entity/Q23659669,0,270000,,-36.7145,-73.1141
CHL,Chile,Q14484,http://www.wikidata.org/entity/Q45632,0,249893,,-33.416666666667,-70.583333333333
CHL,Chile,Q4469,http://www.wikidata.org/entity/Q31947291,0,232131,,-35.426944444444,-71.665555555556
CHL,Chile,Q4582,http://www.wikidata.org/entity/Q23660166,0,231370,,-34.165388888889,-70.739805555556
CHL,Chile,Q1880,http://www.wikidata.org/entity/Q23659675,0,229650,,-36.826944444444,-73.050277777778
CHL,Chile,Q3871,http://www.wikidata.org/entity/Q23660214,0,204068,,-29.9532,-71.338
CHL,Chile,Q2203,http://www.wikidata.org/entity/Q23660598,0,202131,,-18.478388888889,-70.321222222222
CHL,Chile,Q14467,http://www.wikidata.org/entity/Q23660215,0,195382,,-29.9027,-71.252
CHL,Chile,Q3774,http://www.wikidata.org/entity/Q23660244,0,190382,,-36.6067,-72.1033
