iso3,country,city_qid,admin_q,is_cap,pop,yr,lat,lon
CMR,Camarões,Q132830,Q769841,0,2768436,2015.0,4.05,9.7
CMR,Camarões,Q3808,Q739951,1,2440462,2012.0,3.8577777777778,11.518055555556
CMR,Camarões,Q157915,Q2442627,0,1750000,2020.0,9.3,13.4
CMR,Camarões,Q799808,Q165784,0,480000,2024.0,5.4666666666667,10.416666666667
CMR,Camarões,Q528432,Q823946,0,348766,2012.0,5.9613888888889,10.151666666667
CMR,Camarões,Q818824,Q2583656,0,201371,2005.0,10.590946,14.315925
CMR,Camarões,Q745906,Q667019,0,189800,2001.0,7.3213888888889,13.583888888889
CMR,Camarões,Q657734,Q845168,0,173000,2001.0,4.5833333333333,13.683333333333
CMR,Camarões,Q997047,Q2582684,0,144268,2005.0,4.6333333333333,9.45
CMR,Camarões,Q999070,Q2445609,0,135405,2022.0,4.95,9.9166666666667
CMR,Camarões,Q4902988,Q2442627,0,133191,2005.0,9.31667,13.8833
CMR,Camarões,Q312209,Q607499,0,131325,2005.0,4.1666666666667,9.2333333333333
CMR,Camarões,Q115433458,Q2583656,0,108902,,10.6131,14.3275
CMR,Camarões,Q697662,Q576311,0,101246,2010.0,12.083333333333,15.033333333333
CMR,Camarões,Q23012952,Q2583656,0,95230,2005.0,10.7361,14.6108
CMR,Camarões,Q819314,Q607499,0,84223,2005.0,4.0166666666667,9.2166666666667
CMR,Camarões,Q2228759,Q955885,0,78885,2012.0,4.07861,9.36806
CMR,Camarões,Q910616,Q2445743,0,76885,2012.0,2.9166666666667,11.15
CMR,Camarões,Q11818718,Q2442627,0,76715,2005.0,9.38333,13.5333
CMR,Camarões,Q289267,Q921417,0,76524,2012.0,5.45,10.05
