iso3,country,city_qid,admin_q,is_cap,pop,yr,lat,lon
CPV,Cabo Verde,Q5431421,http://www.wikidata.org/entity/Q747221,0,620,,16.648,-24.323
CPV,Cabo Verde,Q5447976,http://www.wikidata.org/entity/Q2551133,0,529,,15.15,-23.15
CPV,Cabo Verde,Q5465122,http://www.wikidata.org/entity/Q1355642,0,282,,17.188,-25.104
CPV,Cabo Verde,Q5509048,http://www.wikidata.org/entity/Q2721025,0,241,,16.15,-22.733333333333
CPV,Cabo Verde,Q6153036,http://www.wikidata.org/entity/Q1475374,0,1658,,17.1203,-24.9866
CPV,Cabo Verde,Q6270831,http://www.wikidata.org/entity/Q648842,0,991,,16.824166666667,-25.060277777778
CPV,Cabo Verde,Q6430079,http://www.wikidata.org/entity/Q500453,0,22227,,14.895111111111,-24.500444444444
CPV,Cabo Verde,Q6549110,,0,441,,14.857,-24.706
CPV,Cabo Verde,Q6787708,http://www.wikidata.org/entity/Q2571624,0,341,,14.864,-24.6927
CPV,Cabo Verde,Q6904927,http://www.wikidata.org/entity/Q1552897,0,274,,17.02,-25.329
CPV,Cabo Verde,Q6913557,http://www.wikidata.org/entity/Q2551133,0,444,,15.266,-23.205
CPV,Cabo Verde,Q7159988,http://www.wikidata.org/entity/Q2551133,0,166,,15.249,-23.115
CPV,Cabo Verde,Q7228050,http://www.wikidata.org/entity/Q494882,0,183,,15.061,-23.764
CPV,Cabo Verde,Q7322283,http://www.wikidata.org/entity/Q2551133,0,203,,15.144,-23.122
CPV,Cabo Verde,Q7322293,http://www.wikidata.org/entity/Q494882,0,2317,,15.133333333333,-23.766666666667
CPV,Cabo Verde,Q7521656,http://www.wikidata.org/entity/Q1355642,0,603,,17.177194444444,-25.030569444444
CPV,Cabo Verde,Q7683896,,0,282,,14.836,-24.736
CPV,Cabo Verde,Q8076585,http://www.wikidata.org/entity/Q499009,0,957,,15.034,-23.582
CPV,Cabo Verde,Q10275081,,0,0,,16.2094,-22.800064
CPV,Cabo Verde,Q13581467,,0,144,,16.18333333,-22.83333333
CPV,Cabo Verde,Q13957085,http://www.wikidata.org/entity/Q7061901,0,8122,,14.89659863,-24.49549913
CPV,Cabo Verde,Q3751,http://www.wikidata.org/entity/Q497019,1,159050,,14.917719444444,-23.509155555556
CPV,Cabo Verde,Q464913,http://www.wikidata.org/entity/Q499620,0,2148,,14.916666666667,-23.604166666667
CPV,Cabo Verde,Q484837,http://www.wikidata.org/entity/Q1011,0,126,,14.8715,-24.7315
CPV,Cabo Verde,Q484878,http://www.wikidata.org/entity/Q2721003,0,248,,16.677777777778,-22.934722222222
CPV,Cabo Verde,Q485053,,0,612,,14.88333333,-24.68333333
CPV,Cabo Verde,Q485198,http://www.wikidata.org/entity/Q2608046,0,1370,,14.889902777778,-24.293958333333
CPV,Cabo Verde,Q486834,http://www.wikidata.org/entity/Q2721025,0,346,,16.15,-22.75
CPV,Cabo Verde,Q489776,http://www.wikidata.org/entity/Q2551133,0,3056,,15.1375,-23.208333333333
CPV,Cabo Verde,Q490573,http://www.wikidata.org/entity/Q494882,0,12026,,15.094880555556,-23.665394444444
CPV,Cabo Verde,Q490579,http://www.wikidata.org/entity/Q497472,0,9530,,15.1375,-23.533333333333
CPV,Cabo Verde,Q493634,http://www.wikidata.org/entity/Q2571624,0,1049,,14.870833333333,-24.695833333333
CPV,Cabo Verde,Q495547,http://www.wikidata.org/entity/Q648842,0,70468,,16.891352777778,-24.987983333333
CPV,Cabo Verde,Q497019,http://www.wikidata.org/entity/Q500453,0,130271,,14.95,-23.51666667
CPV,Cabo Verde,Q497445,http://www.wikidata.org/entity/Q2721003,0,25779,,16.6,-22.904166666667
CPV,Cabo Verde,Q498968,http://www.wikidata.org/entity/Q2721003,0,6173,,16.754583333333,-22.945277777778
CPV,Cabo Verde,Q499598,http://www.wikidata.org/entity/Q500453,0,30000,,15.278655555556,-23.751644444444
CPV,Cabo Verde,Q501658,http://www.wikidata.org/entity/Q2721025,0,309,,16.033333333333,-22.916666666667
CPV,Cabo Verde,Q501656,http://www.wikidata.org/entity/Q2721025,0,6357,,16.176044444444,-22.917077777778
CPV,Cabo Verde,Q516835,http://www.wikidata.org/entity/Q500453,0,9524,,15.03333333,-24.325
CPV,Cabo Verde,Q648842,http://www.wikidata.org/entity/Q494869,0,83467,,16.85,-24.97
CPV,Cabo Verde,Q736200,http://www.wikidata.org/entity/Q494877,0,1143,,15.083333333333,-23.633333333333
CPV,Cabo Verde,Q747221,http://www.wikidata.org/entity/Q494869,0,7580,,16.615852777778,-24.298288888889
CPV,Cabo Verde,Q768314,http://www.wikidata.org/entity/Q1355642,0,4738,,17.201755555556,-25.091452777778
CPV,Cabo Verde,Q768920,http://www.wikidata.org/entity/Q1475374,0,1184,,17.145833333333,-25.0125
CPV,Cabo Verde,Q1031393,http://www.wikidata.org/entity/Q2571624,0,169,,14.844166666667,-24.735
