iso3,country,city_qid,admin_q,is_cap,pop,yr,lat,lon
CZE,Tchéquia,Q1085,http://www.wikidata.org/entity/Q213,1,1397880,,50.0875,14.421388888889
CZE,Tchéquia,Q14960,http://www.wikidata.org/entity/Q850531,0,402739,,49.195277777778,16.608333333333
CZE,Tchéquia,Q8385,http://www.wikidata.org/entity/Q918108,0,327371,,49.835555555556,18.2925
CZE,Tchéquia,Q146351,http://www.wikidata.org/entity/Q739824,0,108090,,50.766666666667,15.05
CZE,Tchéquia,Q16506,http://www.wikidata.org/entity/Q753120,0,97377,,48.974722222222,14.474722222222
CZE,Tchéquia,Q36989,http://www.wikidata.org/entity/Q838301,0,94636,,50.03861,15.77916
CZE,Tchéquia,Q192904,http://www.wikidata.org/entity/Q852496,0,89920,,49.777777777778,18.422777777778
CZE,Tchéquia,Q146363,http://www.wikidata.org/entity/Q852511,0,70670,,50.503055555556,13.636666666667
CZE,Tchéquia,Q146342,http://www.wikidata.org/entity/Q852518,0,56088,,50.633333333333,13.816666666667
CZE,Tchéquia,Q146307,http://www.wikidata.org/entity/Q852525,0,55925,,50.773611111111,14.196111111111
CZE,Tchéquia,Q146356,http://www.wikidata.org/entity/Q89474227,0,53107,,50.462777777778,13.411111111111
CZE,Tchéquia,Q147607,http://www.wikidata.org/entity/Q837639,0,49908,,50.727777777778,15.17
CZE,Tchéquia,Q193719,http://www.wikidata.org/entity/Q628280,0,37599,,50.079759165169,12.373995588434
CZE,Tchéquia,Q193721,http://www.wikidata.org/entity/Q117503,0,36557,,49.414485338494,14.657835974031
CZE,Tchéquia,Q3584,http://www.wikidata.org/entity/Q517427,0,31506,,49.594368444158,18.010308756103
CZE,Tchéquia,Q149097,http://www.wikidata.org/entity/Q161094,0,20717,,50.499890572913,13.447786301898
CZE,Tchéquia,Q143664,http://www.wikidata.org/entity/Q517734,0,18839,,50.431763800828,15.814108741637
CZE,Tchéquia,Q149103,http://www.wikidata.org/entity/Q852525,0,16397,,50.951576367344,14.55711013781
CZE,Tchéquia,Q16515,http://www.wikidata.org/entity/Q852457,0,9013,,49.781215974594,14.16722087166
CZE,Tchéquia,Q149105,http://www.wikidata.org/entity/Q89581446,0,7830,,50.737406262188,15.305960246529
